Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
7,50,60.97587532894348,3.4565126187610766,3.852414104196507,2.26202292827744,3.074843765342783,61.61005538031764,47.14128474373546,7.542011714989456,49.73980920669938,60.97587532894348,3.4565126187610766,3.852414104196507,2.26202292827744,3.074843765342783,61.61005538031764,47.14128474373546,7.542011714989456,49.73980920669938,0.2289547553364769,2.446394090267594,12.748257951808728,17.02963100220328,59.92658066749573,68.0,612.0,76.53589128697043,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,53,67.70283134800059,3.646592992402468,2.796946907109863,2.6775536809097344,2.132913722311784,56.654188673287095,64.67155504269273,8.676346824702462,41.37810198453486,67.70283111282183,3.646592793643768,2.796946907109863,2.6775534721102328,2.1329146708113345,56.65421179522431,64.67155504269273,8.676342073251739,41.37808595096547,5.785253286615832,19.37482369543724,11.342950987328695,9.319937591956016,51.79916787147522,59.0,531.0,98.43092226648156,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,53,67.7167924878505,3.646627757930741,3.082232812444266,2.6786096056443185,2.1277338499387075,56.52969954293808,28.349983707883677,8.695297149300174,41.51642638293523,67.71678563338816,3.646627165095884,3.082232812444266,2.678609378554247,2.1277362524035266,56.5298030322744,28.349983707883677,8.69527976671391,41.51652784788906,5.824088142934134,19.488717200504944,11.399003809089832,9.30574098454703,54.2935209274292,62.0,558.0,149.28601119104715,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,61,76.48931376001191,3.350431447220641,3.268156346924414,2.444316873730699,3.048618972247064,73.41814128769006,50.64431416128032,9.454579378790813,36.13995347835872,76.48930756035182,3.350419320542524,3.268156346924414,2.4442915601527333,3.048646795351968,73.4183487964239,50.64431416128032,9.454694877155717,36.14010427232722,0.4516047266516387,8.291952751774165,10.353989834400403,28.572386643842776,62.318249225616455,71.0,639.0,55.265022324504606,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,54,76.49151908563148,3.350038524102008,2.330515231134898,2.443891793527493,3.049414157775358,73.40763676968493,36.84104226448488,9.454596909748584,36.181931888131686,76.49151885551245,3.35003844499426,2.330515231134898,2.443891770158345,3.049413662042344,73.4076618647374,36.84104226448488,9.454595696709056,36.18190161107383,0.4579539646531508,8.321207769698535,10.346465991210868,28.57698307023618,51.47267532348633,59.0,531.0,56.70158983923972,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,99,85.91128644288649,3.418888251654725,3.20886841204548,2.526513893615941,2.9150023990567324,65.72735905010579,10.994779749187645,9.161456864937394,41.81516772811133,85.91128580107059,3.4188872289191625,3.20886841204548,2.526511688806912,2.915003608588126,65.7274377636104,10.994779749187645,9.161440901330682,41.81513208449193,3.0644312235074813,10.171075660252155,12.075259249188004,24.6662568140033,100.05606174468994,115.0,1035.0,68.71914978005786,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,45,85.91516421951431,3.41994522508466,2.2697465686495297,2.527425474787579,2.913579155038257,65.52050980679813,69.45867758336071,9.15581994600966,42.05528888775911,85.9151603824958,3.41994471044033,2.2697465686495297,2.527426166621459,2.913578795491565,65.52054089871079,69.45867758336071,9.155822424771085,42.0552626216863,3.176693810734851,10.463945941807136,12.142896383546852,24.577435312587166,45.45078659057617,51.0,459.0,80.6974798907374,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,66,85.94416235133195,3.4198180183953686,3.10677436360028,2.5276167425887355,2.9140837978453056,65.40655427859657,20.53760447643877,9.1491178364138,42.260482554503135,85.94362020213364,3.419945839874488,3.10677436360028,2.5277788214434698,2.913737586289701,65.39350531443642,20.53760447643877,9.14918150085738,42.26994511045168,3.2702761974406847,10.531361027479116,12.084696743910149,24.538276800360585,69.14659929275513,79.0,711.0,324.8424904520828,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,131,86.0223036180823,3.42156047554574,2.717334679202392,2.5307559404658493,2.908622838507362,65.15526924802201,17.592881171617712,9.134414811647094,42.57262812415641,86.02228995342512,3.421558046492665,2.717334679202392,2.5307460339530885,2.9086399940109864,65.15501710770744,17.592881171617712,9.1344827066948,42.572906335719736,3.3379745121983557,10.85302625052083,12.126982006733757,24.694680801535288,129.85019969940186,141.0,1269.0,310.27441911393373,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,43,88.23043914410188,3.4711753071817446,3.672565248952706,2.3884927448413915,2.9366523594962626,66.81586022495539,36.63405034940066,6.825561684132666,45.40109020632652,88.23043906365263,3.4711753285771305,3.672565248952706,2.3884924236898235,2.9366525465067577,66.81585557256162,36.63405034940066,6.825563144229516,45.40108264465061,0.8708273462536943,10.3743979354153,21.55499257713959,17.88120734218048,50.88938164710999,57.0,513.0,14.717328359534594,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
