Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
11,63,446.8234633947712,2.800019632034791,2.463058442514086,3.23610243389479,2.622595993872576,2.9302661962242933,71.70970827867325,44.32530681784806,62.47934370752997,7.105532601778086,31.206039980186787,446.8234611920888,2.800019632034791,2.463058442514086,3.236102277644641,2.622608091415562,2.930263184268456,71.70970827867325,44.32530681784806,62.47947433167088,7.105554673397485,31.20605637407813,2.004176653358832,15.002018352906134,17.748357092211783,15.03676697104848,141.75321173667908,74.0,814.0,31.36846966870948,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,48,446.8239879155311,3.620483323231663,3.71481312111051,3.2359099860116918,2.623131836428552,2.930152578901355,40.79531198367619,26.49847528038173,62.50839305258364,7.110291207074866,31.201524152621257,446.8239876083729,3.620483323231663,3.71481312111051,3.235910678155949,2.623132454038811,2.9301520389889686,40.79531198367619,26.49847528038173,62.50843707899062,7.110242512892591,31.201513076559596,2.004387416725147,14.969925488119456,17.733836251554166,15.043986605192591,109.84220266342165,57.0,627.0,145.10588862243537,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,64,446.8241713335635,3.881350093170336,3.27469737178626,3.236041527492202,2.621815415334918,2.9306040187804645,64.38779884142546,67.23179302089446,62.46771494622247,7.106056095988624,31.20886363958037,446.824164239202,3.881350093170336,3.27469737178626,3.236040651451773,2.6218139902588997,2.93060555290082,64.38779884142546,67.23179302089446,62.46770737614972,7.106117405168539,31.208852438729128,1.9841908024789965,14.990015230877596,17.729850925504046,15.040067336081052,142.15686011314392,75.0,825.0,49.41682209787725,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,50,446.8251688300411,2.398829655611831,3.237647082422983,3.236038893286701,2.62350393663745,2.929870691246048,36.69208322507516,73.12172880842228,62.50076888234214,7.110207044321056,31.20065018408798,446.8251685423613,2.398829655611831,3.237647082422983,3.236038889227098,2.6234999539590422,2.929871134488289,36.69208322507516,73.12172880842228,62.50071522963636,7.110230710401907,31.2006268064898,2.0239775020373005,15.062171152788943,17.826567336534506,15.01655286816774,105.30060482025146,56.0,616.0,229.3557864819256,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,66,446.8256961660163,2.628341563961758,2.167477057327726,3.236180053100366,2.622009352039784,2.930427491503995,53.63344415423385,35.172992482600954,62.47838003211431,7.108024564368448,31.196987146353035,446.825692804094,2.628341563961758,2.167477057327726,3.2361804417807702,2.6220160818583365,2.9304243016368927,53.63344415423385,35.172992482600954,62.47856860969015,7.107994743576839,31.19694200295311,2.00215661703428,15.093722117068502,17.840896577775137,15.021928223920847,68.78454637527466,75.0,825.0,105.41838529176658,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,47,446.8257568138493,3.787280532170143,3.19439052655195,3.23604328227867,2.622292177387465,2.9304319684332523,54.23766314229478,47.37502364743678,62.49979914326491,7.104644080647862,31.19734245857272,446.8257432600225,3.787280532170143,3.19439052655195,3.236043045054461,2.6222732067201067,2.9304377534223383,54.23766314229478,47.37502364743678,62.49930486707892,7.10461689436084,31.197462929832152,2.000306809467387,14.961370942010015,17.744089004594215,15.041114261528268,103.41591811180116,54.0,594.0,343.4484767741362,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,42,446.8320657474293,2.708717806055967,3.217037317146703,3.2363978225488226,2.621769322565795,2.9306107398172325,63.02717270130899,40.332633497010015,62.4656323778614,7.105584210934171,31.19402133181373,446.8320443103079,2.708717806055967,3.217037317146703,3.236397778251299,2.6217702841171,2.9306111408527857,63.02717270130899,40.332633497010015,62.46573447991527,7.105587501942747,31.19400234235311,1.9865184214158744,15.082247732506822,17.831628672845667,15.01391029793266,97.51582407951356,50.0,550.0,107.19133137934097,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,63,446.834683655713,2.876935789231191,3.60819971042552,3.235908966289171,2.6246776276875106,2.929540787012546,42.10563738466343,48.60206657206039,62.55547987678367,7.113159135828396,31.189653487327654,446.8346748584476,2.876935789231191,3.60819971042552,3.235910566006557,2.624672909934465,2.929544141910197,42.10563738466343,48.60206657206039,62.55544460066718,7.113224658424268,31.18957186287502,2.045372311398759,14.966773820906084,17.711340177661157,15.084886222291583,136.20780682563782,69.0,759.0,104.27355893063329,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,40,451.1767692309583,3.757514297562569,3.5595084256749923,3.8224213988637663,2.924680654409414,2.680985138522744,46.59832203020617,65.93587132262732,30.150584787353896,6.190216863380246,36.13030151002451,451.1767658055448,3.757514297562569,3.5595084256749923,3.822424929440048,2.924689556859132,2.680979682125342,46.59832203020617,65.93587132262732,30.150680028566853,6.190223704856053,36.13025397458222,1.374070635376233,21.17022195752368,22.261875440626227,2.898702468283149,84.99711537361145,44.0,484.0,54.541255884181545,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,39,505.200286260768,3.660913297965267,2.8991855370859607,3.589462322896442,2.501852497899443,2.8943149567380217,10.44528573821237,26.142845150362632,53.215748367346585,3.021614526956152,23.805606975032365,505.20028587181537,3.660913297965267,2.8991855370859607,3.5894626820115927,2.501852992919207,2.894314961659092,10.44528573821237,26.142845150362632,53.21579809991059,3.0215979375510083,23.805581530334752,10.360103966053586,29.45676394110005,31.978151844126828,2.6418706224582142,95.9434690475464,50.0,550.0,82.07450039968026,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
