Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
10,34,8.083780976524737,3.810509039437686,3.994645700902961,1.9856094002752747,2.7067199505397905,3.8651909260743267,3.3936363229798,48.730537144186876,59.10509841916033,7.63070769354595,38.73105301177653,39.90336655199651,19.349483669025766,8.083780899146195,3.81050883783739,3.994645700902961,1.9856111034482118,2.7067197371902747,3.8651909260743267,3.3936363229798,48.73054471752455,59.10509841916033,7.6307078858118,38.73103911266698,39.90336655199651,19.349483669025766,2.0371823926764847,1.1217512037317987,0.7338515134987637,1.0600802796844775,47.86795616149902,44.0,572.0,6.796056488142819,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,37,8.083746793037848,3.8104399482696167,3.6692513437947456,1.9856018925881833,2.7067908947365527,3.977722177812989,3.496331308759678,48.73001749703043,61.303156349346764,7.630309477203745,38.731319834525266,46.80084260825835,25.276495193078787,8.083746793037848,3.8104399482696167,3.6692513437947456,1.9856018925881833,2.7067908947365527,3.977722177812989,3.496331308759678,48.73001749703043,61.303156349346764,7.630309477203745,38.731319834525266,46.80084260825835,25.276495193078787,2.037245803185913,1.1218341486740797,0.7357435531734773,1.0594582014966583,88.22856616973877,79.0,1027.0,8.551914024336087,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,34,13.234603326087237,3.776316384110145,2.0524219737554383,1.9766744085926797,2.7272898427678145,3.720055897365776,3.0776621286833055,55.50706626654874,64.73200800337439,6.394146506433867,34.766845073499674,35.501574501040075,48.93585119118862,13.234603252418484,3.776316257081393,2.0524219737554383,1.9766744675252124,2.7272897761335035,3.720055897365776,3.0776621286833055,55.50706302880345,64.73200800337439,6.394155932025586,34.76683422151276,35.501574501040075,48.93585119118862,3.818026824782173,1.977795528038806,0.33172971421827097,2.0969094225539777,48.769973039627075,43.0,559.0,8.95230482280842,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,50,8.411389029859478,3.7983931786160747,3.8959404224353618,1.9906414130118804,2.731480271963661,2.3523925111501103,2.664127148733674,56.074521591719595,62.61689498822785,3.461004169115277,39.20949684455972,35.370496298147806,45.75911945441455,8.41138868350767,3.798397370632613,3.8959404224353618,1.9906375142780075,2.731473680984455,2.3523925111501103,2.664127148733674,56.07461240578139,62.61689498822785,3.460987627255803,39.20947195083402,35.370496298147806,45.75911945441455,0.25179222056561046,1.4437922404994028,0.6621946275301218,1.3054853724498119,118.80352306365967,61.0,793.0,7.706776800781597,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,77,9.22349476874087,3.707724036605235,3.614782577419047,2.1360383352252814,2.8188960218175207,3.8550171607920674,2.695531719491013,59.44035039522693,57.18986904777936,9.222288374073223,28.938508147081045,41.2829851909568,27.21144196922449,9.223494552910891,3.7077242496871055,3.614782577419047,2.1360350436456006,2.8188973298052726,3.8550171607920674,2.695531719491013,59.440398956031615,57.18986904777936,9.222309290148923,28.93848226534885,41.2829851909568,27.21144196922449,0.10269826812835857,1.2762208262287618,0.350873952487055,1.3838769122130237,159.56074261665344,83.0,1079.0,8.034390265565326,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,44,8.083752349058063,3.810435540301804,3.7562348727818904,1.9856903445218812,2.706799904142843,2.834609604734254,3.117379656891503,48.7324646896533,22.876596790517127,7.629389828767075,38.73012170657079,25.969846235573502,39.23129154842599,8.083750901676035,3.8104212236710695,3.7562348727818904,1.985701282242068,2.706817487269798,2.834609604734254,3.117379656891503,48.73232496535293,22.876596790517127,7.629287524543464,38.73022020805191,25.969846235573502,39.23129154842599,2.035089500044257,1.1218716289706347,0.7348025091598853,1.0593711094617158,101.38751006126404,53.0,689.0,8.027694514901206,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,51,8.339170011520658,3.841523491605297,3.1377028741729625,2.2409944804221533,2.6171264802532237,3.159490438491593,2.7602823452471004,52.693880737304994,58.44673800892265,8.467373049973826,33.20102114410018,17.321719204995457,27.95294692699372,8.339169948343649,3.841523411808816,3.1377028741729625,2.240995426559115,2.6171265403217707,3.159490438491593,2.7602823452471004,52.6938937468802,58.44673800892265,8.467362139912545,33.20102339301908,17.321719204995457,27.95294692699372,1.0586391536166415,2.202844459985744,0.48415999960441747,0.675912428207701,63.19968605041504,59.0,767.0,2.081907807087663,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,60,9.223486713138218,3.707697599639799,2.037294578745886,2.135935393720912,2.8189559415060743,3.614210391237558,2.7757212881283433,59.44041330583961,58.562906777917014,9.223154306849011,28.938377720727217,17.09711913292741,19.24702095092581,9.223486629830191,3.7076978468301274,2.037294578745886,2.1359338995715107,2.8189559646120346,3.614210391237558,2.7757212881283433,59.44040743569449,58.562906777917014,9.223173550880576,28.938361939460798,17.09711913292741,19.24702095092581,0.10266213342786999,1.2758207678336375,0.35116336918795227,1.3830343673753591,128.2655065059662,66.0,858.0,3.637339017674749,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,35,10.845413659844972,3.6277995860734165,3.1473589733445717,2.0143713853691563,2.8739785529373623,2.653289803544192,3.054116204515218,58.033556432008844,33.222534400162495,7.744059968031197,32.57605944452266,15.553743499629471,47.530303181031655,10.845408228035051,3.627812167843587,3.1473589733445717,2.0143810609224353,2.873963483067458,2.653289803544192,3.054116204515218,58.03344425365026,33.222534400162495,7.7441007532505735,32.57586739091113,15.553743499629471,47.530303181031655,0.8089453717425796,3.2272989211968772,0.9618738040215891,0.8994876598153102,45.87104153633118,43.0,559.0,9.814424016342482,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,69,13.234607512642754,3.7761918792514186,2.9719813341938197,1.9765132927717652,2.727383919017257,3.8523628534129073,3.837466871267212,55.50986160277359,72.61206434864629,6.394381560416009,34.76456924465215,19.727770531635596,32.69817579869139,13.234602011068622,3.7761983511824915,2.9719813341938197,1.9765360341469917,2.727359849435374,3.8523628534129073,3.837466871267212,55.51006492730386,72.61206434864629,6.394337205020352,34.76479319381146,19.727770531635596,32.69817579869139,3.827614532887625,1.9785949016165527,0.33196815245714106,2.099137221670575,116.759681224823,104.0,1352.0,3.6911626254551915,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
