,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
1,R116,190,2,1602.56529121,0.829840090566,21.768338522209255,0.0943792423974,69850.4364296,19826.8742584,157.72807374186687,362.49110227329754,551.6499189970435
3,R116,210,1,1544.46838749,2.60323795933,20.74650652426745,0.323975038829,67744.7898834,24053.002757200004,150.32412821066666,362.49110227329754,551.6499189970435
4,R116,210,2,1540.61690953,2.35874713602,20.706706663707575,0.29427499123300005,69682.8444699,21792.6919549,150.0357481243822,362.49110227329754,551.6499189970435
6,R116,230,1,1478.5681978,6.976127071660001,19.65101702763318,0.9312479224700001,84222.68879569999,6444.6648079,142.38647840187298,362.49110227329754,551.6499189970435
7,R116,230,2,1478.9016229,7.1243054817700004,19.66246485092937,0.9497877620299999,84102.72428079999,6574.21130395,142.4694265384615,362.49110227329754,551.6499189970435
8,R116,230,3,1478.62758911,6.13893041624,19.66548448653735,0.8236167106699999,67213.60696719999,26435.956261699997,142.49130608188014,362.49110227329754,551.6499189970435
9,R116,250,1,1414.30803045,15.5443050569,18.516932549239645,2.18534128522,78757.9942298,14522.3937337,134.16917876483078,362.49110227329754,551.6499189970435
10,R116,250,2,1410.8113308266932,14.938232044422312,18.472444667083177,2.110198489880478,79333.98013854583,13910.518075996017,133.84683041701194,362.49110227329754,551.6499189970435
11,R116,250,3,1413.51728349,16.301306788500003,18.462205058626495,2.2871580113900003,78212.87574630001,15182.966308900002,133.7726367105839,362.49110227329754,551.6499189970435
12,R116,270,1,1340.99692652,29.4491680092,17.17166631272822,4.3037803017,86045.7148203,7985.85365934,124.42170759524959,362.49110227329754,551.6499189970435
13,R116,270,2,1341.7137929900002,29.862783343700006,17.17158683190775,4.33422056189,85947.5645753,8092.9694076900005,124.42113169660215,362.49110227329754,551.6499189970435
14,R116,270,3,1342.78466534,29.8636169161,17.189174154903174,4.32186248505,85895.5953091,8132.37815981,124.5485651511818,362.49110227329754,551.6499189970435
15,R125,229,1,1433.3630166,4.32256528413,22.10126688714161,0.663266351742,46635.4914428,7344.88808425,184.14653297068497,371.49744170805906,520.4943858128273
16,R125,229,2,1433.1994508999999,3.262400052920001,22.119388871300984,0.505407211234,48004.2085155,5542.27191707,184.29752434011817,371.49744170805906,520.4943858128273
17,R125,229,3,1432.73363878,3.45517781013,22.125014444125615,0.536444494305,47750.1145781,5869.95266395,184.3443963016632,371.49744170805906,520.4943858128273
18,R125,249,1,1371.76172249,7.6862379146599995,20.8654412146118,1.2692377484960002,49433.6603179,5805.0687129299995,173.8497018381253,371.49744170805906,520.4943858128273
19,R125,249,2,1371.6402868199998,8.38200503957,20.841768892307066,1.37974328331,34058.10388149999,25927.535399799996,173.6524653583325,371.49744170805906,520.4943858128273
20,R125,249,3,1371.71623461,9.04644403026,20.813387588033613,1.482640753914,48632.17397689999,6835.254087799999,173.41599390129656,371.49744170805906,520.4943858128273
21,R125,269,1,1305.9283969299997,17.7505218768,19.438727919856575,3.0351955080699997,50442.057468299994,6673.916914560001,161.96240559787182,371.49744170805906,520.4943858128273
22,R125,269,2,1309.28131241,18.1938119021,19.45013761531398,3.10756115905,50307.534600299994,6812.699553209999,162.05747054919166,371.49744170805906,520.4943858128273
23,R125,269,3,1308.4812522,18.377709518600003,19.43808570340289,3.13313124357,50235.650944199995,6907.11978715,161.95705468590978,371.49744170805906,520.4943858128273
24,R125,289,1,1234.8894745,34.2360210378,17.79569044180921,5.9298728795,52014.23003410001,6836.28058531,148.27270823037168,371.49744170805906,520.4943858128273
25,R125,289,2,1234.3809689099999,32.15403515940001,17.856236512125463,5.630493598189999,52304.0106426,6485.171361570001,148.77717473858908,371.49744170805906,520.4943858128273
26,R125,289,3,1236.0217247600003,32.928813925,17.878135072315,5.789820968969999,52189.391177499994,6612.71537042,148.9596323305699,371.49744170805906,520.4943858128273
27,R125,309,1,1157.41533285,60.76562335420001,15.968056867614557,10.444326118752,54039.35953429999,6525.430081380001,133.0449664023876,371.49744170805906,520.4943858128273
28,R125,309,2,1153.98620371,58.14839246830001,15.993313998458406,10.122110703550002,54327.26623210001,6200.939632789999,133.2554074192502,371.49744170805906,520.4943858128273
29,R125,309,3,1156.33484723,59.396341818100005,15.971952426259298,10.254777261280001,54184.2924788,6349.014692739999,133.07742398149725,371.49744170805906,520.4943858128273
30,R134,240,1,1389.95671373,2.21318945497,28.093227041129268,0.421205411221,28347.751255299998,6281.816127689999,275.3403825814461,414.2541920447268,479.78268750535324
33,R134,260,1,1339.1586205,3.3228489406499997,26.773102633536077,0.6837971424370001,31452.926384899998,4113.75410389,262.40190602588115,414.2541920447268,479.78268750535324
34,R134,260,2,1338.16979583,3.1614604893199996,26.784686708816025,0.653186893698,31576.439330799996,3914.0906730700003,262.51544099695315,414.2541920447268,479.78268750535324
35,R134,260,3,1338.13157166,2.9566758650400002,,0.6326214566327399,33975.0299979,48.806027462500005,,414.2541920447268,479.78268750535324
36,R134,280,1,1286.48311616,7.41920284331,25.29734645912494,1.608815094861,32939.9255074,4519.05799725,247.93808992300316,414.2541920447268,479.78268750535324
37,R134,280,2,1285.8617808,7.210953269329999,25.309828983766543,1.5720127515389999,33007.0462964,4389.053173050001,248.06043055355332,414.2541920447268,479.78268750535324
38,R134,280,3,1286.0275367800002,7.19766763662,,1.65556800262135,35757.2597827,117.9273688408,,414.2541920447268,479.78268750535324
