,molecule,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc
0,R116,10727.727243585743,6.581380642305759,82.25412043639109,5532.0261858131735,83.0140557497996,59.9763749737993,57.657670109868995,79.71687392242823,6.320961433103345,2244.959108707841,54.73925800806302,46.91376761954921,4824.8447290215045,23.704433768998932,69.46110227329757,3803.1988909112188,10.055123100984236,61.67008100295652
1,R125,2021.7285175435893,2.92898595744769,39.762593591999966,1264.163089042657,53.358039671218016,27.483193253868663,19.9819289548142,48.95131160241623,3.609964714404467,798.6524563619661,22.43572009578771,27.79805724305731,1030.2457642022505,9.45711305482,32.09744170805908,2642.537169960447,8.9885669150503,51.40561418717266
2,R134,,,,,,,,,,,,,,,,,,
3,R134a,3946.5502742138697,4.823284736909447,61.5984434419333,61.54990545504747,24.71958527360614,6.0395563927580005,1.6863344885290645,22.263421083015462,1.031640806393733,184.69406336099118,7.285935065620386,13.50463837930768,217.9011938967128,3.944703958779909,14.761476684150296,1512.602689470863,7.597615387515557,38.89219316869213
4,R14,5567.529273988863,4.4739323687869375,64.87593519266665,3393.249282034062,57.78931319145932,39.498425561464,46.306633563878044,54.735337888262606,4.810424447123256,1150.8413135911335,32.174435245296436,33.153438101732185,1324.3755962028677,15.995767917866546,36.39197158993818,8003.871950645771,14.299161066275733,89.46436134375392
5,R143,9471.281378921658,9.464276510267808,97.19700950293333,71.7211358995067,7.263847714493406,5.259656306740001,2.1856219876315737,4.677271118543338,0.9625898736789529,,,,95.33033362302504,2.271690413388568,9.763725396744064,1156.458382171438,7.25090410366399,34.00674024618411
6,R143a,376.21288217075374,1.768991643282671,16.867353189133322,379.01287737204854,32.937942977642756,15.145387798985336,8.277154425629341,27.593216621216193,2.4243498671251342,907.8703967809143,18.097410875479607,29.924824028307974,287.23705023786664,4.899985318197811,16.94806921858259,287.07242504417053,3.931139621543426,16.943211768852166
7,R152,,,,,,,,,,,,,,,,,,
8,R152a,2078.360571359775,5.182225819343446,45.51792348553335,19.47489653751233,7.851165609949735,2.839361118280666,0.964838722086354,6.430003001717203,0.6766406331062664,28.757926285683173,1.6741268817115285,4.624079964521806,38.5439430696658,1.6066812056161826,6.208376846621491,131.74729223625886,3.1190549811417836,11.478122330601764
9,R161,6149.850859489268,10.177936354362643,76.85532129359999,267.8454939304878,139.9171562161086,12.710029751356668,31.19729449962432,124.76244794299205,4.4397137442698,3529.3811147078504,15.355092407718935,57.978951062373774,1395.4728309471175,9.954970830191199,37.35602804029247,140.71546782596087,3.9279321426521663,11.862355070809542
10,R170,2384.9052091422395,10.103565273696159,47.824350735555555,328.8362948299885,110.06609212861133,15.892330920377779,58.94369325254114,91.39832731828031,6.931570019193335,4948.15753824823,16.92631867749128,68.22969434091442,991.5254409696072,10.313209320879034,31.488496962694285,2.3233045644832657,0.7392758810747764,1.524239011599974
11,R23,8428.992875329224,7.078388222023785,90.51072761786675,83.63454961156602,16.055536551514884,6.704976216331333,2.1253972791635625,13.662774787897233,1.145680195383733,97.94517006504331,5.256924963461844,9.802147769553141,21.34886487252475,1.5438147569397644,4.620483186045021,1706.3880293462937,7.845859421475963,41.30844985407094
12,R32,42081.60533143638,19.490434289450928,202.42934068975003,2085.615091104734,136.43129318101649,36.48227328798334,93.46646453883352,98.20196435322048,8.384582778561667,7045.047509730072,27.02182362008813,81.81413208586982,1374.4029226066205,10.551569822498056,37.07294057134692,1308.9383260839836,8.418556739666636,36.179252702121744
13,R41,20600.671713431882,17.61144502229848,142.16429664742856,747.7182641959464,249.36804361426198,23.392104767995715,88.97321539142021,194.56046356854134,8.472632762788573,14904.179691758522,27.74508842343225,120.68418756927544,2347.1266987932527,15.269526497323685,48.44715367070859,376.18374124873196,6.127912772640111,19.395456716683213
14,R50,392.7019924202605,4.4028858865486065,14.924825848923092,291.9753467869786,78.90458294777065,13.79197614458077,55.99913393894779,64.39064647225608,6.528074078676924,3525.3014401450905,13.632494604451947,53.03123479335992,276.6541863999778,8.728261775500448,16.632924769864672,32.27373590795828,3.4925598128500477,5.680997791581888
