Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
7,111,96.56270721171956,2.0397602676795907,3.5941269461493968,2.056612976041589,2.4924221352060916,3.7156905751336495,2.1455048858401824,3.1056439573715315,3.684061784719211,3.1641671025984426,2.558367358022279,48.074352644788725,35.75484133013785,46.46696425162116,11.212073809241298,62.296843134722394,7.082611798431685,43.24868184665728,28.575122542246014,19.60861520243746,41.149257495801464,96.56267169769717,2.0397602676795907,3.594131712583964,2.056612976041589,2.4924221352060916,3.715693152706037,2.1455121373215977,3.1056439573715315,3.684061784719211,3.1641650276301125,2.558367358022279,48.074352644788725,35.754809132688706,46.46696425162116,11.212073809241298,62.29686761066094,7.082642921606568,43.24868184665728,28.575122542246014,19.608501134178212,41.149257495801464,0.12209295242448219,1.0919606666553214,7.524683012877784,16.09186052683414,230.5914499759674,121.0,2541.0,1843.9496225242028,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,104,123.55020540099048,2.2046688576556512,3.8758391347600103,3.38880031545549,2.8283585390538053,3.554917538682038,2.1619014367606075,3.327589290439578,3.029778224116617,2.9805435931779085,3.173110081003986,68.72112449371245,27.45608461087761,19.052962571299307,62.48043376611905,41.453497751330005,7.355285923047653,47.462800313861194,27.17180509109273,34.73923241006371,40.4099294872658,123.55020334575913,2.2046688576556512,3.875839247578829,3.38880031545549,2.8283585390538053,3.554917399192922,2.1619021566105365,3.327589290439578,3.029778224116617,2.980543419669898,3.173110081003986,68.72112449371245,27.456081926414814,19.052962571299307,62.48043376611905,41.4534937187283,7.355286567167293,47.462800313861194,27.17180509109273,34.73923634481307,40.4099294872658,0.9283467952010209,0.7823362076945878,11.816948786741701,21.671700573948712,240.132164478302,123.0,2583.0,288.53503863575804,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,91,116.33142935564354,2.8316974365350545,3.5007773789473866,2.4673322784784997,2.203934518851595,3.441265350026739,2.3218726472823192,2.305343288186326,3.2436124634808303,3.1411734042798334,3.3082746939414887,19.395460108102892,49.37349369267664,24.43319408699498,43.75786858379216,52.32150748847317,7.981597768760709,26.35268609041653,45.5522831740039,25.134399161448904,33.845420740809026,116.33142387632391,2.8316974365350545,3.500780781731105,2.4673322784784997,2.203934518851595,3.4412651494758615,2.3218730259082427,2.305343288186326,3.2436124634808303,3.1411731097570597,3.3082746939414887,19.395460108102892,49.3734665635579,24.43319408699498,43.75786858379216,52.32148464101446,7.98154819177255,26.35268609041653,45.5522831740039,25.134423954572835,33.845420740809026,1.1849825494367423,1.3697341199847288,7.544548719060733,23.29171301703938,179.95684123039246,96.0,2016.0,302.53159250377473,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,108,100.70490877582313,3.50004352740532,3.5940409571659373,3.51016437693536,3.3961144968946053,3.756589749595571,2.1346831234472567,3.3415775815751743,2.9017478728266983,3.16114368289249,2.821622699844371,36.09617292552015,33.999714300898276,50.424758914819606,37.96607260338219,60.12533544213639,6.200081801040119,21.94994609494888,29.93453532718115,20.707311108981237,42.91735813854984,100.70490666647217,3.50004352740532,3.5940409616232056,3.51016437693536,3.3961144968946053,3.7565897660739007,2.1346839559711066,3.3415775815751743,2.9017478728266983,3.16114362100782,2.821622699844371,36.09617292552015,33.999710708167,50.424758914819606,37.96607260338219,60.12533439613122,6.200085236125513,21.94994609494888,29.93453532718115,20.707309870611287,42.91735813854984,0.31980259484280726,1.2040183810761869,8.482784930738266,14.740928137571773,230.33846616744995,118.0,2478.0,1212.8552802202682,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,117,102.97878569270816,3.2594350140431283,3.5096748567941063,3.5055111074776275,2.13307296270823,3.7274914644674184,2.068500602272379,2.3868685652466555,3.2789217617598796,3.2046600558361353,3.8496159407987007,27.11429008166222,41.77717129996227,57.77928761376353,60.19157192031105,57.483293522107076,7.848985637901532,15.488305054145895,23.20267301424972,19.090478805986905,48.21557122406658,102.9787054818253,3.2594350140431283,3.509694121864712,3.5055111074776275,2.13307296270823,3.7274843393953088,2.068498071363591,2.3868685652466555,3.2789217617598796,3.2046586434319386,3.8496159407987007,27.11429008166222,41.77726641730846,57.77928761376353,60.19157192031105,57.48340735357231,7.849001398152892,15.488305054145895,23.20267301424972,19.090472495659583,48.21557122406658,0.12863716959070223,0.5429164708246151,6.927009023955239,15.955465299262809,261.71011185646057,137.0,2877.0,1448.967901234568,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,99,122.85847115803983,3.759996577126863,3.53251557578852,3.325439624750524,2.5404165240595153,3.3826252817565026,2.7285606654763495,3.055429292617493,3.6043221680091957,2.9739824645575377,3.466285050575022,43.73575578516363,57.341252567279845,46.975769395806516,40.27114210847876,44.73806426889671,8.73455810426494,28.227346276483498,17.786912719438835,26.093771578174582,21.356449796576733,122.85841615969312,3.759996577126863,3.5325050004739635,3.325439624750524,2.5404165240595153,3.3826291810205222,2.7285680456447854,3.055429292617493,3.6043221680091957,2.973979114006368,3.466285050575022,43.73575578516363,57.341303205432745,46.975769395806516,40.27114210847876,44.73805640343136,8.734586575162046,28.227346276483498,17.786912719438835,26.09381719866982,21.356449796576733,3.9496692044899255,3.3134939294729095,3.973463635808877,30.946920670674352,229.15875816345215,120.0,2520.0,382.49114465249255,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,107,121.30698560839228,3.7666121824116194,3.510194682077821,3.5018848680546744,2.697796683955685,3.376773416363423,2.754511775598024,2.8561823797425894,3.9296800942967707,2.9628632269303985,3.2433914404182436,17.45848824196939,59.84586881844704,39.24428867619614,47.595324935163575,43.558770251769204,8.541125602867437,46.61828321967889,35.07878203353001,26.635264834862006,36.60007197672534,121.30690784709361,3.7666121824116194,3.510199762816989,3.5018848680546744,2.697796683955685,3.3767780482342036,2.7545159961446797,2.8561823797425894,3.9296800942967707,2.962859737697197,3.2433914404182436,17.45848824196939,59.84581783549183,39.24428867619614,47.595324935163575,43.55888315334439,8.541120694784803,46.61828321967889,35.07878203353001,26.63518622901966,36.60007197672534,4.011019623747667,4.356435564063431,4.441014024570603,31.57992517911458,286.2452585697174,149.0,3129.0,206.81438848920862,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
20,105,163.82671266994134,2.8838085614968465,3.6539239035975353,3.97950341532741,2.4078124504662437,3.2175501529427564,2.7986083564466906,3.500344826595985,2.9139506548713854,2.930492007976987,3.017032481220479,23.77741070183894,58.902635658152576,29.3265397979727,11.794390777042738,53.06034068261342,4.26111752972277,28.3355643421775,41.24504087541502,31.3954515083295,33.9333131736766,163.82671190144185,2.8838085614968465,3.653924669560849,3.97950341532741,2.4078124504662437,3.217551385013491,2.798608513426556,3.500344826595985,2.9139506548713854,2.930491015687075,3.017032481220479,23.77741070183894,58.90266068724308,29.3265397979727,11.794390777042738,53.060344298658,4.261078917060292,28.3355643421775,41.24504087541502,31.39546076830031,33.9333131736766,3.609632419229437,8.75567248530657,10.598697721111325,21.689110834364016,248.31479716300964,129.0,2709.0,1462.607762678746,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,150,98.85428628774457,2.6304896061907455,3.2795979079742366,3.1557144305690707,2.36802040325493,3.6694097195890487,1.6897033086669568,2.1078185441475057,2.840387360002264,3.299884370529565,3.837203555955051,10.026131617938235,60.583944834120665,34.477720458475346,73.29592999329098,46.93145904891754,7.682934413756687,35.114902664783585,36.98266694075727,21.38062151243775,35.539166922962906,98.85425465160142,2.6304896061907455,3.2795977685584665,3.1557144305690707,2.36802040325493,3.669408428839735,1.689702544816896,2.1078185441475057,2.840387360002264,3.299884566178078,3.837203555955051,10.026131617938235,60.58391291352582,34.477720458475346,73.29592999329098,46.93146406584431,7.682878888175177,35.114902664783585,36.98266694075727,21.38068523689849,35.539166922962906,0.13727176541164104,0.5063222259692425,9.096520883736561,14.845850560233377,327.11178755760193,166.0,3486.0,2067.857678301803,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,132,106.67362506504799,3.1124804679808378,3.4315363457783676,2.119835379024423,2.2426869114814747,3.5129139306510977,2.045820161349226,2.451418677215709,3.425977960765353,3.22238001590546,2.0251119603182315,14.678328179816642,56.2193284297255,46.92653002479624,23.214060252964387,54.49120608124499,7.834259652231613,21.84003183882616,35.34756245456402,21.589518022518057,44.63900805215124,106.67361203860725,3.1124804679808378,3.431541316775408,2.119835379024423,2.2426869114814747,3.512911972306078,2.04582034720367,2.451418677215709,3.425977960765353,3.222379358800442,2.0251119603182315,14.678328179816642,56.219348732693824,46.92653002479624,23.214060252964387,54.49116877689362,7.8341900038603836,21.84003183882616,35.34756245456402,21.58957674183801,44.63900805215124,0.05614447095230039,1.1600566603446472,8.756285125432903,21.355089986389522,509.47177743911743,152.0,3192.0,520.4520472510881,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
