Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,R32-sim_liq_density-wt,R32-sim_vap_density-wt,R32-sim_Pvap-wt,R32-sim_Hvap-wt,R50-sim_liq_density-wt,R50-sim_vap_density-wt,R50-sim_Pvap-wt,R50-sim_Hvap-wt,R170-sim_liq_density-wt,R170-sim_vap_density-wt,R170-sim_Pvap-wt,R170-sim_Hvap-wt,R125-sim_liq_density-wt,R125-sim_vap_density-wt,R125-sim_Pvap-wt,R125-sim_Hvap-wt,R134a-sim_liq_density-wt,R134a-sim_vap_density-wt,R134a-sim_Pvap-wt,R134a-sim_Hvap-wt,R143a-sim_liq_density-wt,R143a-sim_vap_density-wt,R143a-sim_Pvap-wt,R143a-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
89,151,24073.251267364965,3.4692302341627803,3.5754665912609775,3.410347449025995,2.591954875596627,2.762872271728582,2.928817583175009,2.929300289751813,45.85469693602315,46.76895702792836,46.997233518646645,10.000000000000002,42.292191275867275,31.972859747949684,26.230563878199813,24073.251267364965,3.4692302341627803,3.5754665912609775,3.410347449025995,2.591954875596627,2.762872271728582,2.928817583175009,2.929300289751813,45.85469693602315,46.76895702792836,46.997233518646645,10.000000000000002,42.292191275867275,31.972859747949684,26.230563878199813,1.2127262394532272,179.23648116325052,309.08188916794273,5.874154656998172,12.145253013770326,621.8394062344998,568.4687612082986,12.069142282417943,4.833815052312278,2196.6147899253074,1666.8171662777465,45.888822230939695,15.407972166062452,35.47655296953011,24.12103930715991,22.006701423543763,1.2587359756325456,4.584492489995839,44.254660319617756,18.063225246760602,0.8322507254093221,196.4111260012327,163.83893005862478,1.2410208991410703,8.082409987023597,268.6962797809109,48.73378131192006,70.97065721169568,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1721.1303205490112,160.0,2400.0,959221.8512820093,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
53,170,24076.98104872066,3.468928182950001,3.600625956013908,3.403056113076514,2.593760460607238,2.763041605863849,2.933460247592214,2.929211418925842,45.873892270514276,45.730630654693186,47.56426210925588,10.000000000000002,42.18218344822221,31.816944443237695,26.222669078395615,24074.513916800013,3.469972788664959,3.601273175037762,3.4025245547990517,2.593686079181211,2.763232761859928,2.9335208117390916,2.9292172287050033,45.86172858829126,45.7423396560824,47.53815408230757,10.000000000000002,42.17809369477706,31.841580897871022,26.214343641573414,1.1951772829915726,166.69845172903516,311.6876927224447,5.675288714517073,13.262892850796284,649.1660857858377,604.2890292034992,13.286825877883611,4.720368354526051,2171.319047752577,1647.5784753208766,45.478834619493426,23.713948973441294,50.70197891227806,24.50517022839796,16.097737372807142,1.0540227916241667,4.368806999392306,48.52562132902887,17.0004922222645,0.9169666238335089,193.09824591552203,153.12743440993924,1.2439650607505335,6.6542887050887884,259.49623287569904,46.60018309028717,69.3776298906632,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1603.5174906253815,186.0,2790.0,977971.9587246812,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
88,188,24075.726470273017,3.4701762614085934,3.61619585737472,3.4201937250493493,2.5934022223827604,2.7591010619458975,2.9175862945371716,2.9292298081203687,45.83962172920259,45.21535769417228,46.52753377058441,10.000000000000002,42.22296322932075,31.673368840376824,26.221065181333252,24075.726447609508,3.4701763453483454,3.6161958616127707,3.420194624190571,2.59340342805403,2.7591024636121513,2.9175843691436985,2.9292298666479684,45.83966004609711,45.21538284173644,46.5274995371273,10.000000000000002,42.22293902701022,31.673497865445544,26.221068890518257,1.2242337748897745,183.60461293048786,311.08293975308646,5.926714416667837,11.730318892105263,635.0857517358218,583.9406097464723,12.514864358509708,4.695550224860624,2165.2948987339305,1643.80405801621,45.35341843467648,26.905241135435965,39.262580007118544,17.747570175966743,16.230564255280125,1.6105509608769308,6.206766229021776,45.074728329958646,17.206354882173812,0.8020268473289601,189.58345931937262,157.9767807103169,1.0036065469492537,5.927480846142554,262.9601465442179,50.41071131504138,70.62868604544613,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,2113.0356090068817,197.0,2955.0,965404.7421302877,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
80,231,24081.233372282823,3.466129887220377,3.6319403174649185,3.3940774116367427,2.5864808377281676,2.767368266607189,2.936268463425005,2.9295018664828403,45.98935871171517,44.63712100733452,47.875684563378016,10.000000000000002,42.31858199128378,32.12903464795226,26.24367619985406,24081.233372282823,3.466129887220377,3.6319403174649185,3.3940774116367427,2.5864808377281676,2.767368266607189,2.936268463425005,2.9295018664828403,45.98935871171517,44.63712100733452,47.875684563378016,10.000000000000002,42.31858199128378,32.12903464795226,26.24367619985406,1.237668134838977,188.07914409242355,302.1148365414234,5.950072743933828,11.458870869468956,576.492923147103,535.0053778584746,10.850112730151086,5.545826556700903,2212.0214080440314,1677.7246577298483,43.91588052769815,28.438510401983685,35.363903769281336,16.7445055752082,14.899168566872937,1.0719994281038199,4.172188861964437,47.78069240109661,17.453986881988378,0.9754689866567978,202.13801415565777,163.89981032236534,1.6090648743976739,5.44905212152619,238.4994090369543,40.12651868932758,65.0919287060812,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,2085.2317078113556,243.0,3645.0,971716.9631324057,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
96,187,24082.108623708355,3.4754472216757746,3.615556406966547,3.4002783690182907,2.5925425748262154,2.7602410964579245,2.9298772968456883,2.928771388930436,45.61542525603935,45.24005439460064,47.67649283886267,10.000000000000002,42.27060788448695,31.835346619736118,26.205903330607537,24082.108623708355,3.4754472216757746,3.615556406966547,3.4002783690182907,2.5925425748262154,2.7602410964579245,2.9298772968456883,2.928771388930436,45.61542525603935,45.24005439460064,47.67649283886267,10.000000000000002,42.27060788448695,31.835346619736118,26.205903330607537,1.2416487151505566,189.3616156692663,320.2054888556649,6.017975104996983,12.548113569510166,670.0501733628344,582.4383704209322,13.69893502662952,4.623047765159251,2224.225368957694,1690.099626669632,48.49227652892161,26.207737667629534,38.23628331957203,17.66597198742469,16.500413346944985,1.1920916398964283,4.819189645695048,50.85855881171216,16.23451402132137,0.992028514828757,196.94457494979048,156.84586536977108,1.397983685880539,6.06627739257694,253.07397350728718,44.75516007239512,68.04263204104451,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1693.5316154956818,198.0,2970.0,968347.7216309899,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,272,24082.93107622813,3.4686520124499176,3.6458665109405697,3.395653521046608,2.5851850867878063,2.7617626964538173,2.9327831820958212,2.9293766829341723,45.86956562751433,44.1423953833389,47.82671967836768,10.000000000000002,42.277204370623224,31.916456678563996,26.24262774666244,24082.909933703784,3.468679585677375,3.646006731086338,3.3954255683314987,2.585037418628659,2.7619477324074686,2.933289193240431,2.9293744256648875,45.871469711487705,44.13625309883635,47.84119278344996,10.000000000000002,42.27309789311676,31.92457074252838,26.240696798085658,1.2435475213999159,194.26271100135097,304.8193306471857,6.072472465082449,10.11029290199139,594.6266463503995,541.543396232403,11.267823094130836,5.495173697189549,2262.0321408271006,1716.2231846331342,45.88309468299273,32.83945085448363,35.547562521198294,16.47819377812818,13.037691434605389,1.0801008500371256,4.95694422072642,52.81329678247394,15.8305827105167,1.0868798458303686,199.98334562491743,158.92444933789193,1.5374856067326408,5.004502809919535,241.41896939168302,41.439663440600775,65.44989702686055,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,2429.740959405899,285.0,4275.0,993454.0332420222,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
35,162,24084.943842687044,3.4649051154868844,3.6362834452324764,3.4046582963588308,2.588031535028301,2.7649454965180382,2.9309986187167087,2.929595733182058,46.03507800540656,44.46719280382101,47.41801868375693,10.000000000000002,42.16385059219526,31.653968150517038,26.254140534620596,24084.943842687044,3.4649051154868844,3.6362834452324764,3.4046582963588308,2.588031535028301,2.7649454965180382,2.9309986187167087,2.929595733182058,46.03507800540656,44.46719280382101,47.41801868375693,10.000000000000002,42.16385059219526,31.653968150517038,26.254140534620596,1.259291537799929,197.73052722787497,298.0406554567069,6.063275445096445,11.78491600078687,602.7973337611154,578.1117995953299,11.905360973202539,5.4492126941802965,2194.103649800827,1663.6089372198003,43.546733643934516,31.156071038482782,39.15562577511327,17.724868437791763,13.66837618851564,0.9957964604408476,6.641174209809707,54.243247411939784,15.272020714386237,0.9534989033000733,191.42228913509308,151.03292269584142,1.1866423729636066,5.515471591663762,265.6851772289939,49.59638300942923,69.8973654912833,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1944.7663102149963,178.0,2670.0,977286.7817577579,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
83,149,24085.287315615464,3.4642033340853526,3.584529884032216,3.405901437978849,2.593081349587037,2.7544960141806216,2.943995577357885,2.9296796393595588,46.05276197842902,46.42659400326558,47.12451178535272,10.000000000000002,42.195586199838246,32.41848926562717,26.256021510046924,24085.28172965235,3.4642122405236373,3.5845385578849016,3.4058940190806175,2.59308125643999,2.7544899825974274,2.944006557090483,2.9296835829797945,46.05250319325478,46.42664940964492,47.12510099663012,10.000000000000002,42.19583492074386,32.41863258981567,26.25594405323902,1.2297167199046115,186.5870918980005,297.9945895004911,5.934059081329802,9.621279287007523,595.5064507086894,578.7407424031923,10.855677329293423,4.969387173424153,2158.1997380262046,1635.8653162140545,43.82638492567597,17.782430534381255,35.15415715665,21.401333006145357,21.0084604355491,0.866846143321823,5.411965286802964,40.11886359989532,20.615240412919484,0.8858018540599977,208.3620836132051,176.90192265401149,1.531392656791668,7.118257685897498,248.60827925257988,43.510844216619155,68.0056715367028,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1698.8319182395935,156.0,2340.0,966084.6804074352,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
46,148,24085.77352408383,3.4744535479436767,3.559082858006674,3.415051468941825,2.596549284584792,2.755288972265833,2.9320829470754606,2.92882103924215,45.666774508139056,47.44829631210903,46.73508523079892,10.000000000000002,42.399581193574335,32.07302761891432,26.205055639937292,24085.77352408383,3.4744535479436767,3.559082858006674,3.415051468941825,2.596549284584792,2.755288972265833,2.9320829470754606,2.92882103924215,45.666774508139056,47.44829631210903,46.73508523079892,10.000000000000002,42.399581193574335,32.07302761891432,26.205055639937292,1.2414074167626503,187.5987830215671,319.1666385150452,5.977481396794107,11.043399268835227,636.5049538983537,555.2350090338266,11.825392740264546,4.490660298951961,2169.6411052171798,1648.1147772101158,47.52252826704494,13.81320844864521,37.23732507712696,26.95910653251035,23.532288302024437,1.1190467526563368,4.915371218290506,42.318516186044114,18.77001857109895,0.8221014202241548,197.15085105812784,167.12930909527944,1.2283917858242788,8.40490758197684,262.67216563860035,47.48061116043267,70.699353811946,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1344.9721930027008,157.0,2355.0,971631.070447957,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,258,24086.672990188352,3.4643170294723613,3.6490324792072384,3.4070871104823794,2.5842783917171577,2.761174635088407,2.932545688776533,2.929642133627462,46.07317069368031,44.02358564188588,47.12767665607552,10.000000000000002,42.148773073745765,31.995671152741817,26.25107040968694,24086.672990188352,3.4643170294723613,3.6490324792072384,3.4070871104823794,2.5842783917171577,2.761174635088407,2.932545688776533,2.929642133627462,46.07317069368031,44.02358564188588,47.12767665607552,10.000000000000002,42.148773073745765,31.995671152741817,26.25107040968694,1.255745942871651,195.84862048200256,297.80976763704365,6.030727990676205,9.612559466028982,575.2651373812424,554.6210080300875,10.919468117904287,6.0073663591313835,2207.140369712073,1673.5056898374717,42.60799942099169,33.74688573608499,36.4884282981528,17.077048679258333,12.46943829805561,1.1426019293964642,4.609658421017448,45.62375587207653,17.75529771750394,0.9720093724902024,199.72257723568708,163.8856793346798,1.3396631175146196,4.826995894405888,242.0902075250745,43.06547687386055,65.91179389817543,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.0014706550409715555,9.405200284072162,406.1876144414228,0.15758034345416144,0.001593014024852889,42.339879627589355,1161.127055392753,0.07191582838229774,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,2797.611573457718,327.0,4905.0,966224.9608780977,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
