Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_H2_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_H2_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_H2_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_F_cum,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
13,92,67.703088371927,3.64651623488349,3.335047536875473,2.677675636342319,1.558167652393078,2.132568835028473,56.64584907794517,24.39053466693581,8.677450141133473,7.989737962162197,41.391525150059934,67.70307457817947,3.646522343764476,3.335047536875473,2.677673632110672,1.558167652393078,2.1325298760347766,56.64590825562555,24.39053466693581,8.677403640035251,7.989737962162197,41.391558554672685,5.791240222557693,19.36554488296523,11.329978164066745,9.31620031348856,116.28056240081789,109.0,1199.0,88.35271338484768,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,45,67.70367111759978,3.646464373168949,2.647988681463564,2.677645406266904,1.512154902070553,2.132448315063201,56.62632977708844,50.31217592985948,8.680799848657367,6.501357106090908,41.40959718186436,67.70366692935548,3.646464358251496,2.647988681463564,2.6776429977821063,1.512154902070553,2.132458696790525,56.62657534854248,50.31217592985948,8.680745411935051,6.501357106090908,41.40946059610552,5.788879364336542,19.45467889351858,11.377100942173143,9.318791561625856,58.38218188285828,57.0,627.0,83.42879474198419,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,82,67.70479899739287,3.6464645948689607,2.619538600902484,2.677251283495281,2.8662037775528235,2.134636153703848,56.67092313136838,46.97817230477421,8.673145888734652,12.581047203873224,41.36899876823212,67.70478706132184,3.646470318883941,2.619538600902484,2.6772415155687845,2.8662037775528235,2.134646027175386,56.6708909913925,46.97817230477421,8.673074034370082,12.581047203873224,41.36907501350496,5.786844450342052,19.43730715148362,11.330940550590324,9.315280873436482,113.93040108680724,107.0,1177.0,128.1677058586056,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,43,67.70556107008764,3.6467317969142976,3.147151972490239,2.6774132637220966,1.7210396391249922,2.1331053514881773,56.63789810604926,68.95908932706608,8.676785348993917,14.25914987503767,41.40668987565922,67.70551998926315,3.6467313763708247,3.147151972490239,2.6774122336416366,1.7210396391249922,2.133103003053198,56.63778421794093,68.95908932706608,8.676831851959701,14.25914987503767,41.40631721038539,5.792699233912373,19.48630198705198,11.363870119205265,9.310104702532891,52.30342173576355,50.0,550.0,203.89420019539924,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,85,67.70675046803339,3.6465731127134138,3.5604721255906293,2.6771553012588853,2.218054946873076,2.1344958478869573,56.69111882135775,30.007835798797768,8.673454878237536,2.593945715113335,41.30422412710972,67.7067465931913,3.646559177604432,3.5604721255906293,2.6771435619454675,2.218054946873076,2.134512251372967,56.69104094976275,30.007835798797768,8.673410317510937,2.593945715113335,41.30409892199181,5.772732894785424,19.40568448239452,11.354011899558916,9.319941431115158,115.13324975967409,109.0,1199.0,98.66028547443788,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,63,67.71082059745444,3.646535924250312,3.985194227728894,2.676776330852958,2.172264959637708,2.1360175994049744,56.71904568759648,54.51263964662376,8.668780097789828,10.837758055321292,41.27129108767616,67.71080934863856,3.646537494054789,3.985194227728894,2.676776022692077,2.172264959637708,2.136017729083916,56.71909022945309,54.51263964662376,8.668774061615823,10.837758055321292,41.271316134679225,5.761695978351506,19.436629639534384,11.356360305514006,9.316530952811608,113.73820519447328,105.0,1155.0,38.71619149125144,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
2,87,67.7211441968006,3.646590802942502,2.581005189985423,2.676200884959052,2.183915266842037,2.1385360066856616,56.763692997577024,47.62653030483375,8.661753971348592,13.92953804724707,41.22245355186107,67.72110793009821,3.6465821208039815,2.581005189985423,2.676208600239682,2.183915266842037,2.138541412921904,56.76409779431877,47.62653030483375,8.661725511586695,13.92953804724707,41.22240753246439,5.745751609473038,19.48492777070114,11.367031646403268,9.322906757472024,109.81999397277832,102.0,1122.0,120.12095103374952,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,52,76.48907793251131,3.350448443103225,2.606400425929225,2.444309820952216,2.6711301823702023,3.0485331558543107,73.41428762173003,62.47814534045574,9.453904008485337,12.476998373088485,36.1439666398953,76.48906942027403,3.3504462126569123,2.606400425929225,2.444301322143991,2.6711301823702023,3.04854607846976,73.41431389490893,62.47814534045574,9.453877396384597,12.476998373088485,36.14419216262129,0.4492181821133014,8.297770668163942,10.364726565195308,28.57711486333213,68.02703356742859,64.0,704.0,59.81818043040296,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,55,76.4890909637419,3.350453186090049,2.4844363110756023,2.4443484323369407,1.574227666545677,3.0485056821940235,73.41177522132446,41.10799979925223,9.453735410787049,5.219543433595368,36.14651504150898,76.4890909637419,3.350453186090049,2.4844363110756023,2.4443484323369407,1.574227666545677,3.0485056821940235,73.41177522132446,41.10799979925223,9.453735410787049,5.219543433595368,36.14651504150898,0.4509381965208737,8.295901540016535,10.366690376739918,28.564990238696765,108.69529962539671,101.0,1111.0,32.7743494093614,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,59,76.4893127201617,3.3505057499327866,2.390007663696887,2.444488226411752,2.743873041502973,3.0482952181408907,73.41132286195503,74.66870870400273,9.452309347899607,7.835821879707086,36.14871092729362,76.48931034136703,3.3505042975128605,2.390007663696887,2.4444847543067447,2.743873041502973,3.0482991275601194,73.4111379242725,74.66870870400273,9.452338942663186,7.835821879707086,36.14887722021573,0.4496855189191755,8.279933919413779,10.350586366915522,28.5855326024982,70.14621782302856,67.0,737.0,41.19726441069367,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
