Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F1_min,sigma_F2_min,sigma_F3_min,sigma_F4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F1_min,epsilon_F2_min,epsilon_F3_min,epsilon_F4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F1_cum,sigma_F2_cum,sigma_F3_cum,sigma_F4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F1_cum,epsilon_F2_cum,epsilon_F3_cum,epsilon_F4_cum,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
17,108,40.9374140010296,3.726077411501176,2.929346198741154,3.6864048544670975,2.4860249578262787,2.2976086196144148,3.3443315961540607,3.965960808975324,3.967306072648582,37.54101732140047,61.92768011881896,58.24626384712979,5.218224083907948,20.53907839496631,42.50591002568812,20.05114500234508,39.77115464356623,40.937405214359806,3.726077411501176,2.929346198741154,3.686400701480944,2.486020458972411,2.2976086196144148,3.3443315961540607,3.965960808975324,3.967306072648582,37.54101732140047,61.92768011881896,58.24625603787474,5.218238518484519,20.53907839496631,42.50591002568812,20.05114500234508,39.77115464356623,1.372059851783043,2.999280948164876,6.911268302872953,18.02792248912148,182.7250108718872,135.0,2295.0,120.58684556430173,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,106,40.94991049280302,3.292285561379187,3.603094658997125,3.6855512400565287,2.4863362714144177,2.992038158023681,2.704485063751002,3.3426746687605355,2.069564839577923,35.54535815382048,46.27936560674724,58.17619187524087,5.243288179887209,33.54771147659195,31.100785521101823,22.307541543503863,30.927177749958076,40.94990689609516,3.292285561379187,3.603094658997125,3.685553923419524,2.4863350038713974,2.992038158023681,2.704485063751002,3.3426746687605355,2.069564839577923,35.54535815382048,46.27936560674724,58.176277310425206,5.243295026888341,33.54771147659195,31.100785521101823,22.307541543503863,30.927177749958076,1.3247548923816046,2.914684977883803,7.00557929429021,18.12524312921988,227.32855701446533,159.0,2703.0,146.95636511321257,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
4,153,40.95472396792454,2.0238260472098872,3.360669062269236,3.6786880498289576,2.495221340662331,2.587656146686124,2.966225775819293,2.979328415597985,2.7753048451554267,64.40107699232462,56.99547647822888,59.17880732478719,5.056896004206052,26.387458997067053,18.840009738715118,24.17466151254126,36.81857818582723,40.95470301738738,2.0238260472098872,3.360669062269236,3.6786903443499086,2.495214207874413,2.587656146686124,2.966225775819293,2.979328415597985,2.7753048451554267,64.40107699232462,56.99547647822888,59.17896872538773,5.056938121232417,26.387458997067053,18.840009738715118,24.17466151254126,36.81857818582723,1.2825568825840463,2.995967367354904,7.27451669641734,17.92407499873416,272.18156242370605,186.0,3162.0,52.64318323119282,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,96,40.96864707640296,2.006412850410721,3.288683882131162,3.680290497462619,2.4929247689268608,2.9345879364095917,3.261885269772444,3.1742767332324218,3.4815286142641027,65.54696196568442,73.04030492535176,59.26989175217466,5.019449391478989,46.362648728962135,29.129350663083518,38.20679538189257,43.92006050138488,40.9686423365242,2.006412850410721,3.288683882131162,3.680290505669761,2.4929249064920644,2.9345879364095917,3.261885269772444,3.1742767332324218,3.4815286142641027,65.54696196568442,73.04030492535176,59.26986897630549,5.019455187238271,46.362648728962135,29.129350663083518,38.20679538189257,43.92006050138488,1.229957081199269,3.074263066981998,7.255726081493335,17.88307704348822,141.9760332107544,100.0,1700.0,131.88965272226662,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,133,40.98829724705134,2.12755919458688,2.866047413453947,3.689046471930808,2.483314357572808,3.735291438091597,2.186077950292784,2.7372179107728627,2.676526921253825,30.24658918158853,17.404591434253533,57.84315099428618,5.2964106567109965,15.416385550455445,21.82495044484249,22.67315343182525,26.55626080776979,40.98817553174296,2.12755919458688,2.866047413453947,3.689053471396295,2.4833184324606354,3.735291438091597,2.186077950292784,2.7372179107728627,2.676526921253825,30.24658918158853,17.404591434253533,57.84334925791582,5.296370444709827,15.416385550455445,21.82495044484249,22.67315343182525,26.55626080776979,1.459860387217303,2.9838217053752243,6.846368569512508,17.94896971573592,214.7979233264923,160.0,2720.0,30.64300559552358,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
9,116,41.04243234517038,2.646523154112679,2.8319764212750806,3.6928043717418753,2.479121468923108,2.511961528343857,2.831932336594201,2.291230742045914,2.812892463811526,20.18781945805034,74.82112511790596,57.675161814394265,5.305777104528868,20.38479240663601,49.97125578521232,35.09181433916862,44.6161978984653,41.04240653930409,2.646523154112679,2.8319764212750806,3.6928024203415264,2.4791122112845936,2.511961528343857,2.831932336594201,2.291230742045914,2.812892463811526,20.18781945805034,74.82112511790596,57.675187730487096,5.305788807448847,20.38479240663601,49.97125578521232,35.09181433916862,44.6161978984653,1.5066812504137543,3.1119942310020496,6.749891541257824,17.7830023660037,218.95793461799624,163.0,2771.0,426.8558427463476,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,139,41.04249046950798,3.215497928588882,2.523900166252233,3.690918871782592,2.480743532548176,3.987999419055559,2.747344093007104,3.820408045095175,2.9270291578869863,39.1379355424394,25.469849699266675,57.58471564584024,5.346027224994018,25.940276757610864,15.950686405605062,15.71072927479928,24.450412858507,41.04246204500049,3.215497928588882,2.523900166252233,3.690912521675017,2.4808197320221934,3.987999419055559,2.747344093007104,3.820408045095175,2.9270291578869863,39.1379355424394,25.469849699266675,57.583575801858906,5.346533247719549,25.940276757610864,15.950686405605062,15.71072927479928,24.450412858507,1.45562644397179,2.971977733818657,6.753940091446232,18.045584764106582,238.68470644950867,173.0,2941.0,125.46656008526512,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,102,41.051806081127495,3.2432736398069912,3.260958457568665,3.6892106139879526,2.4833260388385936,2.602728150734533,3.153287397345202,3.997264846783965,3.397527544972671,41.2932675669528,47.974778790355415,57.564921232240295,5.366559436401054,32.488941053684066,36.78998024486266,41.71224977678865,20.7437169852053,41.05180484698707,3.2432736398069912,3.260958457568665,3.689210003150917,2.48332554667716,2.602728150734533,3.153287397345202,3.997264846783965,3.397527544972671,41.2932675669528,47.974778790355415,57.56493250256747,5.366561294191448,32.488941053684066,36.78998024486266,41.71224977678865,20.7437169852053,1.5086807598439145,2.899934754730549,6.768212916328662,18.07162259095665,188.59723281860352,134.0,2278.0,33.285016431299404,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,79,41.05554036218239,3.831099549086086,3.706615331112853,3.6909569362936607,2.4809197067777826,3.085195735369948,3.5002646388622383,3.800838046317178,3.819879212057886,68.64066194362205,72.84603262800343,57.52513716264314,5.361060643124458,34.83723867588788,42.94368011601317,16.498849806831032,17.53995046611868,41.05554036218239,3.831099549086086,3.706615331112853,3.6909569362936607,2.4809197067777826,3.085195735369948,3.5002646388622383,3.800838046317178,3.819879212057886,68.64066194362205,72.84603262800343,57.52513716264314,5.361060643124458,34.83723867588788,42.94368011601317,16.498849806831032,17.53995046611868,1.482187552862364,2.9573446452984795,6.737632451665188,18.041662704417128,192.23472094535828,134.0,2278.0,46.92786541099519,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,83,41.08482931790338,3.537772889305324,2.6399440470748448,3.691416464218549,2.4806605330992046,3.80245120356753,2.188709544396072,2.117631309588024,2.694236657938845,27.417461453314434,55.12625720628242,57.41271430659592,5.3860559391347165,17.580910804669077,44.91155054868994,44.8092456923179,49.96592432318091,41.08481675330052,3.537772889305324,2.6399440470748448,3.6914181734372193,2.480660554740765,3.80245120356753,2.188709544396072,2.117631309588024,2.694236657938845,27.417461453314434,55.12625720628242,57.412762555068326,5.386014222907249,17.580910804669077,44.91155054868994,44.8092456923179,49.96592432318091,1.5204975886025578,2.9454906217039416,6.6973148588832245,18.038134437248004,130.28919577598572,96.0,1632.0,60.377515513805314,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
