,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
65,65,R14,150,3,1603.5887419899998,9.78819265507,11.818081916945882,1.327878004519,-3065.19787543,1066.310430424,134.28982353073522,231.91087533113293,616.9168644566525
66,66,R14,170,1,1487.26121571,28.5703301433,10.689958238256692,4.140821665749999,-2132.426627552,1107.212692358,121.47086265394636,231.91087533113293,616.9168644566525
67,67,R14,170,2,1488.00754074,27.6644841741,10.709192269434856,4.02977902451,-2152.448542603,1070.3260941100002,121.68942051053024,231.91087533113293,616.9168644566525
68,68,R14,170,3,1489.4091287300002,28.7779860405,10.6991051157791,4.17192786032,-2135.769527449,1113.2175414760002,121.57479936524805,231.91087533113293,616.9168644566525
69,69,R14,190,1,1357.02229662,71.2010257833,9.237390421396674,10.38886649354,-1104.55511096086,1152.640743629,104.96521671550906,231.91087533113293,616.9168644566525
70,70,R14,190,2,1356.1062846,69.0530428285,9.264797826479333,10.10950113526,-1115.5418565762002,1120.947819338,105.27664928281155,231.91087533113293,616.9168644566525
71,71,R14,190,3,1355.24304604,66.8307222122,9.278220130980792,9.84745734382,-1117.1355742253031,1080.046746164,105.42916801770812,231.91087533113293,616.9168644566525
72,72,R14,210,1,1187.12390962,151.2630022556,7.253907417669692,20.654115088792,-1.6225617578759992,993.43228107,82.4267384397091,231.91087533113293,616.9168644566525
73,73,R14,210,2,1192.63052258,155.7946529601,7.222289446661371,21.103425535465,-12.60145995761968,1023.28633038,82.06746087022306,231.91087533113293,616.9168644566525
74,74,R14,210,3,1184.22933135,148.28567184009998,7.259835267347787,20.423839947022003,15.9330722948143,997.853000871,82.49409707648135,231.91087533113293,616.9168644566525
75,75,R143,317,1,1215.8192034600002,9.76592283434,27.369530170452403,2.86757662652,2196.5596319063,2974.11797373,325.6726579063827,434.11995026179903,468.2093429532397
76,76,R143,317,2,1215.7460242199998,9.8698104101,27.38465504343288,2.8849776532,2187.1858642419,3003.502832,325.85263021695476,434.11995026179903,468.2093429532397
77,77,R143,317,3,1217.37514887,10.19017846856,27.352733984889248,2.96695012033,2170.56640556034,3102.0711912,325.47279848749696,434.11995026179903,468.2093429532397
78,78,R143,337,1,1158.54850221,19.2174855699,25.37224805302824,5.69680491471,3885.625809621,3470.68721515,301.9068069137106,434.11995026179903,468.2093429532397
79,79,R143,337,2,1156.6739023899995,18.7879114594,25.354934506985643,5.58964270978,3927.77971117,3382.4827016000004,301.7007913729848,434.11995026179903,468.2093429532397
80,80,R143,337,3,1155.33902383,18.5688422858,25.36309334380732,5.52811228479,3937.29695875,3346.20222667,301.7978741528715,434.11995026179903,468.2093429532397
81,81,R143,357,1,1092.5105418699998,33.6214702827,23.12260701168425,10.03783417908,5685.06320812,3720.144897139999,275.1381129424589,434.11995026179903,468.2093429532397
82,82,R143,357,2,1092.3950178199998,33.7417678679,23.066456746235485,10.00668759807,5709.063035879999,3738.23560833,274.4699755620596,434.11995026179903,468.2093429532397
83,83,R143,357,3,1094.4944215,34.9067576723,23.09419675623495,10.27527019947,5608.83995793,3890.67673474,274.80005659489467,434.11995026179903,468.2093429532397
84,84,R143,377,1,1015.933425067,56.7330712752,20.434159312774547,16.515096959010002,7439.66166662,3924.79617611,243.14801657275757,434.11995026179903,468.2093429532397
85,85,R143,377,2,1019.92455502,57.6499596537,20.4514166682978,16.50061996697,7359.796364449999,3936.6412577800006,243.353363497118,434.11995026179903,468.2093429532397
86,86,R143,377,3,1018.448605885,57.50532826009999,20.47236830962259,16.580178868267,7373.23208273,3952.55042465,243.60266908165855,434.11995026179903,468.2093429532397
87,87,R143,397,1,926.318003628,94.7499908112,17.22093328989507,25.845070473909203,9409.22638408,3947.8194083,204.91353272126446,434.11995026179903,468.2093429532397
88,88,R143,397,2,932.692931073,100.6988875248,16.991129015434137,26.692571493948,9236.25755536,4239.5393302,202.17906967437096,434.11995026179903,468.2093429532397
89,89,R143,397,3,934.649845741,99.4504913669,17.053017363072744,26.424319794253,9264.07004306,4163.15524536,202.91548504370232,434.11995026179903,468.2093429532397
90,90,R143a,240,1,1176.61284758,7.43031972335,19.781995004511327,1.65944600891,-113172.749714,-20906.4124353,235.3878510770029,351.013085807893,442.82776292535283
91,91,R143a,240,2,1177.48200423,7.42647906459,19.76886861069594,1.66285583019,-113146.45854,-20919.057838000004,235.23165886120822,351.013085807893,442.82776292535283
92,92,R143a,240,3,1177.27278101,6.92245769596,19.82265691134116,1.553258602156,-114791.408152,-19477.2002009,235.87169099644407,351.013085807893,442.82776292535283
93,93,R143a,260,1,1116.14949421,16.579835508000002,18.307104908309807,3.82614034957,-109942.098485,-22466.914757200004,217.83799272143986,351.013085807893,442.82776292535283
94,94,R143a,260,2,1115.92956409,16.3246666982,18.313920088358223,3.7674025818,-110351.106422,-22096.1616278,217.91908720083558,351.013085807893,442.82776292535283
95,95,R143a,260,3,1115.01756362,15.20011911,18.3803511658214,3.53033140925,-112107.438852,-20523.322833200004,218.70955694694663,351.013085807893,442.82776292535283
96,96,R143a,280,1,1046.729216765,30.3528173328,16.676046042083488,7.084919971260001,-109434.137116,-21558.1776728,198.42986723088396,351.013085807893,442.82776292535283
97,97,R143a,280,2,1047.937988845,30.2526337213,16.674960910664378,7.107810228190001,-109596.19410700002,-21415.0325368,198.4169551483148,351.013085807893,442.82776292535283
