Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,61,106947.44397309936,3.361136150261629,3.569151878602856,2.284057118766392,2.938154872538417,53.80906904420604,41.752089477020064,11.508171061509632,26.239044463619585,106947.44322409952,3.3611366182649456,3.5691575152687243,2.2840610650895856,2.9381549922758685,53.809050911533134,41.75179066837187,11.508178593619114,26.23904201207261,4.532730909933417,2798.2958555477385,294.6461231450513,26.14695102482711,144.7318656122994,16093.30361531688,10339.892414430646,913.4013395920654,1072.6642178422362,248.3847184752592,99.2330028604534,701.347257594828,38.94487134341788,430.86458386167897,567.7543398568152,15.571827528057144,3.1812091011028256,49.07737001124063,8.30440540296894,31.879229259948595,2.2561248804807645,101.41319766691726,86.62878764422211,7.831991376940996,84.92946549484805,463.6782297536744,312.67364323383663,181.36834924612475,94.92246705271154,15829.961191186492,8811.205484942217,1175.5894184866054,416.2372875213623,67.0,603.0,25119.222950528467,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,50,106947.45373708902,3.360814413104677,3.5687060891650466,2.283991245230906,2.938142697313781,53.80203895023633,41.757247741132566,11.508889305237144,26.24804101394901,106947.45314031997,3.360814129037069,3.568707440879896,2.2839902613820136,2.9381424835537717,53.80207139324296,41.757209820127336,11.508894637643465,26.24802246862776,4.547472589656346,2810.447477525636,294.5943802963285,26.22157305766184,144.62594131046973,16099.596437034646,10343.991629611111,913.4535422735051,1072.5862936268154,244.4392551299428,96.77165713687393,699.0391938831187,39.07053648343791,433.48997278686,570.3095274791522,15.759981001311376,3.191093706050357,49.11922377351071,8.363795116253005,31.891383014615297,2.262491119681156,101.71500809660066,86.86903983858673,7.81788893609364,85.01623044644597,462.94171319653975,312.2038674476805,181.2837595974495,94.96313359144118,15857.839599729115,8824.842174279105,1177.1725261479598,371.00443482398987,56.0,504.0,22250.89517719158,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,74,106947.48384092018,3.3611890338142976,3.569131552479447,2.284694195394706,2.938125941572328,53.790241476140906,41.7463598819123,11.511738647574097,26.24140787132623,106947.46624764088,3.361212979111339,3.5692833601195817,2.284687968137423,2.9381277872461853,53.790400538276856,41.73893851231936,11.511870036321032,26.24108275963426,4.520702494450672,2783.5860925643774,293.5854213782465,26.02404172205733,145.2074940302915,16123.520618576977,10358.827795308613,915.0278081040002,1070.1360362745518,249.52823160147324,100.14108961020166,701.8360454610653,38.79094476384911,428.5125583743276,565.058643704949,15.41699721287082,3.166703746100234,49.26605530065321,8.109580741010026,31.793791391933624,2.238517283485563,101.43154104920984,86.66007804499435,7.820181147869346,84.76440559325653,462.98869734460817,312.1807154422537,181.28368811100904,95.23352414759088,15851.27761936044,8821.846422098875,1176.5461031967588,517.4563829898834,79.0,711.0,9519.280078159694,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,62,106947.52313207217,3.360750826505774,3.5697741368686224,2.284493054070657,2.9381654430968265,53.80964281247624,41.72103486915877,11.50829215307179,26.24711696328676,106947.52160812216,3.360750089091147,3.569772984232627,2.2844983538197807,2.9381648580488973,53.80952605100412,41.72105128369628,11.50829956860877,26.247110251509756,4.542094924141416,2808.590518255497,294.7167037897046,26.220856591613604,144.86850219912873,16108.61590326828,10349.736219876972,914.1081524159912,1071.691310420874,247.32722856538595,98.58283853932168,700.753945126639,38.26371454392184,435.2852626183188,571.2616119786817,16.04079958458025,3.197166144973192,48.9310459424177,8.522039680472812,32.25925008480048,2.234474394554122,100.84842236059444,86.0248299535764,7.907916221272778,84.63759317669245,464.321341520336,313.0877473864188,181.46834375531893,95.1045369949738,15845.988490944006,8820.140407188806,1176.8195025573923,528.9865953922272,71.0,639.0,13555.83550937028,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,73,106947.56186690496,3.361561356676124,3.56936398366624,2.284268866206074,2.938142578323266,53.778396358582135,41.74117993710744,11.509089612708925,26.24107149073069,106947.5615212984,3.3615617479250077,3.569371647650353,2.2842735744658507,2.938142266372832,53.77841058481204,41.74092246326525,11.509057664101745,26.24105885715093,4.541508181587833,2810.190470551704,294.8862581690063,26.253765571883275,145.16148409441345,16115.08314767349,10352.95269705162,914.8087042287776,1069.5392808403597,246.7729419996201,98.20944215437976,699.0483358815027,38.72299499644322,431.4877118379543,568.0978452173696,15.658370252829254,3.183637359631118,49.07004390641619,8.3233213426549,31.964009693649352,2.248150344022505,101.23186624648096,86.44864300197324,7.852051104899942,84.82143642806489,463.6779751673382,312.66165334148616,181.3716254566529,95.30074239006056,15854.22325906748,8823.952684324811,1177.0787678292218,544.1586394309998,82.0,738.0,32860.55017319478,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,99,106947.56518438215,3.3615773636479256,3.5691700035814238,2.283769707840292,2.938085332379829,53.78060623546512,41.75041938381205,11.508737635310789,26.236653008084904,106947.56518438215,3.3615773636479256,3.5691700035814238,2.283769707840292,2.938085332379829,53.78060623546512,41.75041938381205,11.508737635310789,26.236653008084904,4.527154747660266,2783.923109617966,293.62507207435607,26.009476701092176,144.87337900186503,16107.229112290272,10348.21156819508,914.2610296486154,1071.0323275716955,245.044965067018,97.09547220929922,698.2227462256317,39.024492277744415,431.4727440552999,568.5812390552063,15.602947390592526,3.182606569845185,49.11411864891465,8.236262661914417,31.75880069272145,2.268184355101563,101.46697097157283,86.75869186629957,7.806330753601351,84.99155013154859,462.25208465687416,311.7293893618973,181.09804670930825,95.10914805498142,15857.621311065426,8824.925674739905,1177.133386829145,832.9446377754211,130.0,1170.0,10739.74910738076,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,62,106947.59922580577,3.36174161884255,3.569647098403717,2.284203921106571,2.9380727137362763,53.77390095282897,41.73651926138832,11.50800717987575,26.23581501168396,106947.59922580577,3.36174161884255,3.569647098403717,2.284203921106571,2.9380727137362763,53.77390095282897,41.73651926138832,11.50800717987575,26.23581501168396,4.532103458233889,2787.5914008211435,293.7504608319173,26.034746460172,145.20559543412827,16121.73538991394,10357.165533218473,915.3089211910386,1069.0037354955775,246.41100721269737,97.90759576193268,698.3203548689826,38.62340447358693,431.2724784682856,567.8926752606086,15.65636874475468,3.19340187467226,48.95479870003026,8.36928973081703,31.96904811192277,2.2560155341731924,101.10233084941316,86.36632244185692,7.856826652960069,84.81973849177886,463.6572131874591,312.6543140797657,181.32927500570085,95.37676324036892,15857.380614734318,8826.224860363236,1177.507898282009,448.6024014949799,64.0,576.0,11967.930651034729,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,66,106947.6272560345,3.3609845583272517,3.569486860574251,2.2842233317242573,2.9381259630044543,53.82130673452661,41.74352388552591,11.50585252843434,26.236522433911624,106947.62695622344,3.360983848680883,3.569486580180881,2.284223345863724,2.9381258559791035,53.821293712630464,41.74351665540996,11.505847312436575,26.23652612841028,4.526935748071243,2784.293009772596,294.0383752927436,26.00786249672953,144.72943289161813,16096.94295280175,10342.47981790437,913.7015503735208,1072.7287612907892,249.18165014793945,99.62921547890863,701.7508403219657,38.65293117971442,432.32408763891226,568.8389783229084,15.737537003668868,3.186740602429263,48.93093685695339,8.36412378649341,31.95785494082571,2.250989612862795,101.21606803626544,86.46393040892957,7.842130494376127,84.80514524598622,463.6723179120862,312.67612787607766,181.30047833021467,94.96740076709668,15822.112309354208,8808.735651619041,1175.692573539494,617.3689064979553,85.0,765.0,15178.519442223998,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,57,106947.8147173566,3.361059419235093,3.569038200468,2.2841564753976926,2.938101603787348,53.77510594138937,41.746592051641095,11.508685558769171,26.250067001407498,106947.81455826983,3.3610587767023503,3.569041813523765,2.284159898535913,2.93810182634254,53.77509766759118,41.74645004675452,11.5086895382454,26.250072282998,4.545692436850297,2804.95054587913,293.8825759771701,26.16731475530785,144.98935356987482,16127.449815199232,10361.094082876962,915.1308531175478,1069.7186572495937,241.39364963258987,94.7986491042302,695.8416078845883,38.82661985333606,433.7832268071807,570.3567994512493,15.824315164512925,3.2218295087591846,48.901882636418335,8.662958858287013,32.18057606103247,2.2663132148750416,101.4415012040439,86.50777418311915,7.886701715942822,85.00331787715191,464.9865712724618,313.5722746316675,181.6797355583684,95.3632291887053,15890.799207900587,8842.608573926442,1179.477379874665,482.80394768714905,65.0,585.0,7039.779447553069,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,78,106947.83259175176,3.360675771368843,3.569599971614652,2.284880990508581,2.938211305371915,53.809957021060335,41.71999738150435,11.506605137427664,26.250167462316966,106947.83092642637,3.3606725099801498,3.5695986546250262,2.284882242422545,2.9382101184733305,53.80995933215056,41.71993634574082,11.506582250761925,26.25016664160468,4.544430276200898,2820.223253183829,295.3358380002562,26.34354322734884,145.12471125627968,16121.518680165354,10357.693731045858,914.985971529616,1070.2533773953676,247.523044880117,98.61637741939856,700.3271226341103,38.051411477457854,438.5689166051516,573.9007154292187,16.350842795387525,3.164412753033459,49.07409413232857,8.231335651160208,32.078674350118035,2.2090116517085163,101.00581193742056,86.27194377301714,7.839905043969793,84.38811225132392,461.5551571124609,311.24179581776787,180.88218045010672,95.35032420422758,15848.269101300364,8823.068118886527,1177.570965172862,607.7463507652283,85.0,765.0,18625.57683630873,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
