Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
13,57,999.4266839964457,3.046706838185129,3.7857774170503022,3.1557144305690707,2.36802040325493,3.575858467651009,2.418046765567401,2.1078185441475057,2.840387360002264,3.3581376731308588,2.9320795142841707,35.18258176828705,73.48934468701889,34.477720458475346,73.29592999329098,49.30654656331346,8.630766463845545,35.114902664783585,36.98266694075727,24.99516985934929,37.27708553230993,999.4266839964457,3.046706838185129,3.7857774170503022,3.1557144305690707,2.36802040325493,3.575858467651009,2.418046765567401,2.1078185441475057,2.840387360002264,3.3581376731308588,2.9320795142841707,35.18258176828705,73.48934468701889,34.477720458475346,73.29592999329098,49.30654656331346,8.630766463845545,35.114902664783585,36.98266694075727,24.99516985934929,37.27708553230993,0.23094190093329237,59.48435526700874,80.75746866722395,18.385569621706814,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,150.308660030365,92.0,1932.0,1684.0350297539746,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,49,999.9372066847062,2.3027953890023554,2.8281119756391364,3.38880031545549,2.8283585390538053,2.099906917892174,2.303844608873267,3.327589290439578,3.029778224116617,3.889189511981627,2.917574276330523,57.129170460462255,18.935855769505444,19.052962571299307,62.48043376611905,35.84899440405969,3.3228335769354627,47.462800313861194,27.17180509109273,41.27842360976545,45.543511846710565,999.9372066847062,2.3027953890023554,2.8281119756391364,3.38880031545549,2.8283585390538053,2.099906917892174,2.303844608873267,3.327589290439578,3.029778224116617,3.889189511981627,2.917574276330523,57.129170460462255,18.935855769505444,19.052962571299307,62.48043376611905,35.84899440405969,3.3228335769354627,47.462800313861194,27.17180509109273,41.27842360976545,45.543511846710565,0.3581236222277771,8.253888715993215,12.111066702011486,10.782245422624914,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,106.26365303993225,65.0,1365.0,3724.8727595701216,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,42,1007.1082707943589,2.315831364994613,2.0524219737554383,2.056612976041589,2.4924221352060916,3.720055897365776,2.3082465965124794,3.1056439573715315,3.684061784719211,2.248346630239822,2.9135401899639772,53.56845325178078,73.02372364077887,46.46696425162116,11.212073809241298,62.04112372424007,3.8637941907281634,43.24868184665728,28.575122542246014,45.22396490958001,45.712222629799435,1005.6712510558332,2.3158816312622665,2.0524219737554383,2.056612976041589,2.4924221352060916,3.720055897365776,2.3082465965124794,3.1056439573715315,3.684061784719211,2.248346630239822,2.9132782288688697,53.57394635586051,73.02372364077887,46.46696425162116,11.212073809241298,62.04112372424007,3.8637941907281634,43.24868184665728,28.575122542246014,45.22396490958001,45.71621621561283,0.5814175512839861,13.564750129132072,16.516337052143932,6.2013459727695945,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,96.44057726860046,59.0,1239.0,1709.7271160849098,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,94,1011.438500880839,3.100140627615931,3.233370134310472,2.4673322784784997,2.203934518851595,3.0317140339370594,2.2157114805746736,2.305343288186326,3.2436124634808303,3.088020237627876,2.9307759781211837,34.10278402279447,58.84930811379086,24.43319408699498,43.75786858379216,61.04424183440524,2.1786434239344494,26.35268609041653,45.5522831740039,44.56483626607244,36.688610998441575,1011.4377666974574,3.10014777485476,3.233370134310472,2.4673322784784997,2.203934518851595,3.0317140339370594,2.2157114805746736,2.305343288186326,3.2436124634808303,3.088020237627876,2.9307765625967344,34.10328640751024,58.84930811379086,24.43319408699498,43.75786858379216,61.04424183440524,2.1786434239344494,26.35268609041653,45.5522831740039,44.56483626607244,36.688266450096016,0.2691391092716078,58.613994459880786,87.21368086562353,16.896089151385176,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,191.95081758499146,117.0,2457.0,37686.809556799,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,12,1027.3091868386489,3.1094465849710637,3.1631548146885824,3.97950341532741,2.4078124504662437,2.4954658035247097,1.893259625659368,3.500344826595985,2.9139506548713854,2.1138588768221895,2.929513356547183,32.81799611612527,61.909275909413665,29.3265397979727,11.794390777042738,48.573109215200375,8.750723431449511,28.3355643421775,41.24504087541502,32.88995174039949,37.014322253320415,1027.3091868386489,3.1094465849710637,3.1631548146885824,3.97950341532741,2.4078124504662437,2.4954658035247097,1.893259625659368,3.500344826595985,2.9139506548713854,2.1138588768221895,2.929513356547183,32.81799611612527,61.909275909413665,29.3265397979727,11.794390777042738,48.573109215200375,8.750723431449511,28.3355643421775,41.24504087541502,32.88995174039949,37.014322253320415,0.34929244013346644,64.35984839492649,97.45925178062308,19.369111202721427,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,44.17427897453308,27.0,567.0,4426.599023003819,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,63,1052.0968769039412,2.3697911493593335,2.664127148733674,2.2619936896218333,3.6189813842531637,2.6894733053665867,2.910161223500051,3.16402835989416,3.757663968823688,3.6894688907844433,2.911621511349074,47.558066200590766,45.51254304132427,61.90923342488258,28.571725362719597,41.866478970295304,6.792882461167028,15.54366464427925,35.7718492868823,30.17867221463104,45.756219972124235,1052.0937765793212,2.3698683711579576,2.664127148733674,2.2619936896218333,3.6189813842531637,2.6894733053665867,2.910161223500051,3.16402835989416,3.757663968823688,3.6894688907844433,2.9116094501628242,47.55913411451864,45.51254304132427,61.90923342488258,28.571725362719597,41.866478970295304,6.792882461167028,15.54366464427925,35.7718492868823,30.17867221463104,45.754982533905384,0.5372961148948197,24.43585624584407,28.33872513359818,5.630768631803182,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,119.40120077133179,73.0,1533.0,2760.6072297717383,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,42,1113.947553381767,2.95501499908508,2.420348019829679,3.5055111074776275,2.13307296270823,2.5206301971570815,2.707131845615018,2.3868685652466555,3.2789217617598796,3.049340618247467,2.900383968351983,21.829131403240282,14.287470894461547,57.77928761376353,60.19157192031105,69.00803041272908,9.455776553574701,15.488305054145895,23.20267301424972,36.58724249505802,43.149533650991394,1113.947553381767,2.95501499908508,2.420348019829679,3.5055111074776275,2.13307296270823,2.5206301971570815,2.707131845615018,2.3868685652466555,3.2789217617598796,3.049340618247467,2.900383968351983,21.829131403240282,14.287470894461547,57.77928761376353,60.19157192031105,69.00803041272908,9.455776553574701,15.488305054145895,23.20267301424972,36.58724249505802,43.149533650991394,0.2574306858172567,21.11509815208911,14.555119200120265,1.9634048642336417,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,87.0773413181305,53.0,1113.0,3745.7649880095923,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,81,1114.726886750909,2.9808015466549493,3.496331308759678,2.56088798412881,3.578558656902977,2.206452013155284,2.1718402892638577,3.817191006186191,2.5872282967473588,2.5755506771726973,2.899569672592743,21.2722143268024,54.12430964109292,23.755827540003843,27.260532859194708,41.952255353222,2.426900360936643,35.09411619222046,20.135500121703355,35.62569379161495,42.97139274167253,1114.726886750909,2.9808015466549493,3.496331308759678,2.56088798412881,3.578558656902977,2.206452013155284,2.1718402892638577,3.817191006186191,2.5872282967473588,2.5755506771726973,2.899569672592743,21.2722143268024,54.12430964109292,23.755827540003843,27.260532859194708,41.952255353222,2.426900360936643,35.09411619222046,20.135500121703355,35.62569379161495,42.97139274167253,0.32098262402910793,26.6812604769829,18.51217110997421,1.6771979931718126,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,175.51669216156006,107.0,2247.0,3185.4230748734344,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,42,1126.8165589596315,2.919880074235955,2.27291045132137,2.119835379024423,2.2426869114814747,2.0891037570895232,1.6612411936591394,2.451418677215709,3.425977960765353,3.1194339641082847,2.900754143354244,22.296421662168168,72.8729614500177,46.92653002479624,23.214060252964387,26.401173397071027,7.950606832600744,21.84003183882616,35.34756245456402,48.95069961809094,43.50808357464045,1126.8165148824605,2.9198799105143065,2.27291045132137,2.119835379024423,2.2426869114814747,2.0891037570895232,1.6612411936591394,2.451418677215709,3.425977960765353,3.1194339641082847,2.900754215278964,22.2964488173312,72.8729614500177,46.92653002479624,23.214060252964387,26.401173397071027,7.950606832600744,21.84003183882616,35.34756245456402,48.95069961809094,43.508075993527854,0.21233772993487257,18.646560570191006,10.239105610220847,2.4194394303888096,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,83.58589482307434,51.0,1071.0,4563.468869348965,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,30,1400.1566965693517,3.3062487900966024,3.936523151438794,2.6268483563184852,3.3846452313386277,3.752778304592076,2.841909995255771,2.1700884227395556,2.0781095664657645,2.3396608391291376,2.8959894126630785,19.1138387396267,37.3719956253284,72.26281945978263,44.65574352324612,54.97201240678078,4.5241250480485045,39.02753246885543,44.211898516408056,15.640089707046714,39.10775323891709,1400.1566965693517,3.3062487900966024,3.936523151438794,2.6268483563184852,3.3846452313386277,3.752778304592076,2.841909995255771,2.1700884227395556,2.0781095664657645,2.3396608391291376,2.8959894126630785,19.1138387396267,37.3719956253284,72.26281945978263,44.65574352324612,54.97201240678078,4.5241250480485045,39.02753246885543,44.211898516408056,15.640089707046714,39.10775323891709,1.1382189359141948,113.3092456480284,86.79095779303015,5.180424585092704,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,74.71983242034912,45.0,945.0,13341.422151167955,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
