Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,R32-sim_liq_density-wt,R32-sim_vap_density-wt,R32-sim_Pvap-wt,R32-sim_Hvap-wt,R50-sim_liq_density-wt,R50-sim_vap_density-wt,R50-sim_Pvap-wt,R50-sim_Hvap-wt,R170-sim_liq_density-wt,R170-sim_vap_density-wt,R170-sim_Pvap-wt,R170-sim_Hvap-wt,R143a-sim_liq_density-wt,R143a-sim_vap_density-wt,R143a-sim_Pvap-wt,R143a-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
40,140,21167.518195540782,3.468173164971404,3.541236138754225,3.412025552636467,2.6162610361860827,2.754964847108256,3.047792271332263,2.929335364874668,45.70045542691891,48.771224895097895,44.19176741376684,10.000000000000002,42.693799643808696,41.95524847092323,26.313245037971416,21167.51671023351,3.4681655159934537,3.541215880610164,3.412000540616754,2.6162664956317556,2.7550017592277425,3.047792271332263,2.9293356714018426,45.700345329461115,48.771510941629934,44.191828187099645,10.000000000000002,42.693970299298165,41.95524847092323,26.31338911423278,1.276966455768886,210.96196261355632,293.98717662280444,6.329468810084968,14.906429869244096,685.2545176292566,616.0077642401861,11.395547514317538,5.673160499286835,2214.56890840185,1671.850126262771,55.85229785599333,11.569853248777317,1.5986156734391046,12.409402138207092,49.34850840959194,1.9517271144729642,51.426556540541156,25.991826020088496,26.643439382645468,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1199.4386157989502,149.0,2235.0,980080.5313594308,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
75,146,21167.847720072616,3.4669409015977664,3.511287614254575,3.4421208764213933,2.6219920062185564,2.753589086087564,2.972881486340789,2.929383022827289,45.77519839492301,50.1397444445895,42.55659677238204,10.000000000000002,42.64248024095403,46.42477511836886,26.30891141465905,21167.847720072616,3.4669409015977664,3.511287614254575,3.4421208764213933,2.6219920062185564,2.753589086087564,2.972881486340789,2.929383022827289,45.77519839492301,50.1397444445895,42.55659677238204,10.000000000000002,42.64248024095403,46.42477511836886,26.30891141465905,1.28043558380602,209.60968530027068,293.1337810035095,6.2784660027000285,16.156787104665984,698.6796433620606,647.457216687612,11.760766965169648,6.153301755019616,2138.696679338995,1613.4238835474569,54.51331638485019,9.062162169531131,2.0494310017330193,17.10916157269869,51.259908855818935,2.2311139206115076,47.09900751700656,25.404412525221403,28.231041014002226,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,930.7589156627655,156.0,2340.0,976501.8877861444,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
37,177,21168.492837994552,3.4700529615229176,3.550867785100424,3.414693002871668,2.6149133199718753,2.760309199564148,2.4807112496982775,2.9292604148082524,45.674434559965086,48.31611176784579,44.14291243182143,10.000000000000002,42.680941454960106,33.16555944257876,26.287131801661133,21168.48154739717,3.470146969531113,3.5508612372886867,3.4149022576863963,2.614923794132122,2.759774635131807,2.4807112496982775,2.929241359518566,45.67269435666432,48.311289011858435,44.143498801521424,10.000000000000002,42.68007440520781,33.16555944257876,26.287466409503203,1.2584295904767253,204.43622522482872,300.1932734323893,6.262253206946566,16.617722085911126,689.7716250779326,610.0850427111944,12.032988571248532,5.476159057910265,2181.478932727514,1648.6232391964113,54.193416982179116,13.220189601570862,2.7320194387385737,10.549975387168992,45.64169580933033,1.81224811017085,50.47573300341049,24.87440843349285,26.567365577697892,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1518.2917611598969,188.0,2820.0,989174.4966324852,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
178,52,21170.895976190644,3.4660420850562055,3.5098541490087634,3.4234320210326836,2.61849200795127,2.756293038498581,2.8329251123462162,2.929678963063223,45.79785465649309,50.19272431176579,43.58491234636903,10.000000000000002,42.71989803720861,35.85534309658279,26.312315233644494,21169.28899168715,3.466730908920546,3.509774250641784,3.4245136349990912,2.6201313344665382,2.757845431513781,2.8329251123462162,2.9294722066503103,45.77648535033513,50.184390546264254,43.57800443495315,10.000000000000002,42.70703561098226,35.85534309658279,26.306234488811,1.2183556528826136,193.1455539302785,292.5023714951007,6.149351214596183,15.463290468051788,670.4850202790942,614.4005813343126,10.885650936748704,5.689884712104112,2172.495172624068,1639.4857455699803,54.449724558313704,7.635769352039473,1.3556867940964172,19.32145147897578,53.489893086199274,2.622938389232815,53.31407751511064,26.172041439626263,28.521117160919626,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,508.0637490749359,64.0,960.0,960157.6122432072,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
95,79,21169.615026283594,3.4647711033197677,3.5635903146598418,3.480468938341172,2.61607900553815,2.757565240697444,3.86111963849969,2.9293955788502037,45.792100225270204,47.79664760773871,40.442462955775554,10.000000000000002,42.76487314093825,38.12094245750095,26.335098349065643,21169.31106427696,3.464446734845148,3.5633692963527936,3.480370536905215,2.615477104398749,2.759769012013296,3.86111963849969,2.9293955672014595,45.813961718794395,47.80092870339993,40.447928779577474,10.000000000000002,42.7692261957151,38.12094245750095,26.334029709555324,1.2675388614447862,198.87122383544505,288.7489293320529,6.110314524038939,15.00765759995579,664.1136413158893,605.2585297516347,10.559503239525897,5.5722695480914,2245.344035176937,1693.5706018519575,56.48512846948945,16.077761773027596,3.839151018856636,7.749450647725055,43.83459544912792,1.0423291757562847,34.21227725464666,21.738571992680978,26.25205630678515,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,512.2528703212738,86.0,1290.0,978475.6369187479,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
56,90,21169.45910009126,3.4626634464030523,3.529760189657472,3.441389747028807,2.6201279156284185,2.756237632244028,2.3595885953859486,2.929699413351951,45.94541389609506,49.295246873133756,42.56354121530341,10.000000000000002,42.64340052189809,26.211176403771095,26.326401880236705,21169.456477047595,3.4626678226749705,3.529756206394288,3.4413410328248077,2.62010332131781,2.7563604806448923,2.3595885953859486,2.9296979064336264,45.94576817544855,49.295003475095236,42.56304208774285,10.000000000000002,42.64360609007001,26.211176403771095,26.32627510895057,1.2765365030607165,207.87414054635454,285.57502844334533,6.226179704144953,15.771075324258085,661.9946041552389,633.9378482159224,10.775120074526837,5.544701096604713,2128.9420875261626,1606.070229354104,52.53424241472776,11.11750330936247,1.906879506246777,13.417075756451698,49.65939340564075,1.8487490089533873,45.167678568805975,24.056004427059413,27.72691854530946,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,585.4466099739075,98.0,1470.0,948079.3764076761,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
171,204,21169.547495656254,3.469580113499757,3.557323262377654,3.5029078140450682,2.6104267921924738,2.761873404947739,2.7796774967499682,2.929180967585205,45.65172648486378,47.97834674403834,39.447107520381664,10.000000000000002,42.68486027618909,32.70171721452512,26.302277307327458,21169.546990072187,3.469583109588126,3.5573031795103764,3.5029092375191317,2.6104267121394975,2.761866418572528,2.7796774967499682,2.9291807438172253,45.65169131663025,47.979025070526205,39.447104604560934,10.000000000000002,42.6848481902848,32.70171721452512,26.302295885804096,1.270659119690997,205.64103687196558,297.9607210799719,6.2535317264800305,15.92693167588576,684.4024690733587,599.7925635785513,11.956410186583634,5.212295356018775,2259.053358681548,1707.2855669090588,55.74126653227694,13.284955768849105,3.4158152366797596,10.612157170506206,42.772663306321036,1.3892358566628493,34.54107650983718,20.912841013486243,27.53858692626868,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1814.4966475963593,242.0,3630.0,1005404.5396344785,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
58,145,21172.41140100851,3.4690314633423682,3.5698529898904074,3.524143387164828,2.6098775572477226,2.7607192039824757,3.7964100920342734,2.929227635076951,45.69516890208929,47.46876617590716,38.40256131605633,10.000000000000002,42.6786452967648,15.481862939520086,26.299820857679645,21171.706548626524,3.469502274842064,3.566118752890524,3.5246384294063082,2.6099789160197013,2.760671884283221,3.7964100920342734,2.929200684162671,45.68684073842858,47.6364050214251,38.37690115570956,10.000000000000002,42.66103386807042,15.481862939520086,26.294212533040337,1.2843359209985523,211.3558659244979,296.8719340801927,6.312878195449812,15.126215329639539,668.8088862720747,590.5163063870044,11.496201817584016,5.065384594700419,2235.6581713908927,1690.1070832867795,54.36554627330286,15.430412075362973,3.796048815503686,8.272770034460795,41.49448922143165,1.0185111827686857,28.764817764262492,19.638726353269416,27.12453360596841,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,962.2881200313568,161.0,2415.0,984183.516847566,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,225,21173.151469875538,3.464817872003096,3.5126319188752375,3.5327961951093534,2.6159700604157488,2.75182510249987,3.939191496639349,2.929532764548059,45.852615376055816,50.036630406789534,37.861063080796306,10.000000000000002,42.616230925482135,45.22396490958001,26.319903587251467,21173.119462885737,3.46480957591869,3.512673571477916,3.532770573154396,2.616029097284824,2.7519169545004023,3.939191496639349,2.9295185173003424,45.85223299389213,50.03688163648906,37.86076567528302,10.000000000000002,42.61589583337034,45.22396490958001,26.32063983725281,1.2794276182409563,208.9807818554988,289.0849597365423,6.256136871882786,13.493637313082807,660.9434090134187,619.9824828227619,10.737690933216976,5.314429397771299,2177.151560479057,1643.5633011393923,53.40354489682717,7.341690770141196,1.3432488325244725,19.768786082140295,53.111814812171446,1.7821028327903226,30.687238129440917,23.294853326552442,28.2265757021733,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1462.660572052002,245.0,3675.0,947085.2622631426,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
28,167,21174.63433580974,3.472382792306874,3.563404848990543,3.446115918665837,2.6147889249579244,2.7623849697553844,2.4078124504662437,2.929117832792809,45.564263086055,47.78673071150246,42.538094662490415,10.000000000000002,42.79849203327467,22.41860576252866,26.283740068298794,21174.50849297426,3.4723104272585212,3.5623385289664906,3.4451963285628846,2.6151126703335774,2.7626508183338867,2.4078124504662437,2.929174871185931,45.567174840118696,47.84226863609267,42.57710849553224,10.000000000000002,42.80007902898688,22.41860576252866,26.28437850998341,1.2542068999501963,204.74210225019513,303.7117975143435,6.298909029562012,17.15356950557741,694.6095491244067,589.2406880269522,11.894579128819117,5.731469746469111,2215.917517277525,1674.6692391002407,56.1688162756202,15.666760891310371,3.7574880355236813,8.10745920963131,43.40885075025859,1.5671728950177664,45.15528887270226,19.108669666139434,28.79310831956769,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,0.002511266528006709,13.184852114059755,102.58256780459931,0.03175039480915045,0.02025090312799702,21.8121875240798,56.73772537208398,0.016186041462074703,0.013627174568760591,17.221460616629106,59.45625185231137,0.02379910755865272,0.002659477199083589,8.96409497277095,183.3377734370916,0.09085791069930928,1108.9067287445068,186.0,2790.0,975399.3618670844,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
