Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R143a-sim_liq_density-wt,R143a-sim_vap_density-wt,R143a-sim_Pvap-wt,R143a-sim_Hvap-wt,Run Time,jac evals,Termination
19,125,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.998985717054005,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.7542848943,230096.91023885686,12205.57909132726,550087.016656404,7.437361848708351e-06,2.4731914717564067e-05,0.0014522365887488901,4.39880975690705e-05,17.494316816329956,13,0
19,146,57.46320742577122,3.7201004028601794,3.9999998999999997,1.5,3.0173887004782562,3.0811396156962956,3.1112018837544153,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.8072907168,230096.94571002937,12205.580200924192,550087.0571394633,7.437361866619154e-06,2.473191482499223e-05,0.001452236594209571,4.398809770609592e-05,17.494316816329956,13,0
19,145,57.463202571416325,3.7201005028601792,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018837544153,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.752645322,230096.91042851,12205.579096799593,550087.0167530323,7.437361848105937e-06,2.473191471675652e-05,0.0014522365886492472,4.3988097564699165e-05,17.494316816329956,13,0
19,144,57.463202571416325,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018837544153,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.752645322,230096.91042851,12205.579096799593,550087.0167530323,7.437361848105937e-06,2.473191471675652e-05,0.0014522365886492472,4.3988097564699165e-05,17.494316816329956,13,0
19,143,57.46320490884655,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018464901503,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,49.99999879727639,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.7829969483,230096.92700133345,12205.579497526734,550087.0358766521,7.437361870650943e-06,2.4731914882137114e-05,0.001452236596626396,4.3988097770949864e-05,17.494316816329956,13,0
19,142,57.46320257138069,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018464901503,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.56857562962786,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.7058026104,230096.91578113975,12205.579253000236,550087.0195063275,7.4373618308962404e-06,2.4731914693681462e-05,0.0014522365858025796,4.398809743979466e-05,17.494316816329956,13,0
19,141,57.46320257138069,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018464901503,33.99898451433038,75.00000000000001,10.000000000000002,41.35962271740885,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.7058026104,230096.91578113975,12205.579253000236,550087.0195063275,7.4373618308962404e-06,2.4731914693681462e-05,0.0014522365858025796,4.398809743979466e-05,17.494316816329956,13,0
19,140,57.4632046894009,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018464901503,33.99898451433038,75.00000000000001,9.999998797276383,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.7314309815,230096.9252707643,12205.579665141364,550087.0344367713,7.437361870294498e-06,2.4731914802204163e-05,0.0014522365966035972,4.3988097854639755e-05,17.494316816329956,13,0
19,139,57.46320374381365,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018464901503,33.99898451433038,74.99999879727639,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.746908926,230096.9199448772,12205.57938610938,550087.0298788792,7.43736184051731e-06,2.4731914734626093e-05,0.0014522365889015425,4.398809753780498e-05,17.494316816329956,13,0
19,138,57.46320257138069,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018464901503,33.998985717054005,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,57.463202571341995,3.7201004028601794,3.9999999999999996,1.5,3.0173887004782562,3.0811396156962956,3.1112018850587297,33.99898451433038,75.00000000000001,10.000000000000002,41.35962151468523,40.568574426904235,50.00000000000001,1322048.7058026104,230096.91578113975,12205.579253000236,550087.0195063275,7.4373618308962404e-06,2.4731914693681462e-05,0.0014522365858025796,4.398809743979466e-05,17.494316816329956,13,0
