molecule,temperature K,liq_density kg/m3,vap_density kg/m3,Hvap kJ/kg,Pvap bar
R143a,240,1113.13,8.46,220.61,1.88
R143a,260,1053.20,17.02,204.82,3.92
R143a,280,986.26,33.32,184.43,7.66
R143a,300,914.17,63.81,159.75,14.03
R143a,320,817.78,110.25,128.82,22.40
R134a,240,1400.73,3.76,221.19,0.71
R134a,260,1341.23,8.74,208.53,1.75
R134a,280,1275.13,18.40,194.04,3.80
R134a,300,1204.29,34.93,177.21,7.26
R134a,320,1121.47,60.02,157.61,12.32
R50,130,382.29,5.96,487.67,3.68
R50,140,365.03,10.25,458.78,6.54
R50,150,346.04,16.79,423.46,10.78
R50,160,324.25,25.50,381.87,16.32
R50,170,298.85,39.92,326.96,24.21
R170,210,498.42,6.26,453.61,3.38
R170,230,471.22,12.98,419.43,7.24
R170,250,438.59,23.72,376.83,13.31
R170,270,400.54,41.68,321.28,22.60
R170,290,348.62,74.51,238.12,35.66
R14,130,1690.63,2.53,142.01,0.31
R14,150,1583.41,10.49,131.09,1.42
R14,170,1467.18,31.74,118.08,4.56
R14,190,1331.56,73.18,101.81,10.63
R14,210,1156.68,168.40,77.14,22.19
