Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F1_min,sigma_F2_min,sigma_F3_min,sigma_F4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F1_min,epsilon_F2_min,epsilon_F3_min,epsilon_F4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F1_cum,sigma_F2_cum,sigma_F3_cum,sigma_F4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F1_cum,epsilon_F2_cum,epsilon_F3_cum,epsilon_F4_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
9,63,241.3936295625,2.46839128392142,2.276269511613293,3.221629787925213,2.601988230151922,2.9563460754426094,2.7211191777437223,2.9938301222374286,3.16214508292632,61.45974694962239,57.75216588584858,61.66792134456777,8.211782698668337,22.747144553267407,29.36247028981819,34.71485101615265,20.080620840520204,241.39362927182464,2.46839128392142,2.276269511613293,3.2216298049095298,2.6019882407182666,2.956345415565962,2.7211191777437223,2.993830361676852,3.16214508292632,61.45974694962239,57.75216588584858,61.66791406055774,8.211774914469377,22.747149559788102,29.36247028981819,34.71485411923277,20.080620840520204,1.3745105467319587,1.7904990127868063,4.807383222535766,11.544802038722857,103.86283731460573,71.0,1207.0,70.62964739319655,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,126,394.346097645095,2.9030942166192557,3.569044858154588,3.594234443721866,2.3107845787387533,3.431083341102154,2.453271073132208,2.8271453495615333,3.16758697037142,41.25414508411205,67.907720602636,48.83056668283881,5.1861154474680005,22.37097858859288,38.13852370097565,26.65749120139748,37.59876291174522,394.3460940691455,2.9030942166192557,3.569044858154588,3.594233181899893,2.3107867160169184,3.4310824677441074,2.453271073132208,2.827147149455623,3.16758697037142,41.25414508411205,67.907720602636,48.83054993204063,5.186138586463127,22.37098941879028,38.13852370097565,26.657446200845484,37.59876291174522,3.389163818685171,16.822986306843454,20.96393641343098,0.4969404592405113,221.70722889900208,152.0,2584.0,45.47985038912276,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,47,394.34682459881407,2.859443492126197,2.873559880867855,3.5945278913725653,2.310170695613864,3.4297406089429616,2.354981127767399,2.827119968651089,3.756362728509677,31.076146064909832,13.825491258815786,48.830206821645646,5.176550525699127,22.368100091740448,42.59204918638471,26.64600651629754,22.40934555708468,394.346798732753,2.859443492126197,2.873559880867855,3.594528225669658,2.310171742637973,3.4297203469977284,2.354981127767399,2.8271215803163257,3.756362728509677,31.076146064909832,13.825491258815786,48.83023285329868,5.176524211432438,22.367974990802065,42.59204918638471,26.64603407488085,22.40934555708468,3.2847305622810543,16.882800305542663,21.11210251231902,0.5007065105992679,84.63872289657593,55.0,935.0,272.8654409805489,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,75,394.34695991309945,3.748227210533252,2.193108270707202,3.5943478182176074,2.309557155469109,3.431473469601221,2.294728860647827,2.8271686497577804,2.928616771195321,28.35323786863308,35.97255084083628,48.80534924449938,5.18985308778674,22.37313659828888,49.6404624940253,26.668292901844957,27.788478523167004,394.346959268793,3.748227210533252,2.193108270707202,3.594347613894696,2.3095534487651257,3.4314751555218126,2.294728860647827,2.8271665051848887,2.928616771195321,28.35323786863308,35.97255084083628,48.80539462555678,5.189832984734587,22.37317258814261,49.6404624940253,26.66826245281441,27.788478523167004,3.403594984855771,16.90377452312728,21.0253424562072,0.4916854982993756,129.7121512889862,81.0,1377.0,53.05991651123546,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,88,394.3502263190817,2.833462886986449,2.7471497497214594,3.5946169990733923,2.309099389306757,3.428961892186725,3.9644056709853857,2.827647697194515,2.017822437485006,34.60856970358467,72.02368135661911,48.81061549904823,5.169838177604442,22.404464136072654,40.3334269636288,26.642948348968343,27.31639848500025,394.350225391889,2.833462886986449,2.7471497497214594,3.594617528237308,2.3091014686058533,3.4289605340654816,3.9644056709853857,2.8276468331537914,2.017822437485006,34.60856970358467,72.02368135661911,48.81059245356711,5.169833541765568,22.404457942356427,40.3334269636288,26.64296003516694,27.31639848500025,3.2803650528585777,17.054898960237292,21.177361565609942,0.5032781512755908,148.15656757354736,97.0,1649.0,70.91386446398437,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,62,394.3512089436238,2.496601264993501,2.250368309814567,3.5945046065683743,2.309240380805763,3.428621007163895,2.26201845458399,2.827962115153217,3.7110835334646906,45.05827339737048,70.01143525346278,48.84767650887373,5.161265895165555,22.3864403767978,42.06729452017805,26.63307516247741,26.73201532671256,394.3512088801058,2.496601264993501,2.250368309814567,3.594505704576496,2.309244421501523,3.4286152554260303,2.26201845458399,2.827962584576662,3.7110835334646906,45.05827339737048,70.01143525346278,48.84766042750664,5.161231067946578,22.386521998667057,42.06729452017805,26.633015350718026,26.73201532671256,3.2634422628488986,16.910041604610296,21.003372199525213,0.5154895426779957,104.4026050567627,67.0,1139.0,246.36560973443468,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,60,394.40114601796057,3.635405850172388,2.746872279275106,3.593232027109845,2.311817726376613,3.4289150658009437,3.059665954635763,2.829165919294785,3.4960488732941246,40.35130651688401,71.79972192355908,48.930178335957045,5.188601192134819,22.346232373231864,27.694442062814197,26.61503189868453,25.91624812580869,394.4011341588071,3.635405850172388,2.746872279275106,3.593231680101763,2.3118108060902487,3.4289172897325977,3.059665954635763,2.8291671679411574,3.4960488732941246,40.35130651688401,71.79972192355908,48.93005080138873,5.188643271850232,22.34621422024447,27.694442062814197,26.615107594145844,25.91624812580869,3.4216339910860407,16.72100926720977,20.92107785749429,0.5084660688184129,107.09290075302124,68.0,1156.0,343.7469046984634,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,70,406.3434098910109,2.786263269922107,2.055889991243772,3.818147862368552,2.9031113550690684,2.971566001290571,2.8659321158949043,2.6763836551379616,3.867838121608522,11.48013921025634,12.027876259926238,30.590573080716485,6.447146037345068,36.83961391071395,38.1964573240311,35.85684466190549,49.629507674306645,406.3434098910109,2.786263269922107,2.055889991243772,3.818147862368552,2.9031113550690684,2.971566001290571,2.8659321158949043,2.6763836551379616,3.867838121608522,11.48013921025634,12.027876259926238,30.590573080716485,6.447146037345068,36.83961391071395,38.1964573240311,35.85684466190549,49.629507674306645,1.2801387874171348,12.13750009804357,9.490159291821149,2.4701469467283657,156.30267524719238,101.0,1717.0,81.23549160671463,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,84,410.3896005064073,3.7588512113945183,3.4856112709187044,3.308976935672854,2.423133806908263,2.842800676761068,3.014697510306789,3.06173810210721,2.233670332444333,29.08550999999781,47.08354826751226,49.18336376003996,5.52691029431093,30.74597094069285,43.02877558193966,36.048717394265545,16.094300425545292,410.38960016240407,3.7588512113945183,3.4856112709187044,3.3089770061480115,2.4231340409485105,2.842800489857531,3.014697510306789,3.0617381087649105,2.233670332444333,29.08550999999781,47.08354826751226,49.18336705566951,5.526903172959141,30.7459715250108,43.02877558193966,36.04872007417774,16.094300425545292,0.9763882630493752,2.363424582160489,0.8391952519364545,14.40362336342081,144.67050170898438,90.0,1530.0,89.26746602717826,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,86,410.4045333395631,3.580961497973663,2.241991602376311,3.3103649804164736,2.420714555322197,2.843525559062347,3.480236617024822,3.06216714659574,3.080830328751139,27.54183081874154,63.22148083728394,49.03794291867329,5.51739342948486,30.723042125330448,35.39705857916203,36.08559072487765,36.26873352034002,410.4045253165911,3.580961497973663,2.241991602376311,3.3103666759079853,2.4207138276158084,2.8435244827006043,3.480236617024822,3.06216480657101,3.080830328751139,27.54183081874154,63.22148083728394,49.03797567009664,5.517355938914569,30.722957415211997,35.39705857916203,36.08557432960689,36.26873352034002,1.0040108698183312,2.4024760968094063,0.8434123551227914,14.333295948959544,133.86777234077454,93.0,1581.0,271.7552891020517,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,116,410.4409170100509,3.668223596114556,3.638065297697992,3.312888523519366,2.418784731008147,2.846733965768275,2.376331147277615,3.061807438413542,3.8858106879005576,10.101675946388031,48.56457118946929,48.83677808108052,5.476642040491482,30.782962760028784,39.97804661918295,36.12949044030928,34.312064751869656,410.4409166689612,3.668223596114556,3.638065297697992,3.3128886314217354,2.418785898551428,2.846734772386225,2.376331147277615,3.0618070121764247,3.8858106879005576,10.101675946388031,48.56457118946929,48.83678737444061,5.476645411170606,30.782959439089904,39.97804661918295,36.12948835060416,34.312064751869656,1.0367338099977794,2.532879245777034,0.8688961713994674,14.30450545225225,194.69798517227173,125.0,2125.0,195.26451727506884,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
