Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
11,73,21262.168354214416,3.470285337577642,3.4045672180038316,3.57135373500408,2.632571065469837,2.750704365940424,2.2149882582121854,2.929157750867179,45.60928940700015,55.903625026162764,35.9779872200539,10.000000000000002,42.769061350231205,34.88351616719798,26.305278298373587,21262.166895893602,3.4702883120542523,3.4045644097308108,3.5713543456708234,2.632565949189785,2.750704573545646,2.2149882582121854,2.9291550463193645,45.60933943470803,55.903680390777645,35.978064431859515,10.000000000000002,42.76868460127631,34.88351616719798,26.305182382450475,1.2711298027977227,207.71057688220134,298.23992635892756,6.299708964940964,18.59061767734169,752.9494558529575,678.2335695754058,12.480207121541602,8.730818119279125,2122.6454843320544,1597.0475745244964,58.75034829322482,1.4819586553353896,14.51016464102284,42.664008387091435,69.69494708399918,2.9009209950368406,23.927754860337952,24.34431419346828,31.121559401075476,515.4413433074951,80.0,1200.0,954543.4830335014,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,70,21389.436049454423,3.4532691985964985,3.4919127417082323,3.7890143608450657,2.618555806700054,2.7258541242228738,3.8107846374172984,2.9306669498847144,46.20639812920268,51.10338905187458,27.834202578102474,10.000000000000002,42.496301380133694,15.54366464427925,26.422461887293128,21389.435802670887,3.453268367717474,3.491913669256021,3.789014385673391,2.6185581385059438,2.7258548438261987,3.8107846374172984,2.930666924846303,46.2064441626893,51.10339448226367,27.83420013691172,10.000000000000002,42.496302143304696,15.54366464427925,26.422452760864186,1.316536950528524,245.32122416275513,259.1788198962073,6.759843445702974,6.397293468312081,602.8859447619554,630.079041088639,7.765198840927865,5.225498387069676,2218.0148352846477,1669.7802129784789,54.12338444136712,5.003359283858424,1.7964589831821,25.333256501152203,61.19617013247129,0.5489475302072238,3.3841977188468517,10.872426277106992,31.95951379749257,491.67527747154236,79.0,1185.0,940399.8573740809,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,91,21892.60345051827,3.47112683536201,3.3781380723453673,3.1165954174224253,2.6422514629678484,2.752077802610184,3.6936576029800703,2.9291855840891885,45.57214580107544,57.71280615806102,67.69845188331516,10.000000000000002,42.905572251206266,17.45077503017278,26.30109757392092,21892.603346034834,3.4711262974683588,3.378135513767349,3.1165973458505594,2.6422534820750303,2.752063095485452,3.6936576029800703,2.9291858338899877,45.57216889729238,57.71286304877727,67.69849934716306,10.000000000000002,42.905445994247216,17.45077503017278,26.30110326968246,1.2461784317705742,201.03815791390812,300.3405224813751,6.254145748286748,21.95424085986504,779.3464565905931,695.4441857067283,12.544952784959191,11.49814119626433,2072.4936126070916,1554.7456301433979,60.52885497541629,1.2989291336093018,13.759056653592927,42.514541100774075,76.44901639106683,7.053980402669217,128.65266623124276,82.42603777421539,33.417102584875416,636.8822736740112,102.0,1530.0,928737.9154767735,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,82,21275.80016385731,3.469263751124205,3.3913713597777013,3.4529772451528946,2.6371359683984696,2.7395056788011125,3.011324331353793,2.929071556944078,45.658778129704466,56.7676492156939,41.62721922488486,10.000000000000002,42.85062115567383,19.584889568382092,26.300226637373616,21275.797231370365,3.4692624399922694,3.3913776590535205,3.4529793459392133,2.637144623250548,2.7394981800070206,3.011324331353793,2.9290708992907453,45.658850095522915,56.767708110795624,41.62719251148273,10.000000000000002,42.85043126629359,19.584889568382092,26.300229566894917,1.2635079903369524,196.38606237595266,299.26343542050375,6.095304347936308,15.024524871236746,722.3440183093262,658.7106096486045,10.594579764274005,9.624342927605873,2079.6175511246856,1562.9047709518168,58.39257786684323,1.4389817395461557,14.913089959622843,42.80763701603845,71.46246074200045,3.883006326022159,46.293588510430006,35.209348935430086,28.794825174713512,575.856901884079,92.0,1380.0,943420.507726667,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,81,21289.126677337605,3.464491615349,3.5012387651009123,3.219129457722537,2.624011871619476,2.753420102794,3.2561523966147004,2.929722397460975,45.876891058131726,50.64497274050289,57.898011636061796,10.000000000000002,42.655777355195696,45.256780051911,26.316471321209583,21289.12152245304,3.464488542467095,3.501240955291782,3.2191328031280526,2.6240241204543975,2.753408330629299,3.2561523966147004,2.9297175206891675,45.8769409444159,50.64506653496339,57.8980853276943,10.000000000000002,42.65549218652428,45.256780051911,26.316472299977093,1.2480671041292948,202.4997358507521,289.17176763477534,6.2245019942506845,16.181686405387655,683.12591884477,648.1203702728517,11.155582899341962,6.1774168729665515,2107.627871760342,1589.2584894824765,53.46718849971714,8.146024389331577,1.8669664592637225,18.86169114716303,53.50812126589162,4.097397975848677,87.02027840335225,34.916054330882716,30.042158364806212,542.6477520465851,87.0,1305.0,949334.2608877149,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,63,21287.240691858144,3.4706597240989323,3.5088451769079954,3.2111421182225026,2.6205622675902447,2.7584242509280488,3.2433914404182436,2.929126993406561,45.63221622335837,50.259830552253874,58.48526720784655,10.000000000000002,42.718608443629634,46.61828321967889,26.29228639453402,21287.238204879002,3.4706614519604746,3.5088487466790266,3.211146511413588,2.6205707535181095,2.758423534811165,3.2433914404182436,2.929127217875933,45.632205397124785,50.259821649976786,58.4852585511376,10.000000000000002,42.7184511754894,46.61828321967889,26.29226651636317,1.2800560409418296,210.49076216710165,300.04138687604495,6.31920055481809,17.72986810877694,714.3052251050814,631.2633540507741,12.368789847331733,6.303991653671393,2164.0732170116853,1633.5352085416464,55.80926938048737,8.084548064715928,1.4211356793348495,18.57313040937005,53.375043955096416,4.0548075005260955,86.58623046214427,38.578102618856256,28.207519384553997,782.4101748466492,73.0,1095.0,966855.9319577577,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,80,21275.470160435485,3.471573052861684,3.5074763873216854,3.228819583570932,2.619863583733515,2.7515865417944827,2.1846771895375956,2.9290085831364876,45.57789772149002,50.30848324969797,57.072756596690475,10.000000000000002,42.67770654375754,22.155828740603113,26.291458976142025,21275.468037935414,3.471578086669341,3.5074790432516947,3.228831776253409,2.619872944328364,2.751608696644736,2.1846771895375956,2.929008540404461,45.57780187257702,50.30844572399041,57.07274676294835,10.000000000000002,42.677513140726774,22.155828740603113,26.291449393811636,1.2702920133237119,204.37168422939723,302.25784162946064,6.240755865684072,15.432220323980642,721.0073251941755,636.5827841769643,12.308801981950944,6.392087524498234,2194.2512245003504,1656.2384105039973,57.094095402212965,7.793749427714129,1.6358006880774794,19.237352051555963,53.03407292750441,4.195164895584203,88.11468415955808,35.525930532327564,29.167871848576723,974.4094977378845,89.0,1335.0,978254.6660736225,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,132,21486.939523971432,3.4861734269885023,3.4264826127752284,3.2531038890860318,2.6244054916722144,2.7824245961434917,2.330708394233865,2.928781744136011,45.125850270275755,54.32774330030955,55.0371238771318,10.000000000000002,42.829551934576614,41.2829851909568,26.250448896933296,21486.939420900486,3.486173494106769,3.426481564138622,3.253103233058332,2.6244060452378153,2.782424112670456,2.330708394233865,2.9287817108427867,45.12584562780085,54.32781332601662,55.03718283515601,10.000000000000002,42.82955414703688,41.2829851909568,26.25044779008839,1.4727095655110483,347.945515103596,311.38412247167474,8.250275171682894,32.61085582494261,855.9239683942898,644.7932712905867,18.433666918669534,8.419564009132394,2114.019470928788,1597.98112970397,58.19577010856415,2.5921463922837917,22.5116161316436,43.88541235413796,52.52664605033917,5.877552897090729,102.67213236475465,48.93363253182064,27.805771046210754,863.1676859855652,139.0,2085.0,1015219.152169813,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
27,77,21200.78948444394,3.4598885795375405,3.5819899011094094,3.5741896746242725,2.6147202443562803,2.759925015293077,2.27085580614434,2.9299582161986795,46.059454368653235,47.00213676246077,36.090215660777204,10.000000000000002,42.625868214076384,45.18211884933155,26.335583638376587,21200.789208138365,3.4598882876636616,3.5819905922037716,3.5741913293093623,2.6147185682989726,2.75992027104843,2.27085580614434,2.9299582675767555,46.05948338011183,47.00211189409944,36.09022713814831,10.000000000000002,42.62574933422105,45.18211884933155,26.335584935469804,1.2589673901584464,202.66721595318054,281.24904246239447,6.1575712188596095,15.040792700201765,628.3150331874987,611.537746825865,10.113705232262529,4.898520545330597,2148.5271968268885,1621.642973300975,50.742860569054706,20.267970786333862,6.363825460750211,5.04333408255599,38.31476900030065,0.44164154339741724,16.95538612459987,16.09267743175552,27.64938154863243,551.6591656208038,88.0,1320.0,960799.7519184308,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
35,57,21479.189377474402,3.4652429969266096,3.52380956052545,3.1760496868055483,2.612461651736578,2.827843560806147,3.718978641731171,2.929351339641499,45.85221814468631,49.473948501099656,61.48224452449686,10.000000000000002,42.85196376082029,35.18645772454818,26.30313793324574,21479.187488737196,3.4652408510770707,3.523809156242374,3.176050944449651,2.6124619857623568,2.8278438385076794,3.718978641731171,2.9293518941211003,45.85229456709703,49.473942698888386,61.482235506431614,10.000000000000002,42.85190458575453,35.18645772454818,26.303152492075164,1.2537377423896612,190.07263891966994,294.1940631829275,5.9684853293538955,50.26925484506836,775.3021902626124,630.838865485956,16.96177651234329,5.005590721161621,2186.9321242535057,1652.140454904156,52.510563216496365,8.103671994949217,1.6153102434585895,18.168866637436736,50.05815270097759,4.2037557334214695,85.48925533869067,44.91302574760438,26.666422202502382,428.9929213523865,70.0,1050.0,992178.0848635099,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
