Molecule,Property,Value,Uncertainty,Weight
R32,expt_Hvap,264.69000000000005,0.01,0.03568329421252465
R32,expt_Hvap,215.53000000000003,0.01,0.05381762780425654
R50,expt_liq_density,394.04,0.0003,0.016101242386289235
R50,expt_liq_density,376.87,0.0003,0.01760179154244886
R50,expt_liq_density,357.9,0.0003,0.019517159525689307
R50,expt_liq_density,336.31,0.0003,0.02210346939760206
R50,expt_liq_density,310.5,0.0003,0.02593085278795564
R50,expt_vap_density,5.9804,0.0003,69.90038101903625
R50,expt_vap_density,10.152,0.0003,24.256983372051362
R50,expt_vap_density,16.328,0.0003,9.377218274755075
R50,expt_vap_density,25.382,0.0003,3.880505730603581
R50,expt_vap_density,38.974,0.0003,1.6458492239527294
R50,expt_Pvap,3.6732,0.003,185.28952047890337
R50,expt_Pvap,6.4117999999999995,0.003,60.810710035959566
R50,expt_Pvap,10.4,0.003,23.11390532544378
R50,expt_Pvap,15.921,0.003,9.862779503823369
R50,expt_Pvap,23.283,0.003,4.611711516289812
R50,expt_Hvap,472.041,0.01,0.011219682448246896
R50,expt_Hvap,445.14,0.01,0.01261672873784311
R50,expt_Hvap,412.59,0.01,0.014685969206714718
R50,expt_Hvap,372.27,0.01,0.018039476492112013
R50,expt_Hvap,320.3,0.01,0.02436835042545677
R170,expt_liq_density,510.45,0.0003,0.009594748433419849
R170,expt_liq_density,481.29,0.0003,0.010792606234648335
R170,expt_liq_density,448.05,0.0003,0.01245337441053976
R170,expt_liq_density,407.72,0.0003,0.01503889674691964
R170,expt_liq_density,351.31,0.0003,0.020256247018275376
R170,expt_vap_density,6.239,0.0003,64.22587613793159
R170,expt_vap_density,12.676,0.0003,15.558780275270417
R170,expt_vap_density,23.591,0.0003,4.4920781940507375
R170,expt_vap_density,42.089,0.0003,1.4112462271679858
R170,expt_vap_density,77.214,0.0003,0.41932224872479723
R170,expt_Pvap,3.338,0.0002,224.37132053471456
R170,expt_Pvap,7.001799999999999,0.0002,50.99417921352406
R170,expt_Pvap,13.008,0.0002,14.774709555213631
R170,expt_Pvap,22.1,0.0002,5.118650314285127
R170,expt_Pvap,35.159,0.0002,2.022399643819505
R170,expt_Hvap,452.416,0.005,0.012214173854586684
R170,expt_Hvap,416.76,0.005,0.014393550966955989
R170,expt_Hvap,372.35,0.005,0.01803172570340815
R170,expt_Hvap,313.75,0.005,0.02539642227901144
R170,expt_Hvap,225.97,0.005,0.048959664989301356
R125,expt_liq_density,1501.1,0.001,0.0011094832723229223
R125,expt_liq_density,1425.9,0.001,0.0012295943832246615
R125,expt_liq_density,1340.6,0.001,0.0013910462780175362
R125,expt_liq_density,1241.1,0.001,0.0016230296638989274
R125,expt_liq_density,1118.0,0.001,0.0020001216073937296
R125,expt_vap_density,8.19,0.001,37.271099542161814
R125,expt_vap_density,18.524,0.001,7.2856862354059535
R125,expt_vap_density,37.291,0.001,1.7977609780146484
R125,expt_vap_density,69.667,0.001,0.5150931684380051
R125,expt_vap_density,126.446,0.001,0.15636149634038207
R125,expt_Pvap,1.2365000000000002,0.0005,1635.1280444244665
R125,expt_Pvap,2.9076,0.0005,295.71318459329194
R125,expt_Pvap,5.9227,0.0005,71.26897923099334
R125,expt_Pvap,10.8284,0.0005,21.321189409721963
R125,expt_Pvap,18.2493,0.0005,7.5066745486401105
R125,expt_Hvap,162.1,0.005,0.09514237294972944
R125,expt_Hvap,149.8,0.005,0.11140800105525654
R125,expt_Hvap,135.6,0.005,0.13596296586350626
R125,expt_Hvap,118.5,0.005,0.17803414694938488
R125,expt_Hvap,96.7,0.005,0.2673542304529301
R134a,expt_liq_density,1397.7,0.0005,0.0012797115165779794
R134a,expt_liq_density,1337.1,0.0005,0.0013983382293909098
R134a,expt_liq_density,1271.8,0.0005,0.0015456187137677607
R134a,expt_liq_density,1199.7,0.0005,0.0017369794922960408
R134a,expt_liq_density,1116.8,0.0005,0.0020044221722317554
R134a,expt_vap_density,3.8367,0.0005,169.83387724432762
R134a,expt_vap_density,8.9052,0.0005,31.52482274933864
R134a,expt_vap_density,18.228,0.0005,7.524228376535404
R134a,expt_vap_density,34.193,0.0005,2.1382850330852867
R134a,expt_vap_density,60.715,0.0005,0.6781847346597816
R134a,expt_Pvap,0.72481,0.0002,4758.736475831068
R134a,expt_Pvap,1.7684,0.0002,799.4273388596231
R134a,expt_Pvap,3.7271,0.0002,179.96908895560432
R134a,expt_Pvap,7.028200000000001,0.0002,50.61180025978363
R134a,expt_Pvap,12.165999999999999,0.0002,16.890573057687472
R134a,expt_Hvap,221.55,0.01,0.05093267662777397
R134a,expt_Hvap,208.2,0.01,0.057673798839326336
R134a,expt_Hvap,193.28,0.01,0.06692157827507565
R134a,expt_Hvap,176.08,0.01,0.08063432403717197
R134a,expt_Hvap,155.48,0.01,0.10341676413214075
R143a,expt_liq_density,1127.0,0.001,0.001968304006915833
R143a,expt_liq_density,1067.2,0.001,0.002195070006226272
R143a,expt_liq_density,1000.4,0.001,0.00249800119936032
R143a,expt_liq_density,922.32,0.001,0.0029388455083317216
R143a,expt_liq_density,822.31,0.001,0.003697165274583798
R143a,expt_vap_density,8.5946,0.001,33.84454427210766
R143a,expt_vap_density,17.796,0.001,7.8939653274813395
R143a,expt_vap_density,33.738,0.001,2.1963489504532174
R143a,expt_vap_density,60.818,0.001,0.6758895629372687
R143a,expt_vap_density,109.18,0.001,0.2097267508752568
R143a,expt_Pvap,1.8902,0.001,699.7203279424601
R143a,expt_Pvap,4.0251,0.001,154.30736660016592
R143a,expt_Pvap,7.6276,0.001,42.96988471648818
R143a,expt_Pvap,13.234000000000002,0.001,14.27439623928812
R143a,expt_Pvap,21.483,0.001,5.416891687055792
R143a,expt_Hvap,216.4,0.005,0.05338576812297347
R143a,expt_Hvap,200.09,0.005,0.062443787945981544
R143a,expt_Hvap,180.78,0.005,0.07649609127616422
R143a,expt_Hvap,156.88,0.005,0.10157921384384587
R143a,expt_Hvap,124.85,0.005,0.1603846923075813
R41,expt_liq_density,847.46,0.002,0.0034809805064818723
R41,expt_liq_density,800.92,0.002,0.003897281099317317
R41,expt_liq_density,749.06,0.002,0.004455606164833437
R41,expt_liq_density,688.78,0.002,0.005269615798913877
R41,expt_liq_density,613.19,0.002,0.006648901226346505
R41,expt_vap_density,4.5753,0.002,119.42654189228065
R41,expt_vap_density,10.278,0.002,23.665886752635554
R41,expt_vap_density,20.671,0.002,5.8508240070009
R41,expt_vap_density,38.976,0.002,1.6456803192937897
R41,expt_vap_density,72.468,0.002,0.47604439639092344
R41,expt_Pvap,2.1852,0.002,523.5493502978736
R41,expt_Pvap,5.0927999999999995,0.002,96.38884274562211
R41,expt_Pvap,10.296,0.002,23.583211228898875
R41,expt_Pvap,18.740000000000002,0.002,7.11870236876245
R41,expt_Pvap,31.548000000000002,0.002,2.511865288013528
R41,expt_Hvap,465.553,0.02,0.011534579044814244
R41,expt_Hvap,431.84,0.02,0.013405847485675608
R41,expt_Hvap,391.28,0.02,0.016329192507896852
R41,expt_Hvap,340.48,0.02,0.02156536415639663
R41,expt_Hvap,272.32,0.02,0.03371172160767522
