Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_H2_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_H2_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_H2_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,42,661.7782172022012,3.4375997517262573,2.273721693376446,2.375069223751228,2.3550058788134303,2.919905652239555,30.237967475203256,62.15072196372062,11.219399848161848,3.464105771017407,32.45705812579974,661.7780983505457,3.4375999731418103,2.273721693376446,2.375069223751228,2.3550058788134303,2.919905787203229,30.238075788551807,62.15072196372062,11.219399848161848,3.464105771017407,32.45702060703181,0.2279324193436187,9.02886898041914,7.659662253016588,5.157754809451586,49.41677212715149,54.0,594.0,6678.287165822897,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,53,662.5318776441011,3.436796888629574,3.5177914085162136,2.21758553049045,2.1164748809020137,2.920192006860285,30.69396636396269,54.97249438035085,14.78075979630483,2.525136165802357,32.27108484907825,662.5307051793363,3.436793007785666,3.5177914085162136,2.21758553049045,2.1164748809020137,2.9201921998457188,30.693835612750277,54.97249438035085,14.78075979630483,2.525136165802357,32.27118401775266,0.2457410098632013,9.139945967133556,8.24603105858048,5.071821413017599,54.772677421569824,59.0,649.0,3160.7246114219733,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,36,978.120571548697,2.9772693538119936,2.461925083032897,2.331021628954221,1.925180051160137,2.934144529413432,36.95407634979947,36.358338780338414,3.0326325381953554,3.4319131914237317,37.9740630125827,978.1151202389058,2.9772471522202686,2.461925083032897,2.331021628954221,1.925180051160137,2.934138588565532,36.953785496544704,36.358338780338414,3.0326325381953554,3.4319131914237317,37.97404234483916,0.1862154413357125,58.90027625954128,66.45274879041938,20.393939982940715,38.75962567329407,42.0,462.0,7313.516866506795,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,90,981.9351138341932,2.893140732815864,3.816355314222981,2.887384060420393,2.2635488109441857,2.936627713507616,39.95974318869843,42.39986758509811,3.472222766667844,9.2623850412863,38.62417116639667,981.9241654927756,2.893354784525882,3.816355314222981,2.887384060420393,2.2635488109441857,2.93664415954447,39.95872706109834,42.39986758509811,3.472222766667844,9.2623850412863,38.62081010240349,0.136802855307376,48.70665344326163,44.28097306563035,20.60926396570236,119.71361708641052,134.0,1474.0,1082.769269029221,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,27,1006.9294272605082,3.0791914090740136,2.2793227277049013,2.250282329624142,1.915516850553822,2.9317321755281527,35.08705963316001,41.48836205652069,11.91320681807319,9.421314515668607,36.70914901067454,1006.929283938854,3.0791904965663486,2.2793227277049013,2.250282329624142,1.915516850553822,2.931733098860928,35.08702008002771,41.48836205652069,11.91320681807319,9.421314515668607,36.70917052411942,0.2266919361863316,55.73314344055908,80.98082633851885,16.211069706677907,61.87840700149536,67.0,737.0,3443.358024691358,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,41,1009.8852177394148,3.123933880849654,2.593894277333216,2.623815038857991,2.523577039188139,2.9304136577405284,34.07662460432518,19.267796280370764,6.260899568302698,2.395978782517437,36.26729163088186,1009.8852081917904,3.123933770596223,2.593894277333216,2.623815038857991,2.523577039188139,2.930413703523313,34.07658817862421,19.267796280370764,6.260899568302698,2.395978782517437,36.26731356957127,0.2765031122569109,55.157688984508745,84.94088011070309,15.475042868633995,46.50376319885254,51.0,561.0,14120.947721822542,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,88,1028.213750572517,2.4635129133751703,2.964834669103982,2.015968100495326,2.81991363421784,2.9102794469289117,39.65138955324706,67.61731835606979,6.77152865556445,2.883407528206622,45.7786142849263,1028.2137492170325,2.463513736405468,2.964834669103982,2.015968100495326,2.81991363421784,2.910279668450442,39.65136273794013,67.61731835606979,6.77152865556445,2.883407528206622,45.778618085361884,0.2473467124367348,24.00332452614565,22.30822193900134,7.543068955095658,100.18023538589478,111.0,1221.0,4094.6562216893153,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,23,1052.254485468511,2.3726825103832647,3.163609991868807,2.96773799915871,2.869560662814491,2.9117498648695985,47.429108587341474,37.67103763173926,12.456120021356046,11.318329719071151,45.73477593026061,1052.25305284147,2.372662019961647,3.163609991868807,2.96773799915871,2.869560662814491,2.911741013089408,47.4286616545534,37.67103763173926,12.456120021356046,11.318329719071151,45.73506947335203,0.5256469572499254,23.993076318916533,27.852006516617024,5.728046396533402,28.288639783859253,30.0,330.0,2687.6884980904165,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,96,1113.309458997964,2.973709008220558,3.683323940011848,2.108587604399195,2.856413164972137,2.899530593842234,21.303547624338744,65.00228878796683,13.70688513720323,5.636670504582479,43.06518223962817,1113.309458997964,2.973709008220558,3.683323940011848,2.108587604399195,2.856413164972137,2.899530593842234,21.303547624338744,65.00228878796683,13.70688513720323,5.636670504582479,43.06518223962817,0.3159369345338033,26.56313374037855,17.524990543370905,1.7217289345017668,137.16517782211304,151.0,1661.0,2748.1562483346656,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
9,54,1113.4339275892671,2.9561976476805696,2.276896097976379,2.655871284097743,2.700907244346033,2.9000002566239043,21.6006850324011,15.699805119269708,14.400636935311963,11.170052109029625,43.21407059325362,1113.4334930003058,2.956198569891903,2.276896097976379,2.655871284097743,2.700907244346033,2.900000494296174,21.600848980236226,15.699805119269708,14.400636935311963,11.170052109029625,43.21398634137334,0.2832198311512902,22.55141248173028,15.015967701556349,1.8821991769082775,58.94334411621094,64.0,704.0,25707.650057731596,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
