,molecule,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,R116,190,1629.4275427333332,7.139438678866667,16.181425155416587,0.78987692955,68870.70889788888,21450.437661777778
1,R116,210,1542.3056271333332,19.928385290222224,15.009293012716041,2.3375821176666665,67903.34019822221,24109.29901733333
2,R116,230,1439.6533220444446,40.67742718777778,13.616774341270306,4.927655526488889,69505.19289955555,23931.516666444444
3,R116,250,1327.9272241888889,82.91678624866667,11.859841018530172,9.91789232348889,67776.55793888889,27316.497845444443
4,R116,270,1191.250899322222,166.81633697222222,9.37762613781824,17.94138844210111,61451.71317911111,35633.899806
5,R125,229,1507.3886493666666,7.403875650444445,19.718224320926044,1.1269219715177778,41796.86987988889,12791.897789999999
6,R125,249,1436.444556211111,18.233603015777778,18.33847865333171,2.8962225492666667,41732.095199999996,14722.188820555555
7,R125,269,1352.7928239111109,35.24010324511111,16.747922332971587,5.736714718188889,42888.277498555544,15207.074937333335
8,R125,289,1256.1270928,67.29332512433332,14.76818644599243,10.842782008399999,42664.087416888884,17354.974033333332
9,R125,309,1141.1900692555555,114.38733159433333,12.446167418227116,17.646372340155555,42814.40727644445,19030.019947333334
10,R134,240,1509.6103017,2.4034480725,29.29223473577768,0.4577037723644445,25246.10390644445,6793.2292334
11,R134,260,1460.5869539444448,2.9101666710666665,28.197346290744633,0.5973245267411111,28672.702744000002,3707.511127844444
12,R134,280,1409.290197,5.479174002033333,26.861609053457084,1.20080140164,30424.005232333337,3601.5416216555554
13,R134,300,1352.0473510777776,9.804372417866666,25.441198276410855,2.2711566475888887,32182.129753,3694.7180987666666
14,R134,320,1294.7432987555555,20.798423308555556,23.72970336542754,4.907963822311111,33218.59427033333,4827.3813527111115
15,R134a,240,1395.0292186333334,4.143405769677778,22.85329723123972,0.7824888095011111,-554.1274215418432,3929.340852344444
16,R134a,260,1333.063537911111,8.81955365921111,21.53364578456303,1.7619901163,760.8604135220176,3846.8039595444443
17,R134a,280,1263.0742020333332,18.663911525888885,19.901706310951443,3.8444115455222225,2183.1241498912223,4294.790760744444
18,R134a,300,1190.5205757444446,35.57068752588889,18.132110917803335,7.383397939133333,3461.935350733333,4753.596902988888
19,R134a,320,1109.8532912000003,65.31213205488888,15.972699520706982,13.1189118293,4570.532413966666,5455.293283744444
20,R14,130,1693.2716718111112,2.485267274188889,12.573740203621586,0.30053143851999997,-3795.104669144444,1066.5131689077778
21,R14,150,1587.3839401444445,10.438635906533333,11.614712091035596,1.4121455023,-2858.6850738000003,1189.5110997188888
22,R14,170,1470.6130327222222,31.03321644388889,10.46497274839582,4.464499662077778,-1907.1059486166669,1337.0256566555556
23,R14,190,1336.2310461333334,73.76282111155555,9.007691579265911,10.698194987244445,-899.0582225626222,1513.7847300777776
24,R14,210,1159.6209116666666,165.74447949444442,6.8803878364434405,21.982469273899998,126.63278102566454,1832.418068311111
25,R143,317,1174.5976093555557,9.119529181499999,27.282889595126534,2.696702665266667,2621.892352049444,3298.8900097111114
26,R143,337,1124.0779020777777,18.030539356111113,25.394667709621633,5.420800518011111,4197.663032733333,3983.9910555444444
