Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_x_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_x_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_x_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_x_cum,epsilon_F_4_cum,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
19,128,55.55591504055607,3.0317140339370594,2.9542819740995645,3.730314768791238,3.2436124634808303,3.088020237627876,3.3082746939414887,2.4269185760274707,3.5030556342704875,2.444098279599845,43.75786858379216,61.04424183440524,52.10782232655753,31.08355988220213,66.73995446600725,64.90612449413454,6.5694465957542105,45.33128959582796,48.24320969737693,55.55558297246198,3.0317140339370594,2.9542819740995645,3.7303175887576963,3.2436124634808303,3.088020237627876,3.3082746939414887,2.4269200866891856,3.5030556342704875,2.444098279599845,43.75786858379216,61.04424183440524,52.10789095245713,31.08355988220213,66.73995446600725,64.90612449413454,6.569454042656796,45.33128959582796,48.24320969737693,1.529411129894833,3.5132247848943914,5.495525262014226,19.199016439770787,329.86082553863525,209.0,3971.0,486.4230926370015,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,130,55.89663719451259,2.6903441023104295,2.450079915628169,3.733924198206686,2.6245396754038337,3.832611106936701,3.8192710499031133,2.420750317039815,2.221782601488058,2.3859254640382255,42.4729710941276,57.35806841834877,51.95957685982114,26.122181294520004,65.35867187086387,37.03016668738928,6.592132655988135,23.178314873373754,18.56885407990291,55.895841233959494,2.6903441023104295,2.450079915628169,3.733937681223938,2.6245396754038337,3.832611106936701,3.8192710499031133,2.4207574768063274,2.221782601488058,2.3859254640382255,42.4729710941276,57.35806841834877,51.95990313803981,26.122181294520004,65.35867187086387,37.03016668738928,6.592168364471753,23.178314873373754,18.56885407990291,1.4441895816039632,3.6136569523687205,5.462396036614604,19.214557177032205,310.4783260822296,196.0,3724.0,1014.9966420611179,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
6,102,51.571770610626295,2.22949194590675,3.8989785174141423,3.7114207826386187,3.1567792287742638,2.8162736055225626,2.474053960486055,2.454869024290924,3.1473589733445717,2.0057406540623175,50.11441938534706,31.23191861518626,55.43883809988342,67.58623645520036,33.222534400162495,69.05478480978697,5.746758413619766,15.553743499629471,47.530303181031655,51.5713742422881,2.22949194590675,3.8989785174141423,3.711434690094678,3.1567792287742638,2.8162736055225626,2.474053960486055,2.454873778874054,3.1473589733445717,2.0057406540623175,50.11441938534706,31.23191861518626,55.43914324238309,67.58623645520036,33.222534400162495,69.05478480978697,5.746790409555406,15.553743499629471,47.530303181031655,1.5615312136299908,4.139077725915689,5.442928319355857,18.863062694605986,309.85256266593933,195.0,3705.0,650.0632738253842,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
17,32,61.901829677597206,3.144977034383212,3.466285050575022,3.7502079331920024,3.5417678210037757,3.1377159814094306,2.9314197571839617,2.4016457475440074,2.1364186968334082,2.7558483586561993,15.175695050386405,73.88311239247895,49.20655475307924,62.77081535183509,66.8725069221334,54.74686140508633,7.369178425175259,20.634000288546307,31.340800796715722,61.90168422984763,3.144977034383212,3.466285050575022,3.750206311416964,3.5417678210037757,3.1377159814094306,2.9314197571839617,2.4016384675005686,2.1364186968334082,2.7558483586561993,15.175695050386405,73.88311239247895,49.206681709384256,62.77081535183509,66.8725069221334,54.74686140508633,7.369156799561544,20.634000288546307,31.340800796715722,1.8391075243513857,2.7767024739893955,5.528859966485175,18.619794137116543,114.05360674858093,38.0,722.0,344.0912336797229,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,52,50.94214732911634,3.2335567140033152,3.8980326413752326,3.695637184249038,3.1133063763903124,3.831212699532549,3.2831324178926744,2.4760553103369145,2.9719813341938197,3.208620965839946,45.720614898056574,70.2017927359195,56.91745807275611,35.666914840031076,72.61206434864629,21.307118334230186,5.483921069470621,19.727770531635596,32.69817579869139,50.94140984010954,3.2335567140033152,3.8980326413752326,3.6956560705142563,3.1133063763903124,3.831212699532549,3.2831324178926744,2.476066181789623,2.9719813341938197,3.208620965839946,45.720614898056574,70.2017927359195,56.917980646550056,35.666914840031076,72.61206434864629,21.307118334230186,5.483959873914125,19.727770531635596,32.69817579869139,1.53356984186756,4.00658624323293,5.530509868877661,19.18666819716586,164.71078205108643,105.0,1995.0,918.3815258903988,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
9,79,51.72555737419667,2.0891037570895232,2.2149882582121854,3.6227721902919665,3.425977960765353,3.1194339641082847,2.0251119603182315,2.550449906750081,3.9345526600005436,3.1362009238398842,23.214060252964387,26.401173397071027,65.50033523320057,22.702916272105725,47.78833027276176,73.05129929074032,4.202473054318328,23.394671570165514,32.28193999940555,51.725549773937004,2.0891037570895232,2.2149882582121854,3.62277636067037,3.425977960765353,3.1194339641082847,2.0251119603182315,2.5504479629749577,3.9345526600005436,3.1362009238398842,23.214060252964387,26.401173397071027,65.5002939904935,22.702916272105725,47.78833027276176,73.05129929074032,4.202520228178339,23.394671570165514,32.28193999940555,0.20135255334515717,2.6847956895637886,8.151157632898485,21.73022528475516,268.82014751434326,89.0,1691.0,468.0441957545075,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,112,51.506896527341624,2.980507045239855,3.1982206152917563,3.6200292575581066,3.186962816393274,2.867352697978917,3.6147210577696827,2.553882929905908,3.7857774170503022,3.1557144305690707,21.960663105785233,61.21540019865779,65.24676885015626,13.504102684793944,37.3125892000736,54.139474376752936,4.28763668680206,15.014070871197509,49.1865702160871,51.506896527341624,2.980507045239855,3.1982206152917563,3.6200292575581066,3.186962816393274,2.867352697978917,3.6147210577696827,2.553882929905908,3.7857774170503022,3.1557144305690707,21.960663105785233,61.21540019865779,65.24676885015626,13.504102684793944,37.3125892000736,54.139474376752936,4.28763668680206,15.014070871197509,49.1865702160871,0.26667771001489937,2.5376598859831407,8.206580259317246,21.82500978807054,702.2428553104401,240.0,4560.0,740.3424815702994,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,109,52.35093543223509,2.0430496105483957,3.8959404224353618,3.7202880946932098,2.0300379614842443,2.3523925111501103,2.664127148733674,2.4414923649025173,3.6189813842531637,2.6894733053665867,71.10698635166888,47.83092169656021,54.4623745367497,64.90773895049443,68.85050071606221,39.89221727809246,5.95047304695671,42.95112569032138,25.000159810695166,52.35093456312937,2.0430496105483957,3.8959404224353618,3.720288480290907,2.0300379614842443,2.3523925111501103,2.664127148733674,2.4414940425898073,3.6189813842531637,2.6894733053665867,71.10698635166888,47.83092169656021,54.46235170798719,64.90773895049443,68.85050071606221,39.89221727809246,5.95047855669538,42.95112569032138,25.000159810695166,1.491823025878194,4.128114203911296,5.400063437739898,18.91999539107861,538.5480239391327,176.0,3344.0,608.1550404121148,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,96,51.2537072035728,3.239911436762759,3.6579617991003572,3.7081143504732808,2.037152404354819,2.1400442874384447,2.9726902218740636,2.4572268341619314,3.1377028741729625,2.634724818644321,74.26005003680919,47.68343925097681,56.11438865605203,45.8116342426633,58.44673800892265,53.50013807445701,5.590966472433212,17.321719204995457,27.95294692699372,51.25367665830054,3.239911436762759,3.6579617991003572,3.708114992878025,2.037152404354819,2.1400442874384447,2.9726902218740636,2.457227094766032,3.1377028741729625,2.634724818644321,74.26005003680919,47.68343925097681,56.11438517864952,45.8116342426633,58.44673800892265,53.50013807445701,5.5910144497719,17.321719204995457,27.95294692699372,1.3529819790564062,4.193609670238739,5.573085547426509,19.019855681006774,418.6709415912628,135.0,2565.0,472.6810551558753,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,133,50.074488506833305,2.8029591669390808,2.6347678919165536,3.652794449889299,2.8604945416425287,3.9476041558545036,3.355601782868622,2.5224673884357807,2.853402018696065,2.686692479548846,61.84652225730683,67.19988875662308,59.90520094399854,53.076787804392055,27.56353703193426,26.403835597798338,5.146418949842987,33.47001262080613,43.07563794016094,50.07442950047913,2.8029591669390808,2.6347678919165536,3.652795771820359,2.8604945416425287,3.9476041558545036,3.355601782868622,2.5224682060841936,2.853402018696065,2.686692479548846,61.84652225730683,67.19988875662308,59.90524087221823,53.076787804392055,27.56353703193426,26.403835597798338,5.146421477541562,33.47001262080613,43.07563794016094,1.0550592567075423,2.8695628708868304,6.565270210650892,21.17925917527856,655.5884160995483,242.0,4598.0,963.8643574029666,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
