Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_Hc_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_Hc_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_Hc_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_Hc_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
9,187,100066.89716438374,3.3226569761589007,3.397548702843616,2.594211002152445,2.2195797129561177,2.9413354472985143,55.157221810957424,50.97612222702704,10.75212802508702,11.73817155112795,26.578187752207977,100066.89712143496,3.3226569508504915,3.3975482836088395,2.594210947248484,2.2195798629432497,2.9413353539222413,55.15722251995072,50.97611943406413,10.7521363174782,11.738164425987089,26.57818803708889,3.87440440433371,2504.7599718546603,292.00882544147817,24.98462564187671,94.88723281928807,13639.832345726349,8828.455241043484,733.3270134534029,151.20245210443525,307.70837788317,166.4341139525322,395.1491034712021,18.88009052199833,720.5660772102862,498.8633553579887,96.14485429635268,13.003834943952665,23.727058219101544,168.55890315788275,50.33389847894291,14.43584806191567,226.61655663127965,162.67702731822197,16.334964718580338,24.41547130717236,343.5638091423327,207.32269884304387,143.2750726676507,56.259971335446096,16122.56351198715,8639.962237330637,1108.130574247576,1569.8419485092163,207.0,2277.0,16962.43858246736,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,49,100071.2242348124,3.3210747696691136,3.4099909154548214,2.590955731014559,2.2193726949286545,2.9413707638435964,55.25576940672901,50.21132160472136,10.752924211709622,11.720804618798454,26.586496846704453,100070.87966741672,3.322041042570781,3.4101403457759845,2.5886743519154964,2.220127713404024,2.941433238695729,55.21672602343435,50.21973099402753,10.74060568448503,11.725739046999824,26.576596853140146,3.927824187614326,2548.375126097916,295.26238779515234,25.27659980948144,94.01899680509892,13589.740884314582,8798.17722750655,731.0050123529752,158.9178300665386,311.0701220956494,167.92348685440805,401.4206383178226,20.371843734354957,742.7127431708823,515.264298365968,100.58209071596012,12.807040850403409,27.64914109598853,170.95821037222132,52.085128493610405,13.74299364596849,226.01818331178845,161.68594482895972,16.51637784590463,23.892825582929675,337.3839390009719,204.1521270110439,142.4494358536386,56.091669822799375,16074.415515602384,8624.141734483828,1108.4351555243857,444.0909032821655,55.0,605.0,74015.83685940137,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,80,100073.57926222651,3.32485479560231,3.40790739081437,2.5903257129134776,2.220400033342807,2.941107423210558,55.05051159115762,50.36725518647942,10.746639569368153,11.740390653281084,26.55860693035109,100073.52253854298,3.3248693521165813,3.4079228598484823,2.59033769259748,2.220407948559932,2.9411177633955217,55.05100657250733,50.36769871170812,10.746592836622789,11.74049767341342,26.558733927684905,3.858082425110422,2463.350979443652,287.874074280096,24.556091971425616,96.22897098295076,13725.964116706684,8880.852019922566,738.7304246253746,156.38082875015667,304.6275327521934,162.3633828853466,394.535334950636,19.24453244597672,725.874455084733,505.0405941462817,96.96236870409606,12.813104073427072,26.244817034207724,167.58203485796795,51.00489864597672,13.8928709353186,225.9385646473313,161.82079697886212,16.42314088855247,24.376222457881227,339.07053523432774,205.16695241224903,142.61649046594437,57.08053140275311,16162.582352061136,8662.607068686957,1110.834860321655,826.913978099823,107.0,1177.0,14400.86515676348,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
2,132,100075.50004176427,3.3185893547792,3.384885241966122,2.595508238689473,2.219053543557567,2.941646800673263,55.36765199647952,51.73885838015649,10.740383519305528,11.736946921854758,26.59902281954901,100075.49979194376,3.31858855574068,3.3848859728952227,2.5955056087550368,2.219053949647172,2.9416467760065794,55.36763862139715,51.7388582006203,10.740401742188729,11.736955717341456,26.599039372900872,3.836791917297928,2488.041882789545,294.5010815503442,24.960425764768832,92.82744510936064,13511.134809195732,8751.914798414417,725.206874064282,150.41482625029866,293.9313594065776,158.23134227846342,390.21520758173,17.532051728375272,723.0510699346302,501.8532222809519,96.19576687539946,13.13513078154938,20.537573418307858,167.47710755119465,49.2399329067857,15.047099185329062,225.97375617805275,162.8122164332389,16.197067012175435,25.163780644049154,352.1289520663708,212.1766306644067,144.29482960425696,54.840401105181904,16029.169310769516,8590.954203781024,1101.9297725485162,1150.8769881725311,151.0,1661.0,19020.8068212097,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,109,100077.8830918645,3.3261257909709965,3.4016758474458806,2.5916463877736104,2.221901286593785,2.941265198999771,55.01997472693708,50.70861766614208,10.745393095494077,11.732768034642342,26.556223319901736,100077.42911649476,3.3258866324388,3.40056274663009,2.5933394567654617,2.220964262645593,2.941101616949849,54.98576817443817,50.79697493198818,10.750508236118968,11.737299703222387,26.562935145811903,3.91348153114406,2556.376577858059,294.18293569535285,25.46780138311254,97.35160588669864,13757.60236726946,8899.167837838077,741.7922472506789,153.8421212463736,312.55126445328625,167.79519194456478,396.11981739818094,19.07445907596521,736.5476407637723,511.7143673885318,98.86040547868642,12.474502258304916,23.24626835747811,158.19996076680897,48.47817710342042,13.859547903681166,222.4072551200803,160.04420093222976,15.622023626878294,24.20353889913355,328.88779521192856,198.23939527843496,140.23165904916863,57.78064983372311,16112.350026925636,8646.609026145992,1110.2051257752232,878.6736178398132,118.0,1298.0,82882.75463185008,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,63,100090.21376730409,3.316264099750282,3.407212518083778,2.5844289393360094,2.2186277014046065,2.941700197642873,55.45547077309693,50.23611611445302,10.757882478768057,11.749674676048606,26.629489316286257,100090.21287060216,3.3162628367010534,3.4072058992953163,2.5844314506118677,2.218627737233626,2.9417003819781424,55.45549726482016,50.2364808384946,10.757899442724106,11.749677049999368,26.62951278250193,3.926516080565453,2575.170921372262,299.5999976314398,25.589439486139185,91.31920782191546,13403.847044439555,8687.279523724517,717.8682315592246,174.1905017780456,299.740684821272,159.3757940836073,406.77635317755335,18.268533403642824,765.0146181023072,536.2819296916078,103.0027564704325,12.31848207339619,26.24083160426762,159.87377010829678,50.02208319806224,13.509512832786095,221.83707375680285,158.94817843862202,15.922962772343382,24.975349653429976,330.00910454521687,199.6811423619109,140.97155334418227,53.6975942643105,15996.872377077578,8563.719039944397,1096.357952756519,538.6014587879181,68.0,748.0,60534.798188116176,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,43,100111.2983271837,3.3202898447738334,3.433236891202605,2.602491327302412,2.2177670069949755,2.9415956458085475,55.22913370000765,48.83261782947877,10.84245271629971,11.7348657940959,26.598628959141788,100111.28674971222,3.32030194222028,3.43324383665899,2.6024896046941604,2.2177645222968057,2.9415944235571603,55.228784631073374,48.83248708324586,10.842382943660091,11.73485054626846,26.59855409187584,3.777446073080218,2442.466375994269,290.2744036240986,24.64905297859081,93.63542699028494,13605.702358329416,8808.170812423528,730.3559751676462,145.7245736409978,385.760383458852,227.22572038146023,434.4238190897096,30.198416118563205,739.8937902899941,497.540009247695,105.83759912036194,12.344441494504393,35.49256206642289,172.31344843787338,55.43371207064947,12.57835404011701,223.40578753469532,158.77176657887958,17.357666136780686,19.081023960739167,309.9609150966765,187.402602177303,137.9431921232649,55.73604262242657,16189.204754336037,8669.370462732924,1112.084152272795,377.9962899684906,51.0,561.0,89964.58911093348,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,139,100129.50654947272,3.3180511978760308,3.4447137269954444,2.584683892058064,2.2158112637586207,2.9415981650626217,55.29306097757912,48.06983639111801,10.833863239496496,11.73577210666356,26.63088573470002,100129.50612442274,3.3180565813272587,3.444719997511516,2.5847066896719024,2.215816194519608,2.941598096068043,55.29316492989413,48.06948554788559,10.83391502228012,11.735767672362073,26.630871045642497,3.853507182284474,2509.79513604574,293.429937235693,25.0865348953068,91.8343346273816,13514.809134632327,8752.505805008057,723.991737697409,178.83263341803243,358.8514293037667,201.82284555366223,439.7864647779684,24.936441465316783,753.0453813511936,523.3396319146926,105.47320335217157,11.74895505615043,37.88083731634566,163.01809943190474,55.20810758494032,11.814027795128174,214.53936276591503,152.56271761085128,16.985234344900142,21.456202254456223,314.3497822039454,192.2389948049233,139.04760009726115,54.892102090632704,16233.632428986724,8682.517548881437,1113.072980618182,1303.511521100998,169.0,1859.0,27744.388240518696,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,79,100210.781478553,3.3237867896276567,3.327538936334303,2.605551446424552,2.221084381767767,2.941331192527673,55.1538085856705,55.70481157783967,10.663836774956904,11.742466226431064,26.55651026968985,100210.7808764264,3.323794619431056,3.3275341371302964,2.60555861222963,2.221091928494237,2.9413317007500863,55.15372062893952,55.705057896208544,10.663810307531223,11.742381437396867,26.5565303164792,3.860623450451468,2490.5591230902187,292.05069942444817,24.90674528561445,95.7120933242896,13652.417284794456,8836.341418825357,734.7819110820312,123.13327735171428,239.6545189172797,123.12540366164512,343.7287411146779,12.53004832243512,670.3351923620291,477.8733449179196,88.78099770149032,13.788733264185431,10.151420459849474,153.73451572905822,42.62677229324824,18.58972122714444,209.23575384065035,155.39398882589836,16.14353683111532,28.120571617979227,405.22427781057496,245.5420801926802,147.83388397594416,56.35092708344141,16033.07228204811,8598.289287212183,1102.5867693280943,660.7822465896606,85.0,935.0,15999.53843147704,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
