Run,Iter,Min Obj,sigma_C_min,sigma_Hc_min,sigma_H1_min,sigma_H2_min,sigma_H3_min,sigma_F_min,epsilon_C_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H2_min,epsilon_H3_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H2_cum,sigma_H3_cum,sigma_F_cum,epsilon_C_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_H3_cum,epsilon_F_cum,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
17,109,27.06908916556766,3.753934532677421,2.45031468002219,2.745298723260114,2.8514714475507392,2.175157846149188,2.184580634002981,70.12043959685832,4.906967182538605,6.039323168133968,7.925314590785383,14.75396863753654,44.27712312143887,27.069087479201336,3.753936570621259,2.4503301935108825,2.745298723260114,2.8514714475507392,2.175157846149188,2.184580634002981,70.12045249521557,4.906944899171093,6.039323168133968,7.925314590785383,14.75396863753654,44.27712312143887,1.5191897187841576,0.2959344646211269,4.875727531099793,14.181061702388732,145.8193757534027,124.0,1612.0,57.06670219380052,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,186,27.07141236975086,3.753277830329464,2.451987831664665,2.5138127013623377,1.828477015419943,1.6877609593979508,2.296234208405947,70.11145717548118,4.906000602076478,8.933711124461956,13.977837117753786,13.324849839099102,30.63905105007472,27.07141227926902,3.7532788008241766,2.4519883586200297,2.5138127013623377,1.828477015419943,1.6877609593979508,2.296234208405947,70.11145446951816,4.905995014728665,8.933711124461956,13.977837117753786,13.324849839099102,30.63905105007472,1.54336476838477,0.2879378293558003,4.894007355147192,14.224203533295716,241.04140710830688,215.0,2795.0,90.21952842028658,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
13,77,27.074199956695143,3.7533221615162846,2.4513678790955558,2.177709098707275,2.10551318677403,1.8861644409019989,3.27400039918874,70.08752240984704,4.911592990762749,6.954056720642866,12.49596357555018,4.214025026779844,39.6046866371448,27.074198914347,3.753324305779212,2.4513613964629664,2.177709098707275,2.10551318677403,1.8861644409019989,3.27400039918874,70.08742134478287,4.91161800246338,6.954056720642866,12.49596357555018,4.214025026779844,39.6046866371448,1.491375452479549,0.3059464886360444,4.823080849188555,14.349050563630918,97.85281825065611,85.0,1105.0,608.371620507179,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,127,27.081984711042185,3.755712797471651,2.4460350031577835,1.856148852935675,2.426880474204442,2.597961750819617,2.1404582078827,69.95775131853134,4.937447804182509,13.222773967742402,2.33675882115395,2.011593018262835,15.100877103741988,27.08198447147941,3.755713623353105,2.4460372525074603,1.856148852935675,2.426880474204442,2.597961750819617,2.1404582078827,69.95772725266154,4.937445635090274,13.222773967742402,2.33675882115395,2.011593018262835,15.100877103741988,1.4634007528586246,0.3160589054503669,4.945838117108103,14.076718485301514,165.41809129714966,158.0,2054.0,53.757776001421085,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,146,27.089571389697745,3.7546490008661886,2.449739900786367,1.598804405196646,2.8245881595115407,2.232019367099101,2.298123411972546,69.86338623076415,4.945808175108267,9.378972346684504,5.199117041124527,5.069702378082357,26.23846035639925,27.089571389697745,3.7546490008661886,2.449739900786367,1.598804405196646,2.8245881595115407,2.232019367099101,2.298123411972546,69.86338623076415,4.945808175108267,9.378972346684504,5.199117041124527,5.069702378082357,26.23846035639925,1.5624262473492028,0.3031308395997958,4.954177372443193,14.162627950195304,193.4992778301239,176.0,2288.0,55.33237410071943,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,60,27.096431559632084,3.754160301377466,2.451391921431099,2.465044524767287,1.747431140454779,2.026691569663851,2.131015810159396,69.84303951736496,4.945808600676514,4.804085828772597,12.148721295141495,6.145885226313565,23.675424683792343,27.096399961392382,3.754167217217756,2.4514081210928444,2.465044524767287,1.747431140454779,2.026691569663851,2.131015810159396,69.84273095237619,4.945831025464753,4.804085828772597,12.148721295141495,6.145885226313565,23.675424683792343,1.6169768629705867,0.2873809270222516,5.019963425275366,14.123822975454718,78.98481941223145,70.0,910.0,422.9146754065272,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,86,27.106401637803483,3.7563575650447407,2.4453319854631475,1.5447078818338111,2.314886543042648,1.77429042345419,2.281387185452862,69.73089515873694,4.9722900442575,3.10497542417001,13.492404807745531,13.07250205114146,45.07337675709588,27.106399884101396,3.756357068957748,2.445332665383487,1.5447078818338111,2.314886543042648,1.77429042345419,2.281387185452862,69.73086378829437,4.972308502518079,3.10497542417001,13.492404807745531,13.07250205114146,45.07337675709588,1.4898611908521613,0.321009048324852,5.039683773560467,14.050510337141938,126.9530930519104,121.0,1573.0,50.80163424815703,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,176,27.19365075622704,3.757732567891952,2.4439915738795084,2.98019074264199,1.550364905194856,1.622532324840885,2.7346685751526314,69.28517807461495,5.04155421155485,3.436989413201935,12.732324174390008,11.620763529086991,24.25444046575574,27.193636258014127,3.757723202407244,2.443995660152984,2.98019074264199,1.550364905194856,1.622532324840885,2.7346685751526314,69.28528118424,5.041557212417825,3.436989413201935,12.732324174390008,11.620763529086991,24.25444046575574,1.5511748560357774,0.3428798146184517,5.148773883557227,14.055111827264833,198.7702329158783,185.0,2405.0,290.6999402353076,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,103,27.22471072824566,3.759524260283878,2.4393943043142152,2.033924583657388,2.260270717390365,1.86868844116899,2.783357650058862,69.18767304126457,5.0642357106917215,13.05542654276899,5.626069499432816,5.559067220411702,35.50874174868561,27.22468757005557,3.7595175697161225,2.439413475054399,2.033924583657388,2.260270717390365,1.86868844116899,2.783357650058862,69.18785462882886,5.064192510337135,13.05542654276899,5.626069499432816,5.559067220411702,35.50874174868561,1.4765941070833986,0.3702652293750031,5.166419384909089,13.979056325615096,120.20214319229126,111.0,1443.0,550.6307869420287,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,130,27.34744563421452,3.760732767743112,2.4384582792652223,2.35794819966068,1.785079586480278,1.827936593524611,2.5642988762317147,68.76527561706534,5.129819835138217,5.660686400416961,14.04620908361036,11.167957732355006,33.71315732530758,27.347430912225512,3.7607355093706896,2.438460796627965,2.35794819966068,1.785079586480278,1.827936593524611,2.5642988762317147,68.76537172195981,5.129785925702557,5.660686400416961,14.04620908361036,11.167957732355006,33.71315732530758,1.550922743719696,0.3731131805448787,5.376560535798557,13.899156216354926,180.66343426704407,160.0,2080.0,84.15571542765787,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,49,27.393595737526248,3.760932969547846,2.437735077325152,2.360708329338128,2.0375653800367117,2.699518542080992,3.786566408640701,68.62959437301359,5.152734572491562,8.573119209807254,8.798104436912144,9.841583140498566,15.949239908333269,27.39350421761538,3.7609407090545215,2.437732606104954,2.360708329338128,2.0375653800367117,2.699518542080992,3.786566408640701,68.62985205694868,5.152691292606508,8.573119209807254,8.798104436912144,9.841583140498566,15.949239908333269,1.511710598138287,0.3830349818510556,5.443728495558063,13.956532862390157,86.41660356521606,75.0,975.0,39.58689048760992,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
