Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
7,51,92.50186719926614,2.599368392160361,3.685435973997549,2.0806751236129863,2.90399762019367,19.2090892369583,30.8929997369915,3.942321925269384,31.022868037181496,92.50186593406028,2.599368392160361,3.685435655256305,2.0806744480590824,2.903998104048072,19.2090892369583,30.893013576277973,3.942349167566449,31.02286162712341,1.5582486158897555,0.7030724150730993,3.531407966567324,11.34237278936427,60.7727963924408,63.0,567.0,50.983995026201264,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,67,92.5020864577081,3.1985858469504755,3.685031016820707,2.080243824622456,2.9040208072064724,61.9483051493305,30.861641530594863,3.9447023389058273,31.05453897363437,92.50208298493897,3.1985858469504755,3.685032398144356,2.080249620405422,2.904019177739933,61.9483051493305,30.861623910292806,3.944736466957525,31.05452114822582,1.5542499669426943,0.7376345645438749,3.5288035021291284,11.360844751163384,68.53691077232361,75.0,675.0,97.0685140776268,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,125,92.5028824309116,2.7139305299338368,3.685517895959751,2.081480081643971,2.903984151236259,72.04976244440873,30.90199910667235,3.9419566631851217,31.01496886087693,92.5028824309116,2.7139305299338368,3.685517895959751,2.081480081643971,2.903984151236259,72.04976244440873,30.90199910667235,3.9419566631851217,31.01496886087693,1.5566459271208195,0.6995985625663658,3.544764431967275,11.335137727289569,151.22922563552856,172.0,1548.0,48.78273381294964,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
11,57,92.50367387669635,2.432702419238861,3.685286728219039,2.0792775553652296,2.9041729857651184,62.07517365215862,30.902526442881445,3.9409392919079504,31.018306734201374,92.50367348956124,2.432702419238861,3.685285892636741,2.079274876610753,2.9041731798981694,62.07517365215862,30.90250165204349,3.940901961218764,31.01835212379249,1.5463494435557106,0.6896167395327804,3.541197001306834,11.331677790894272,51.53286027908325,61.0,549.0,125.09316990851762,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,68,92.50599788438616,2.157117056960832,3.685496557685908,2.082985159970057,2.9039207182865097,37.62899997931688,30.91109989201835,3.947468539114416,31.009362706358605,92.50599503973476,2.157117056960832,3.68548664732397,2.082986064054687,2.9039234031867074,37.62899997931688,30.91110453536468,3.947487886343609,31.009569148404186,1.5640859006316574,0.7027006558906708,3.5388882397143746,11.36199775287506,77.84557485580444,81.0,729.0,46.419756307437126,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,65,92.50871618565098,2.686817017267754,3.6854711090405887,2.0825068586311906,2.903775258121959,48.90828094556088,30.882649160347373,3.926080668976832,31.03267234008698,92.5087155303697,2.686817017267754,3.685470755531444,2.082503679905479,2.903775401279425,48.90828094556088,30.8827083276427,3.926080082793973,31.03263351499993,1.5650531874110067,0.7095676291116514,3.593104137366905,11.27003288860738,68.08299112319946,73.0,657.0,543.7038458122391,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,129,92.65587908650544,2.883643355190258,3.685526569623992,2.0726163707461502,2.904328325432909,69.2496668503502,30.719679258745863,3.983986371222902,31.14263435137921,92.65587077915764,2.883643355190258,3.685528014380592,2.0726142169163624,2.9043279240343747,69.2496668503502,30.719701168482192,3.984001021182364,31.142578496411023,1.5348588334970694,0.9350779106080966,3.216621441891069,11.683019654718256,122.16582489013672,133.0,1197.0,2712.9508482103206,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,34,104.37159927903606,3.165954402441738,3.6135899484182215,1.8894652095497395,2.9557774470808376,71.57835265033212,42.01768330800612,6.11328765650886,25.10143324139851,104.37158164709707,3.165954402441738,3.613594442749324,1.8894655382843648,2.955778508118074,71.57835265033212,42.01753762883105,6.113274536822808,25.101402950345538,0.6489334101019166,2.575769200996139,5.97831802148721,7.920419153665268,37.3495237827301,44.0,396.0,56.8957100985878,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,85,104.37418987407528,3.346717862034363,3.613937536483693,1.886435552514768,2.955743033008289,39.9112018252902,41.99612715332979,6.123495232272786,25.101997376113644,104.3741788461626,3.346717862034363,3.613933042955148,1.8864462487045264,2.955737749005507,39.9112018252902,41.9961006470848,6.123441784584949,25.10202890969932,0.6489156643728764,2.5975884804487728,5.987640791763505,7.892790596182194,89.09557366371155,99.0,891.0,93.5790389910294,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,71,104.4616752064808,3.936263565448773,3.61825852609558,1.8891858640762784,2.953891498985021,17.12194184069258,41.649424996273154,6.007870277499354,25.202504444560383,104.4616722824739,3.936263565448773,3.6182578548016058,1.889184412362045,2.953891687930108,17.12194184069258,41.64943570119473,6.00788313306489,25.202512028668245,0.6860426075177175,2.5561479942213423,5.804572018333089,7.91718638679531,65.38569855690002,76.0,684.0,128.8448352429168,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
