,molecule,temperature,sim_liq_density,sim_vap_density,sim_Hvap,sim_Pvap,sim_Tc,sim_rhoc
5,R125,229,1523.758364,9.734524746,161.5039786,1.465630514,339.68958159020127,574.9611647378972
6,R125,249,1442.791682,19.89115085,149.4979899,3.137588312,339.68958159020127,574.9611647378972
7,R125,269,1354.883661,39.06002602,135.9696356,6.287342101,339.68958159020127,574.9611647378972
8,R125,289,1258.638195,75.80467063,118.8771448,11.87455136,339.68958159020127,574.9611647378972
9,R125,309,1125.589715,125.2218001,98.40835329,18.8447788,339.68958159020127,574.9611647378972
0,R32,241,1144.945499,7.177129582,358.4687686,2.558961973,350.70963558397455,427.13607513110605
1,R32,261,1083.372036,14.91523484,332.3484727,5.485970759,350.70963558397455,427.13607513110605
2,R32,281,1015.733493,29.06934734,302.4384863,10.65307163,350.70963558397455,427.13607513110605
3,R32,301,939.0466878,52.99525109,264.6149363,18.63628138,350.70963558397455,427.13607513110605
4,R32,321,839.5260272,93.47666734,215.8289665,30.37802944,350.70963558397455,427.13607513110605
