Run,Iter,Min Obj,Param Min,Min Obj Cum.,Param Cum.,jac evals,Termination,Run Time
80,457,3865304.3599812505,"[ 2.89631692  4.          1.5         3.19458231  2.23150606  3.07916368
 75.         75.         10.         29.9004857  50.         50.        ]",3865304.3599789473,"[ 2.89631682  4.          1.5         3.19458231  2.23150606  3.07916368
 75.         75.         10.         29.9004857  50.         50.        ]",36,0,287.85325503349304
117,508,3865304.359986249,"[ 2.89631693  4.          1.5         3.19457932  2.23150668  3.07916448
 75.         75.         10.         29.90029985 50.         50.        ]",3865304.359986249,"[ 2.89631693  4.          1.5         3.19457932  2.23150668  3.07916448
 75.         75.         10.         29.90029985 50.         50.        ]",40,0,303.2648904323578
134,488,3865304.359992971,"[ 2.89631455  4.          1.5         3.19458028  2.23150394  3.07915479
 75.         75.         10.         29.90029789 50.         50.        ]",3865304.359992971,"[ 2.89631455  4.          1.5         3.19458028  2.23150394  3.07915479
 75.         75.         10.         29.90029789 50.         50.        ]",38,0,290.16170740127563
68,458,3865304.5225707768,"[ 2.89631552  3.9999999   1.5         3.1945792   2.23150634  3.07916478
 75.         75.         10.         29.90028131 50.         50.        ]",3865304.3600025233,"[ 2.89631562  4.          1.5         3.1945792   2.23150634  3.07916478
 75.         75.         10.         29.90028131 50.         50.        ]",36,0,288.8197181224823
48,542,3865304.4386268314,"[ 2.89631574  4.          1.5         3.19456159  2.23149857  3.0791595
 75.         74.9999988  10.         29.89911901 50.         50.        ]",3865304.3601138955,"[ 2.89631574  4.          1.5         3.19456159  2.23149867  3.0791595
 75.         75.         10.         29.89911901 50.         50.        ]",42,0,339.41737365722656
94,469,3865304.3601422715,"[ 2.89631562  4.          1.5         3.19459543  2.23150885  3.07916452
 75.         75.         10.         29.90113608 50.         50.        ]",3865304.3601422715,"[ 2.89631562  4.          1.5         3.19459543  2.23150885  3.07916452
 75.         75.         10.         29.90113608 50.         50.        ]",37,0,296.92723321914673
115,412,3865304.4387016646,"[ 2.89631429  4.          1.5         3.19456847  2.23151427  3.07914996
 75.         74.9999988  10.         29.89974981 50.         50.        ]",3865304.360186115,"[ 2.89631429  4.          1.5         3.19456847  2.23151427  3.07915006
 75.         75.         10.         29.89974981 50.         50.        ]",32,0,242.2941026687622
186,565,3865304.3602715963,"[ 2.89631565  4.          1.5         3.19459824  2.23149734  3.07915534
 75.         75.         10.         29.90142199 50.         50.        ]",3865304.3602715963,"[ 2.89631565  4.          1.5         3.19459824  2.23149734  3.07915534
 75.         75.         10.         29.90142199 50.         50.        ]",44,0,333.6957139968872
147,432,3865304.5228861165,"[ 2.89631426  3.9999999   1.5         3.19455439  2.23149974  3.07916167
 75.         75.         10.         29.89930827 50.         50.        ]",3865304.360311221,"[ 2.89631436  4.          1.5         3.19455439  2.23149974  3.07916167
 75.         75.         10.         29.89930827 50.         50.        ]",34,0,257.5308313369751
13,600,3865304.3603629065,"[ 2.89631093  4.          1.5         3.19456313  2.2315039   3.07915783
 75.         75.         10.         29.89966822 50.         50.        ]",3865304.3603629065,"[ 2.89631093  4.          1.5         3.19456313  2.2315039   3.07915783
 75.         75.         10.         29.89966822 50.         50.        ]",47,0,389.3796947002411
89,458,3865304.5231719688,"[ 2.89631431  3.9999999   1.5         3.19455023  2.23149144  3.07916663
 75.         75.         10.         29.8986439  50.         50.        ]",3865304.3605984817,"[ 2.89631441  4.          1.5         3.19455023  2.23149144  3.07916663
 75.         75.         10.         29.8986439  50.         50.        ]",36,0,291.0010724067688
107,466,3865304.3608882283,"[ 2.89631682  4.          1.5         3.19453932  2.23149874  3.07916265
 75.         75.         10.         29.89778892 50.         50.        ]",3865304.3608882283,"[ 2.89631682  4.          1.5         3.19453932  2.23149874  3.07916265
 75.         75.         10.         29.89778892 50.         50.        ]",36,0,272.62187027931213
50,536,3865304.523624612,"[ 2.8963145   3.9999999   1.5         3.1945395   2.23150682  3.07916923
 75.         75.         10.         29.89817276 50.         50.        ]",3865304.361050725,"[ 2.8963146   4.          1.5         3.1945395   2.23150682  3.07916923
 75.         75.         10.         29.89817276 50.         50.        ]",42,0,337.8301601409912
98,435,3865304.362134375,"[ 2.89631506  4.          1.5         3.19453932  2.23157972  3.07916035
 75.         75.         10.         29.89826336 50.         50.        ]",3865304.362126807,"[ 2.89631506  4.          1.5         3.19453942  2.23157962  3.07916035
 75.         75.         10.         29.89826336 50.         50.        ]",34,0,258.1735270023346
116,516,3865304.4418435246,"[ 2.89631921  4.          1.5         3.19457725  2.23150105  3.07913939
 75.         74.9999988  10.         29.90169495 50.         50.        ]",3865304.3633207586,"[ 2.89631921  4.          1.5         3.19457725  2.23150105  3.07913949
 75.         75.         10.         29.90169495 50.         50.        ]",40,0,302.0204358100891
27,419,3865304.525904238,"[ 2.89631198  3.9999999   1.5         3.19453115  2.23159622  3.07914614
 75.         75.         10.         29.8974731  50.         50.        ]",3865304.363336694,"[ 2.89631208  4.          1.5         3.19453115  2.23159622  3.07914614
 75.         75.         10.         29.8974731  50.         50.        ]",33,0,264.7210156917572
37,510,3865304.5267445752,"[ 2.8963102   3.9999999   1.5         3.19465207  2.2314745   3.07916955
 75.         75.         10.         29.90473464 50.         50.        ]",3865304.3641569815,"[ 2.8963103   4.          1.5         3.19465207  2.2314745   3.07916955
 75.         75.         10.         29.90473464 50.         50.        ]",40,0,321.8976490497589
46,457,3865418.6717145424,"[ 2.89967537  4.          1.5         3.18612121  2.22908699  3.08377018
 74.74146139 75.         10.         29.62133368 50.         50.        ]",3865418.6717145424,"[ 2.89967537  4.          1.5         3.18612121  2.22908699  3.08377018
 74.74146139 75.         10.         29.62133368 50.         50.        ]",36,0,289.26542949676514
144,452,3865506.4557508733,"[ 2.90708722  4.          1.5         3.19801783  2.2276159   3.08781749
 74.22474384 75.          9.9999988  30.3966421  50.         50.        ]",3865506.297513864,"[ 2.90708722  4.          1.5         3.19801783  2.2276159   3.08781749
 74.22474505 75.         10.         30.3966421  50.         50.        ]",35,0,265.59054470062256
36,262,3868516.1836802377,"[ 2.89621517  4.          1.5         3.12862715  2.26367436  3.08783553
 74.96416458 75.         10.         25.98866346 50.         50.        ]",3868516.1836802377,"[ 2.89621517  4.          1.5         3.12862715  2.26367436  3.08783553
 74.96416458 75.         10.         25.98866346 50.         50.        ]",21,0,168.931565284729
85,455,4620376.797216324,"[ 3.19979051  4.          1.5         3.07877708  2.78170818  2.
 58.56034413 75.         10.         29.94469737 50.         47.16955509]",4620376.797216324,"[ 3.19979051  4.          1.5         3.07877708  2.78170818  2.
 58.56034413 75.         10.         29.94469737 50.         47.16955509]",35,0,280.0186939239502
151,424,4620376.797233903,"[ 3.19979369  4.          1.5         3.078776    2.7817029   2.
 58.56022671 75.         10.         29.94475295 50.         47.16949016]",4620376.797233903,"[ 3.19979369  4.          1.5         3.078776    2.7817029   2.
 58.56022671 75.         10.         29.94475295 50.         47.16949016]",33,0,251.67838335037231
180,451,4620376.857326986,"[ 3.19978944  4.          1.5         3.07877311  2.78171201  2.
 58.56028913 74.9999988  10.         29.94467655 50.         47.16956637]",4620376.797240728,"[ 3.19978944  4.          1.5         3.07877311  2.78171201  2.
 58.56029034 75.         10.         29.94467655 50.         47.16956637]",35,0,266.17550230026245
165,429,4620376.79724801,"[ 3.19979048  4.          1.5         3.07877201  2.78169892  2.
 58.56035273 75.         10.         29.94453528 50.         47.16953322]",4620376.79724801,"[ 3.19979048  4.          1.5         3.07877201  2.78169892  2.
 58.56035273 75.         10.         29.94453528 50.         47.16953322]",33,0,252.24007487297058
30,398,4620376.7972527435,"[ 3.19979023  4.          1.5         3.07877465  2.78171174  2.
 58.56023379 75.         10.         29.94456499 50.         47.16962513]",4620376.7972527435,"[ 3.19979023  4.          1.5         3.07877465  2.78171174  2.
 58.56023379 75.         10.         29.94456499 50.         47.16962513]",31,0,250.97138667106628
168,413,4620376.985401739,"[ 3.19979222  4.          1.5         3.07878519  2.78171248  2.
 58.56024037 75.          9.9999988  29.94514936 50.         47.16955101]",4620376.797269082,"[ 3.19979222  4.          1.5         3.07878519  2.78171248  2.
 58.56024158 75.         10.         29.94514936 50.         47.16955101]",32,0,243.47110080718994
161,444,4620376.797305016,"[ 3.19978774  4.          1.5         3.07878239  2.7817137   2.
 58.56033985 75.         10.         29.94472283 50.         47.16960933]",4620376.797305016,"[ 3.19978774  4.          1.5         3.07878239  2.7817137   2.
 58.56033985 75.         10.         29.94472283 50.         47.16960933]",35,0,267.56594920158386
162,457,4620376.797310459,"[ 3.19978455  4.          1.5         3.07878176  2.7817028   2.
 58.56048759 75.         10.         29.94491647 50.         47.1696268 ]",4620376.797310459,"[ 3.19978455  4.          1.5         3.07878176  2.7817028   2.
 58.56048759 75.         10.         29.94491647 50.         47.1696268 ]",36,0,274.57550621032715
166,416,4620376.797328382,"[ 3.19979303  4.          1.5         3.07878362  2.78170441  2.
 58.56029087 75.         10.         29.94514607 50.         47.16963633]",4620376.797328382,"[ 3.19979303  4.          1.5         3.07878362  2.78170441  2.
 58.56029087 75.         10.         29.94514607 50.         47.16963633]",32,0,243.40096712112427
12,370,4620376.797337865,"[ 3.19978699  4.          1.5         3.07878194  2.78169674  2.
 58.56048258 75.         10.         29.94486084 50.         47.1696359 ]",4620376.797337865,"[ 3.19978699  4.          1.5         3.07878194  2.78169674  2.
 58.56048258 75.         10.         29.94486084 50.         47.1696359 ]",29,0,248.47681093215942
4,454,4620376.832879616,"[ 3.19978739  4.          1.5         3.07877889  2.78171908  2.
 58.56039439 75.         10.         29.94472373 49.9999988  47.16972053]",4620376.79735805,"[ 3.19978739  4.          1.5         3.07877889  2.78171908  2.
 58.56039439 75.         10.         29.94472493 50.         47.16972053]",35,0,261.6424779891968
