sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,temperature,density
0.30021,0.3040799999999999,0.19901,0.2918708791602001,0.2843753915359145,0.046261667378286,241,939.5382873218316
0.30021,0.3040799999999999,0.19901,0.2918708791602001,0.2843753915359145,0.046261667378286,261,654.6117355356531
0.30021,0.3040799999999999,0.19901,0.2918708791602001,0.2843753915359145,0.046261667378286,281,25.316696781842857
0.30021,0.3040799999999999,0.19901,0.2918708791602001,0.2843753915359145,0.046261667378286,301,45.70430899873399
0.30021,0.3040799999999999,0.19901,0.2918708791602001,0.2843753915359145,0.046261667378286,321,77.3299250238495
0.30054,0.3299999999999999,0.21169,0.3036108997098298,0.2169451035348541,0.0345149952589397,241,5.218278139361511
0.30054,0.3299999999999999,0.21169,0.3036108997098298,0.2169451035348541,0.0345149952589397,261,13.649497797816032
0.30054,0.3299999999999999,0.21169,0.3036108997098298,0.2169451035348541,0.0345149952589397,281,25.65778143207656
0.30054,0.3299999999999999,0.21169,0.3036108997098298,0.2169451035348541,0.0345149952589397,301,46.14458989622152
0.30054,0.3299999999999999,0.21169,0.3036108997098298,0.2169451035348541,0.0345149952589397,321,70.4756728795738
0.30144,0.2797099999999999,0.18139,0.1696815434680197,0.1590764470012684,0.0588597404213448,241,4.898826364136135
0.30144,0.2797099999999999,0.18139,0.1696815434680197,0.1590764470012684,0.0588597404213448,261,12.583674329619488
0.30144,0.2797099999999999,0.18139,0.1696815434680197,0.1590764470012684,0.0588597404213448,281,26.924458046053587
0.30144,0.2797099999999999,0.18139,0.1696815434680197,0.1590764470012684,0.0588597404213448,301,46.20940778315826
0.30144,0.2797099999999999,0.18139,0.1696815434680197,0.1590764470012684,0.0588597404213448,321,71.47196861060317
0.30171,0.2658899999999999,0.26289,0.2612404006156987,0.1734396803578445,0.0755618319794866,241,5.058765048587384
0.30171,0.2658899999999999,0.26289,0.2612404006156987,0.1734396803578445,0.0755618319794866,261,13.338895417935287
0.30171,0.2658899999999999,0.26289,0.2612404006156987,0.1734396803578445,0.0755618319794866,281,26.187317693799255
0.30171,0.2658899999999999,0.26289,0.2612404006156987,0.1734396803578445,0.0755618319794866,301,43.02662245985919
0.30171,0.2658899999999999,0.26289,0.2612404006156987,0.1734396803578445,0.0755618319794866,321,70.0544761030566
0.30249,0.3404599999999999,0.21785,0.3649716303445802,0.1883433537538865,0.0337833225901243,241,5.324785862819798
0.30249,0.3404599999999999,0.21785,0.3649716303445802,0.1883433537538865,0.0337833225901243,261,13.77890470407007
0.30249,0.3404599999999999,0.21785,0.3649716303445802,0.1883433537538865,0.0337833225901243,281,25.843457510491017
0.30249,0.3404599999999999,0.21785,0.3649716303445802,0.1883433537538865,0.0337833225901243,301,43.748998302448015
0.30249,0.3404599999999999,0.21785,0.3649716303445802,0.1883433537538865,0.0337833225901243,321,69.98739924877903
0.3027999999999999,0.28376,0.2551099999999999,0.1936937101445995,0.2449024824995355,0.081874171640449,241,4.989077872592461
0.3027999999999999,0.28376,0.2551099999999999,0.1936937101445995,0.2449024824995355,0.081874171640449,261,12.757119497463098
0.3027999999999999,0.28376,0.2551099999999999,0.1936937101445995,0.2449024824995355,0.081874171640449,281,25.5834265674089
0.3027999999999999,0.28376,0.2551099999999999,0.1936937101445995,0.2449024824995355,0.081874171640449,301,43.63098279118417
0.3027999999999999,0.28376,0.2551099999999999,0.1936937101445995,0.2449024824995355,0.081874171640449,321,67.7058416439176
0.30337,0.30921,0.19065,0.2056997934828894,0.211665420072379,0.0742381696059023,241,5.243791528150627
0.30337,0.30921,0.19065,0.2056997934828894,0.211665420072379,0.0742381696059023,261,12.31601258710526
0.30337,0.30921,0.19065,0.2056997934828894,0.211665420072379,0.0742381696059023,281,24.291429267827368
0.30337,0.30921,0.19065,0.2056997934828894,0.211665420072379,0.0742381696059023,301,43.2609539736614
0.30337,0.30921,0.19065,0.2056997934828894,0.211665420072379,0.0742381696059023,321,71.37595220503506
0.3039099999999999,0.26907,0.25792,0.4399680788981639,0.3270493684983611,0.0311825588309712,241,1088.4247044816525
0.3039099999999999,0.26907,0.25792,0.4399680788981639,0.3270493684983611,0.0311825588309712,261,927.6151353973064
0.3039099999999999,0.26907,0.25792,0.4399680788981639,0.3270493684983611,0.0311825588309712,281,45.631087390485725
0.3039099999999999,0.26907,0.25792,0.4399680788981639,0.3270493684983611,0.0311825588309712,301,44.20508692097852
0.3039099999999999,0.26907,0.25792,0.4399680788981639,0.3270493684983611,0.0311825588309712,321,77.79803216589885
0.30445,0.26041,0.26043,0.3966663600437222,0.3097760733908146,0.0229678702310886,241,1059.8597760050834
0.30445,0.26041,0.26043,0.3966663600437222,0.3097760733908146,0.0229678702310886,261,877.6369228361648
0.30445,0.26041,0.26043,0.3966663600437222,0.3097760733908146,0.0229678702310886,281,24.19611439026253
0.30445,0.26041,0.26043,0.3966663600437222,0.3097760733908146,0.0229678702310886,301,48.42560807978716
0.30445,0.26041,0.26043,0.3966663600437222,0.3097760733908146,0.0229678702310886,321,76.93237652532598
0.3046199999999999,0.30227,0.24218,0.1736059696007571,0.1375212038887223,0.0286815686175657,241,5.436425640707661
0.3046199999999999,0.30227,0.24218,0.1736059696007571,0.1375212038887223,0.0286815686175657,261,13.396422617128742
0.3046199999999999,0.30227,0.24218,0.1736059696007571,0.1375212038887223,0.0286815686175657,281,25.41740013916269
0.3046199999999999,0.30227,0.24218,0.1736059696007571,0.1375212038887223,0.0286815686175657,301,42.45561735179859
0.3046199999999999,0.30227,0.24218,0.1736059696007571,0.1375212038887223,0.0286815686175657,321,65.61385450651441
0.3052399999999999,0.3367199999999999,0.1742799999999999,0.2209318881336838,0.1248832214273645,0.0367366195442521,241,5.474318880164605
0.3052399999999999,0.3367199999999999,0.1742799999999999,0.2209318881336838,0.1248832214273645,0.0367366195442521,261,13.877993955197782
0.3052399999999999,0.3367199999999999,0.1742799999999999,0.2209318881336838,0.1248832214273645,0.0367366195442521,281,26.034240735023857
0.3052399999999999,0.3367199999999999,0.1742799999999999,0.2209318881336838,0.1248832214273645,0.0367366195442521,301,44.1005014168692
0.3052399999999999,0.3367199999999999,0.1742799999999999,0.2209318881336838,0.1248832214273645,0.0367366195442521,321,64.04794185541199
0.3059199999999999,0.25192,0.1863899999999999,0.258579772729097,0.1394335301822173,0.0255885886993912,241,1216.889047196866
0.3059199999999999,0.25192,0.1863899999999999,0.258579772729097,0.1394335301822173,0.0255885886993912,261,10.538331708227537
0.3059199999999999,0.25192,0.1863899999999999,0.258579772729097,0.1394335301822173,0.0255885886993912,281,25.51689179630323
0.3059199999999999,0.25192,0.1863899999999999,0.258579772729097,0.1394335301822173,0.0255885886993912,301,49.588297616289225
0.3059199999999999,0.25192,0.1863899999999999,0.258579772729097,0.1394335301822173,0.0255885886993912,321,77.04274819442351
0.3061,0.28739,0.21325,0.2695216049127462,0.2535703092863549,0.0224024868051858,241,916.698425389955
0.3061,0.28739,0.21325,0.2695216049127462,0.2535703092863549,0.0224024868051858,261,11.348996485306564
0.3061,0.28739,0.21325,0.2695216049127462,0.2535703092863549,0.0224024868051858,281,27.337561008375687
0.3061,0.28739,0.21325,0.2695216049127462,0.2535703092863549,0.0224024868051858,301,48.67561841024246
0.3061,0.28739,0.21325,0.2695216049127462,0.2535703092863549,0.0224024868051858,321,74.28025877685192
0.30674,0.30899,0.25594,0.4280617691056216,0.1825855887180376,0.0493879051450429,241,4.986062973381359
0.30674,0.30899,0.25594,0.4280617691056216,0.1825855887180376,0.0493879051450429,261,12.844478694681245
0.30674,0.30899,0.25594,0.4280617691056216,0.1825855887180376,0.0493879051450429,281,25.83283313471304
0.30674,0.30899,0.25594,0.4280617691056216,0.1825855887180376,0.0493879051450429,301,43.22200501161672
0.30674,0.30899,0.25594,0.4280617691056216,0.1825855887180376,0.0493879051450429,321,70.33554916148569
0.30733,0.3293999999999999,0.23486,0.4923159325670512,0.2629240792001888,0.0747370373346401,241,826.1073084944935
0.30733,0.3293999999999999,0.23486,0.4923159325670512,0.2629240792001888,0.0747370373346401,261,735.5934414859908
0.30733,0.3293999999999999,0.23486,0.4923159325670512,0.2629240792001888,0.0747370373346401,281,22.598840603447783
0.30733,0.3293999999999999,0.23486,0.4923159325670512,0.2629240792001888,0.0747370373346401,301,46.60493673090545
0.30733,0.3293999999999999,0.23486,0.4923159325670512,0.2629240792001888,0.0747370373346401,321,77.29589232700425
0.30765,0.32464,0.2226,0.4375735138002224,0.1663931736894229,0.0443925762879483,241,5.047035665402474
0.30765,0.32464,0.2226,0.4375735138002224,0.1663931736894229,0.0443925762879483,261,12.557642245178265
0.30765,0.32464,0.2226,0.4375735138002224,0.1663931736894229,0.0443925762879483,281,25.32961112505348
0.30765,0.32464,0.2226,0.4375735138002224,0.1663931736894229,0.0443925762879483,301,46.40597355709486
0.30765,0.32464,0.2226,0.4375735138002224,0.1663931736894229,0.0443925762879483,321,70.7296475688663
0.30806,0.30849,0.1712599999999999,0.3545619237382513,0.1702178262764128,0.0591457579191544,241,841.6709714836419
0.30806,0.30849,0.1712599999999999,0.3545619237382513,0.1702178262764128,0.0591457579191544,261,12.354030836244725
0.30806,0.30849,0.1712599999999999,0.3545619237382513,0.1702178262764128,0.0591457579191544,281,26.1984951235338
0.30806,0.30849,0.1712599999999999,0.3545619237382513,0.1702178262764128,0.0591457579191544,301,45.82167417897944
0.30806,0.30849,0.1712599999999999,0.3545619237382513,0.1702178262764128,0.0591457579191544,321,71.49168593387331
0.3088999999999999,0.33515,0.22995,0.3744168593420159,0.3324745550483848,0.0384128151128112,241,796.3582480497565
0.3088999999999999,0.33515,0.22995,0.3744168593420159,0.3324745550483848,0.0384128151128112,261,665.0577638693018
0.3088999999999999,0.33515,0.22995,0.3744168593420159,0.3324745550483848,0.0384128151128112,281,24.22967205015181
0.3088999999999999,0.33515,0.22995,0.3744168593420159,0.3324745550483848,0.0384128151128112,301,46.539811921698586
0.3088999999999999,0.33515,0.22995,0.3744168593420159,0.3324745550483848,0.0384128151128112,321,73.37450143044279
0.30939,0.3164,0.23797,0.1839824183585035,0.1475817030849348,0.0810493769956025,241,5.538692044184502
0.30939,0.3164,0.23797,0.1839824183585035,0.1475817030849348,0.0810493769956025,261,13.378062585056812
0.30939,0.3164,0.23797,0.1839824183585035,0.1475817030849348,0.0810493769956025,281,25.693014050526777
0.30939,0.3164,0.23797,0.1839824183585035,0.1475817030849348,0.0810493769956025,301,42.793618431885015
0.30939,0.3164,0.23797,0.1839824183585035,0.1475817030849348,0.0810493769956025,321,67.51164203230118
0.3096699999999999,0.32396,0.21589,0.1926627168385414,0.2107092569256315,0.0468004445253228,241,5.094936347832545
