sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,temperature,density
0.3003073112949737,0.2834510104712959,0.4849223075570849,0.0460029093733353,270,31.341503514696388
0.3003073112949737,0.2834510104712959,0.4849223075570849,0.0460029093733353,230,11.881079030860846
0.3003073112949737,0.2834510104712959,0.4849223075570849,0.0460029093733353,250,20.236790871121144
0.3003073112949737,0.2834510104712959,0.4849223075570849,0.0460029093733353,290,46.395573854001526
0.3003073112949737,0.2834510104712959,0.4849223075570849,0.0460029093733353,210,6.399081949623661
0.3008410977622056,0.1677232458739557,0.5912940904824832,0.0576481838483494,210,841.1692443553312
0.3008410977622056,0.1677232458739557,0.5912940904824832,0.0576481838483494,270,34.485337768480896
0.3008410977622056,0.1677232458739557,0.5912940904824832,0.0576481838483494,230,787.276683916435
0.3008410977622056,0.1677232458739557,0.5912940904824832,0.0576481838483494,290,51.73402189005509
0.3008410977622056,0.1677232458739557,0.5912940904824832,0.0576481838483494,250,718.5548198358186
0.3014982703975011,0.2282612124314493,0.4082750314451966,0.0632503220364505,210,6.122240699517405
0.3014982703975011,0.2282612124314493,0.4082750314451966,0.0632503220364505,270,32.376078783257704
0.3014982703975011,0.2282612124314493,0.4082750314451966,0.0632503220364505,230,11.47201666771376
0.3014982703975011,0.2282612124314493,0.4082750314451966,0.0632503220364505,250,20.03676977761597
0.3014982703975011,0.2282612124314493,0.4082750314451966,0.0632503220364505,290,49.47708714333949
0.3018760135219673,0.2742563542976188,0.2279707788724451,0.0609253717968138,290,43.24061314253149
0.3018760135219673,0.2742563542976188,0.2279707788724451,0.0609253717968138,270,29.84873958565382
0.3018760135219673,0.2742563542976188,0.2279707788724451,0.0609253717968138,210,6.044630079980675
0.3018760135219673,0.2742563542976188,0.2279707788724451,0.0609253717968138,230,11.371847717127672
0.3018760135219673,0.2742563542976188,0.2279707788724451,0.0609253717968138,250,19.63833197946624
0.3023518399646782,0.2343810037557381,0.2682697496570982,0.0283711433370926,290,43.769588421059744
0.3023518399646782,0.2343810037557381,0.2682697496570982,0.0283711433370926,230,11.193659212989065
0.3023518399646782,0.2343810037557381,0.2682697496570982,0.0283711433370926,210,5.885621462991842
0.3023518399646782,0.2343810037557381,0.2682697496570982,0.0283711433370926,250,19.430013914010424
0.3023518399646782,0.2343810037557381,0.2682697496570982,0.0283711433370926,270,29.751228374268585
0.3027064948310378,0.1535236610495681,0.3337553238417313,0.0797583369616184,250,20.387411156732043
0.3027064948310378,0.1535236610495681,0.3337553238417313,0.0797583369616184,270,31.748761536329148
0.3027064948310378,0.1535236610495681,0.3337553238417313,0.0797583369616184,210,6.047586138816363
0.3027064948310378,0.1535236610495681,0.3337553238417313,0.0797583369616184,290,47.303157389008
0.3027064948310378,0.1535236610495681,0.3337553238417313,0.0797583369616184,230,11.622343115457038
0.3031999716436966,0.1774214421238674,0.5939680659379486,0.0715544320478696,290,55.15872805093536
0.3031999716436966,0.1774214421238674,0.5939680659379486,0.0715544320478696,230,793.4999738912753
0.3031999716436966,0.1774214421238674,0.5939680659379486,0.0715544320478696,250,740.8566089749087
