sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,temperature,density
0.3002436790694537,0.3028425425571927,0.2751319978658615,0.180804058988894,0.3570271917308535,0.562903261676159,0.2224553303271804,0.0342118922846389,280,1062.5404173216816
0.3002436790694537,0.3028425425571927,0.2751319978658615,0.180804058988894,0.3570271917308535,0.562903261676159,0.2224553303271804,0.0342118922846389,320,84.5470241905164
0.3002436790694537,0.3028425425571927,0.2751319978658615,0.180804058988894,0.3570271917308535,0.562903261676159,0.2224553303271804,0.0342118922846389,240,1334.8083196811058
0.3002436790694537,0.3028425425571927,0.2751319978658615,0.180804058988894,0.3570271917308535,0.562903261676159,0.2224553303271804,0.0342118922846389,260,1216.7001628114256
0.3002436790694537,0.3028425425571927,0.2751319978658615,0.180804058988894,0.3570271917308535,0.562903261676159,0.2224553303271804,0.0342118922846389,300,52.47345419628935
0.3009261528626622,0.3326263083233772,0.3699242532885038,0.1724730060595246,0.3822264679076856,0.44339349411727,0.2848129002283976,0.0347046393637206,260,794.2507136846073
0.3009261528626622,0.3326263083233772,0.3699242532885038,0.1724730060595246,0.3822264679076856,0.44339349411727,0.2848129002283976,0.0347046393637206,320,91.732080109919
0.3009261528626622,0.3326263083233772,0.3699242532885038,0.1724730060595246,0.3822264679076856,0.44339349411727,0.2848129002283976,0.0347046393637206,280,713.9465659074359
0.3009261528626622,0.3326263083233772,0.3699242532885038,0.1724730060595246,0.3822264679076856,0.44339349411727,0.2848129002283976,0.0347046393637206,240,850.4307918838037
0.3009261528626622,0.3326263083233772,0.3699242532885038,0.1724730060595246,0.3822264679076856,0.44339349411727,0.2848129002283976,0.0347046393637206,300,604.3584401699998
0.3012545020455451,0.3430271487330666,0.3121901469691401,0.2498676486691542,0.4739110305483334,0.3435540201959153,0.2474707436245181,0.0307737125000405,260,828.6015041547312
0.3012545020455451,0.3430271487330666,0.3121901469691401,0.2498676486691542,0.4739110305483334,0.3435540201959153,0.2474707436245181,0.0307737125000405,320,83.48204957750741
0.3012545020455451,0.3430271487330666,0.3121901469691401,0.2498676486691542,0.4739110305483334,0.3435540201959153,0.2474707436245181,0.0307737125000405,300,50.60306364484142
0.3012545020455451,0.3430271487330666,0.3121901469691401,0.2498676486691542,0.4739110305483334,0.3435540201959153,0.2474707436245181,0.0307737125000405,280,27.99008431598664
0.3012545020455451,0.3430271487330666,0.3121901469691401,0.2498676486691542,0.4739110305483334,0.3435540201959153,0.2474707436245181,0.0307737125000405,240,934.7823803427158
0.3015376673031691,0.30485894435663,0.3679357577518407,0.2303226668832581,0.5528263456158682,0.5657771391151891,0.2844814083748945,0.0575683093905414,260,848.5841089488162
