sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,temperature,density
0.3004799999999999,0.3867599999999999,0.2959,0.3128299999999999,0.1804999999999999,0.3123577138870327,0.331414461124817,0.1488912308728715,0.236504875732449,0.036457253616159,229,1342.4501784210115
0.3004799999999999,0.3867599999999999,0.2959,0.3128299999999999,0.1804999999999999,0.3123577138870327,0.331414461124817,0.1488912308728715,0.236504875732449,0.036457253616159,249,1243.01915020969
0.3004799999999999,0.3867599999999999,0.2959,0.3128299999999999,0.1804999999999999,0.3123577138870327,0.331414461124817,0.1488912308728715,0.236504875732449,0.036457253616159,269,1136.8672650687065
0.3004799999999999,0.3867599999999999,0.2959,0.3128299999999999,0.1804999999999999,0.3123577138870327,0.331414461124817,0.1488912308728715,0.236504875732449,0.036457253616159,289,56.35548035615898
0.3004799999999999,0.3867599999999999,0.2959,0.3128299999999999,0.1804999999999999,0.3123577138870327,0.331414461124817,0.1488912308728715,0.236504875732449,0.036457253616159,309,104.16405894432766
0.3005199999999999,0.3399799999999999,0.29319,0.3225099999999999,0.1833199999999999,0.3998258556590617,0.3140538641647412,0.1451081505966098,0.1940803326343713,0.0669680039057633,229,1079.2643043549706
0.3005199999999999,0.3399799999999999,0.29319,0.3225099999999999,0.1833199999999999,0.3998258556590617,0.3140538641647412,0.1451081505966098,0.1940803326343713,0.0669680039057633,249,11.380080938948607
0.3005199999999999,0.3399799999999999,0.29319,0.3225099999999999,0.1833199999999999,0.3998258556590617,0.3140538641647412,0.1451081505966098,0.1940803326343713,0.0669680039057633,269,29.362461216824187
0.3005199999999999,0.3399799999999999,0.29319,0.3225099999999999,0.1833199999999999,0.3998258556590617,0.3140538641647412,0.1451081505966098,0.1940803326343713,0.0669680039057633,289,56.013141922652
0.3005199999999999,0.3399799999999999,0.29319,0.3225099999999999,0.1833199999999999,0.3998258556590617,0.3140538641647412,0.1451081505966098,0.1940803326343713,0.0669680039057633,309,94.69293055203715
0.30132,0.32147,0.26061,0.33623,0.25272,0.4528056084510169,0.3110273999437319,0.1575174853489628,0.2296662306176682,0.0598907337274029,229,1115.778488248736
0.30132,0.32147,0.26061,0.33623,0.25272,0.4528056084510169,0.3110273999437319,0.1575174853489628,0.2296662306176682,0.0598907337274029,249,11.410979280041344
0.30132,0.32147,0.26061,0.33623,0.25272,0.4528056084510169,0.3110273999437319,0.1575174853489628,0.2296662306176682,0.0598907337274029,269,28.020058969872903
0.30132,0.32147,0.26061,0.33623,0.25272,0.4528056084510169,0.3110273999437319,0.1575174853489628,0.2296662306176682,0.0598907337274029,289,56.85432405445416
0.30132,0.32147,0.26061,0.33623,0.25272,0.4528056084510169,0.3110273999437319,0.1575174853489628,0.2296662306176682,0.0598907337274029,309,95.06677425252605
0.3015899999999999,0.33174,0.28656,0.29803,0.2420199999999999,0.4104351093568857,0.3557259484386394,0.3017734035756456,0.1582242146313414,0.0443726215787988,229,1307.677331424632
0.3015899999999999,0.33174,0.28656,0.29803,0.2420199999999999,0.4104351093568857,0.3557259484386394,0.3017734035756456,0.1582242146313414,0.0443726215787988,249,1168.0406722604353
0.3015899999999999,0.33174,0.28656,0.29803,0.2420199999999999,0.4104351093568857,0.3557259484386394,0.3017734035756456,0.1582242146313414,0.0443726215787988,269,28.2486011184332
0.3015899999999999,0.33174,0.28656,0.29803,0.2420199999999999,0.4104351093568857,0.3557259484386394,0.3017734035756456,0.1582242146313414,0.0443726215787988,289,56.68677673850609
0.3015899999999999,0.33174,0.28656,0.29803,0.2420199999999999,0.4104351093568857,0.3557259484386394,0.3017734035756456,0.1582242146313414,0.0443726215787988,309,97.61539133553572
0.30205,0.3536299999999999,0.26359,0.2994099999999999,0.1960199999999999,0.3956353667376641,0.3263925259888564,0.144318276692775,0.2054919319292486,0.0647663343296004,229,1463.5608530324944
0.30205,0.3536299999999999,0.26359,0.2994099999999999,0.1960199999999999,0.3956353667376641,0.3263925259888564,0.144318276692775,0.2054919319292486,0.0647663343296004,249,1334.50146981704
0.30205,0.3536299999999999,0.26359,0.2994099999999999,0.1960199999999999,0.3956353667376641,0.3263925259888564,0.144318276692775,0.2054919319292486,0.0647663343296004,269,24.42733125521639
0.30205,0.3536299999999999,0.26359,0.2994099999999999,0.1960199999999999,0.3956353667376641,0.3263925259888564,0.144318276692775,0.2054919319292486,0.0647663343296004,289,53.81371033262885
0.30205,0.3536299999999999,0.26359,0.2994099999999999,0.1960199999999999,0.3956353667376641,0.3263925259888564,0.144318276692775,0.2054919319292486,0.0647663343296004,309,99.3902217774511
0.30289,0.3015799999999999,0.2850399999999999,0.2898699999999999,0.2560599999999999,0.3487085423877276,0.2947643119868793,0.2273589673722559,0.2197512345090043,0.0719101202051258,229,6.284013173515626
0.30289,0.3015799999999999,0.2850399999999999,0.2898699999999999,0.2560599999999999,0.3487085423877276,0.2947643119868793,0.2273589673722559,0.2197512345090043,0.0719101202051258,249,11.79373022119824
0.30289,0.3015799999999999,0.2850399999999999,0.2898699999999999,0.2560599999999999,0.3487085423877276,0.2947643119868793,0.2273589673722559,0.2197512345090043,0.0719101202051258,269,29.848012957025453
0.30289,0.3015799999999999,0.2850399999999999,0.2898699999999999,0.2560599999999999,0.3487085423877276,0.2947643119868793,0.2273589673722559,0.2197512345090043,0.0719101202051258,289,56.778636185727095
0.30289,0.3015799999999999,0.2850399999999999,0.2898699999999999,0.2560599999999999,0.3487085423877276,0.2947643119868793,0.2273589673722559,0.2197512345090043,0.0719101202051258,309,91.53906938698216
0.30301,0.3610199999999999,0.3215399999999999,0.27991,0.18891,0.2761066589320853,0.4452228189742022,0.1609264148286711,0.2719244844728334,0.0253890416078961,229,1423.4777695949242
0.30301,0.3610199999999999,0.3215399999999999,0.27991,0.18891,0.2761066589320853,0.4452228189742022,0.1609264148286711,0.2719244844728334,0.0253890416078961,249,1318.9327752363936
0.30301,0.3610199999999999,0.3215399999999999,0.27991,0.18891,0.2761066589320853,0.4452228189742022,0.1609264148286711,0.2719244844728334,0.0253890416078961,269,1207.6162972337947
0.30301,0.3610199999999999,0.3215399999999999,0.27991,0.18891,0.2761066589320853,0.4452228189742022,0.1609264148286711,0.2719244844728334,0.0253890416078961,289,1041.161644225366
0.30301,0.3610199999999999,0.3215399999999999,0.27991,0.18891,0.2761066589320853,0.4452228189742022,0.1609264148286711,0.2719244844728334,0.0253890416078961,309,103.23395521984642
0.3039499999999999,0.3573999999999999,0.2889199999999999,0.31085,0.22311,0.2108547600131801,0.1794926087998632,0.2978032479011071,0.2488934243294379,0.0759476230230438,229,1213.8198336359949
0.3039499999999999,0.3573999999999999,0.2889199999999999,0.31085,0.22311,0.2108547600131801,0.1794926087998632,0.2978032479011071,0.2488934243294379,0.0759476230230438,249,1074.6840758103776
0.3039499999999999,0.3573999999999999,0.2889199999999999,0.31085,0.22311,0.2108547600131801,0.1794926087998632,0.2978032479011071,0.2488934243294379,0.0759476230230438,269,27.25894350376901
0.3039499999999999,0.3573999999999999,0.2889199999999999,0.31085,0.22311,0.2108547600131801,0.1794926087998632,0.2978032479011071,0.2488934243294379,0.0759476230230438,289,55.88233801450429
0.3039499999999999,0.3573999999999999,0.2889199999999999,0.31085,0.22311,0.2108547600131801,0.1794926087998632,0.2978032479011071,0.2488934243294379,0.0759476230230438,309,101.58679721763298
0.3040899999999999,0.3493199999999999,0.3082499999999999,0.3115799999999999,0.21994,0.1670874312785831,0.465210785972297,0.2692638565862318,0.2838557376518126,0.0741650023390207,229,1323.924721090444
0.3040899999999999,0.3493199999999999,0.3082499999999999,0.3115799999999999,0.21994,0.1670874312785831,0.465210785972297,0.2692638565862318,0.2838557376518126,0.0741650023390207,249,1257.8326376371697
0.3040899999999999,0.3493199999999999,0.3082499999999999,0.3115799999999999,0.21994,0.1670874312785831,0.465210785972297,0.2692638565862318,0.2838557376518126,0.0741650023390207,269,1162.8242802571824
0.3040899999999999,0.3493199999999999,0.3082499999999999,0.3115799999999999,0.21994,0.1670874312785831,0.465210785972297,0.2692638565862318,0.2838557376518126,0.0741650023390207,289,1056.7517751692574
0.3040899999999999,0.3493199999999999,0.3082499999999999,0.3115799999999999,0.21994,0.1670874312785831,0.465210785972297,0.2692638565862318,0.2838557376518126,0.0741650023390207,309,873.7726070478901
0.3049199999999999,0.3066199999999999,0.3115799999999999,0.26025,0.1928399999999999,0.4600558194420064,0.2178056503669269,0.1681807830507334,0.2812158959205751,0.0538976694128327,229,1354.5085340571895
0.3049199999999999,0.3066199999999999,0.3115799999999999,0.26025,0.1928399999999999,0.4600558194420064,0.2178056503669269,0.1681807830507334,0.2812158959205751,0.0538976694128327,249,11.251895736189438
0.3049199999999999,0.3066199999999999,0.3115799999999999,0.26025,0.1928399999999999,0.4600558194420064,0.2178056503669269,0.1681807830507334,0.2812158959205751,0.0538976694128327,269,28.42208004237169
0.3049199999999999,0.3066199999999999,0.3115799999999999,0.26025,0.1928399999999999,0.4600558194420064,0.2178056503669269,0.1681807830507334,0.2812158959205751,0.0538976694128327,289,55.80031597975143
0.3049199999999999,0.3066199999999999,0.3115799999999999,0.26025,0.1928399999999999,0.4600558194420064,0.2178056503669269,0.1681807830507334,0.2812158959205751,0.0538976694128327,309,95.31881170396817
0.3049999999999999,0.31015,0.29843,0.33176,0.22572,0.4269642601023984,0.4625501580856954,0.2654807763099701,0.1657903751838647,0.0789740872440532,229,1105.256447012811
0.3049999999999999,0.31015,0.29843,0.33176,0.22572,0.4269642601023984,0.4625501580856954,0.2654807763099701,0.1657903751838647,0.0789740872440532,249,11.274567179204595
0.3049999999999999,0.31015,0.29843,0.33176,0.22572,0.4269642601023984,0.4625501580856954,0.2654807763099701,0.1657903751838647,0.0789740872440532,269,27.715545158240648
0.3049999999999999,0.31015,0.29843,0.33176,0.22572,0.4269642601023984,0.4625501580856954,0.2654807763099701,0.1657903751838647,0.0789740872440532,289,56.784735316031984
0.3049999999999999,0.31015,0.29843,0.33176,0.22572,0.4269642601023984,0.4625501580856954,0.2654807763099701,0.1657903751838647,0.0789740872440532,309,96.1475924289894
0.3056399999999999,0.3824399999999999,0.34458,0.30545,0.2348399999999999,0.1903346674377649,0.3847267924025974,0.2686818442360376,0.2269640304203384,0.0302712937798101,229,1193.2948688255683
0.3056399999999999,0.3824399999999999,0.34458,0.30545,0.2348399999999999,0.1903346674377649,0.3847267924025974,0.2686818442360376,0.2269640304203384,0.0302712937798101,249,1121.0476252816666
0.3056399999999999,0.3824399999999999,0.34458,0.30545,0.2348399999999999,0.1903346674377649,0.3847267924025974,0.2686818442360376,0.2269640304203384,0.0302712937798101,269,1002.6663026345813
0.3056399999999999,0.3824399999999999,0.34458,0.30545,0.2348399999999999,0.1903346674377649,0.3847267924025974,0.2686818442360376,0.2269640304203384,0.0302712937798101,289,914.6602780958468
0.3056399999999999,0.3824399999999999,0.34458,0.30545,0.2348399999999999,0.1903346674377649,0.3847267924025974,0.2686818442360376,0.2269640304203384,0.0302712937798101,309,97.140240914
0.30613,0.32831,0.26183,0.3446599999999999,0.20799,0.3909460100875286,0.2145463812058399,0.2705525982188044,0.1905259000671144,0.0466208521429772,229,1055.3840325102517
0.30613,0.32831,0.26183,0.3446599999999999,0.20799,0.3909460100875286,0.2145463812058399,0.2705525982188044,0.1905259000671144,0.0466208521429772,249,11.379868121139513
0.30613,0.32831,0.26183,0.3446599999999999,0.20799,0.3909460100875286,0.2145463812058399,0.2705525982188044,0.1905259000671144,0.0466208521429772,269,31.222979193190085
0.30613,0.32831,0.26183,0.3446599999999999,0.20799,0.3909460100875286,0.2145463812058399,0.2705525982188044,0.1905259000671144,0.0466208521429772,289,57.47885268467334
0.30613,0.32831,0.26183,0.3446599999999999,0.20799,0.3909460100875286,0.2145463812058399,0.2705525982188044,0.1905259000671144,0.0466208521429772,309,95.52092884675588
0.3069199999999999,0.3585899999999999,0.26699,0.3486299999999999,0.2377,0.4625834159342779,0.3470789078071841,0.2438839608866958,0.2010436946813365,0.0293267708800665,229,1234.2393401302545
0.3069199999999999,0.3585899999999999,0.26699,0.3486299999999999,0.2377,0.4625834159342779,0.3470789078071841,0.2438839608866958,0.2010436946813365,0.0293267708800665,249,1148.8012515748746
0.3069199999999999,0.3585899999999999,0.26699,0.3486299999999999,0.2377,0.4625834159342779,0.3470789078071841,0.2438839608866958,0.2010436946813365,0.0293267708800665,269,1039.157871499306
0.3069199999999999,0.3585899999999999,0.26699,0.3486299999999999,0.2377,0.4625834159342779,0.3470789078071841,0.2438839608866958,0.2010436946813365,0.0293267708800665,289,52.47849889135908
0.3069199999999999,0.3585899999999999,0.26699,0.3486299999999999,0.2377,0.4625834159342779,0.3470789078071841,0.2438839608866958,0.2010436946813365,0.0293267708800665,309,105.85726338315192
0.3074399999999999,0.36371,0.3378899999999999,0.2962599999999999,0.1956999999999999,0.4135280892750601,0.3634417693097843,0.3042677422193346,0.2512630460409425,0.0677728438414603,229,1372.8219702968706
0.3074399999999999,0.36371,0.3378899999999999,0.2962599999999999,0.1956999999999999,0.4135280892750601,0.3634417693097843,0.3042677422193346,0.2512630460409425,0.0677728438414603,249,1311.1254006719855
0.3074399999999999,0.36371,0.3378899999999999,0.2962599999999999,0.1956999999999999,0.4135280892750601,0.3634417693097843,0.3042677422193346,0.2512630460409425,0.0677728438414603,269,1247.620012196738
0.3074399999999999,0.36371,0.3378899999999999,0.2962599999999999,0.1956999999999999,0.4135280892750601,0.3634417693097843,0.3042677422193346,0.2512630460409425,0.0677728438414603,289,1169.546950217929
0.3074399999999999,0.36371,0.3378899999999999,0.2962599999999999,0.1956999999999999,0.4135280892750601,0.3634417693097843,0.3042677422193346,0.2512630460409425,0.0677728438414603,309,1081.6316269099584
0.30771,0.38159,0.2522899999999999,0.28793,0.2416499999999999,0.3652709509818229,0.4223081613008456,0.2561685787068643,0.2147833433769903,0.0396167492314984,229,1727.734454615821
0.30771,0.38159,0.2522899999999999,0.28793,0.2416499999999999,0.3652709509818229,0.4223081613008456,0.2561685787068643,0.2147833433769903,0.0396167492314984,249,1644.600574408578
0.30771,0.38159,0.2522899999999999,0.28793,0.2416499999999999,0.3652709509818229,0.4223081613008456,0.2561685787068643,0.2147833433769903,0.0396167492314984,269,1562.3455931245635
0.30771,0.38159,0.2522899999999999,0.28793,0.2416499999999999,0.3652709509818229,0.4223081613008456,0.2561685787068643,0.2147833433769903,0.0396167492314984,289,1470.0783184376785
0.30771,0.38159,0.2522899999999999,0.28793,0.2416499999999999,0.3652709509818229,0.4223081613008456,0.2561685787068643,0.2147833433769903,0.0396167492314984,309,1364.3883351668992
0.3085,0.34342,0.3354899999999999,0.32667,0.1813699999999999,0.491018876472333,0.1862106942135324,0.3111687458002076,0.2463782995303848,0.0415856138675836,229,1147.6092748564552
0.3085,0.34342,0.3354899999999999,0.32667,0.1813699999999999,0.491018876472333,0.1862106942135324,0.3111687458002076,0.2463782995303848,0.0415856138675836,249,1079.1760103806478
0.3085,0.34342,0.3354899999999999,0.32667,0.1813699999999999,0.491018876472333,0.1862106942135324,0.3111687458002076,0.2463782995303848,0.0415856138675836,269,974.779755437598
0.3085,0.34342,0.3354899999999999,0.32667,0.1813699999999999,0.491018876472333,0.1862106942135324,0.3111687458002076,0.2463782995303848,0.0415856138675836,289,828.8990403413123
0.3085,0.34342,0.3354899999999999,0.32667,0.1813699999999999,0.491018876472333,0.1862106942135324,0.3111687458002076,0.2463782995303848,0.0415856138675836,309,101.6283781073939
0.3085799999999999,0.30505,0.3154099999999999,0.2783899999999999,0.2523999999999999,0.4499786913215026,0.3058059177162762,0.2423249992343901,0.1266916169440391,0.0643605885768937,229,6.150923857184757
0.3085799999999999,0.30505,0.3154099999999999,0.2783899999999999,0.2523999999999999,0.4499786913215026,0.3058059177162762,0.2423249992343901,0.1266916169440391,0.0643605885768937,249,12.62293782428244
0.3085799999999999,0.30505,0.3154099999999999,0.2783899999999999,0.2523999999999999,0.4499786913215026,0.3058059177162762,0.2423249992343901,0.1266916169440391,0.0643605885768937,269,29.02965888650659
0.3085799999999999,0.30505,0.3154099999999999,0.2783899999999999,0.2523999999999999,0.4499786913215026,0.3058059177162762,0.2423249992343901,0.1266916169440391,0.0643605885768937,289,59.3050004970334
0.3085799999999999,0.30505,0.3154099999999999,0.2783899999999999,0.2523999999999999,0.4499786913215026,0.3058059177162762,0.2423249992343901,0.1266916169440391,0.0643605885768937,309,95.6559577123818
0.30926,0.3688499999999999,0.27725,0.3425799999999999,0.2037599999999999,0.3102292115777513,0.314486216196314,0.177742414518208,0.174957069699422,0.0453570538968414,229,1118.7365087547005
0.30926,0.3688499999999999,0.27725,0.3425799999999999,0.2037599999999999,0.3102292115777513,0.314486216196314,0.177742414518208,0.174957069699422,0.0453570538968414,249,942.393952725354
0.30926,0.3688499999999999,0.27725,0.3425799999999999,0.2037599999999999,0.3102292115777513,0.314486216196314,0.177742414518208,0.174957069699422,0.0453570538968414,269,25.851736855039885
0.30926,0.3688499999999999,0.27725,0.3425799999999999,0.2037599999999999,0.3102292115777513,0.314486216196314,0.177742414518208,0.174957069699422,0.0453570538968414,289,58.38420301566161
0.30926,0.3688499999999999,0.27725,0.3425799999999999,0.2037599999999999,0.3102292115777513,0.314486216196314,0.177742414518208,0.174957069699422,0.0453570538968414,309,100.5289664585198
0.30999,0.3603699999999999,0.27262,0.29496,0.2042899999999999,0.308799124088703,0.2256545026324017,0.2873685979083413,0.3234741497757402,0.0777701531253659,229,1584.5866927120678
