Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
56,299,17623.217649024085,3.451596429910053,3.697336118178125,3.486439699444131,3.429088181471206,3.8165839102690935,2.517152535540379,2.803023301536724,2.9196093908760785,2.928518543586853,43.831587428849126,38.74221407541148,45.41459650097307,34.455889118655975,37.39261993987459,11.66061724993382,41.45234882858474,20.395549182575586,27.15297319775408,17623.217478192826,3.451596238014728,3.6973371092677576,3.486446196405808,3.4290823636703767,3.816585220525694,2.5171527925963444,2.8030368933246392,2.919609469382231,2.9285189805227447,43.83159319570691,38.742231040453945,45.414172721143984,34.45574989389119,37.39274913067074,11.66061852617144,41.45222943342093,20.39542382279952,27.152969118538188,1.022710432548496,98.92195741457208,204.12942118780168,5.041148889978763,12.645138865717076,772.7876546475729,625.7501432150117,13.99696756032345,94.9126647479615,630.4782221547414,323.0050692835527,93.98568556272151,19.27569248970082,8.67574761035781,48.24193836091983,30.18134225838476,8.441402668786122,8.26773483644015,10.71100145474916,23.13012419353677,0.7631563270934287,17.85140673787894,48.191858122348734,3.8197403456324297,1.9632163749362208,7.6340675222007395,11.32860890310615,16.448338162210845,3547.001853227616,304.0,5776.0,8595.889566664664,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
178,382,17624.120868476763,3.4522722095633096,3.699096271107492,3.484587881714172,3.4026923701848184,3.813594426559908,2.517106972840431,2.8064390342321017,2.9203926349654763,2.928519050493641,43.775224221693136,38.67049148461563,45.44262133796671,35.41647952115736,37.84619228362969,11.66941494291925,41.48877284440444,20.231957210819665,27.159835182317565,17624.120527230276,3.452271072279489,3.699098565778909,3.484581798953652,3.4026965176933848,3.813588299112893,2.5171071388313377,2.806442053904013,2.9203950415521924,2.9285183467587235,43.7752012083063,38.67044797311224,45.44285017193408,35.41651754670661,37.84603891754946,11.66939997759942,41.488789171492286,20.232096709288317,27.159863781033323,1.0105438436893803,96.91896499755605,204.32256081979364,5.042145572911334,13.83842465872549,788.4409075534835,625.9035700728416,14.439754302064657,94.35823186174048,638.1458410743753,326.37519719834233,93.53162177102918,19.933114172379824,8.820897014199208,47.912624747778885,29.52832758288908,8.332993433777755,8.321561370164362,11.42813898727462,23.12925803158813,0.7565107551384939,17.85621209688492,49.4813006209998,3.7701876217398222,1.9845518836341325,7.402691401081794,11.074472992122296,16.46612135209648,4461.092307806015,388.0,7372.0,27023.668318678392,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
106,246,17625.346624762344,3.450791483506649,3.6961708056537095,3.4750481033622496,3.4412249962757424,3.812804351687504,2.5175223213552727,2.803113048671404,2.919698569080873,2.928597119087083,43.85127956612961,38.786533727988754,45.9661666511704,34.02944131681385,37.39233552188077,11.66084701726036,41.44814831863595,20.47028567009084,27.160420046281363,17625.343457544615,3.4507827866375584,3.6961636078892974,3.4750575738033618,3.4412330970862204,3.812799690659146,2.5175113161044,2.8031188508298626,2.9197092572681727,2.9285961566484837,43.85147781226561,38.78661868142012,45.96638015681613,34.02927093905788,37.39244860974602,11.66074523171335,41.44843956140928,20.470306856758693,27.16046967380653,1.0199835104512665,98.99402950299547,202.573887339375,5.0476672178435065,12.729234761819626,773.4579051139447,630.9756706231226,13.977513534116737,95.01219934393828,630.6638415174511,323.0269606503914,94.14533212488136,18.764479579645627,8.593980159313604,49.17747397033445,31.40758856247276,8.429638453837336,7.897141110465868,9.998432516246616,23.34707329280725,0.8231812142688434,19.682313013490678,50.519657407910906,3.473668336691543,2.013158997560148,7.445884985578121,11.38290225816709,16.627489244962074,3144.2692255973816,273.0,5187.0,9911.272262190249,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,272,17625.525488616135,3.449326869401304,3.703277175429672,3.486487361035133,3.3978624375039868,3.8223654728673,2.515208533488364,2.806781659234141,2.919527804330297,2.928662702462819,43.89095637121399,38.55856426228292,45.37809989079302,35.66886553366499,37.4629339558422,11.668528153157489,41.45645089809334,20.247000508809496,27.170466195202973,17625.525192667305,3.4493267452830074,3.703277495068118,3.4864871792845777,3.3978703266126864,3.822360800203679,2.515208553790327,2.806778421488975,2.919527720996937,2.9286624823435776,43.89096912219342,38.55861194761682,45.37798515225111,35.66870196041521,37.46274888334622,11.668509311822149,41.45649073063936,20.24719878104443,27.170457347768323,1.0155264663109924,96.97920860176436,200.51321633330747,4.995576763218031,13.21050233685932,763.8415794159,624.9192739422582,13.819527166663647,98.80490311399817,637.8378040299467,326.1956054884034,95.34322405849902,20.83417743433602,9.192127063674194,46.611550547408505,28.019784783464612,8.295754878925216,8.48106231031987,10.610414646358944,23.74045999439571,0.7286283067198431,16.18024626991677,46.849740099615225,3.8979012090439342,1.878445985654392,7.910746671344818,10.41795457261494,16.371752028294267,3117.659561395645,279.0,5301.0,13598.61813660183,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
125,321,17625.86239497598,3.450561296313591,3.687329269424598,3.4908510356226,3.410387855367563,3.8213367653227817,2.517717375800249,2.805383874236353,2.9198449163218565,2.928610722561489,43.88172519861125,39.03570951388907,45.06462223563687,34.97595355280068,37.99672321035069,11.64992456481326,41.474852113847085,20.01545567512829,27.155712495365403,17625.862355509074,3.450560943584891,3.6873291603036753,3.4908502118202174,3.41038782145255,3.82133794913478,2.517717029231499,2.8053836004601336,2.9198452636476158,2.9286108606291017,43.88172662316012,39.03571232048823,45.06465727779553,34.97594119479694,37.996651056012674,11.649919361126049,41.47485270136255,20.015466137391424,27.1557155416864,1.0299351191298047,101.76197219966834,202.45181068015148,5.081846537485205,13.320535365394395,768.932477270377,624.9918596806614,13.949011247358444,94.651565654311,631.7346377746446,325.36334982813463,93.17087800556143,16.33847046251031,8.489619478122378,51.61841715404931,32.67869258235633,8.013482880620085,8.967691932030942,12.583580178757892,21.76926301742768,0.7175609673092361,15.761167540895991,47.92586062941574,3.769516835179101,2.422692955628319,7.319979084629437,11.066640834801811,17.031805844232725,3739.3351855278015,329.0,6251.0,10753.13686828315,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
114,258,17625.960191378937,3.4495396822742697,3.688122504783245,3.4760868261637845,3.418903981920786,3.8168921205090207,2.518909666095619,2.8033127175912256,2.9200865668586,2.928624562608206,43.9155818079204,39.029729001414864,46.07143316885482,34.889006897881096,37.230082430788585,11.645122195592004,41.45928713410616,20.484749852945203,27.16245078945827,17625.96008580607,3.4495391380817475,3.688118554342379,3.4760871497092505,3.4188985065120243,3.816892866197811,2.5189092121401897,2.8033126030876128,2.9200865254438204,2.928624581686543,43.9155984752211,39.02982643479033,46.07137512564052,34.88919731731053,37.23016232905966,11.645130563775098,41.45928032597917,20.48468029400107,27.162448230343895,1.0406139808236456,103.80532271226976,200.7159363694317,5.089951373777962,12.886880262346516,767.5255427551858,633.7597271411545,13.796607440636038,93.86586878079588,629.7238039717421,324.77623744283494,92.96240634217985,16.837074097430694,8.209414336942631,50.81178303453338,32.81526301254964,8.434949014408442,7.594598831919548,10.179658200802953,23.79329245089831,0.797782964993792,19.144932788258004,49.4828295214806,3.8431538967540657,2.0916799929442424,7.564165245211157,11.62807661533739,16.845187606960256,5324.189200639725,266.0,5054.0,26024.934079403145,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
147,281,17626.39450072726,3.4491722159642664,3.690834769100873,3.4783941194494767,3.403486329379415,3.822151585707629,2.518920674517997,2.804081119165755,2.917230024750976,2.9286877133107585,43.94026604842802,38.95213415547936,45.9493824898496,35.4813322318877,36.8081853856793,11.646591660585225,41.44941186499951,20.587144821817265,27.158049075135647,17626.394184055483,3.449172391052437,3.6908346246911705,3.478394268649096,3.403487877772596,3.822154827139725,2.518918865698722,2.8040793431992883,2.9172304704727803,2.928687146112019,43.94024854352758,38.95217395890084,45.949394145377575,35.481336995571255,36.80815662970942,11.646585774495833,41.449391586791656,20.58707054597101,27.15806001171286,1.0245859844970084,99.46469983391718,201.15717727176064,5.0219191761843085,13.09307786055708,764.2266709367364,634.0719693673088,13.773237728362606,94.53707790167638,620.4279059574379,318.8091517261337,94.3239408289946,17.675363925858424,8.216600725038418,49.70929189495932,32.081733370218686,8.605802544460921,7.783431332565048,11.71331581025272,23.39238415470234,0.8005159180738523,18.59173615883923,48.07102550007167,3.769068770803286,2.1502340623536487,7.7019401261625715,11.318370466424255,16.932283506538333,3171.728595495224,286.0,5434.0,10135.044320099476,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
29,275,17626.610226260225,3.45141302318742,3.6975177230550376,3.472488792883013,3.4152892395983114,3.8203270234747286,2.5192895737920784,2.8040575808634816,2.9179109077027974,2.928542886266168,43.81735516169172,38.71333305001279,46.15974510643368,34.822484601239736,37.10445536325346,11.659103821144562,41.53674207225176,20.48709244328308,27.161945868590166,17626.610102717106,3.4514138921631607,3.697520464241495,3.472492523336196,3.415282064457465,3.820323357416204,2.519289220037668,2.804061199279576,2.917907817207133,2.928542425625343,43.81735317300953,38.71327713022879,46.1594778139385,34.822553165105155,37.10428239679353,11.659092044188109,41.53679020656262,20.487237905991883,27.161904513781923,1.024196114311018,100.19910727348218,202.94574276474415,5.074335537657077,13.117186938638469,774.0509961137959,617.4074763370544,13.764401586026253,92.39319934435468,630.0153684913021,322.8854824848306,93.17905326543342,20.48602435957336,8.559412847348382,46.5258436494626,28.637705348783037,8.305040776143532,7.837685411780414,12.026985121551268,22.630551342857046,0.8464549795375863,19.06407391721412,50.12172137299846,3.6258074878050897,1.9647164707345688,7.748474550288114,10.423822734343345,16.907756225521926,3149.5473630428314,282.0,5358.0,5974.542961186607,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
64,285,17626.64412236189,3.4499706573652693,3.6917368095743615,3.490378082620893,3.383232177517536,3.8138503726062414,2.5184587616288168,2.8066437169520952,2.921696458818846,2.9286632914231148,43.87178144409254,38.90144700699647,45.06560604892786,36.14066389156101,38.07435947510433,11.65444281452576,41.48913039306232,20.139140654341624,27.17176242054898,17626.64314635085,3.44997219677314,3.691746045750852,3.490374311651796,3.383227450988407,3.8138538074388832,2.518458245427852,2.806648967603014,2.9216865313184845,2.928663685237729,43.871752090018965,38.90120217911063,45.065504789475206,36.14054899319272,38.0741845221821,11.654443506161185,41.48908770615046,20.13914083103692,27.171752623475943,1.0378982554103904,105.49905216561709,199.96373393609144,5.157371404546367,13.937598372976446,779.0153846887649,632.7716361512638,14.14141190254608,94.04261469319056,636.3108659705478,327.4219972776295,92.92232436228257,17.965896207024333,8.414561820867753,49.61101429145486,31.36184634568955,8.18101894088004,8.003190178654684,12.45260781715532,22.81487953543833,0.6356599638505708,16.736636343596896,47.59839401820912,3.84913863646664,2.151354559056622,7.2223840481930495,10.40186352495199,17.179738969835807,6878.871233463287,292.0,5548.0,10707.6621369571,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
136,238,17626.860231716964,3.449807816315506,3.703112292944637,3.485230544276632,3.428610238145975,3.815937556849344,2.516568579781098,2.8047926217821835,2.920092746289736,2.9286590945209423,43.8866088048957,38.574561855554,45.32066369584194,34.30180001505183,38.21209164003731,11.661057580202256,41.47818238037126,19.99294651736588,27.165982931615854,17626.858797806457,3.449806057004694,3.7031120434313207,3.485229574515928,3.4286096327909936,3.8159378022525554,2.5165672085256063,2.8047928465147063,2.9200926231168727,2.928655542826779,43.88657634954039,38.57454788822441,45.32065926504553,34.30178981921669,38.21209123340476,11.661092161969425,41.478198203136174,19.992930364410093,27.165973947029237,1.0235774933907758,100.1299997788747,200.96307711148415,5.0569950592892345,12.75787422557604,760.5214823901067,620.2162496317322,13.608224035007968,96.76509939818004,633.7185897960977,324.8344197990978,94.53508467163115,21.2895274140051,8.936505288406657,45.71624646429021,27.81499012991572,8.120416944228783,9.486173546484736,12.287118366055989,21.585406223448405,0.8168688876849821,17.08973033899529,50.88886658298414,3.503715959757492,1.975993269082803,7.288363007091381,10.870311204904729,16.19822555693251,2956.377592563629,255.0,4845.0,9522.627018385292,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
