Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
19,148,50.30521803943075,3.2075304196872167,3.8588293151422,3.6547353848264175,2.04254251814827,3.3991614916426216,3.611494614152776,2.521446886473888,3.039968748791284,3.953057870559325,2.8213663177014108,3.953464918793534,30.034983828431752,52.98435833276822,60.66144455695,52.97072864885236,16.064420174326674,60.77021292631762,4.945074459079356,32.022932157472255,27.569702368141545,20.004015202070136,31.389690988691285,50.30488235754427,3.2075304196872167,3.8588293151422,3.6547319345957767,2.04254251814827,3.3991554873828584,3.611494614152776,2.521457093997972,3.039959155062651,3.953057870559325,2.8213663177014108,3.953464918793534,30.034983828431752,52.98413832748441,60.66195082347863,52.97050850736511,16.064420174326674,60.77021292631762,4.945103889800346,32.023102269975496,27.569702368141545,20.004015202070136,31.389690988691285,0.992586820430946,3.303126305260564,6.407646509499875,20.694939974010204,798.2295217514038,216.0,4968.0,1230.9999111821653,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
10,425,50.99284409702405,2.08354554603845,3.755879571742476,3.700249843011491,2.462671873494261,3.4016057783134968,3.151274799548625,2.468978154212227,3.122175967132189,3.869474383055123,3.108793506833243,2.176928548938187,38.27825266561019,54.15547739639527,56.79516046965383,55.457620150596966,36.57267013594063,45.37098549062348,5.4759435861205565,30.72113253799116,41.34580249104294,40.203893880038834,29.323359631482475,50.99283259873546,2.08354554603845,3.755879571742476,3.700249464899945,2.462671873494261,3.401607546330344,3.151274799548625,2.468979376502922,3.1221773826700288,3.869474383055123,3.108793506833243,2.176928548938187,38.27825266561019,54.15545110264869,56.79521949811488,55.45767749185477,36.57267013594063,45.37098549062348,5.475931572262983,30.721152368979027,41.34580249104294,40.203893880038834,29.323359631482475,1.4269801059501086,4.137512611771459,5.529838136032198,19.115200148037868,1647.1869323253632,473.0,10879.0,416.76163069544367,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
3,168,51.181336585488886,3.207285513858196,3.117634104815854,3.662473962741337,3.512006680154336,3.443835269448509,3.8436036770845625,2.511128294301223,3.1616738248148395,2.478739166303359,2.479750122031412,2.022779537514093,25.51997355737602,54.699250187985314,59.99924120201377,48.77520169751926,56.01980719662589,60.78281740673727,5.022642466086238,30.03557645703349,15.465220025100376,19.45772574583784,16.342988211591766,51.18133548418649,3.207285513858196,3.117634104815854,3.6624746430752273,3.512006680154336,3.443812144386854,3.8436036770845625,2.511128202833768,3.1616695315498515,2.478739166303359,2.479750122031412,2.022779537514093,25.51997355737602,54.69939954885404,59.99924721292388,48.77504881827662,56.01980719662589,60.78281740673727,5.022634615844901,30.035421950030432,15.465220025100376,19.45772574583784,16.342988211591766,0.916567817220864,3.3165315710074488,6.316359438902248,20.64761714669101,512.8168485164642,251.0,5773.0,714.0610000888179,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,315,51.25833543605853,3.8055222712271024,3.983540524426326,3.699375344017084,2.299105359115294,3.4116240090091825,2.1159335574993783,2.469185238843915,3.095594290034274,2.326775982447284,2.674351375083821,2.9549466702101235,55.69229401126101,53.12004227993869,56.37333261223941,54.842938323491744,57.22136345081445,65.62313442147908,5.595316995940171,30.842501246562257,36.02357874174948,30.8647657130374,32.03449562715127,51.25833520255232,3.8055222712271024,3.983540524426326,3.699375464764581,2.299105359115294,3.4116290574271013,2.1159335574993783,2.4691854151254646,3.095585218713261,2.326775982447284,2.674351375083821,2.9549466702101235,55.69229401126101,53.12022152218027,56.37333478210399,54.84272379558217,57.22136345081445,65.62313442147908,5.595315304692805,30.8426528719189,36.02357874174948,30.8647657130374,32.03449562715127,1.3912101419792653,3.8337086900311146,5.5637503786290745,19.43785394518733,713.3020868301392,378.0,8694.0,378.6995200158984,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,146,51.54920207163823,2.254764058450398,3.749772381143489,3.635902219465055,3.49720855332827,3.376524433210459,3.4656541555926417,2.5386111769021564,3.1950861206434755,2.373321946807419,2.596042934778452,3.397001985144758,71.88066015283609,51.99169007718821,61.948786252023375,48.59004431458726,27.72597386067575,41.72441754176131,4.842705439192031,32.174120609999235,35.137284716404906,17.843825343661695,39.28297706949324,51.54920202034884,2.254764058450398,3.749772381143489,3.63590209934024,3.49720855332827,3.3765364531051585,3.4656541555926417,2.538610952741065,3.1950852659074918,2.373321946807419,2.596042934778452,3.397001985144758,71.88066015283609,51.99167287689094,61.94878613370015,48.59002053025738,27.72597386067575,41.72441754176131,4.842706024224066,32.174147684779335,35.137284716404906,17.843825343661695,39.28297706949324,0.7078941570214163,2.5536969626640955,7.246661316816721,21.766103972425263,441.2826671600342,181.0,4163.0,717.7268816701418,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,90,51.69171599732932,3.674796908159586,2.340693197338306,3.625134702606615,3.006549095895374,3.285933475641957,3.64124159758465,2.5501070041608824,3.026270542613413,3.294826052812589,2.946694645081944,2.8329046666151902,47.09731633409424,59.99190121508333,63.41320347335101,56.77231562225837,71.53480015739845,49.2199107235202,4.629785808797934,29.66843314037939,45.82746556208964,47.186422353950526,22.004745073993977,51.69169869535455,3.674796908159586,2.340693197338306,3.625134613596392,3.006549095895374,3.2859390662214194,3.64124159758465,2.550108170905545,3.026274742540756,3.294826052812589,2.946694645081944,2.8329046666151902,47.09731633409424,59.99197854531266,63.413217235887096,56.77229519325274,71.53480015739845,49.2199107235202,4.629786237471151,29.66845403863381,45.82746556208964,47.186422353950526,22.004745073993977,0.5948538881215741,2.5114717358831333,7.954050488061347,21.53367690492065,412.6223931312561,110.0,2530.0,1099.081841962669,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,197,51.71390350703862,2.767778921828627,3.4986489898170707,3.7055214153155047,2.236752138704063,3.443008501210141,2.3010666551633827,2.46201504721034,3.163721631215457,2.125229973981043,3.549015836099123,2.054347198558034,22.562903540398374,55.69154645002547,55.6466977736454,53.79978502321286,26.589021796381537,63.78019013226384,5.738373536735205,29.876075050210712,42.23046683103724,25.745659372341034,44.797630685703965,51.71344058144691,2.767778921828627,3.4986489898170707,3.705532184956497,2.236752138704063,3.443017613193941,2.3010666551633827,2.4620211219254355,3.163728979621681,2.125229973981043,3.549015836099123,2.054347198558034,22.562903540398374,55.69183497267153,55.64698601309117,53.79965115288898,26.589021796381537,63.78019013226384,5.738397142971119,29.87594797619973,42.23046683103724,25.745659372341034,44.797630685703965,1.5067587802054514,3.877345985539451,5.535921581935515,19.174287336903788,954.398477077484,259.0,5957.0,418.52896349587,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
25,234,51.75283855491797,3.450749996022065,2.760751557623043,3.6893243888437626,2.542566701758034,3.4619240880711173,3.04372181588078,2.479896657065212,3.0769418419630448,3.213463969582812,3.699379003741716,3.665720832874976,36.31800383334282,51.85019026142394,58.42018123558783,50.57868100291648,17.872423622454974,37.867900379279824,5.154215012358771,31.55238185946221,16.446903668859306,41.881758246824624,26.983266561338016,51.75283843025937,3.450749996022065,2.760751557623043,3.6893244046856175,2.542566701758034,3.4619231300872446,3.04372181588078,2.479896666649657,3.076941442410788,3.213463969582812,3.699379003741716,3.665720832874976,36.31800383334282,51.85018279879877,58.42018245511924,50.57867513807863,17.872423622454974,37.867900379279824,5.154214907197606,31.55238742570766,16.446903668859306,41.881758246824624,26.983266561338016,1.063857412396752,4.157484087704756,5.846702647686728,19.46588661983621,581.9048447608948,304.0,6992.0,350.6486899369393,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,185,51.77096580362365,2.277837481045148,3.319914784952789,3.6977337362503775,3.536028092764318,3.3674917802086384,2.623831010447548,2.468037195432192,3.0945054654614825,2.990248510537107,3.057139931266622,3.92172809584046,61.86434700975142,54.9595717611138,57.49796360808895,50.919062517264095,17.324451608300908,73.60149147827879,5.314139183564092,28.8817982010336,26.817008042856127,35.027471161648506,21.38139380250065,51.77028341771604,2.277837481045148,3.319914784952789,3.697745460857949,3.536028092764318,3.3674874120885843,2.623831010447548,2.468043880212544,3.094499212091788,2.990248510537107,3.057139931266622,3.92172809584046,61.86434700975142,54.95943336141376,57.49829160429868,50.91889621366423,17.324451608300908,73.60149147827879,5.314162070064293,28.881652358138588,26.817008042856127,35.027471161648506,21.38139380250065,1.0568742701383462,4.135661794352074,5.872778594031078,19.35001977064836,555.2106924057007,268.0,6164.0,641.9274180655476,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
15,86,52.20963322498105,3.452399497547567,2.7222380418337937,3.6774301580685513,2.084171378985694,3.2561030120273324,3.2524193392326213,2.4948573920280808,3.0887296248335754,3.106135165001533,2.169024689463547,3.248012704070586,13.85587431608031,49.61456086095683,58.568202711902735,56.05258957905313,22.1561423007588,30.13989338216485,5.22771495661028,29.027145620461127,23.16361739459123,30.504354978974472,36.18032011696721,52.20955614733961,3.452399497547567,2.7222380418337937,3.677428526996796,2.084171378985694,3.256109126106164,3.2524193392326213,2.4948697948643224,3.088739295126668,3.106135165001533,2.169024689463547,3.248012704070586,13.85587431608031,49.61475993822106,58.56811830395952,56.05284837578824,22.1561423007588,30.13989338216485,5.227763339305803,29.02697888275804,23.16361739459123,30.504354978974472,36.18032011696721,1.1204045925974533,3.5842351916115747,5.978654580676794,20.062814774734527,185.9087462425232,101.0,2323.0,243.465885069722,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
