Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R134a-sim_liq_density-wt,R134a-sim_vap_density-wt,R134a-sim_Pvap-wt,R134a-sim_Hvap-wt,Run Time,jac evals,Termination
18,87,19.859673981432667,3.708991328494818,3.9999999999999996,1.5,3.8742454239894752,2.9118646921759335,3.9999999999999996,55.74277708582938,74.99999879727639,10.000000000000002,50.00000000000001,43.20517979838536,50.00000000000001,19.85967262442799,3.708991328494818,3.9999999999999996,1.5,3.874245523989475,2.9118646921759335,3.9999999999999996,55.74277708582938,75.00000000000001,10.000000000000002,50.00000000000001,43.20517979838536,50.00000000000001,319236.0611704627,12489.506062769497,693.5624535464816,180.8501651123909,1.814707940326053e-05,0.00023163478631171597,0.013202088943264495,0.011127370854823857,8.695697784423828,7,0
7,91,19.859675688705174,3.6998100571001813,3.9999999999999996,1.5,3.874245738580262,3.268326153829485,3.9999999999999996,68.32533834666529,75.00000000000001,10.000000000000002,50.00000000000001,28.07323845276213,49.99999879727639,19.85967262442829,3.6998100571001813,3.9999999999999996,1.5,3.874245738580262,3.268326153829485,3.9999999999999996,68.32533834666529,75.00000000000001,10.000000000000002,50.00000000000001,28.07323845276213,50.00000000000001,319236.13567704713,12489.507066053899,693.5625030293692,180.8501166737549,1.8147079370075156e-05,0.0002316347870649182,0.013202088956876034,0.011127370854823843,8.732971429824829,7,0
12,79,19.859672624428292,3.7951968159500185,3.9999999999999996,1.5,3.8742452939983125,2.2750581508331598,3.9999999999999996,17.505519953009177,75.00000000000001,10.000000000000002,50.00000000000001,21.58399185750343,50.00000000000001,19.859672624428292,3.7951968159500185,3.9999999999999996,1.5,3.8742452939983125,2.2750581508331598,3.9999999999999996,17.505519953009177,75.00000000000001,10.000000000000002,50.00000000000001,21.58399185750343,50.00000000000001,319236.02382439695,12489.505416418648,693.562425964864,180.85015003986854,1.8147079419043384e-05,0.0002316347861432155,0.01320208894249661,0.011127370854823843,8.73433518409729,7,0
10,87,19.859673981433346,2.3017019760320694,3.9999999999999996,1.5,3.874245776930172,3.3838295671058334,3.9999999999999996,69.59028533679088,74.99999879727639,10.000000000000002,50.00000000000001,35.256111421629996,50.00000000000001,19.859672624428505,2.3017019760320694,3.9999999999999996,1.5,3.874245776930172,3.3838295671058334,3.9999999999999996,69.59028533679088,75.00000000000001,10.000000000000002,50.00000000000001,35.256111421629996,50.00000000000001,319236.13015282695,12489.50646302653,693.5624744090126,180.85002071191323,1.8147079361806888e-05,0.00023163478631064386,0.013202088943262205,0.011127370854823857,8.703024864196777,7,0
15,91,19.859675688705288,3.0668710403666277,3.9999999999999996,1.5,3.8742457444915672,3.3028179965720037,3.9999999999999996,73.10348218903681,75.00000000000001,10.000000000000002,50.00000000000001,26.17234110492244,49.99999879727639,19.85967262442862,3.0668710403666277,3.9999999999999996,1.5,3.8742457444915672,3.3028179965720037,3.9999999999999996,73.10348218903681,75.00000000000001,10.000000000000002,50.00000000000001,26.17234110492244,50.00000000000001,319236.13683242287,12489.507072757915,693.5625033787834,180.85011425522885,1.814707936938086e-05,0.00023163478706490025,0.01320208895687601,0.011127370854823843,8.69483733177185,7,0
20,89,19.85967347863996,2.4792588480672366,3.9999999999999996,1.5,3.8742454142124076,2.931373115513436,3.9999999999999996,49.204856701967465,75.00000000000001,10.000000000000002,49.99999879727639,33.36273059409131,50.00000000000001,19.859672624428686,2.4792588480672366,3.9999999999999996,1.5,3.8742454142124076,2.931373115513436,3.9999999999999996,49.204856701967465,75.00000000000001,10.000000000000002,50.00000000000001,33.36273059409131,50.00000000000001,319236.054875803,12489.505877174111,693.5624447920413,180.85014382855195,1.8147079406099203e-05,0.00023163478649371877,0.013202088948543602,0.011127370854823779,8.759906530380249,7,0
8,86,19.859672624428754,3.141290044031046,3.9999999999999996,1.5,3.874244891292861,3.863755115186013,3.9999999999999996,23.539699517919143,75.00000000000001,10.000000000000002,50.00000000000001,47.32803168854692,50.00000000000001,19.859672624428754,3.141290044031046,3.9999999999999996,1.5,3.874244891292861,3.863755115186013,3.9999999999999996,23.539698315195526,75.00000000000001,10.000000000000002,50.00000000000001,47.32803168854692,50.00000000000001,319235.9451155232,12489.504959725204,693.5624021607038,180.85031480093596,1.8147079466341975e-05,0.0002316347861444392,0.013202088942499229,0.011127370854823843,8.721750736236572,7,0
16,83,19.85967262442881,3.9501832000197385,3.9999999999999996,1.5,3.8742450652349874,2.7914263859572905,3.9999999999999996,18.411392449770176,75.00000000000001,10.000000000000002,50.00000000000001,38.20052506951841,50.00000000000001,19.85967262442881,3.9501832000197385,3.9999999999999996,1.5,3.8742450652349874,2.7914263859572905,3.9999999999999996,18.411392449770176,75.00000000000001,10.000000000000002,50.00000000000001,38.20052506951841,50.00000000000001,319235.9791125464,12489.505156988165,693.5624124425353,180.85024363503805,1.814707944591211e-05,0.00023163478614391034,0.013202088942498112,0.011127370854823843,8.702035903930664,7,0
4,89,19.859673478641035,3.698585426782434,3.9999999999999996,1.5,3.8742447842241035,2.773632868268571,3.9999999999999996,62.66024071702143,75.00000000000001,10.000000000000002,49.99999879727639,43.99113462756986,50.00000000000001,19.859672624428857,3.698585426782434,3.9999999999999996,1.5,3.8742447842241035,2.773632868268571,3.9999999999999996,62.66024071702143,75.00000000000001,10.000000000000002,50.00000000000001,43.99113462756986,50.00000000000001,319235.93174443557,12489.505162727572,693.5624075530679,180.85040157911715,1.814707948009264e-05,0.00023163478649563195,0.0132020889485477,0.011127370854823834,7.807871341705322,7,0
13,91,19.859675688705657,3.331078286552126,3.9999999999999996,1.5,3.874245830781338,2.1766697293718242,3.9999999999999996,26.399036880540816,75.00000000000001,10.000000000000002,50.00000000000001,32.36462460059294,49.99999879727639,19.859672624428917,3.331078286552126,3.9999999999999996,1.5,3.8742459307813384,2.1766697293718242,3.9999999999999996,26.399036880540816,75.00000000000001,10.000000000000002,50.00000000000001,32.36462460059294,50.00000000000001,319236.15369778516,12489.507170616529,693.5625084794262,180.85007895104198,1.814707935924594e-05,0.00023163478706463898,0.013202088956875444,0.011127370854823843,8.040419340133667,7,0
9,91,19.859675688705874,3.563538885204994,3.9999999999999996,1.5,3.8742461857503194,3.3810435658277003,3.9999999999999996,13.069893450365678,75.00000000000001,10.000000000000002,50.00000000000001,20.27710918600695,49.99999879727639,19.859672624429127,3.563538885204994,3.9999999999999996,1.5,3.8742461857503194,3.3810435658277003,3.9999999999999996,13.069893450365678,75.00000000000001,10.000000000000002,50.00000000000001,20.27710918600695,50.00000000000001,319236.22307658487,12489.507573169632,693.5625294618483,180.84993372076022,1.8147079317554048e-05,0.00023163478706356004,0.013202088956873142,0.011127370854823826,8.746581077575684,7,0
1,86,19.85967262442956,2.0974497616182544,3.9999999999999996,1.5,3.874245095816833,2.411845530534878,3.9999999999999996,29.647674310423717,75.00000000000001,10.000000000000002,50.00000000000001,17.434983411441017,50.00000000000001,19.859672624429223,2.0974497616182544,3.9999999999999996,1.5,3.8742451958168327,2.411845530534878,3.9999999999999996,29.6476731077001,75.00000000000001,10.000000000000002,50.00000000000001,17.434983411441017,50.00000000000001,319235.985089781,12489.505191673283,693.5624142502404,180.8502311229209,1.8147079442320212e-05,0.0002316347861438174,0.013202088942497886,0.011127370854823857,8.765247583389282,7,0
5,79,19.859672624429376,3.5768902872821857,3.9999999999999996,1.5,3.8742459324372103,2.6118303295777108,3.9999999999999996,19.0782026025613,75.00000000000001,10.000000000000002,50.00000000000001,46.01938202773011,50.00000000000001,19.859672624429376,3.5768902872821857,3.9999999999999996,1.5,3.8742459324372103,2.6118303295777108,3.9999999999999996,19.0782026025613,75.00000000000001,10.000000000000002,50.00000000000001,46.01938202773011,50.00000000000001,319236.1486074652,12489.506140445934,693.5624637033536,180.84988883207393,1.814707934405736e-05,0.00023163478614127712,0.013202088942492468,0.011127370854823843,8.660273551940918,7,0
2,88,19.85967508225567,2.2664810385034952,3.9999999999999996,1.5,3.874246319813095,3.517887671024228,3.9999999999999996,59.35466593106094,75.00000000000001,9.999998797276383,50.00000000000001,24.473442043559686,50.00000000000001,19.85967262443049,2.2664810385034952,3.9999999999999996,1.5,3.874246319813095,3.517887671024228,3.9999999999999996,59.35466593106094,75.00000000000001,10.000000000000002,50.00000000000001,24.473442043559686,50.00000000000001,319236.23503360734,12489.50734459293,693.5625259395329,180.84987073670402,1.8147079300516993e-05,0.00023163478627007524,0.013202088945784665,0.011127370854823857,8.778144359588623,7,0
11,85,19.85967322697835,2.872238275017448,3.9999999999999996,1.5,3.8742446232803673,3.431637471244131,3.9999998999999997,59.4460052446213,75.00000000000001,10.000000000000002,50.00000000000001,26.55740184713391,50.00000000000001,19.859672624430512,2.872238275017448,3.9999999999999996,1.5,3.874244723280367,3.431637471244131,3.9999999999999996,59.4460052446213,75.00000000000001,10.000000000000002,50.00000000000001,26.55740184713391,50.00000000000001,319235.82623834454,12489.504862445792,693.5623908745068,180.85056864369628,1.814707956665958e-05,0.00023163478871103738,0.013202089003848758,0.011127370854823857,8.742867946624756,7,0
19,91,19.859675688714173,3.7201004028601794,3.9999999999999996,1.5,3.874244189922278,3.0811396156962956,3.9999999999999996,33.99898451433038,75.00000000000001,10.000000000000002,50.00000000000001,40.568574426904235,49.99999879727639,19.859672624433284,3.7201004028601794,3.9999999999999996,1.5,3.8742442899222778,3.0811396156962956,3.9999999999999996,33.99898451433038,75.00000000000001,10.000000000000002,50.00000000000001,40.568574426904235,50.00000000000001,319235.8329914831,12489.50530978907,693.5624114872987,180.85075028499367,1.8147079551968228e-05,0.00023163478706962124,0.01320208895688611,0.011127370854823843,8.554184913635254,7,0
