Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
12,61,107.41671773047938,3.2335567140033152,3.459569297346171,3.9003522384941594,3.1133063763903124,3.4772032435510223,2.0819731429390047,2.7800154282824923,3.209030525060585,3.208620965839946,45.720614898056574,53.86810421995318,69.7176733161844,35.666914840031076,55.22300904401522,7.536045480038248,19.421533180387307,22.750243176723302,32.69817579869139,107.41669664629977,3.2335567140033152,3.459570317988185,3.9003522384941594,3.1133063763903124,3.4772037107626446,2.0819708862313333,2.7800154282824923,3.2090301900753704,3.208620965839946,45.720614898056574,53.86813060049471,69.7176733161844,35.666914840031076,55.2230349365331,7.536004188313528,19.421533180387307,22.75023822057947,32.69817579869139,0.038344526733073564,1.2233269705807703,8.713798238971792,21.90834091047048,123.74899387359619,68.0,1292.0,198.4143529620748,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,138,134.48851678791507,2.980507045239855,3.4270775799868676,2.031066551101671,3.186962816393274,3.410664257161028,2.391616904914846,2.6304896061907455,3.1224964385977954,3.1557144305690707,21.960663105785233,62.31808867343341,49.78202650792071,13.504102684793944,48.5190256176825,8.567610288560994,47.15106222921341,23.772259588608648,49.1865702160871,134.48851600028024,2.980507045239855,3.427078257757779,2.031066551101671,3.186962816393274,3.4106644060452798,2.3916174264206513,2.6304896061907455,3.1224962754998575,3.1557144305690707,21.960663105785233,62.31810510880172,49.78202650792071,13.504102684793944,48.519014495265296,8.56760060986654,47.15106222921341,23.772258154855148,49.1865702160871,0.1235171518758823,1.5967936369531472,7.225937135921151,31.28305995950602,319.09390211105347,179.0,3401.0,1215.0919264588329,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,215,102.06945915272593,2.0430496105483957,3.536574871317418,3.6542309423414645,2.0300379614842443,3.789235914055293,2.036401464068943,2.2619936896218333,3.199194559297662,2.6894733053665867,71.10698635166888,39.682989378285974,67.12407898676987,64.90773895049443,56.77875099658774,7.172333026739246,34.12213856071307,18.87450452992502,25.000159810695166,102.06945873180302,2.0430496105483957,3.5365734206482484,3.6542309423414645,2.0300379614842443,3.789237633293578,2.036402558527856,2.2619936896218333,3.199194563182182,2.6894733053665867,71.10698635166888,39.68297467720244,67.12407898676987,64.90773895049443,56.77873480851064,7.1723055009962255,34.12213856071307,18.874504687463375,25.000159810695166,0.24724719078282476,1.342830405038598,8.38194194289876,13.576434192183413,741.0579607486725,244.0,4636.0,446.6913224975575,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,135,125.22466197084752,2.753160629491549,3.4771547766011994,3.209432201948106,3.6576916159613857,3.380077334763322,2.7792662968713033,2.571152563391388,2.942242446657071,3.50004352740532,65.79039936788776,61.36267890783175,55.373721149074704,66.191162953549,39.31604791206934,8.335943570439888,30.780587774467225,28.95942023920631,29.3783972472765,125.22457518947108,2.753160629491549,3.477137338855369,3.209432201948106,3.6576916159613857,3.3800795159519965,2.77924147681596,2.571152563391388,2.9422532764185854,3.50004352740532,65.79039936788776,61.362726119233045,55.373721149074704,66.191162953549,39.31631325402219,8.33597434975774,30.780587774467225,28.959422919243526,29.3783972472765,4.017070984419435,7.641425878354472,6.852718176700135,31.855118431389197,280.8134527206421,151.0,2869.0,1024.9569588773425,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,74,132.52440715093582,2.0891037570895232,3.4672589528479203,2.451418677215709,3.425977960765353,3.5513050854219843,2.2730136151355556,2.1439485593789733,3.161819909271399,3.1362009238398842,23.214060252964387,37.74371420197519,58.34868051488105,22.702916272105725,51.80517941125133,4.764465789155796,44.63900805215124,30.214985794340297,32.28193999940555,132.52438983325283,2.0891037570895232,3.467258992324467,2.451418677215709,3.425977960765353,3.551304234316956,2.2730131604606023,2.1439485593789733,3.1618198985848704,3.1362009238398842,23.214060252964387,37.74372244620485,58.34868051488105,22.702916272105725,51.80518662171953,4.764481974318859,44.63900805215124,30.214979752636815,32.28193999940555,2.697008346095973,2.7173951324594317,19.512359378543877,16.308169663317724,132.53991389274597,79.0,1501.0,5538.133333333333,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,180,123.78355502319965,2.8029591669390808,3.491402415725613,3.243838735840603,2.8604945416425287,3.3825719323703094,2.770261591108045,2.3971397768542215,2.9469343000219888,2.686692479548846,61.84652225730683,61.14258269116352,68.74972712871418,53.076787804392055,39.77800147012972,8.51869303429059,44.92142799440909,28.13747564590469,43.07563794016094,123.78349429160798,2.8029591669390808,3.4914037213837794,3.243838735840603,2.8604945416425287,3.382571391903724,2.770261390029999,2.3971397768542215,2.9469351290223433,2.686692479548846,61.84652225730683,61.14262746370423,68.74972712871418,53.076787804392055,39.7780275383214,8.518698740818778,44.92142799440909,28.137456506717598,43.07563794016094,3.7713852728324877,6.615545369669165,5.73333867751286,32.40333483660287,452.58682584762573,254.0,4826.0,404.63813837818634,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
6,137,109.24810461665763,2.22949194590675,3.467554383698244,2.8998242669598806,3.1567792287742638,3.4775778713385224,2.0835800421136836,3.8067590411245074,3.2057978847471897,2.0057406540623175,50.11441938534706,50.706931628781234,44.258776646744614,67.58623645520036,54.00248134551432,6.882798447174408,36.817604052713094,24.45317788932327,47.530303181031655,109.24803480903785,2.22949194590675,3.4675548301236803,2.8998242669598806,3.1567792287742638,3.477578013650639,2.083579411411742,3.8067590411245074,3.2057977737242993,2.0057406540623175,50.11441938534706,50.706981931246915,44.258776646744614,67.58623645520036,54.0025099577049,6.882826204748341,36.817604052713094,24.453116940026824,47.530303181031655,0.219306113952918,1.364834154034808,9.683900574698942,20.041472057522814,303.80995082855225,167.0,3173.0,500.1467270627942,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,95,106.46602602475829,2.834044009405148,3.4885248683395016,2.0002287496346898,2.604665145263679,3.8149252780340936,2.1973370773003453,2.3725204227553416,3.1639102258611516,2.79353494846134,45.023087710218206,35.391728623543344,54.53926752578938,23.289396232548636,56.18752720145273,4.3720725088597145,38.46636285624408,22.720413898426497,34.55414399560131,106.46602568019493,2.834044009405148,3.4885252868195744,2.0002287496346898,2.604665145263679,3.814925038297474,2.197337048388245,2.3725204227553416,3.1639102071941547,2.79353494846134,45.023087710218206,35.39172960760685,54.53926752578938,23.289396232548636,56.18752226812294,4.372076458732554,38.46636285624408,22.72041459856714,34.55414399560131,0.30601828857311564,0.5810518481225804,11.37510918652749,14.470945910977534,172.48530554771423,102.0,1938.0,694.8945377031708,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,233,87.55982696795823,3.3817938350338475,3.380755615396551,2.344681016690657,2.2742714992577553,3.861499675859263,1.7358865484070054,2.1320003454441245,3.267317859184887,3.5077523769224928,69.99659481052143,48.62743300364057,18.07761252819071,11.292208699586714,48.55798543060878,8.647075294596306,23.617387366106605,18.42686961831409,33.85908725195785,87.55981985202237,3.3817938350338475,3.3807577346890616,2.344681016690657,2.2742714992577553,3.8615006270959116,1.7358863599848053,2.1320003454441245,3.267317711971696,3.5077523769224928,69.99659481052143,48.6273666747052,18.07761252819071,11.292208699586714,48.55795849027116,8.647119951886385,23.617387366106605,18.426829418432728,33.85908725195785,0.303319510803908,0.8590788160909254,7.926852385207436,12.413501067553096,471.7535500526428,270.0,5130.0,853.5840127897682,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,54,132.90291177826987,3.6528139952586827,3.6433195537563003,2.1974868036406963,3.3026086646819817,3.4938286180809133,2.745653668944539,3.5992305234720554,2.951834807486242,3.5404774691099594,57.56235904806927,44.500295504115364,26.70950442343954,51.099715632958315,52.30617645587154,8.058920938232767,30.615118120121007,24.085949718575257,49.66651242683443,132.90284004132818,3.6528139952586827,3.64331325102491,2.1974868036406963,3.3026086646819817,3.4938327421483746,2.7456569351656817,3.5992305234720554,2.9518323184898803,3.5404774691099594,57.56235904806927,44.50002199432548,26.70950442343954,51.099715632958315,52.30585683442345,8.058969167961607,30.615118120121007,24.08615720241883,49.66651242683443,5.782921512125222,3.0119125159689215,6.304043211377225,20.262319734168564,191.39236044883728,63.0,1197.0,852.9565798689631,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
