Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_H2_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_H2_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_H2_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_F_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
4,131,75.76648822464743,2.367374102981714,3.502540616868441,1.721840504298875,2.041453920676956,3.199584634879549,22.12643750967042,53.89250164973587,5.935998540205664,7.934953744231139,21.87348530958378,75.7664796024485,2.367374102981714,3.5025383508617325,1.721840504298875,2.041470901476919,3.1995824496450807,22.12643750967042,53.8923683582679,5.935998540205664,7.934985286437383,21.873585997724547,0.1549827256103075,0.5840856056868845,8.12143313521978,21.888255108278017,132.04568791389465,141.0,1551.0,149.5163691269207,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,116,75.77807091828576,3.655637384020628,3.499218839636969,2.176143467110863,2.0456223883812443,3.199522974269822,26.153991642929995,53.97674212809738,5.603326186842129,7.95643497008199,21.90694459819565,75.77806526793535,3.655637384020628,3.4992061704270454,2.176143467110863,2.0455641531181654,3.199537941441291,26.153991642929995,53.97719614220655,5.603326186842129,7.95643165987862,21.907200076201164,0.1565050682686918,0.560441166528876,8.236661149434426,21.98748793553536,127.15857696533205,128.0,1408.0,224.73143263167245,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,180,75.78301620543706,2.986076930494938,3.5083435110160064,1.663386770102958,2.056599460807578,3.194052496990995,25.517167930779195,53.32778111699005,10.962297008432255,7.976152036909927,21.965885092304333,75.78243007671267,2.986076930494938,3.5082892019676044,1.663386770102958,2.0557729834231337,3.194016868061422,25.517167930779195,53.3294453383929,10.962297008432255,7.979836764460235,21.96337608052626,0.1367080603145977,0.5708427429663099,8.108650273108506,21.842084459112986,220.706556558609,219.0,2409.0,94.1244646122636,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,162,75.85957567276118,3.923854778953948,3.4910169367451798,1.501028964622061,2.041215622314553,3.2036428483027564,65.22116039661864,54.42158834975359,4.714011613879657,7.921344918887542,21.9514735241798,75.85957454296617,3.923854778953948,3.491019392424917,1.501028964622061,2.041210585225225,3.203643371379179,65.22116039661864,54.42159098081216,4.714011613879657,7.921299394098778,21.95146116353214,0.1478437648807993,0.5893175864415,8.15867640771421,22.213360166516345,165.17666792869568,168.0,1848.0,127.41877609023892,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,49,75.97250039569961,3.92840129448386,3.529864656576556,2.252134275880447,2.035168809488431,3.190345983576544,16.515876324218198,52.572815991871,11.946884749151506,7.998722786410989,21.745944202879503,75.97167197842984,3.92840129448386,3.52958391593694,2.252134275880447,2.034941912367601,3.1904467925308966,16.515876324218198,52.564985909111975,11.946884749151506,7.997174503588605,21.75976305897767,0.1882725941785474,0.6226411268645698,7.928531882547775,21.15325893474444,59.23801374435425,59.0,649.0,427.3536193267608,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,63,75.99523674737645,2.261525322213615,3.5286229249626286,1.935856151734214,2.058794958464751,3.1871201384057395,15.9478517625515,52.75451103015663,14.037022776074007,8.046295284813507,21.58793198500466,75.99521954572377,2.261525322213615,3.5286265012772056,1.935856151734214,2.0587946916843083,3.1871188348704758,15.9478517625515,52.75429990314576,14.037022776074007,8.046285295452915,21.587957262704137,0.1591486528996566,0.4541117461005597,8.62015479729123,20.97968850620185,71.71409058570862,70.0,770.0,2964.640554223288,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,173,76.02339378209172,2.823370608800645,3.526404281083224,2.562604546371558,2.063767059241959,3.186828923381591,43.00668467333556,52.46851831388778,6.926570601940417,8.109145861650171,21.79611426044066,76.02338538698396,2.823370608800645,3.5264018671887443,2.562604546371558,2.063761426340666,3.186829513049519,43.00668467333556,52.46833970997027,6.926570601940417,8.109149594214822,21.796303853678264,0.1368530101948881,0.4216600810300416,7.934747194964136,21.42548293976736,182.6017723083496,181.0,1991.0,949.5989341859844,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,44,76.19912038272223,2.662245376165899,3.508928538227261,2.220451048931627,2.099225675860797,3.185184404056364,54.89947991045288,52.54120852781153,11.384881189223185,8.030670625929151,22.33271792004249,76.1991134526686,2.662245376165899,3.508933339562508,2.220451048931627,2.099213983777644,3.1851809616064037,54.89947991045288,52.54097498438714,11.384881189223185,8.031052768759901,22.332410939698327,0.0640201384855045,0.5476224331196435,7.987460639202974,22.08513150880011,50.9077844619751,51.0,561.0,185.502939870326,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,120,76.28782200034138,3.176658743672045,3.5429922972454584,2.0399856981741578,2.062269600120306,3.1803424160981466,46.57904987075885,51.61551812548402,2.6056544246945395,7.939529644027192,21.90308325788104,76.27962192773093,3.176658743672045,3.54321948261064,2.0399856981741578,2.065685682542355,3.1795673004106058,46.57904987075885,51.59034401924272,2.6056544246945395,7.968993568405041,21.885631583638524,0.1183428143371582,0.7559084180125248,8.537369165732677,20.455285018416436,118.0013678073883,127.0,1397.0,1381.051816324718,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,64,76.39119448659413,2.5881745194114454,3.5517998348604185,2.2687038855043657,2.067165482326958,3.176480335261105,11.691459549366964,51.42317468239428,3.885977474499156,8.020576721188228,21.679861977026864,76.39097718393256,2.5881745194114454,3.55179547866609,2.2687038855043657,2.067290807889897,3.1764662183445664,11.691459549366964,51.42274737192828,3.885977474499156,8.018946640878992,21.681461398256467,0.1469094297621969,0.7075363274188315,8.089661505514933,20.67636863885929,68.38029265403748,70.0,770.0,262.3558042454925,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
