Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
19,56,134.0765372085566,2.762032248124428,3.499716621452287,3.5332705853709774,3.081903609924377,3.9188686421235044,3.403357004054328,2.390206132913613,3.4187745024625897,2.930002963127012,3.10501918824526,2.4428654686469766,27.35968127948378,15.295807717022035,36.78460800243754,17.08621966123944,51.196139439774676,53.64318868184205,8.114769102307518,41.81739833765197,26.985894194523194,29.93249508086858,30.00690712498049,134.0765321647839,2.762032248124428,3.499716621452287,3.5332651021236523,3.081903609924377,3.9188686421235044,3.4033598782346446,2.390227706655806,3.4187745024625897,2.930002963127012,3.1050158870825735,2.4428654686469766,27.35968127948378,15.295807717022035,36.78456543377058,17.08621966123944,51.196139439774676,53.6430666523474,8.114826515370611,41.81739833765197,26.985894194523194,29.932497952627497,30.00690712498049,4.0832495546717915,3.6695241076271388,10.566180572443244,17.980474618161875,140.430410861969,65.0,1495.0,923.5022648547829,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,52,125.0701590027471,3.6480197408246373,3.2529923172485873,3.5049837368638137,2.156773799709896,2.0366652858260146,3.47315969757418,2.3604979067614105,2.2266838455351805,2.0555666976973397,3.1306890608685727,2.7897009609212784,58.551002214489145,39.40631373851936,35.865918554304336,41.07471293665902,40.81025522654262,55.859470193815554,6.135684209011047,46.66401561202681,16.297136678391258,29.95600966539534,19.397448339820862,125.06956510278798,3.6480197408246373,3.2529923172485873,3.504981126687488,2.156773799709896,2.0366652858260146,3.473168986661702,2.3604910504014933,2.2266838455351805,2.0555666976973397,3.130690460523729,2.7897009609212784,58.551002214489145,39.40631373851936,35.865810610564694,41.07471293665902,40.81025522654262,55.85945543527525,6.13563679886449,46.66401561202681,16.297136678391258,29.955840470212795,19.397448339820862,4.156915092354232,2.3042090491642977,14.425155367691486,16.47854779320079,227.20816707611084,57.0,1311.0,260.5409361399769,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,63,130.93590937294124,2.6268483563184852,3.3846452313386277,3.6052701656376698,3.7892133270076944,2.1700884227395556,3.407786621287852,2.7956727419911296,3.756285006858826,2.1966936676661,2.925319544197706,3.9157790603010034,44.65574352324612,54.97201240678078,52.48717468950168,54.622560299302954,64.25066867332926,43.507387579216626,8.516830449584987,49.61013811172732,41.18579790329438,26.75824741138545,42.6247764958021,130.93590536251642,2.6268483563184852,3.3846452313386277,3.6052702114097346,3.7892133270076944,2.1700884227395556,3.407786844580014,2.7956729633610484,3.756285006858826,2.1966936676661,2.9253194684801134,3.9157790603010034,44.65574352324612,54.97201240678078,52.487179466963404,54.622560299302954,64.25066867332926,43.50739680444598,8.516837141769841,49.61013811172732,41.18579790329438,26.758226123042984,42.6247764958021,6.307551096810821,4.354365762760779,6.203709015264996,25.13131510682076,318.35087871551514,74.0,1702.0,2656.6303934630073,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,70,131.48048493376388,2.0607993798575777,2.7330861944874885,3.839783472352281,3.3853554350147084,3.381884284132337,3.481100421263637,2.652078331065088,3.1631548146885824,3.97950341532741,2.9167163040973416,2.4954658035247097,27.04125044523928,58.76120686436954,47.50032932390727,13.700413496721177,43.05355563966558,42.56910620907717,8.878617861866893,25.40659835275453,15.966210418407629,22.246072405579618,44.53441501259161,131.48038242504884,2.0607993798575777,2.7330861944874885,3.8397782679329078,3.3853554350147084,3.381884284132337,3.481111176238218,2.6520812215124794,3.1631548146885824,3.97950341532741,2.916717240288759,2.4954658035247097,27.04125044523928,58.76120686436954,47.5003370315768,13.700413496721177,43.05355563966558,42.56917663749921,8.878592020945826,25.40659835275453,15.966210418407629,22.24589447144599,44.53441501259161,2.842550204702207,5.208460134381543,6.889988755278145,17.34354656816461,352.5605275630951,82.0,1886.0,915.560387245759,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,117,166.49292977403184,2.344681016690657,2.2742714992577553,3.8091984702404065,3.3936363229798,2.1320003454441245,3.474398350760606,2.50071721590108,3.846049071092966,3.423049517256943,2.963893559194284,2.0397602676795907,11.703714147051755,11.83992172135165,28.179034316409414,65.90181666438774,45.02401918220745,48.467239439944166,6.3121569765239895,19.34606602919689,24.771428765389885,34.54163385786345,48.93585119118862,166.49292393992658,2.344681016690657,2.2742714992577553,3.8092028345707787,3.3936363229798,2.1320003454441245,3.4743977428118926,2.500715020599544,3.846049071092966,3.423049517256943,2.9638945778725385,2.0397602676795907,11.703714147051755,11.83992172135165,28.178995769523784,65.90181666438774,45.02401918220745,48.46726960639756,6.312159538447266,19.34606602919689,24.771428765389885,34.54164421946217,48.93585119118862,2.4348567818624294,8.125511222349562,17.42976958673757,14.490172960314524,603.3345305919647,145.0,3335.0,593.8502531308287,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,276,122.15049105176183,2.206452013155284,2.8957870523518103,3.5511359572178036,2.5872282967473588,2.5755506771726973,3.418937137499106,2.563381467424844,3.3576710658797815,2.4232562320001176,3.050916589851022,2.9831463185606766,13.468565432610227,47.31764435698086,48.563970874441274,48.30485989871348,55.48429340136054,51.75665042719482,8.616986886614841,39.30400552047108,29.496274433441595,25.150346963327742,33.75637420704291,122.15048794482473,2.206452013155284,2.8957870523518103,3.551135829456891,2.5872282967473588,2.5755506771726973,3.418937441219313,2.56338170286778,3.3576710658797815,2.4232562320001176,3.050916131330099,2.9831463185606766,13.468565432610227,47.31764435698086,48.563961382608994,48.30485989871348,55.48429340136054,51.75665902182134,8.616974146433167,39.30400552047108,29.496274433441595,25.15034704027718,33.75637420704291,3.232847019572532,1.6377205664212617,5.693666541289692,25.13599240229037,747.9926021099091,352.0,8096.0,384.66535216271427,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,185,103.38601735232268,3.3384657869063687,2.5298391153256183,3.3244023933216886,2.7401683958282126,3.2594350140431283,3.5752991528169242,1.8798728204104367,2.13307296270823,2.5206301971570815,3.2875075299251835,2.3868685652466555,51.56495725719611,44.1035700930427,60.66587703777165,27.11429008166222,14.287470894461547,56.136946673658045,7.83576818034287,46.773554837623344,47.619022421889305,19.846976310526802,23.20267301424972,103.38486869674436,3.3384657869063687,2.5298391153256183,3.3245412039701354,2.7401683958282126,3.2594350140431283,3.5754112827083,1.879705303291568,2.13307296270823,2.5206301971570815,3.2877128767785435,2.3868685652466555,51.56495725719611,44.1035700930427,60.66582556652436,27.11429008166222,14.287470894461547,56.140081436007364,7.829836986196725,46.773554837623344,47.619022421889305,19.84802297731247,23.20267301424972,0.031240114816377958,0.8119415441860368,8.905567868870364,16.688235133985977,833.5949940681458,237.0,5451.0,589.0577848832046,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,77,104.37618830600988,3.055429292617493,3.6043221680091957,3.472564569307011,3.466285050575022,3.0380232549281114,3.784756555974611,2.344182198860236,2.9314197571839617,2.6853778159065635,3.1232568386408257,2.7558483586561993,15.175695050386405,73.88311239247895,31.206457193004066,62.77081535183509,66.8725069221334,56.45380017789787,3.1998624268469813,20.634000288546307,31.340800796715722,27.078489078286548,22.876398523492963,104.37618646305353,3.055429292617493,3.6043221680091957,3.4725641000581304,3.466285050575022,3.0380232549281114,3.7847576486866243,2.344184948189466,2.9314197571839617,2.6853778159065635,3.1232559015362065,2.7558483586561993,15.175695050386405,73.88311239247895,31.206515020260397,62.77081535183509,66.8725069221334,56.453787237463125,3.199836388217529,20.634000288546307,31.340800796715722,27.078500858075284,22.876398523492963,0.3579816310635327,0.5685123289149503,10.695994502544007,15.781078903940863,320.01239347457886,87.0,2001.0,311.37429611866065,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,163,99.64618090620668,3.7289588601091994,2.645361993673493,3.582651966384473,2.9017478728266983,2.7642055040630344,3.7355180033614794,2.093225140122236,2.6347678919165536,3.243838735840603,3.1837656313930833,3.9476041558545036,54.05705794323023,22.90704274776221,40.057770384133924,32.3175055853375,61.84652225730683,60.98572828715909,7.049310566586687,38.19519343313418,24.457289171041523,18.353654460200737,44.92142799440909,99.64612960493494,3.7289588601091994,2.645361993673493,3.582649151066227,2.9017478728266983,2.7642055040630344,3.7355172628538105,2.093228012646736,2.6347678919165536,3.243838735840603,3.1837653641115518,3.9476041558545036,54.05705794323023,22.90704274776221,40.057773443744864,32.3175055853375,61.84652225730683,60.985706680650004,7.04930265539708,38.19519343313418,24.457289171041523,18.35369515700822,44.92142799440909,0.16902673756298456,1.7464441854249508,6.338905626381958,16.345595483615156,578.0410974025726,172.0,3956.0,1692.8345323741007,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,117,88.55067029781935,3.1557144305690707,2.36802040325493,3.338567271540186,3.2240623540898676,2.1078185441475057,3.8049493593332744,1.7064382048266469,3.837203555955051,2.000804049782715,3.2777038744131524,2.753160629491549,73.29592999329098,49.30654656331346,55.87522657667027,47.35624780602666,50.82495288997779,45.79740288181443,8.3924946343376,41.2507617295931,45.040984275016484,19.27511767672584,39.43200369565561,88.55050353426925,3.1557144305690707,2.36802040325493,3.338571513018462,3.2240623540898676,2.1078185441475057,3.8049510560722495,1.7064402036660333,3.837203555955051,2.000804049782715,3.277701699303994,2.753160629491549,73.29592999329098,49.30654656331346,55.87516137381906,47.35624780602666,50.82495288997779,45.79733832721322,8.392544810229715,41.2507617295931,45.040984275016484,19.275063263272916,39.43200369565561,0.4112120763039223,0.29360823581663753,8.475742807172441,13.702383035934178,435.2566456794739,125.0,2875.0,240.1189448441247,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
