,molecule,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mapd_liq_density,mapd_vap_density,mapd_Pvap,mapd_Hvap,mapd_Tc,mapd_rhoc
0,R116,321.37272998591,44.77095720245536,0.09122708316741701,3.2116901692110496,11.857990856933569,109.39677171670618,1.0565579239629104,3.8383858777959334,1.8769757477232012,1.5923273732341252,1.1751504480030417,1.705356284978434
1,R125,757.9583157979243,23.037177987979216,0.034154732187546374,40.77280527391315,6.941403478526725,1.1942573734567963,2.0679032921784644,4.239002454738657,2.4720771896491414,5.024003990286023,0.7762682196757654,0.1910859998585837
2,R134,,,,,,,,,,,,
3,R134a,163.19635371788218,5.398597782298625,0.22218471207114354,0.6763168506987424,3.0778110658102413,28.13733841647767,1.0168553175955848,4.701867989685506,5.020566846443144,0.3804696994993481,0.4688194158711272,1.0362305154143945
4,R14,95.0655412737158,25.73278215243692,0.030498697855221375,2.429630917836988,5.282060024976507,203.2636104113512,0.6868380630000362,2.54286621160413,1.5510185012320812,1.109753944807419,1.0101856051603133,2.278716566828937
5,R143,5582.289748801367,682.2907356872427,28.82281373869507,,436.2054879014234,10.051622788034408,7.266276695235973,44.18768016121395,37.31841165302981,,4.85936086110367,0.6759977468545708
6,R143a,664.67108743322,1.470810654830729,0.180677021168795,73.48284100926453,15.865794531507898,184.54811622006852,2.651618438148626,2.3305177134561825,3.297487198711556,5.13293269959102,1.1516100931485198,3.151937070598708
7,R152,,,,,,,,,,,,
8,R152a,34328.87442683089,362.1124042030709,27.391303096930603,7931.28271180564,2709.2445438509226,1368.3436017191118,21.076639065260277,62.926028818523584,58.92910672304258,33.52169906331643,13.470252808644902,10.051937143871037
9,R161,342.51232078828036,0.04387306358222994,0.009937486953854527,81.07662542344407,65.87641320736577,0.27467852406897836,2.407429970464925,1.3920217119013547,2.014184319557751,2.3105130218830006,2.1629390004769027,0.17354232423170796
10,R170,39.89843394338258,9.97462132081947,0.14910712535626983,130.42659302447157,1.7566818079753874,0.16144779596187206,1.4427121321026017,3.776393082304884,3.015184196459446,3.0227808643420637,0.43409866811634745,0.19488101144624265
11,R23,30703.24752428785,2844.073773044266,68.10850060750683,2606.6293211563093,1180.3105360582292,204.62270688784812,13.041619517398455,170.73020385606551,136.5041121119039,24.49942236511566,11.479049685714388,2.7169305505036863
12,R32,1578.1325650093527,22.908615878785163,1.4332774554428025,16.89719952277502,13.572417750800005,271.5561438350117,3.6259537089915335,6.300855984453476,4.443928301655843,1.1802645225965387,1.0485488092148405,3.8344922797659358
13,R41,14926.084268689268,608.2016988998819,79.2752573592765,27356.241910091525,,,14.416297496571454,539.0192043800407,407.45311133992305,35.52704517299522,,
14,R50,127.74041847945537,0.4618365662117162,0.07900355037660542,264.55907052775717,0.001046835291972729,7.234302762918045,3.179677343764416,1.611260242338458,1.8185861516065822,4.129334348032452,0.016978460850985488,1.6535509162164164
