,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
0,R116,190,1,1601.9732475555554,6.773390662844445,16.424997347061094,0.7496666176177778,70704.27656466667,19684.943069444445,119.01152631029062,296.4735433577833,602.8607088329703
1,R116,210,1,1516.957719722222,18.024552230999998,15.24387681058154,2.1255737789555558,71648.838534,20231.50538,110.45341486389745,296.4735433577833,602.8607088329703
2,R116,230,1,1415.5126294777776,39.4000276121111,13.786386724698902,4.782274929622222,73326.720544,20067.125373555555,99.89279704230334,296.4735433577833,602.8607088329703
3,R116,250,1,1303.029033411111,76.67802513244446,12.060040402723468,9.250817617188888,75453.36791444443,19301.379582222224,87.384112481985,296.4735433577833,602.8607088329703
4,R116,270,1,1163.8475215333333,144.12600518233333,9.8007660550407,16.32615613377956,77980.37221944444,18302.828833222222,71.01396137693641,296.4735433577833,602.8607088329703
5,R125,229,1,1532.2434019222221,7.557205892422222,20.210990785600185,1.1488075025655555,41912.763404666664,12456.295978666667,168.3968570704898,342.0346543375795,572.9928208331912
6,R125,249,1,1453.9396136333335,18.034592200000002,18.710742778642622,2.8627468053888894,42847.18404255556,13257.093127999999,155.89687367640914,342.0346543375795,572.9928208331912
7,R125,269,1,1367.742830711111,36.97386699222222,16.979427165207415,5.940333531544445,44137.07724688888,13652.069347055556,141.471647768767,342.0346543375795,572.9928208331912
8,R125,289,1,1269.359560522222,68.58059955611112,14.980328236690529,10.979151149611111,45794.42411866667,13611.769844255556,124.81526609473862,342.0346543375795,572.9928208331912
9,R125,309,1,1140.3231750222221,115.80339212911112,12.477075137223805,17.87776934551666,48616.839765,12432.748088022223,103.95829976023833,342.0346543375795,572.9928208331912
10,R134,240,1,1618.8593066,2.981018280466667,31.225250409940227,0.5608383263744444,23204.22680011111,8147.63476808889,306.03719471199634,434.7055955965376,539.9140634393251
11,R134,260,1,1565.5719672,3.9753960056111106,29.92609659920959,0.8077194631911112,26816.642578777777,4745.319860744444,293.30424997926696,434.7055955965376,539.9140634393251
12,R134,280,1,1507.9250904777778,5.646838436766667,28.593682849428376,1.2173216882544444,29364.281100555556,3322.284132322222,280.2453261651948,434.7055955965376,539.9140634393251
13,R134,300,1,1444.8743580888888,8.924370100422223,27.061620500469708,2.0662154469833336,31616.274588666663,2823.1773400222223,265.22965592256566,434.7055955965376,539.9140634393251
14,R134,320,1,1382.5024950333334,17.961520624511113,25.353855109090922,4.283998477041111,33229.34636422222,3187.579058433333,248.4919285147041,434.7055955965376,539.9140634393251
15,R134a,240,1,1385.7509334,3.7363333278333335,22.706428288629798,0.7072299834411111,-861.1656300321478,3330.319597788889,222.54462411514353,375.9643691361313,506.5955359915937
16,R134a,260,1,1324.905476111111,9.1936255703,21.336786315220742,1.831940920122222,490.05841433663335,3649.6914432111107,209.12082825125273,375.9643691361313,506.5955359915937
17,R134a,280,1,1259.6224077,19.214435673666667,19.81113617943043,3.9572172992888888,1898.5245494296666,3846.852687411111,194.168003805028,375.9643691361313,506.5955359915937
18,R134a,300,1,1185.0760696999998,35.62784300455555,18.053777755070858,7.378078013388888,3310.0394264677775,3898.8142473666667,176.94421743874508,375.9643691361313,506.5955359915937
19,R134a,320,1,1104.058647188889,65.60047810833333,15.873422253622085,13.130991429577776,4683.582180511111,4052.6913010555554,155.57465683064723,375.9643691361313,506.5955359915937
20,R14,130,1,1688.7254709777778,2.544900151811111,12.554291843056165,0.3078322126666667,-3775.4184845111113,1076.2822957511112,142.65543664407494,229.80827327030022,611.4045552406413
21,R14,150,1,1582.9127115222225,10.291744659377779,11.58344982741359,1.3935370482666667,-2881.6005051555553,1120.6231310988887,131.62368006351497,229.80827327030022,611.4045552406413
22,R14,170,1,1470.3281249555555,31.31461129633334,10.465182299137968,4.491128112377778,-1965.6843263133335,1207.7148258099999,118.91671542342782,229.80827327030022,611.4045552406413
23,R14,190,1,1334.8183613222222,75.17330459944445,8.968398985421858,10.841975350144443,-948.9054539062222,1207.6830958844444,101.90864520735757,229.80827327030022,611.4045552406413
