molecule,mapd_liq_density,mapd_vap_density,mapd_Pvap,mapd_Hvap,Type
R14,1.9244665752516439,34.049793163398896,12.074519826110187,3.8315249382543715,Opt_All
R32,8.916837945576725,107.59141133203462,84.5777926058359,24.07889399815956,Opt_All
R50,30.623661433472627,7.8886229781594235,3.892712770756382,22.134606392164372,Opt_All
R170,2.8330833865412584,13.323401780317726,11.529448764545986,3.822456151789754,Opt_All
R125,0.4107902710785381,4.811533798140913,4.109987866002703,3.3329789418473017,Opt_All
R134a,1.2921920674114749,10.42189379725713,9.809623044930584,0.9170491317776354,Opt_All
R143a,4.16997105685213,17.49764832466303,13.238055357309037,11.155041930324058,Opt_All
R41,6.019971430370387,112.94348031576259,83.96900639347197,25.936459817075843,Opt_All
R14,0.27512225479524643,1.8217389935253534,1.5439421033254777,1.5795185764896975,Opt_One
R32,0.45910438088845607,0.3674026586256074,0.5045870230868341,0.634543092520503,Opt_One
R50,1.0762197564774079,0.3053566609508746,1.759133975325786,3.3640386446569437,Opt_One
R170,1.01466095152908,1.0636756668039398,2.2533687141826086,3.523641183387357,Opt_One
R125,1.0574316525305452,0.5382310493516557,1.3523811853794536,2.725250866143231,Opt_One
R134a,1.2352495286486325,2.9798538970495634,3.3466993218102314,3.4687382135316343,Opt_One
R143a,0.28255524851469627,0.47183668242987853,2.3444580012074603,4.1148347343115415,Opt_One
R41,1.6734950715076302,3.7028452603409407,2.718880906995715,2.542028511668747,Opt_One
R14,0.6117128809127378,1.6525987341680621,6.244527769818592,0.7182643936869869,Literature
R32,1.0724809366298087,2.025986811441818,1.8938938183889802,0.07051329971285672,Literature
R50,3.3311181000190753,0.7755364058016898,2.09289318326476,2.7818754880276426,Literature
R170,1.9253838725161052,2.740039657340543,2.876524027765325,2.056883704944747,Literature
R125,1.2203965781644792,7.943790939091105,10.281083274558164,0.6075905054369125,Literature
R134a,0.36738085400590786,1.6361571423825925,2.507469979578894,0.4159900237378537,Literature
R143a,1.0848459051625203,3.1101843618919314,3.084807717710513,2.255552059524658,Literature
R41,0.478880625034883,5.041449559219543,4.388808946555737,3.9106101652215077,Literature
