Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_H2_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_H2_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_H2_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
9,117,104539.33052693016,3.353570602297041,3.5074471295724834,2.2546555510750355,2.5735207589382902,2.938752445829263,54.03246280245999,44.97699370553489,11.488149196771896,11.28980162394344,26.34442983877716,104539.33023250967,3.3535727586708317,3.507445704022313,2.254652888830223,2.573526711604768,2.938752629448845,54.03245259874697,44.9769714061976,11.488214318455348,11.289889110159178,26.34442596579212,4.678749237053701,3015.8181065555186,303.8906014346567,27.939832420589887,125.99496517975784,15292.166428053448,9838.721576647153,858.2041515149521,1172.9807606766358,127.27881128561918,31.362456391407367,631.0907725413838,12.573260647791429,236.02321134624813,175.04290123160482,23.60094019434517,0.4847535640548433,66.58198725711617,24.452943727802257,16.528678735635204,2.210558314763804,147.8307170530475,131.82165730067794,1.2368335619738904,22.729487522518912,413.49021711302873,263.3020660826161,163.0975375796673,83.49461846044221,16135.88827754658,8903.751556334553,1183.420872580068,1034.5992674827576,134.0,1474.0,17966.666169286793,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,74,104539.35612531369,3.3541657842986687,3.504845507204337,2.255243674907279,2.577618778933376,2.938750340902142,54.01289526510089,45.140771459473314,11.4896976647727,11.28372640084012,26.33758880716176,104539.35544385354,3.3541652661699177,3.504837917611943,2.255240313265721,2.577619781123518,2.9387493802574784,54.01287934829439,45.14119621291336,11.489712939915757,11.28367558379223,26.33761309448574,4.661446415906841,3002.4785430555103,303.46999359599624,27.866669795438117,126.58646651674584,15315.16338307068,9852.759102523176,859.8749414588895,1169.6758955496548,129.63070016598635,32.37270694965599,632.5219461282059,13.250004328521737,233.36166123945725,170.57846201168653,23.731133334822523,0.4743110158909926,66.75980972071423,24.876135270067262,16.303647159000143,2.3199496323778197,149.6393306587077,133.58115915263744,1.1688714602282195,22.315615043158672,416.1005168669452,264.55990145562026,163.56827438358664,83.8056280810845,16129.023217666085,8901.442203863378,1183.0477618758723,629.5755805969238,79.0,869.0,26900.08618882672,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,95,104539.47726481177,3.354494208075497,3.507582324691691,2.255481261178492,2.5721725006763747,2.9387241650431317,54.014226554587125,44.995064571264685,11.482569303081402,11.280312740775786,26.328797753736985,104539.4765577196,3.3544924280413,3.507578570679504,2.255484499786492,2.5721712117076656,2.938723746857985,54.014243919314126,44.995309254032,11.48259027245178,11.28028069895168,26.328798402755574,4.6463165062850695,2982.289860749353,302.78173809958673,27.702348713930142,126.91788377544704,15334.514205395588,9864.64653995694,861.597077590686,1167.154655581009,129.65645798130305,32.29715702777958,630.7320363327524,12.08169982874239,234.97284657843736,175.1914585286082,23.37759765276411,0.4895732650283241,66.06489055419343,24.070002428410582,16.514464298836767,2.1477346249736806,148.1804636269773,132.09197529300275,1.2413633576469378,23.052441082682343,415.35892830199913,264.6491407034952,163.421309664255,84.19993670773593,16121.221547391093,8902.440544810857,1184.312659177138,763.3840794563293,101.0,1111.0,14360.410835775823,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,93,104540.21370529365,3.3529949756380537,3.50533319700106,2.2556693054288552,2.579719484289942,2.93881226461105,54.05528476159485,45.11654593345561,11.48941942564224,11.288030037949063,26.348824901749023,104540.21370529365,3.3529949756380537,3.50533319700106,2.2556693054288552,2.579719484289942,2.93881226461105,54.05528476159485,45.11654593345561,11.48941942564224,11.288030037949063,26.348824901749023,4.666791129202542,3011.772912111824,303.9709455909417,27.933112312281217,126.23859174202262,15304.809790318515,9847.218078524358,858.8217793459144,1172.8292064979237,130.35160461626504,32.61320106103421,635.2982484458507,14.097878566018816,232.82236492320223,169.0616788120741,23.920689740023064,0.4828827364992964,66.14715130529365,23.957978698062988,16.660346489224068,2.395201432198892,147.98375485330334,131.82163010669117,1.197028006132817,21.90115541745991,418.6189047427427,266.1474256986795,163.9900372050095,83.56206833390632,16117.827369485633,8896.063434432892,1182.519738502045,917.1521692276,121.0,1331.0,17231.35795363709,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,139,104540.43650903518,3.353054081614089,3.507946020260401,2.254662524076416,2.5751054155720485,2.9388082965055053,54.10239012159203,44.995824866236326,11.48469140740058,11.273204057933562,26.33195983894964,104540.42450468002,3.353053283702824,3.507949253262642,2.254676111335429,2.575107780794885,2.938804681957476,54.10201183304097,44.99564097187391,11.484699524901725,11.27312729392847,26.332072877355788,4.6499632945086935,2986.5500087720297,303.84029504281705,27.71981173413417,125.49771252143972,15250.087679050772,9813.193315555807,855.9852545098962,1178.5950686376743,132.1288593750023,33.23891375201199,638.2859505086385,13.346445252860065,237.383287153436,175.46303965866568,23.945643484970677,0.4931372584298991,65.1205709840568,23.251588605268942,16.793327262589678,2.2504206571602245,146.97432667730803,130.9375548692877,1.2393742638430263,22.421205479042307,415.8591661289993,264.82745418441004,163.2673663725076,82.9249668390867,16054.451791618643,8863.638952711652,1178.9104565710925,1244.1749455928802,159.0,1749.0,23422.760813571364,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,95,104540.45530160156,3.352528719907886,3.5078123827368755,2.2543028629123034,2.574988587778088,2.9388585599147814,54.10649182651471,44.97407719709109,11.484876120796304,11.290320300554352,26.343294173452986,104540.45520560534,3.352529728655375,3.507811129965219,2.254302507784192,2.5749900527640994,2.9388584354786795,54.10648932041416,44.97418407106738,11.48487599569063,11.290324976182957,26.343280897749747,4.662897938153742,3008.4808747668576,304.6813933616023,27.90949690698413,125.16703471355422,15242.04915463261,9808.246178718451,855.1225338198115,1180.2951409514576,129.3315849248243,32.056813733623734,636.0992839059775,13.013171977214842,233.5696578971027,172.5365797448521,23.552220872887304,0.4868607139537971,66.17874093463396,23.962479291929416,16.711105090918863,2.263214556104113,146.75580256065103,130.68072717482082,1.2539907658424156,22.45753952410404,416.3066592962031,265.0991716347364,163.56642409205972,82.79373300248406,16077.970045232309,8874.243719784685,1180.1456813543382,805.7070264816284,102.0,1122.0,16776.901678657076,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,80,104540.59596024924,3.3530931337071985,3.503617715881029,2.2549399209797865,2.5746043780836043,2.938846231787196,54.1028103817783,45.22282630280649,11.480969994849945,11.2613585146265,26.33450661916572,104540.59591262024,3.35309318595782,3.503617689477068,2.2549398263304896,2.5746047407650234,2.938846209231497,54.10280961947554,45.22283414279844,11.48097091928724,11.261358800337126,26.3345049000952,4.6695867207156905,3014.273989991436,305.3263370829408,27.961038550384924,125.6838328218716,15256.495220457176,9816.965071690927,856.6402275968296,1176.89614688858,131.9062191548715,33.09552419724051,637.1024857732826,12.266875771685497,238.62125004410612,176.11685549089475,23.863189454913773,0.4968172935793825,65.31101382485627,22.955653840680224,16.581422496574753,2.1859580480215843,150.84995280680178,134.35970992165187,1.1839067920170312,23.10521885475609,421.2546610627349,268.1534117178763,164.5907655402875,83.16385500960956,16051.185155512074,8864.621407292432,1179.6363293055394,674.2851259708405,86.0,946.0,32719.97868371969,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,104,104541.10125889238,3.3522657501348,3.5058425460356637,2.2550216036647632,2.5759924328868005,2.9389258104682354,54.12788140878963,45.08027675395076,11.487401006408776,11.280715712436772,26.34419899143404,104541.1011831528,3.3522663570666884,3.505848752347664,2.2550180483083406,2.5759904204313075,2.938925707957277,54.12789365953224,45.07988224430497,11.487384809805414,11.280754579151496,26.34416582567068,4.6645960660826,3020.5230469945564,305.7929312138546,28.040189986909,125.29009446315158,15235.458266933634,9804.475343486827,854.7353855087633,1180.9778585215515,133.3571118176703,33.77341054267766,641.396118590592,13.136873071371957,236.9213365144079,174.20138061565984,23.91209005081865,0.4797477267889145,66.34743977853506,24.206206302443253,16.526736305175778,2.292061238957769,148.62111710646457,132.54767030151407,1.200377182226504,22.422187537883804,415.6697593072849,264.4653565454306,163.42854302827962,82.67603655665566,16042.466475093172,8856.190322070894,1177.654295609476,811.2688467502594,109.0,1199.0,34751.57140065725,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,127,104541.37365621811,3.3553569699761243,3.5083268682190343,2.2555243757358,2.5746281480449653,2.9385999343594738,53.94095944957297,44.96411244716513,11.491328585410246,11.280572551172629,26.33268210699181,104541.37353588163,3.355356922145817,3.50832750552508,2.2555208827203503,2.574627613259699,2.938598897442489,53.94096130126933,44.96409787278116,11.491406942654963,11.280568087320496,26.3326919896431,4.664932558009068,2988.010555070872,301.6936334012854,27.700346593553498,127.4347711111554,15367.55699818912,9884.714983431137,863.2557461679512,1162.2671533163305,127.74248335308178,31.72106975117819,627.3859448414627,13.158576597887931,235.8007572797511,174.55138643579664,23.747808724629746,0.4958805279163894,65.36681582022008,23.563959295612825,16.734167540325096,2.2195983107170183,146.9496897282338,130.9344184420946,1.247044357253169,22.52357109228247,414.780709189168,264.1763703194475,163.14813101031433,84.54423601622206,16182.240771426172,8929.493092740377,1186.3574732508307,1047.216111421585,133.0,1463.0,17000.419078070878,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,78,104541.47358185488,3.353894990943793,3.5102036094056137,2.2561090593073656,2.575675988271742,2.938784056542139,54.01855013300411,44.82035386180508,11.499809745105914,11.316528140768463,26.34160100189486,104541.47301004204,3.353893918042965,3.510197251861186,2.256114876429289,2.575684406224015,2.938783690479878,54.01856845308386,44.820787066925504,11.499810550929922,11.316500140224074,26.34161247588666,4.658302622872465,3005.046231708889,303.631374165385,27.90433062461833,126.76109565034788,15312.957322524338,9851.918615763345,859.298498285478,1170.47910419628,134.55895945294208,34.618011621544284,639.7157603616187,13.45486288165278,228.34620029171657,168.43901783038066,23.207069845843225,0.4598983986011011,68.25132669224578,26.826550285225352,16.258376464479916,2.346233889658793,145.34389629418595,129.89866788752732,1.2484682031209449,21.90499248032781,408.0506780885988,259.63579116515814,161.93867626411142,83.55522777600726,16107.685445873947,8886.787593310228,1179.8759648243374,701.9754874706268,86.0,946.0,29566.433395505817,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
