Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_x_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_x_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_x_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_x_cum,epsilon_F_4_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
2,57,125.8103324307942,2.2807738771904673,2.3962029781697574,3.6014891373510727,3.936523151438794,3.4799490180042154,3.446444324866112,2.134829314016657,2.9493578471732644,2.1700884227395556,12.538560910137356,21.038977271696986,67.07926272291186,16.392544199148258,28.15044760213678,50.3221371041816,2.687254778652483,32.02186019401811,26.043047085212205,125.81032372702754,2.2807738771904673,2.3962029781697574,3.6014891373510727,3.936523151438794,3.4799582962428315,3.4464519536242983,2.1348150748871872,2.9493586369300333,2.1700884227395556,12.538560910137356,21.038977271696986,67.07926272291186,16.392544199148258,28.150505237229837,50.32167389010763,2.6872512443112546,32.021705385865246,26.043047085212205,0.5975618561205343,5.080116176306653,8.177179056942181,11.943611374794942,134.16078758239746,66.0,1254.0,101.8027178257394,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,91,102.98623949459869,3.373001855363167,3.6692513437947456,2.0365765546883834,3.500288629889935,3.6537285122987724,3.7154825376256224,2.0845904270355713,2.9063641134270863,2.206452013155284,39.11307920143384,69.05870770105123,29.084919644289172,28.705397008112673,28.79880976047081,29.96641945337982,3.9097954066202707,32.017483162913116,24.29413307802792,102.98623654899396,3.373001855363167,3.6692513437947456,2.0365765546883834,3.500288629889935,3.6537254201942315,3.715487658099781,2.084584418869226,2.906365650006899,2.206452013155284,39.11307920143384,69.05870770105123,29.084919644289172,28.705397008112673,28.79881781923583,29.966447263298928,3.909819228044302,32.0174011538596,24.29413307802792,0.9408781481706449,3.905179295629309,7.3446432002340565,10.94818860015944,206.95157933235168,103.0,1957.0,46.559161559641176,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,51,88.10046298483073,2.0430496105483957,3.8959404224353618,3.6542309423414645,2.0300379614842443,3.0954957409921886,3.3647724938585224,2.2016060626351273,2.9633539521485903,2.6894733053665867,71.10698635166888,47.83092169656021,67.12407898676987,64.90773895049443,43.927644484599554,40.39671181649656,5.38902497679983,36.022793992701665,25.000159810695166,88.10046298483073,2.0430496105483957,3.8959404224353618,3.6542309423414645,2.0300379614842443,3.0954957409921886,3.3647724938585224,2.2016060626351273,2.9633539521485903,2.6894733053665867,71.10698635166888,47.83092169656021,67.12407898676987,64.90773895049443,43.927644484599554,40.39671181649656,5.38902497679983,36.022793992701665,25.000159810695166,0.34220259656936075,16.713900676507546,6.739409104295893,12.996245708735923,320.1112358570099,77.0,1463.0,44.93017141842082,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,128,125.80424769160061,2.9831463185606766,2.1067250902341605,3.1482352109840264,2.29345714981162,3.479978126091665,3.4462529831769007,2.134748104531314,2.9494237489021518,3.38880031545549,36.92165251924868,13.246974831495667,44.833266384508256,53.146651939286286,28.185116562745225,50.35673430410991,2.6895693260373004,32.00294812405978,19.81161464511831,125.80424448977342,2.9831463185606766,2.1067250902341605,3.1482352109840264,2.29345714981162,3.479987156217538,3.446253924152187,2.1347480085302832,2.949423581711079,3.38880031545549,36.92165251924868,13.246974831495667,44.833266384508256,53.146651939286286,28.185124716535245,50.35667521833396,2.6895877106275847,32.002850830545604,19.81161464511831,0.5955437399691343,5.09579540777925,8.194884308771112,11.90450800531584,309.1241638660431,153.0,2907.0,24.5924504840572,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,85,117.15144504588474,2.22949194590675,3.8989785174141423,2.8998242669598806,3.1567792287742638,3.4365084121323775,3.9163361001701693,2.1409673947755388,2.936693194154537,2.0057406540623175,50.11441938534706,31.23191861518626,44.258776646744614,67.58623645520036,35.72958233449763,40.40193764819985,3.912473331573839,25.328825119287533,47.530303181031655,117.1514435656355,2.22949194590675,3.8989785174141423,2.8998242669598806,3.1567792287742638,3.436508485813932,3.916336189959181,2.1409692984713984,2.9366927878279347,2.0057406540623175,50.11441938534706,31.23191861518626,44.258776646744614,67.58623645520036,35.72950768569714,40.40192501559162,3.9124367223252086,25.328856873635093,47.530303181031655,0.2983302876214289,1.9738540520484287,6.778581923121022,5.109369848860693,382.4933316707611,91.0,1729.0,131.77269739763744,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,129,168.76252482615132,2.8029591669390808,2.6347678919165536,3.243838735840603,2.8604945416425287,3.88647687833491,3.145274950709208,2.324570767831847,2.8509691355205287,2.686692479548846,61.84652225730683,67.19988875662308,68.74972712871418,53.076787804392055,34.53743835207854,26.060424242722164,7.466958432231602,36.01471633300504,43.07563794016094,168.76252404973806,2.8029591669390808,2.6347678919165536,3.243838735840603,2.8604945416425287,3.8864758131270616,3.1452746588981544,2.3245711927840733,2.850969393114056,2.686692479548846,61.84652225730683,67.19988875662308,68.74972712871418,53.076787804392055,34.5374850615093,26.060450725713185,7.466930501664417,36.01470709902831,43.07563794016094,4.4809049861915735,5.6147531574261915,10.672450434445254,18.498477995747784,544.7381565570831,135.0,2565.0,38.89482192024158,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,158,162.44096974838385,3.144977034383212,3.466285050575022,3.0380232549281114,3.5417678210037757,3.613045180063483,3.346734764762101,1.8321468362781943,2.9822774235349607,2.7558483586561993,15.175695050386405,73.88311239247895,21.804835336499647,62.77081535183509,38.58179406304054,48.73738052309101,6.894499677198107,28.372216276752123,31.340800796715722,162.44096227006546,3.144977034383212,3.466285050575022,3.0380232549281114,3.5417678210037757,3.613046693855777,3.3467313719122345,1.8321468969333292,2.9822760514893543,2.7558483586561993,15.175695050386405,73.88311239247895,21.804835336499647,62.77081535183509,38.58177676931361,48.73738639370536,6.894457943516578,28.372275218982,31.340800796715722,1.1893432061022697,11.260945640441138,18.200212246356077,4.956575538072255,675.5197727680206,166.0,3154.0,273.3309885424993,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,65,146.33147111232682,2.0891037570895232,2.2149882582121854,2.451418677215709,3.425977960765353,3.8826918285633094,3.2164969418653957,2.2839672378147293,2.9203524827608103,3.1362009238398842,23.214060252964387,26.401173397071027,58.34868051488105,22.702916272105725,50.91079875452023,53.34307611504898,2.9120921575795884,23.813705302233483,32.28193999940555,146.33144998688013,2.0891037570895232,2.2149882582121854,2.451418677215709,3.425977960765353,3.882691444840065,3.2164958187015373,2.283969997379986,2.9203521241599266,3.1362009238398842,23.214060252964387,26.401173397071027,58.34868051488105,22.702916272105725,50.91062246605195,53.34313551563793,2.9121132625085706,23.813757245143204,32.28193999940555,1.292022178950153,17.51207309114988,10.136577297770987,7.018265194185096,281.5517017841339,72.0,1368.0,438.2601652011724,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,100,146.3054924898868,3.2594350140431283,2.420348019829679,3.5055111074776275,2.13307296270823,3.8819222475655026,3.217242815770259,2.283975836957471,2.9199890529242283,3.049340618247467,70.11251807595781,27.11429008166222,14.287470894461547,57.77928761376353,50.74394357040411,53.13778559412164,2.9301789798548104,23.889148267632514,23.20267301424972,146.30520210309234,3.2594350140431283,2.420348019829679,3.5055111074776275,2.13307296270823,3.8819371586256906,3.2172524603668484,2.283982048643903,2.9199963422860273,3.049340618247467,70.11251807595781,27.11429008166222,14.287470894461547,57.77928761376353,50.74426639744741,53.138127388326055,2.930186349954597,23.889218699142113,23.20267301424972,1.2961575942922683,17.086186321708965,10.139270803251014,7.048913309161177,518.9830150604248,129.0,2451.0,47.11636912692069,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,128,162.50085162491098,2.753160629491549,3.947567076716645,3.209432201948106,3.6576916159613857,3.6103414009103343,3.3466183089458266,1.8310078787013522,2.983164467210429,3.50004352740532,65.79039936788776,59.08034225039922,55.373721149074704,66.191162953549,38.487015102208574,49.08473025269451,6.892946244368715,28.348291092184642,29.3783972472765,162.50073724616013,2.753160629491549,3.947567076716645,3.209432201948106,3.6576916159613857,3.610341789357263,3.346618473273837,1.8310093552052882,2.9831478358148713,3.50004352740532,65.79039936788776,59.08034225039922,55.373721149074704,66.191162953549,38.486792978854375,49.08448861322197,6.892897242981872,28.34847899140364,29.3783972472765,1.2551939824962999,11.859074425425316,18.361221336302687,4.762170361808192,559.593743801117,152.0,2888.0,66.67874589217514,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
