Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F1_min,sigma_F2_min,sigma_F3_min,sigma_F4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F1_min,epsilon_F2_min,epsilon_F3_min,epsilon_F4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F1_cum,sigma_F2_cum,sigma_F3_cum,sigma_F4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F1_cum,epsilon_F2_cum,epsilon_F3_cum,epsilon_F4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
16,205,75.76958600331477,2.227066403729345,3.418081752583867,3.5033024030214364,2.048856368924529,3.1638463810470303,3.547498020167656,3.1973762499229323,2.858118065946199,65.59294024463867,55.42780578112068,53.67212106608572,7.93383173691583,37.16057467331935,43.30015673504263,21.96914191545892,30.78312298872301,75.76780627638018,2.227066403729345,3.418081752583867,3.504936871999062,2.0503135866461246,3.1638463810470303,3.547498020167656,3.196304400136211,2.858118065946199,65.59294024463867,55.42780578112068,53.582401672075214,7.939933271168968,37.16057467331935,43.30015673504263,21.954352824414705,30.78312298872301,0.1474314262877996,0.6491166610887075,8.006953445112359,22.02300994995296,349.1711401939392,241.0,4097.0,866.6651034727773,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,151,75.78370185404488,2.7409481219254013,3.105242085738952,3.4995993002793373,2.0465243574002607,3.734159575349896,2.939440286778565,3.199581079664273,2.105935917845528,65.54205806957127,60.44897052930776,54.03699977998468,7.927608183250443,30.226828865740863,48.52558970017235,21.88053816103038,28.172376227463594,75.78370173528508,2.7409481219254013,3.105242085738952,3.4996005265101964,2.0465233837809698,3.734159575349896,2.939440286778565,3.199581912350172,2.105935917845528,65.54205806957127,60.44897052930776,54.0370048249321,7.927591752559668,30.226828865740863,48.52558970017235,21.880522150470888,28.172376227463594,0.1525108074459294,0.5956845320392526,8.185613619265762,22.02600632801192,259.90998244285583,169.0,2873.0,53.56539657163158,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,120,75.7841378902938,3.636149701409212,3.404733323212194,3.499887683267178,2.037542881053983,3.619558193800005,3.140643985037478,3.200332742563799,2.8572547146702147,30.06909241646384,57.84186142475362,53.68629242484184,7.919902282287766,44.52938632872221,20.773678556139785,22.09502258865568,20.50827510810272,75.78413216712141,3.636149701409212,3.404733323212194,3.4998876159197967,2.0375419143752733,3.619558193800005,3.140643985037478,3.200339166232061,2.8572547146702147,30.06909241646384,57.84186142475362,53.68637131092305,7.919945900696339,44.52938632872221,20.773678556139785,22.09502853427387,20.50827510810272,0.1391299616001714,0.6236828283716019,8.232081111923996,21.726076534555368,208.94672274589536,142.0,2414.0,35.99481303845812,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,78,75.7884093820391,2.064046500054912,2.109904940449184,3.503316527503699,2.052185447802437,2.16255224521053,2.3497376233550678,3.1974053346845324,2.347678131633224,50.81145331836835,61.02265649553169,53.92439590764281,7.921877685139785,22.674323517804982,42.02487048155541,21.824315485446963,35.43725360328983,75.78623575056051,2.064046500054912,2.109904940449184,3.5036132343155284,2.0502631698594502,2.16255224521053,2.3497376233550678,3.1976421237034143,2.347678131633224,50.81145331836835,61.02265649553169,53.94986044440388,7.926825033425814,22.674323517804982,42.02487048155541,21.79785325823283,35.43725360328983,0.1556873184470906,0.6438660126862219,7.994549975653694,22.15977054520028,140.40101861953735,84.0,1428.0,868.7492672528643,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,204,75.78950998028279,2.375999136404045,3.246984076678773,3.504278081763684,2.048357987271169,3.040093617297504,2.839011713298452,3.1979331158211863,2.295269498810201,14.635945984676049,18.684010668256025,53.509569403560086,7.899777218674949,17.12800559833077,19.84802583765395,22.06135250145868,22.926353230691223,75.7895076084909,2.375999136404045,3.246984076678773,3.5042799166077696,2.04836490810957,3.040093617297504,2.839011713298452,3.1979313617391005,2.295269498810201,14.635945984676049,18.684010668256025,53.5094997519858,7.899815098523607,17.12800559833077,19.84802583765395,22.061298368742538,22.926353230691223,0.1067145037994678,0.5768144241166928,8.239517079324184,21.59314502156209,338.0222487449646,228.0,3876.0,667.8562572164491,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,77,75.79447644203277,3.843394582661298,2.980127754998,3.51513863864136,2.047754118449601,3.649035372768731,2.9825854927773583,3.193422440550957,2.753329389461518,36.58332414103021,15.035782661675514,53.11557305203732,7.982816877341157,29.489554328139583,29.325122912873383,21.88063423720841,42.46387641701479,75.7944744221281,3.843394582661298,2.980127754998,3.515136614138639,2.0477531924310317,3.649035372768731,2.9825854927773583,3.1934232322600247,2.753329389461518,36.58332414103021,15.035782661675514,53.11557692410421,7.982805696654751,29.489554328139583,29.325122912873383,21.880705309551548,42.46387641701479,0.1530981390237408,0.5677416192932324,8.092928837157226,21.561334268249585,123.91360116004944,83.0,1411.0,158.05154987121415,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,116,75.79993802812659,2.781472634217777,2.026246292038036,3.5120760205722563,2.04785816415526,2.654418194327686,3.3145829553612787,3.194264302204384,3.792373929285146,19.100383782965743,56.9846530502267,53.162571558978925,7.9081815215948765,38.94795329755095,33.83040940248845,22.005419538729,49.69148934656122,75.79993658046968,2.781472634217777,2.026246292038036,3.512074839884851,2.047857780499048,2.654418194327686,3.3145829553612787,3.19426484532332,3.792373929285146,19.100383782965743,56.9846530502267,53.16259383676677,7.908179590421671,38.94795329755095,33.83040940248845,22.005447545787305,49.69148934656122,0.1389767543878488,0.704119242008459,8.10076455656026,21.615331767995023,192.76799368858337,126.0,2142.0,653.0842170707878,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,133,75.80209272257802,3.615422623235859,2.322538919673636,3.5084255221426326,2.0528775032195523,3.452108947174163,3.082576579422176,3.1947027476534133,3.265501695597842,60.05583919533614,57.41653897441076,53.18670924763728,7.937720933092856,24.923750813343407,32.65833129515827,22.081952338297725,29.5159095912157,75.80208563028737,3.615422623235859,2.322538919673636,3.5084307717781598,2.052878244059361,3.452108947174163,3.082576579422176,3.1947074136803595,3.265501695597842,60.05583919533614,57.41653897441076,53.18659655833752,7.937771792049333,24.923750813343407,32.65833129515827,22.08174952256904,29.5159095912157,0.1194336327208216,0.6140050466648664,8.157611934027802,21.649106469616857,215.86131739616397,139.0,2363.0,43.19403144151346,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,118,75.80269305832049,3.045180763182195,2.19407275795735,3.4976601995171093,2.0306689759172234,2.429930224955132,3.483282758678997,3.2029351149192244,3.597934071301725,38.863834732314416,18.118335131775076,54.144245425851416,7.928903877965041,35.12183248892508,22.631643558091938,21.903234302427258,49.20680840984967,75.8026853735731,3.045180763182195,2.19407275795735,3.4976589182406888,2.030667471360093,2.429930224955132,3.483282758678997,3.2029357411895902,3.597934071301725,38.863834732314416,18.118335131775076,54.14439031616333,7.9288787018175295,35.12183248892508,22.631643558091938,21.903161928527965,49.20680840984967,0.1722968411947756,0.6079958668886176,8.151342105118138,21.9195311388631,194.1204352378845,125.0,2125.0,231.40214939159785,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,96,75.80870702759611,2.238890059910669,3.024177369992046,3.4969747380302776,2.034915675003059,2.431202987216937,2.051357365242474,3.202535543798723,3.003886611819241,35.596628977912765,40.62024100771448,54.21255515218408,7.945107498530126,31.819907161662957,43.676539235128615,21.87032962003221,33.951425366152726,75.80868172234999,2.238890059910669,3.024177369992046,3.496976025593146,2.034908749577297,2.431202987216937,2.051357365242474,3.202536048087966,3.003886611819241,35.596628977912765,40.62024100771448,54.21238317369422,7.945079140342561,31.819907161662957,43.676539235128615,21.87041560578903,33.951425366152726,0.1748929590963151,0.6024250369382051,8.026443768286644,22.1139282314289,156.28052306175232,104.0,1768.0,627.759197086775,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
