,molecule,temperature,restart,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
38,R152,320,1,1094.273855622222,2.7647014211744443,32.10923639141217,1.0831448142844444,814.4400126640867,418.2762022946667
39,R152,340,1,1056.5891942333333,4.7243937508444445,30.72279412801125,1.9441146647467777,2618.4407228238333,425.69947517177775
40,R152a,260,1,1161.8702223888886,1.897001708533333,26.41590930564735,0.6017069856255556,-84651.39619533333,-5107.570100022223
41,R152a,280,1,1120.6805824,3.783813520733333,25.263824014053093,1.2699212618233333,-83265.78241444445,-4970.1945135666665
42,R152a,300,1,1078.9514447000001,7.819235515977779,23.98760500243442,2.737436861644445,-81063.99180811112,-5468.941351288889
43,R152a,320,1,1030.9513225166666,13.356831650277778,22.563276453159038,4.847496904111111,-79651.49718422221,-5251.013776
44,R152a,340,1,980.5474396522221,22.886727137222223,20.985157121309523,8.375425798566665,-78191.96327322221,-5183.251535611112
45,R161,220,1,890.0343659255557,1.0688376083622222,22.12075908314121,0.40016650096111106,-32153.038432777776,-3579.842395755556
46,R161,240,1,857.2803085166667,2.6424188390444443,21.135662559949168,1.06193331579,-30899.47134722222,-3429.755216866667
47,R161,260,1,821.3053293766667,5.479314601188889,20.04760486059376,2.3347859212111106,-29748.67242388889,-3210.4499724111115
48,R161,280,1,786.68122299,11.111891603377778,18.866202497592635,4.8864128065,-28093.652157333334,-3272.642881788889
49,R161,300,1,744.7635905633334,19.685411860222224,17.44848199422317,8.82745211678889,-26692.893237222223,-3152.049313955555
50,R170,210,1,516.2564733866666,5.988663950622223,13.674407228116412,3.2468468476555556,-1743.7772379876665,1683.7046642222222
51,R170,230,1,487.6551340555556,12.773382634422221,12.659712927115676,7.189605640633332,-544.5985220993188,1898.6104798
52,R170,250,1,455.37743016222225,23.07858509611111,11.434167172764038,13.088424552222222,683.7437475780378,1944.5461129333335
53,R170,270,1,417.4655823622222,41.075789736666664,9.81549191206456,22.544645586155553,1933.9482601199998,1986.4775087333335
54,R170,290,1,364.6773250655556,71.17558301411111,7.50415615732843,35.55444369759,3473.9815665888887,2001.4738099666667
55,R23,190,1,,,,,,
56,R23,210,1,,,,,,
57,R23,230,1,,,,,,
58,R23,250,1,,,,,,
59,R23,270,1,,,,,,
60,R32,241,1,1222.7077294444446,6.570897177377777,19.224427291505265,2.3488728844333338,-8227.781087266667,980.3556140488889
61,R32,261,1,1157.2568811555554,15.450061438666665,17.744584168784762,5.614947699577777,-7030.920595544444,1106.9676255866666
62,R32,281,1,1077.0228468222224,27.842893658777776,16.12814236565573,10.211481966377779,-6064.764166877777,1046.7827485355556
63,R32,301,1,998.9368019566666,56.27874326944444,13.966999069860204,19.32614089976667,-4889.729372066667,1067.2866320822222
64,R32,321,1,885.4317235422221,99.747330882,11.303560120054717,31.54051841480111,-3666.7298246000005,919.4061644066667
65,R41,210,1,757.2339405744444,23.66557769,11.115497368430946,9.410950860322222,-2331.7195438777776,2058.4952680444444
66,R41,230,1,670.1077923577777,52.664845545,8.975440642369183,19.26537369364445,-1681.0585401355556,1889.2035915
67,R41,250,1,,,,,,
68,R41,270,1,,,,,,
69,R41,290,1,,,,,,
70,R50,130,1,409.0617997911111,5.75011865748889,7.813870421784635,3.5864922960444443,-2488.6481020333326,609.1006248977778
71,R50,140,1,391.0199492888889,9.827021664644445,7.394416380723254,6.353282081422221,-2126.4624581222224,633.7169392255555
72,R50,150,1,371.48109834,16.64826709177778,6.843336719844629,10.8395456889,-1699.582155351111,682.0659958877778
73,R50,160,1,349.6103663911111,25.48789814111111,6.2214048433250655,16.513937510633333,-1299.0283237888887,668.6416943433334
74,R50,170,1,324.1437765422222,39.08415835866667,5.417952622726731,24.33638477434444,-829.0948147652955,658.9251913477779
