molecule,temperature K,liq_density kg/m3,vap_density kg/m3,Hvap kJ/kg,Pvap bar
R134a,240,1384.30,3.60,224.44,0.70
R134a,260,1326.90,8.50,211.70,1.70
R134a,280,1265.00,17.70,197.00,3.60
R134a,300,1195.50,33.70,180.34,6.90
R134a,320,1113.40,60.80,158.78,12.10
R50,130,393.47,5.87,482.79,3.67
R50,140,376.58,9.99,455.99,6.43
R50,150,357.60,16.03,423.44,10.46
R50,160,336.72,24.73,384.35,16.02
R50,170,312.32,37.43,334.98,23.40
R170,210,509.44,6.23,458.96,3.35
R170,230,481.23,12.67,424.28,7.07
R170,250,448.77,23.53,380.88,13.21
R170,270,410.13,41.71,323.88,22.51
R170,290,354.32,76.74,234.09,35.90
R14,140,1640.05,5.30,148.62,0.68
R14,150,1579.07,10.29,133.23,1.50
R14,170,1464.50,30.38,120.14,4.39
R14,190,1334.75,73.21,103.68,10.67
R14,210,1146.78,165.89,77.49,21.86
