molecule,temperature K,liq_density kg/m3,vap_density kg/m3,Hvap kJ/kg,Pvap bar
R32,241,1144.945499,7.177129582,358.4687686,2.558961973
R32,261,1083.372036,14.91523484,332.3484727,5.485970759
R32,281,1015.733493,29.06934734,302.4384863,10.65307163
R32,301,939.0466878,52.99525109,264.6149363,18.63628138
R32,321,839.5260272,93.47666734,215.8289665,30.37802944
R125,229,1523.758364,9.734524746,161.5039786,1.465630514
R125,249,1442.791682,19.89115085,149.4979899,3.137588312
R125,269,1354.883661,39.06002602,135.9696356,6.287342101
R125,289,1258.638195,75.80467063,118.8771448,11.87455136
R125,309,1125.589715,125.2218001,98.40835329,18.8447788
