,molecule,temperature,restart,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,R116,190,1,1601.4232207066668,6.7468801189,21.492319826760937,0.7307458477306668,69610.26670580001,20104.376080133334
1,R116,210,1,1544.4212610999998,14.542240667400002,20.316579818435898,1.6695194644653333,73872.72414933333,16702.62937866667
2,R116,230,1,1485.5342683200001,29.250324793133334,18.949804556603816,3.383403495422,76642.69580993333,15202.474008266667
3,R116,250,1,1420.2243222200002,25.147936458466667,18.24707942946822,3.390464487886667,85704.73242506666,6438.981981833333
4,R116,270,1,1349.0403832666666,33.714823687999996,17.186346505361595,4.803143036728667,89032.47832533334,4453.750551726666
5,R125,229,1,1435.5617709,6.885165041913333,21.968429210765137,1.0371204317613334,43363.340569600005,11689.437092866667
6,R125,249,1,1377.22822926,12.947669258133333,20.774059345813832,2.0811750853533333,46317.736916266666,9771.356132093335
7,R125,269,1,1307.6037964866666,20.7601163594,19.284221962590127,3.4937314939933333,49549.4571616,7788.268149373334
8,R125,289,1,1232.0100435133334,31.221815351866667,17.907685014789816,5.539816037346667,52512.10381313333,6225.439654559999
9,R125,309,1,1162.01986026,62.57800513913333,15.87003069148501,10.694047393972667,53736.33004653333,6865.627008953334
10,R134,240,1,1390.0195804266666,3.0669459672533335,28.000187890587355,0.580250002514,26931.7940816,8702.054107873333
11,R134,260,1,1341.6583416733336,6.739049902793333,26.535677915017185,1.3539246327253336,28843.58942533333,8336.8578747
12,R134,280,1,1287.2513167200002,9.005744043240002,25.19766625907114,1.9384987607993334,32300.739177333333,5485.244466386667
13,R134,300,1,1230.8668229533334,14.716857793733334,23.584753493765284,3.3099348493,34603.950127133336,4821.587795746666
14,R134,320,1,1167.95457428,26.934088372066668,21.833048241677904,6.171858937653334,36316.806533066665,4968.601458160001
15,R134a,240,1,1325.7285409266667,3.18180302206,23.86510492762614,0.6056766628286665,-430.2788959927308,3078.2229111800007
16,R134a,260,1,1264.65101844,7.536255826413333,22.42438006158225,1.5100561320199999,1050.2214112755746,3239.737312006667
17,R134a,280,1,1209.2192493,14.002091780866667,21.032682125673603,2.933670458193333,2609.629626636,3034.7929982133332
18,R134a,300,1,1147.5863210333332,28.0149677296,19.38512883795676,5.937734161040001,4033.3182642733336,3301.8199971866666
19,R134a,320,1,1075.97234092,47.72841464266667,17.458732153108375,10.056022900293334,5577.5343968,3157.22479586
20,R14,130,1,1571.3468089666667,2.5197482474066666,14.802408335834098,0.3023100942913333,-5240.268306993334,1060.8290398286667
21,R14,150,1,1498.2127231133331,8.022037594306667,13.916961912986073,1.0793759138633334,-4640.710880313333,867.2457703526667
22,R14,170,1,1413.0134720400001,12.332010177753334,13.054262517307402,1.8540983193600002,-4031.1008619199997,480.1919926506667
23,R14,190,1,1323.4810446533336,25.357812858733332,12.007478670621046,4.121658053293333,-3004.30213446,418.73893088
24,R14,210,1,1222.79106058,54.68423682466666,10.659011794816276,8.990474434956,-1925.2197635362,392.42751131333335
25,R143,317,1,1070.8645640866666,14.262408293266667,24.854703758798216,4.092961277186667,4585.49630844,4530.592204140001
26,R143,337,1,1016.3986284806666,27.302409269666665,22.620828728898164,7.8119066266,6150.684299033333,5100.34059478
27,R143,357,1,948.740674974,41.842473587799994,20.417412821670116,12.035026250146666,8074.916201806666,4774.8078027
28,R143,377,1,877.2035964539999,74.56150922013332,17.40819220820334,20.417280757426667,9664.734744126668,5211.338176946666
29,R143,397,1,777.6241316373333,123.61131094173332,13.713491356477036,31.044100337316397,11792.589449353334,5025.593192293334
30,R143a,240,1,1103.7553704466666,5.89667378784,20.41878306758001,1.3310394606440001,-117422.62979066667,-16387.838910866667
31,R143a,260,1,1051.2098545,13.536557687533332,18.973466042663944,3.1247013397333334,-114010.46096533333,-18068.1241122
32,R143a,280,1,997.3155837840001,24.2255992388,17.561400017308117,5.76499509004,-113897.501934,-16843.736893933332
33,R143a,300,1,933.03475553,44.60123969039999,15.693745949534978,10.496606506826666,-112056.99468266667,-17124.2114106
34,R143a,320,1,848.2146747919999,67.9964502888,13.666949965599152,16.032693616001332,-113527.96118733333,-14143.277594313331
35,R152,260,1,1078.4379195933332,2.8159285438533335,31.887489514317235,0.8759579501379999,-1183.9867193287,2614.6903222933333
36,R152,280,1,1046.5229300866667,3.6294623222466664,30.840066653953947,1.2043852529280001,445.151148193261,1727.8563935766667
37,R152,300,1,1008.33929066,2.990668046226667,29.82445084141337,1.100100443548,2244.80215444046,798.8646143826666
38,R152,320,1,963.3831493246668,4.803359670113334,28.26969571652107,1.84005945327802,4206.526100024666,752.385467302
39,R152,340,1,929.0807402833333,10.447985867293335,26.762469907374314,4.081729862038333,5868.851902673334,995.6987947800001
40,R152a,260,1,946.092676944,5.38810342064,21.69136612569253,1.65435891834,-68308.63557813334,-14248.884917533334
41,R152a,280,1,900.0684742593334,11.322746997713333,20.162334498857327,3.58161782166,-66260.1211656,-14686.2096444
42,R152a,300,1,850.3915845433335,21.41706634586667,18.501605411575696,6.82508130634,-64492.582821066666,-14897.6010588
43,R152a,320,1,793.2083296619999,36.40431806913333,16.63593152791737,11.619510517773335,-63619.68202153333,-14354.062484733333
44,R152a,340,1,713.6824531333333,60.92613884233333,14.020956642418433,18.413928992326667,-62353.903779333334,-14028.510882113334
45,R161,220,1,779.2978989986667,2.3991018428799995,19.06210054109283,0.884953484678,-22042.663905533333,-7811.776690293334
46,R161,240,1,737.4853793846667,6.378164813026666,17.782134910269424,2.4678221686733335,-20085.38675453333,-8100.573794666667
