Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R134a-sim_liq_density-wt,R134a-sim_vap_density-wt,R134a-sim_Pvap-wt,R134a-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,235,1428.32125196566,3.1482352109840264,2.29345714981162,3.4371403403277996,2.0543207831278565,2.251706095309434,2.8281119756391364,3.2026260754963634,36.92165251924868,13.246974831495667,35.10377119804938,10.000000000000002,32.04981786359651,48.06081645967847,35.770535225651194,1428.3195804609245,3.1482352109840264,2.29345714981162,3.4371346300424803,2.0543128267023696,2.251697040831318,2.8281119756391364,3.202629758993046,36.92165251924868,13.246974831495667,35.10396105506049,10.000000000000002,32.0496972955082,48.06081645967847,35.77055113512778,38.91975581185656,542.8879226646598,695.5972593121095,150.916314177034,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,302.48108530044556,251.0,3765.0,23259.796246863098,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,643,1431.1900576690434,3.2126589233066607,3.1377028741729625,3.4349930023322726,2.0674834721018023,2.261164238044249,2.7602823452471004,3.199587369023142,58.44673800892265,53.50013807445701,35.289566596469285,10.000000000000002,32.279403765596385,37.04011274575476,35.7082820346665,1431.1896160716483,3.2126589233066607,3.1377028741729625,3.4349954442386563,2.067479113645359,2.261168414798456,2.7602823452471004,3.1995874821214105,58.44673800892265,53.50013807445701,35.2894700156906,10.000000000000002,32.27932297772599,37.04011274575476,35.708298056967315,33.836888388045956,548.0494536542085,696.2749291203869,153.02878650640224,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,843.4038531780243,701.0,10515.0,28766.01900701661,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,250,1477.4905402041836,2.7897512258471098,3.926525056881424,3.425726286617991,2.076974521496308,2.262727125906516,3.011324331353793,3.1992454303079336,71.61806372914928,63.762505626097635,35.78605365558797,10.000000000000002,32.45085457809747,19.584889568382092,35.61118189755014,1477.4905402041836,2.7897512258471098,3.926525056881424,3.425726286617991,2.076974521496308,2.262727125906516,3.011324331353793,3.1992454303079336,71.61806372914928,63.762505626097635,35.78605365558797,10.000000000000002,32.45085457809747,19.584889568382092,35.61118189755014,21.208547082549575,575.3739990051828,726.0739092651283,154.83408485132304,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,317.0731358528137,263.0,3945.0,33707.62390976108,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,325,1819.1549384651269,3.5055111074776275,2.13307296270823,3.390997908189211,2.613762672639073,3.4392429799304653,3.2789217617598796,2.6851245005787168,70.11251807595781,27.11429008166222,40.75388029679125,6.241950616764323,50.00000000000001,46.773554837623344,37.16697239951653,1819.1549384651269,3.5055111074776275,2.13307296270823,3.390997908189211,2.613762672639073,3.4392429799304653,3.2789217617598796,2.6851245005787168,70.11251807595781,27.11429008166222,40.75388029679125,6.241950616764323,50.00000000000001,46.773554837623344,37.16697239951653,13.032574691961889,1127.3715397661988,664.984345104419,13.766478902547215,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,404.78088450431824,336.0,5040.0,40784.706279420905,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,540,2377.738313126146,3.1056439573715315,3.684061784719211,3.3842323872639897,2.2740237724972774,3.3692820111767174,3.939191496639349,2.8066318613760224,11.212073809241298,62.04112372424007,37.68253943640892,8.49968907447568,50.00000000000001,45.22396490958001,36.21907772689258,2377.5810050400423,3.1056439573715315,3.684061784719211,3.38473059045654,2.275087791327064,3.3689915644478203,3.939191496639349,2.8064549539231436,11.212073809241298,62.04112372424007,37.677228987117296,8.485708501693471,50.00000000000001,45.22396490958001,36.22182453156247,90.99689076742118,1114.5398963733146,1144.1536626441864,28.047863341224215,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,680.2857570648193,565.0,8475.0,55990.78113509193,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,731,2477.539878070971,2.3396608391291376,3.756285006858826,3.3723238965497297,2.7786740578653917,3.5730473778249356,3.066330569946034,2.556192117812329,30.508516015394097,54.622560299302954,44.01479892418201,5.6497621256588575,41.284745896623065,49.61013811172732,39.65804747694062,2477.5235029085584,2.3396608391291376,3.756285006858826,3.372332450507006,2.7786906796863384,3.5730999806178114,3.066330569946034,2.5561823192977897,30.508516015394097,54.622560299302954,44.014694415757106,5.649813831343099,41.28446599561719,49.61013811172732,39.65829840104768,16.779498473070365,1706.497116647672,732.4428365482106,21.820426402017883,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,965.7424185276031,802.0,12030.0,66086.68080646594,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,90,2508.746983179388,2.867352697978917,3.6147210577696827,3.3908641152934935,2.5852910824787183,3.678997724707812,2.36802040325493,2.5552924057409725,49.78202650792071,13.504102684793944,40.14573048688466,5.25621463047713,41.375587157680634,15.014070871197509,42.11074502895953,2508.5461563695776,2.867352697978917,3.6147210577696827,3.390782377447109,2.5852386778167,3.6784881083323318,2.36802040325493,2.555675505399544,49.78202650792071,13.504102684793944,40.14644800566089,5.257193778216786,41.37446528867139,15.014070871197509,42.10989125476683,20.946273329350035,1709.5400918341902,758.4604743309079,19.800143684939357,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,120.29084777832031,100.0,1500.0,188962.2833999467,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,92,2582.676567322223,2.6894733053665867,3.8802149646667337,3.4137657415739158,2.6771466174040865,3.584393203778174,3.8107846374172984,2.5691591133029403,45.51254304132427,61.90923342488258,40.00080793313163,5.809372002730461,43.25145212079531,15.54366464427925,40.210856216005105,2582.676567322223,2.6894733053665867,3.8802149646667337,3.4137657415739158,2.6771466174040865,3.584393203778174,3.8107846374172984,2.5691591133029403,45.51254304132427,61.90923342488258,40.00080793313163,5.809372002730461,43.25145212079531,15.54366464427925,40.210856216005105,5.896675191324633,1827.1135461322838,733.0129675881327,16.653378410481956,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,122.71149468421936,102.0,1530.0,57664.442241762146,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,228,4169.557241224104,2.0057406540623175,3.2342898272414478,3.29164939872363,2.9244223115391215,3.6105176392756007,2.7145395200049993,2.53899179581299,50.518407526467186,11.02838078502616,58.188619368402016,4.947789608864582,36.584520214764495,21.0319177920865,35.261261972623295,4169.551639142868,2.0057406540623175,3.2342898272414478,3.2916535513196647,2.9244370198996976,3.6105061292733316,2.7145395200049993,2.538986900766929,50.518407526467186,11.02838078502616,58.18872352562786,4.947756241824097,36.584623517746564,21.0319177920865,35.26102909037862,320.0516989169852,1020.4407033320246,2770.636961330233,58.427877644860715,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,292.7902657985687,243.0,3645.0,171063.9157296385,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,396,4493.728477456406,2.0547751863958523,3.3409350203568042,3.40848293802594,2.924825409002969,3.4115516465276796,2.3962029781697574,2.6015586286662726,72.93700242176087,30.372571580350794,49.1118228668274,5.695798785961489,30.24996677968403,17.97654739794223,38.093047192023455,4493.381360585714,2.0547751863958523,3.3409350203568042,3.4085868942334403,2.9250774819104244,3.4108997388965747,2.3962029781697574,2.6016767070144633,72.93700242176087,30.372571580350794,49.112336606795886,5.695343155537209,30.242787875409114,17.97654739794223,38.089764135832034,19.917974476051825,2489.4156207461738,1923.5489266939508,60.84595554022944,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,508.53159618377686,423.0,6345.0,365104.54882316367,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,128,4803.77064071513,2.753160629491549,3.947567076716645,3.422965555287945,2.99183444883145,3.3708372996971665,3.2561523966147004,2.5872283294126195,48.1441671426454,58.751414640672905,49.54470361422001,6.00184604751904,30.030398180980846,45.256780051911,37.05089284856215,4802.748004040029,2.753160629491549,3.947567076716645,3.4217971957677324,2.992192337794851,3.3698809955927036,3.2561523966147004,2.5881139712093537,48.1441671426454,58.751414640672905,49.62362214598151,6.002916994562809,30.067682357369744,45.256780051911,37.026760385254086,52.18149527255747,2486.8524507767597,2205.9499128053644,58.78678186044792,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,172.13683032989502,143.0,2145.0,1311260.912834177,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,200,4837.120170129588,2.027903145951194,2.468724172242841,3.420731207765532,2.957949463611077,3.405508913146603,3.1133063763903124,2.593878710860258,51.70180358151195,35.350501419181015,51.31166145250942,5.976059116560483,26.966490239368714,47.41634993472588,36.85321461288827,4837.120170129588,2.027903145951194,2.468724172242841,3.420731207765532,2.957949463611077,3.405508913146603,3.1133063763903124,2.593878710860258,51.70180358151195,35.350501419181015,51.31166145250942,5.976059116560483,26.966490239368714,47.41634993472588,36.85321461288827,67.48276763938463,2276.312733408683,2429.575060696947,63.749608384573136,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,295.15788221359253,245.0,3675.0,27631.19253930189,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,159,4864.95925144881,3.8068038305757668,2.274949408292475,3.1395034589205495,1.5,2.445350407069701,2.330708394233865,3.327801861612521,32.604780883457934,58.802786703850124,58.68540412487868,6.359327892875092,22.618572603726893,41.2829851909568,32.328127656407986,4864.95892511265,3.8068038305757668,2.274949408292475,3.139502710123555,1.5,2.4453503443387783,2.330708394233865,3.327802255436004,32.604780883457934,58.802786703850124,58.68543470756481,6.3593256241836675,22.61861859971035,41.2829851909568,32.32812044544616,27.940279515327404,440.06991194387376,4256.833252277306,140.11580771230237,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,206.17414617538452,171.0,2565.0,168524.05194066968,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,334,5034.525323481086,3.3415775815751743,2.9017478728266983,3.414663349650073,2.974733393159564,3.4345922068333516,2.6347678919165536,2.573238023724102,37.96607260338219,73.2971350652714,53.002270643592524,6.281143274420046,26.503236697945905,27.017118392104805,35.818537473159765,5034.52005032241,3.3415775815751743,2.9017478728266983,3.414663594511751,2.9747276081637244,3.4345909379545834,2.6347678919165536,2.5732409892216426,37.96607260338219,73.2971350652714,53.0022320637574,6.2811211588592935,26.503263857689156,27.017118392104805,35.818492374549145,128.24105761867924,2127.0356668175514,2716.2935021105295,62.95509693432511,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,464.2154130935669,386.0,5790.0,346047.9533884004,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,178,5098.506443440924,2.5398557835300517,3.7917724363921335,3.4013751819814453,2.968874053901952,3.429453309993844,3.2433914404182436,2.5816466023622926,71.71680181595964,39.24428867619614,53.147322072436445,6.169420896217219,27.57136810591448,46.61828321967889,36.01822130450589,5098.506027839467,2.5398557835300517,3.7917724363921335,3.401375947041425,2.9688733652410297,3.429454313962607,3.2433914404182436,2.581643848319394,71.71680181595964,39.24428867619614,53.14733643480811,6.169382947756103,27.571370382231503,46.61828321967889,36.018212873744,115.78036036353802,2082.514020272603,2835.4823708416807,64.72969196310244,2.548822439764622,67743.80740414294,11611270.553927531,0.28766331352919094,231.33332014083862,192.0,2880.0,240572.6519229061,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
