Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_x_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_x_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_x_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_x_cum,epsilon_F_4_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
20,63,285.9332403384744,3.6528139952586827,3.7082308876730776,2.1974868036406963,3.7242228483863005,3.407033976305306,3.1658697316641367,2.55940835469957,2.855422935231306,3.5404774691099594,57.56235904806927,26.880395564392956,26.70950442343954,53.26852106163752,32.444335003420306,39.341165335962714,3.0508801586499392,35.44179562520814,49.66651242683443,285.9332131628269,3.6528139952586827,3.7082308876730776,2.1974868036406963,3.7241966790122722,3.407033976305306,3.165861710986512,2.5594247332580924,2.8554296704743813,3.5404774691099594,57.56235904806927,26.880395564392956,26.70950442343954,53.26750870388746,32.444335003420306,39.34307349109088,3.051247648951603,35.44207444009222,49.66651242683443,2.851568925352806,14.465036892739,24.719708571233774,2.525901845797944,235.79230213165283,73.0,1387.0,53.3435651478817,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,71,285.9364648639934,3.2335567140033152,3.8980326413752326,3.9003522384941594,3.7241724339483415,3.831212699532549,3.1661682589522693,2.5587877363390463,2.8555789271151517,3.208620965839946,45.720614898056574,70.2017927359195,69.7176733161844,53.22268628818441,72.61206434864629,39.35155370914244,3.0529674201599435,35.44928369733678,32.69817579869139,285.93646401399474,3.2335567140033152,3.8980326413752326,3.9003522384941594,3.72417265789431,3.831212699532549,3.1661679936562037,2.558787338671053,2.855578961317395,3.208620965839946,45.720614898056574,70.2017927359195,69.7176733161844,53.22268296556074,72.61206434864629,39.35155684754975,3.0529572244577974,35.44928467883085,32.69817579869139,2.8518515569358747,14.497223350773174,24.684509652392244,2.539644068319301,156.46867537498474,92.0,1748.0,129.73827160493826,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,57,179.79612759799775,3.1056439573715315,3.684061784719211,2.248346630239822,3.366491559170525,3.1715185429165755,3.751410219921971,2.8280887016642478,2.7888488982570747,3.6012653453612318,25.143327799666334,62.46183771522066,35.210941864171176,52.28850230092734,58.562906777917014,57.09846787578358,3.919397315169378,24.42161972955794,19.24702095092581,179.79612750640064,3.1056439573715315,3.684061784719211,2.248346630239822,3.366491555705757,3.1715185429165755,3.7514101095526,2.8280887222637374,2.7888488766291775,3.6012653453612318,25.143327799666334,62.46183771522066,35.210941864171176,52.2884957105271,58.562906777917014,57.09847528839007,3.9193987152250296,24.421619801247143,19.24702095092581,17.392056861944923,1.2951017622770267,6.375645357998513,0.15431572887418676,206.0441575050354,62.0,1178.0,92.75026201261213,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,58,285.93531700712686,2.6903441023104295,2.450079915628169,3.1850237375315933,3.724476035561829,3.832611106936701,3.1653832751131645,2.5591532662861582,2.85547252851448,2.3859254640382255,42.4729710941276,57.35806841834877,23.53263849657145,53.26909806425587,65.35867187086387,39.33832319274017,3.0561754916413726,35.44320023029547,18.56885407990291,285.9353160113496,2.6903441023104295,2.450079915628169,3.1850237375315933,3.7244755255641833,3.832611106936701,3.16538309886006,2.559152841039828,2.855472684934814,2.3859254640382255,42.4729710941276,57.35806841834877,23.53263849657145,53.269069678695566,65.35867187086387,39.33834679642753,3.0561889469713375,35.44319630025789,18.56885407990291,2.836725431467566,14.55345242080596,24.796707712559666,2.5259152776377567,104.75252103805542,63.0,1197.0,140.04796163069545,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,79,300.75578668414033,2.0430496105483957,3.8959404224353618,3.6542309423414645,3.134793196836625,2.3523925111501103,3.388185514814542,2.5334083050910836,2.9829983082433777,2.6894733053665867,71.10698635166888,47.83092169656021,67.12407898676987,61.7366841275061,68.85050071606221,46.70958741651082,6.889774717267566,34.1168637245182,25.000159810695166,300.755785695746,2.0430496105483957,3.8959404224353618,3.6542309423414645,3.134793591786362,2.3523925111501103,3.3881857584361774,2.5334063178601207,2.9829983586235316,2.6894733053665867,71.10698635166888,47.83092169656021,67.12407898676987,61.73676394727102,68.85050071606221,46.709509808010466,6.889796529479808,34.116825123437856,25.000159810695166,0.2308580257051929,4.078092827452975,22.351738031338872,18.040726119422082,279.5326051712036,86.0,1634.0,95.30082600586198,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,74,285.93560964237173,2.834044009405148,3.440648986884316,2.0002287496346898,3.72426449628768,2.293511781634226,3.166082944880513,2.5588972825829472,2.855567832056212,2.79353494846134,45.023087710218206,37.24764343621417,54.53926752578938,53.22712503813778,67.07763336541147,39.3579638382309,3.058636061214405,35.4410128790541,34.55414399560131,285.93534043095406,2.834044009405148,3.440648986884316,2.0002287496346898,3.724285687286852,2.293511781634226,3.166080488639758,2.5589258453418644,2.8555791103113295,2.79353494846134,45.023087710218206,37.24764343621417,54.53926752578938,53.227691004742674,67.07763336541147,39.35889491533933,3.0584555013570083,35.44003303489995,34.55414399560131,2.8469900321906816,14.58257529332581,24.728469467247763,2.542495774214284,272.14141821861267,80.0,1520.0,138.24261479705126,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,90,173.98074671241412,2.2807738771904673,2.3962029781697574,3.6014891373510727,3.862712061375592,2.6268483563184852,3.448013599280136,2.1547295073178536,2.904671790928279,2.1700884227395556,12.538560910137356,21.038977271696986,67.07926272291186,59.45848766311944,37.3719956253284,37.47666546150674,2.9072464772680693,26.532973490711377,26.043047085212205,173.98074670561022,2.2807738771904673,2.3962029781697574,3.6014891373510727,3.8627123847094684,2.6268483563184852,3.4480135177131537,2.154729957466581,2.9046716052909543,2.1700884227395556,12.538560910137356,21.038977271696986,67.07926272291186,59.45849645742242,37.3719956253284,37.476662195659806,2.9072460834862546,26.53297064981859,26.043047085212205,0.9262104390631211,1.26589688806792,8.418144882676206,0.3469117411408763,319.3388180732727,97.0,1843.0,63.764099831246114,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,96,238.32971057773915,2.9831463185606766,2.1067250902341605,3.1482352109840264,3.0829367410214954,3.178611073806568,3.454479233343414,2.183185330984043,3.021724238227802,3.38880031545549,36.92165251924868,13.246974831495667,44.833266384508256,38.74412531014714,43.46779228379006,69.85223707545364,4.586447278657477,30.675370463584763,19.81161464511831,238.32970763930808,2.9831463185606766,2.1067250902341605,3.1482352109840264,3.0829383683548697,3.178611073806568,3.4544840228239266,2.1831867016924607,3.0217274886659022,3.38880031545549,36.92165251924868,13.246974831495667,44.833266384508256,38.74406141057109,43.46779228379006,69.85224486069387,4.586359138327413,30.67537982862617,19.81161464511831,2.3312099778808655,8.063752672072772,17.96084834705337,8.956974862411938,336.0688133239746,102.0,1938.0,32.69320543565148,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,81,232.98979278564445,2.980507045239855,3.1982206152917563,2.031066551101671,3.4905982536078533,2.867352697978917,3.452762722453706,2.3637890018618517,3.006753732454959,3.1557144305690707,21.960663105785233,61.21540019865779,49.78202650792071,36.02837090005727,37.3125892000736,72.48189860459165,6.466522729316727,25.963151511248213,49.1865702160871,232.9897185412825,2.980507045239855,3.1982206152917563,2.031066551101671,3.490663801055664,2.867352697978917,3.452737582167421,2.3637066990948394,3.00673214555806,3.1557144305690707,21.960663105785233,61.21540019865779,49.78202650792071,36.02699750583969,37.3125892000736,72.48434950134106,6.466083247032823,25.962530957841455,49.1865702160871,0.17343496925743526,12.026518615278494,16.82998657971639,14.822423407446244,353.57523250579834,106.0,2014.0,108.74003019806378,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,71,285.93507234636877,2.278552694501517,3.614782577419047,2.795353673971067,3.724298364620813,3.8550171607920674,3.166054273196435,2.5585184211279355,2.8556124746351226,3.7666121824116194,50.53869345861459,58.81125821177693,32.67839222855977,53.2422601924421,68.23260418274437,39.325138211477,3.056334081763279,35.44535603450191,36.759350207319265,285.9350391023697,2.278552694501517,3.614782577419047,2.795353673971067,3.72429350016299,3.8550171607920674,3.1660653716166203,2.5585409047308145,2.8556065962711283,3.7666121824116194,50.53869345861459,58.81125821177693,32.67839222855977,53.24177606888852,68.23260418274437,39.32536226281031,3.056305611631502,35.445454487674546,36.759350207319265,2.841851014023816,14.509969638694466,24.749070408649246,2.5351483076727184,263.39540553092957,80.0,1520.0,49.05927702282619,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
