Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
13,69,1001.4431527740946,2.312335739998306,3.1377028741729625,2.634724818644321,2.9829242316186733,3.159490438491593,2.7602823452471004,2.913976610166389,54.30264103875325,53.50013807445701,27.219771248082616,2.5306786754275326,27.95294692699372,37.04011274575476,45.68634138702949,1001.443117579658,2.3123270106050318,3.1377028741729625,2.634724818644321,2.9829242316186733,3.159490438491593,2.7602823452471004,2.913974635874653,54.30269489464115,53.50013807445701,27.219771248082616,2.5306786754275326,27.95294692699372,37.04011274575476,45.686343104096565,0.5185178045215763,11.982204694397735,12.958950597405615,6.858091997515678,135.32115507125854,112.0,1680.0,1827.3213606892264,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,77,999.1180258500794,2.304730723343762,3.926525056881424,2.3479113333609285,1.6894942791594558,2.2701583160934624,3.011324331353793,2.917347353325926,56.90066852238024,63.762505626097635,10.976233748237957,3.4095700446004424,26.622225102839295,19.584889568382092,45.53656538788343,999.1175100730583,2.3047535075238876,3.926525056881424,2.3479113333609285,1.6894942791594558,2.2701583160934624,3.011324331353793,2.9173514766306674,56.900389266099324,63.762505626097635,10.976233748237957,3.4095700446004424,26.622225102839295,19.584889568382092,45.53623274545497,0.36349251737164806,8.181904149836733,11.536506796990928,10.48334385999309,115.01199460029602,97.0,1455.0,2380.8204636290966,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,76,1036.245626155586,2.4205471762894355,3.947567076716645,3.209432201948106,2.743268711971039,3.1494230094162043,3.2561523966147004,2.911263312477748,43.09585834635109,58.751414640672905,65.79039936788776,8.040657507741443,39.43200369565561,45.256780051911,45.76347768444892,1036.2445913435827,2.420666005304802,3.947567076716645,3.209432201948106,2.743268711971039,3.1494230094162043,3.2561523966147004,2.911251106375934,43.09687165577469,58.751414640672905,65.79039936788776,8.040657507741443,39.43200369565561,45.256780051911,45.76177941617438,0.37916249161627147,24.886347169005003,28.50125685442395,6.68191910547212,106.83528470993042,86.0,1290.0,9053.777990940582,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,109,997.761030322499,2.3054723762430767,2.27291045132137,2.119835379024423,1.6820151836111061,2.0891037570895232,2.2149882582121854,2.916287867881235,56.191924703962336,46.381603833519264,10.816138710342532,2.575794237515894,48.85467155000953,34.88351616719798,45.59340989791387,997.761030322499,2.3054723762430767,2.27291045132137,2.119835379024423,1.6820151836111061,2.0891037570895232,2.2149882582121854,2.916287867881235,56.191924703962336,46.381603833519264,10.816138710342532,2.575794237515894,48.85467155000953,34.88351616719798,45.59340989791387,0.4109251892960819,8.225622323035289,11.320383095291136,9.19326477613047,226.00493121147156,189.0,2835.0,1587.8355093702814,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,53,1007.7436134475441,3.1376432164034087,2.274949408292475,2.278552694501517,2.7110869330642857,2.795353673971067,2.330708394233865,2.9302326678048147,34.006075793055835,58.802786703850124,57.18986904777936,9.06644872964648,36.828527246946315,41.2829851909568,36.05075346925982,1007.7436134475441,3.1376432164034087,2.274949408292475,2.278552694501517,2.7110869330642857,2.795353673971067,2.330708394233865,2.9302326678048147,34.006075793055835,58.802786703850124,57.18986904777936,9.06644872964648,36.828527246946315,41.2829851909568,36.05075346925982,0.2893938389621078,54.281735308647555,83.9570028311956,15.037607228183003,256.38254404067993,128.0,1920.0,5979.425810462741,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,39,1001.5945900056955,2.3037784626524713,2.468724172242841,3.2335567140033152,2.923524481031424,3.9003522384941594,3.1133063763903124,2.9183368198041535,57.54372686959817,35.350501419181015,41.589393361299145,6.834483863359788,34.2341772527997,47.41634993472588,45.49154416353898,1001.5945900056955,2.3037784626524713,2.468724172242841,3.2335567140033152,2.923524481031424,3.9003522384941594,3.1133063763903124,2.9183368198041535,57.54372686959817,35.350501419181015,41.589393361299145,6.834483863359788,34.2341772527997,47.41634993472588,45.49154416353898,0.3256923725310246,9.04214746724923,12.70024297266518,11.811140667453271,143.57314896583557,68.0,1020.0,2966.03932853717,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,94,972.832359858343,2.9167029275940157,3.8802149646667337,3.16402835989416,2.8182479766177657,3.6894688907844433,3.8107846374172984,2.935874234998403,38.823621265489855,61.90923342488258,28.571725362719597,5.922028180959422,35.96886076760575,15.54366464427925,38.528982836189776,972.8301444952782,2.9166715237392022,3.8802149646667337,3.16402835989416,2.8182479766177657,3.6894688907844433,3.8107846374172984,2.935863200044362,38.82323909318853,61.90923342488258,28.571725362719597,5.922028180959422,35.96886076760575,15.54366464427925,38.52884616876074,0.16033727952007784,54.93447611357123,51.9570214749645,21.638724531715084,133.7418670654297,112.0,1680.0,1779.6172306599165,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,71,978.7148576159159,2.8939359325666842,2.13307296270823,2.5206301971570815,2.707131845615018,2.3868685652466555,3.2789217617598796,2.9365421764364923,39.63876395727714,27.11429008166222,14.287470894461547,7.880527706309357,42.02623103401364,46.773554837623344,38.72456740728438,978.7148513795642,2.893934734096816,2.13307296270823,2.5206301971570815,2.707131845615018,2.3868685652466555,3.2789217617598796,2.9365421370208713,39.63876147715839,27.11429008166222,14.287470894461547,7.880527706309357,42.02623103401364,46.773554837623344,38.72458972301926,0.16053961982738763,54.27484031973935,47.05821146128339,22.373076599117944,152.04533410072327,75.0,1125.0,16014.06988187228,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,42,1019.7153952197841,3.1145386916514424,2.9017478728266983,2.7642055040630344,2.1162170248832783,2.8029591669390808,2.6347678919165536,2.9297144764246683,33.15428382071321,73.2971350652714,54.05705794323023,3.5885591074168874,29.93453532718115,27.017118392104805,36.79045760617894,1019.7146140690071,3.114531662162742,2.9017478728266983,2.7642055040630344,2.1162170248832783,2.8029591669390808,2.6347678919165536,2.9297136038295637,33.15442410542761,73.2971350652714,54.05705794323023,3.5885591074168874,29.93453532718115,27.017118392104805,36.790477989817376,0.32652714682730977,61.28618896577992,93.76057629654422,18.103291028707552,117.09204626083374,56.0,840.0,1620.879722888356,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,67,973.9765996698919,2.9321118163791238,3.6147210577696827,2.6304896061907455,2.839333062787727,3.1557144305690707,2.36802040325493,2.935818001536225,38.70642332044953,13.504102684793944,37.3125892000736,7.432550692523438,47.15106222921341,15.014070871197509,38.26368643011127,973.9625944719224,2.932126744382338,3.6147210577696827,2.6304896061907455,2.839333062787727,3.1557144305690707,2.36802040325493,2.9357897832639424,38.706866264218434,13.504102684793944,37.3125892000736,7.432550692523438,47.15106222921341,15.014070871197509,38.26393321684241,0.1456520189189549,52.895726784066625,53.39417704512394,20.201574096848532,283.98220348358154,138.0,2070.0,3980.03147704059,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
