Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
4,119,14.622725891575232,3.7463891914185226,3.809299159378529,2.2360112418512594,2.751168633415293,57.99421153265502,13.806222628467255,7.338194027537091,31.48356361425076,14.622724984619104,3.746389985560088,3.809299159378529,2.2360110651200253,2.751167797292836,57.99423649249169,13.806222628467255,7.33820135922096,31.48354559664281,0.1004179717990537,0.2641878346063108,0.4727631403492509,1.074890074767996,122.53194165229796,162.0,1458.0,31.57877253752553,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,39,14.65498094001493,3.741844235627662,3.917503232658029,2.2453839977060857,2.7543484389583552,58.22563172615744,53.08218197315478,7.451741846170854,31.221201782245664,14.654980887028376,3.741844165051375,3.917503232658029,2.2453839509192632,2.754348590244736,58.22563092858662,53.08218197315478,7.451743205039871,31.22120216813044,0.0896170717144498,0.2719820415122796,0.451162702703635,1.094563028729864,34.53891944885254,46.0,414.0,62.016786570743406,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,158,14.994814466469329,3.774571755231491,3.86258834286879,2.200682770650592,2.722506873053054,56.47418650116573,39.9281692812955,6.732407038364517,33.174727281456704,14.99477477155721,3.7745760919837785,3.86258834286879,2.200684483000402,2.722508638737268,56.4743000761925,39.9281692812955,6.732418603564395,33.17477169740657,0.2649214628503494,0.3070798416959179,0.6684521497309366,0.9964768543999368,160.3566038608551,212.0,1908.0,31.863646860289546,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
1,90,15.04004537513068,3.785302174283675,3.5338155292100746,2.183499300668206,2.7125900155754006,55.9982118819037,74.91483688919784,6.487237375145859,33.85334059627028,15.040043993515182,3.7853069348469344,3.5338155292100746,2.183499036713463,2.71258789824083,55.99824201540943,74.91483688919784,6.487201219405677,33.85331447629306,0.3408390503497094,0.3299637394172746,0.697228956145659,0.9874194719101076,88.72985291481018,117.0,1053.0,48.350066613375965,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,90,16.209239990607692,3.6079845038131166,2.282619247197006,1.8839730971253077,2.911462402113965,54.80624517431222,70.50163143271567,5.548825684941716,37.73408927870525,16.209232796496234,3.608006751100412,2.282619247197006,1.883964279825583,2.9114594401332066,54.80621012047678,70.50163143271567,5.548838924059684,37.73398718034756,0.2165654025119373,1.0016037014034287,0.8069016252585104,0.8527988916876001,95.82290029525755,128.0,1152.0,97.1293787976132,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,45,16.221598765112862,3.611579186688058,2.091894130347331,1.8858724720623572,2.908696545295073,54.728231556702056,53.238033092850536,5.493627175757271,37.80852108469174,16.22159764896307,3.611579295730529,2.091894130347331,1.885872498171215,2.908696606779186,54.72823458309806,53.238033092850536,5.493626532538256,37.80852262795908,0.2136837338584863,0.9811747937253176,0.8272249643118373,0.824965219130825,64.5695104598999,85.0,765.0,167.3426769695355,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
6,84,17.483475989139404,3.686706994897413,3.528070325474916,1.9894448782763108,2.8245538015526344,50.49350487975908,15.993911009275774,6.9333428426972175,38.16570910167479,17.483475989139404,3.686706994897413,3.528070325474916,1.9894448782763108,2.8245538015526344,50.49350487975908,15.993911009275774,6.9333428426972175,38.16570910167479,1.4151243769190458,1.426100323195275,1.6007119745541254,0.8218258216308788,91.68197441101074,125.0,1125.0,79.87171151967316,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
