Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F1_min,sigma_F2_min,sigma_F3_min,sigma_F4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F1_min,epsilon_F2_min,epsilon_F3_min,epsilon_F4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F1_cum,sigma_F2_cum,sigma_F3_cum,sigma_F4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F1_cum,epsilon_F2_cum,epsilon_F3_cum,epsilon_F4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
11,203,30759.54766249416,3.763007490159759,3.4157899452074507,3.5564033582594448,2.4322274093989376,2.547841995595113,2.683548221094443,3.0470218727565905,2.932242066231478,43.44337818097004,46.73839529088434,45.29089449066741,10.662041368718317,48.54501576912864,38.38097707284378,20.96324740802498,26.860539415402133,30759.540038051626,3.762837510413775,3.4158352918951307,3.556355198321388,2.4322375093481954,2.548076289140804,2.6836105150525564,3.046888226166595,2.9322392439081195,43.44578562615538,46.73763355268067,45.29221138377565,10.662521399387945,48.546861364382295,38.38032724184383,20.963483679162508,26.859666796455425,1.1300283381818357,157.20890907791886,188.71683616962716,5.299276254269198,26.67928615481989,871.6358276698953,626.3318112789748,14.86095702598474,0.5959887713116202,3.5051790684849404,15.266371831316109,34.56805252702849,14.571567538351688,128.70832523115934,139.20461834142807,46.38645001834869,46.25533818654941,717.4723641149174,1139.3247851057265,214.0152484240147,0.4076759744589049,43.00870822115128,58.0175008365927,5.256750727226104,6.615181536222538,904.7587182271466,708.0581760105056,23.926998331186606,23.75985041100544,2305.3715778507963,1093.74339246265,90.88667601024092,4801.014921426773,209.0,3553.0,7027.082902566835,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,314,30759.57099293503,3.764646342127072,3.417508417880849,3.547900470324868,2.4342999623896597,2.5401034779877203,2.6854831935945755,3.048942752862433,2.932125937928245,43.39043701649951,46.67573807309845,45.56441606872704,10.658157313586402,48.516896243628686,38.4447450262201,21.087332706318648,26.849915304484256,30759.57098521009,3.764646518267752,3.4175087270249263,3.547900363746149,2.43430016091128,2.540103664241731,2.68548302987885,3.048942878693241,2.932125785016453,43.39044486705616,46.67573860554192,45.56441168140495,10.658152809676489,48.51690207584459,38.444748866704735,21.087334935129157,26.849911418553127,1.130806286655034,156.4404242875387,191.0962704421057,5.307147702599881,25.01348013873746,876.8124141457423,630.5113269851564,15.336202422907174,0.4161593676851703,3.5638180719711343,15.19416607199801,33.78968150229687,15.673914255102837,139.37800651634197,147.65365892384278,45.852765921647645,45.55337335240823,724.0182343947598,1125.3344542127884,214.5681844194092,0.4403628228527009,46.98203621832047,59.14688033308763,5.022408337036238,6.606866065370964,897.5160470025284,703.2439263493391,23.33141709523084,24.013959215860584,2303.770256924058,1092.939432681004,91.37087984917363,4273.075449943543,321.0,5457.0,7424.786712851941,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,237,30759.90166752349,3.757641374159936,3.416306666648448,3.551012927510641,2.433299855844286,2.5452197060015,2.6836099597729426,3.047876415177533,2.932192203518666,43.492853071516016,46.72879908556819,45.47801498952786,10.657603382456946,48.50937871361264,38.352047787833165,21.02802407897757,26.852686917583107,30759.900890431385,3.757645125966973,3.416307345820662,3.551010349631694,2.43329823918756,2.5452189417565005,2.68361168019433,3.0478813378481977,2.93219313201486,43.49293588369271,46.728888306564265,45.47814872176036,10.657643990520818,48.50935286891606,38.35188865622401,21.02808794399722,26.852708257629445,1.125235961809337,153.90630101737798,190.0288591323564,5.250553209002889,26.014995432833487,890.9419064139147,640.0908067782766,15.722769145259212,0.967285145710008,3.319106216164161,15.282678653955784,36.26366946459586,15.484833970664916,135.71207535947886,144.21900279342427,46.79625196948298,45.78298695270863,704.6743908125354,1113.851665061969,211.4467033815092,0.4285981685573244,45.57751403701045,58.78655356942555,5.127531473026295,6.522871689999327,901.2626487146844,705.9214674944873,23.605431681629227,23.71849901121805,2311.486730332189,1098.3259211999762,91.62671345254329,3034.8853163719177,251.0,4267.0,9938.738999911182,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,262,30759.90367533466,3.762640791325646,3.417335744760712,3.5480084848077107,2.4350354656334283,2.5399277414967782,2.68718732710027,3.047498456283759,2.9320890201253347,43.369170343306365,46.68020401200877,45.57740312442155,10.657711627277877,48.48822600650556,38.47263560680505,21.04370606717341,26.85101598497995,30759.903640082583,3.76264171750858,3.417336037345724,3.548005580095299,2.4350375102347823,2.539926197880992,2.6871884883843293,3.04750062541429,2.932089028191567,43.369127715768144,46.68021548590429,45.57745042347885,10.657720228679642,48.48818343975282,38.47263302021467,21.04380414435005,26.85100561641262,1.1355300612252563,156.48863863497405,190.9674061285189,5.289540039226644,24.183001803298065,880.059040946612,632.8453285956251,15.566916353542984,0.4714832260098186,3.790099687935638,15.871163196831606,33.25509564619702,15.61271036939718,139.38142963790244,146.42994566710792,46.91718863385864,45.66725908024315,718.592177783614,1122.0637293034508,213.68927695463896,0.4759641032392229,48.43494214621758,60.716518488317945,4.738904012636793,6.54272743082401,914.1885557612596,715.8285088737066,24.178954251138155,23.81099537767611,2318.8435092665586,1101.8145306841552,92.28945545227084,6134.213844776154,271.0,4607.0,7048.47421618261,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,195,30760.12640840637,3.760679592053757,3.4174788568978496,3.559354407865041,2.433426807483735,2.5416154423155524,2.6811734674037924,3.0473198711330047,2.932124986352458,43.38496483777712,46.66260181692896,45.12287407730674,10.677148067435803,48.51094723870788,38.34182569199922,20.997730107707508,26.853950876292256,30760.125439927346,3.760681599511528,3.4174780513616456,3.5593645986497062,2.433427789204334,2.541627909684245,2.681170216762538,3.047322279085718,2.932124687912199,43.38524882961877,46.6625754575305,45.12270616164872,10.677118290194985,48.51130258435576,38.341895469299125,20.99753729494836,26.85396564766108,1.1266901167601602,155.04792097024762,190.81550641716075,5.29293826673124,26.78144884034848,884.5505019479532,636.2641061233281,15.335233185338312,0.7030249177130151,3.5135284334825023,15.4706577602045,35.201536517857235,13.06180362373434,124.04089500575664,137.41148776311974,43.4588462078561,46.23952912755105,717.9691688596854,1140.9142852543046,214.22001218823505,0.4011313236947009,41.65762772749584,56.64595753770568,5.304941180665214,6.840534591196214,890.7480199596907,696.9170891753206,23.265149435764407,24.159652297913272,2300.5825793572044,1085.6011177378057,90.2930471917736,4710.502691268921,205.0,3485.0,8804.344542144063,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,265,30760.141529268592,3.760986251011497,3.4187303927745507,3.548541325344972,2.4349649977431747,2.5362095171229675,2.6853175799189493,3.0481138480124867,2.9320620656765426,43.38250941818984,46.62849752482024,45.53728086297413,10.662601496758112,48.44415802905985,38.50804734995562,21.0604707338901,26.84001981815084,30760.13853237024,3.760992495181703,3.4187315095908186,3.5485311977547687,2.4349712767196694,2.536195960535608,2.685332546844053,3.048117968879064,2.9320606664955573,43.38250094770122,46.62854124361335,45.537654885251015,10.662594224061014,48.444001682155296,38.50811115759385,21.060569734285163,26.83999792822436,1.1125759210539503,148.96270249478715,193.3839926133918,5.2252946467025945,24.975508164493025,856.5722733768031,616.6719229342876,14.604052193737154,0.584839119730688,3.6242832034158585,15.667368709121051,34.27385017779626,15.36561285426501,138.6601946700626,146.52954733567282,46.15258630708718,46.070989646482765,727.2464073011867,1136.1568395995305,215.434783010531,0.4754512134978712,48.26922972837611,60.38861888206099,4.717858907779032,6.659717690408838,910.7955487457414,713.0361979566089,24.005207790061476,24.12836206692724,2317.658004290161,1098.5219030826386,92.15980298919592,6247.609937667847,271.0,4607.0,22659.185504929388,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,246,30760.280123501376,3.763917683480294,3.419831398642432,3.555147875927951,2.433620751458088,2.535640940897597,2.683384983259056,3.0476633820551924,2.9319448322370323,43.42984983572358,46.561999058448926,45.37012408948689,10.652478198385577,48.514504486132736,38.47041256408254,20.934587644028674,26.84366709773008,30760.277807627725,3.763925260371024,3.419837497513974,3.5551459650701105,2.433618318581703,2.535634650757936,2.6833879187324023,3.0476678822827497,2.931940244416764,43.42999343330848,46.562156110149424,45.37027602150041,10.652515365018951,48.51464844735085,38.47051338100447,20.93446279384122,26.84371797208339,1.1267239576757917,153.20270097976103,193.86331408685209,5.291563723843634,25.583367144355112,872.5035587115028,627.7335126892741,15.122165843282268,0.4740107796730065,3.542595300070045,15.254725523403309,33.88868693840702,14.618219753992337,129.68560683239025,138.67833683878004,47.36393237636222,46.29856895680733,723.6648030497992,1143.8166416744862,214.7693616671994,0.4636862637122515,45.17747442666941,59.3388054220648,4.706469380114212,6.956506623590579,925.3156220453736,723.6269232185996,24.98985478607452,24.244778719438514,2313.6283551392357,1098.8723054704349,92.09219544522574,6402.84209394455,275.0,4675.0,5495.166533439915,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
13,183,30760.724013854364,3.757347321885724,3.4176107721479703,3.557452106757058,2.430203078764296,2.546945010087272,2.683446575576311,3.04804262213588,2.9321990757971266,43.59466862627527,46.68021130063703,45.23853288421915,10.658466672292326,48.503666100322846,38.349537813106906,20.978880174866507,26.846175261017997,30760.717849183267,3.758045926436463,3.417390870196852,3.55826201727596,2.4303855645183345,2.5464804721304595,2.6829952541714763,3.047547393094121,2.932182383909945,43.6066850788156,46.67909299157001,45.21678876066253,10.656252614704686,48.50242187274669,38.3444043776527,20.96379636312273,26.85039779828641,1.1167410238310294,153.64395145994695,191.4747184868126,5.2948841842163015,26.70997213464608,875.308777819238,628.7983676817842,15.042943433265387,1.2786657288138532,3.1439902363627548,14.636725002905806,37.96258511013874,14.61088141103963,126.8051299454062,140.25821473927354,44.33193186484522,45.77282930241569,718.9038532197067,1135.7393141189532,214.0337392920733,0.3938860492618472,41.98026056081382,57.19952233204426,5.386564618573996,6.691185327239905,900.4423509689826,704.7279167001187,23.756521134221657,24.01098618683876,2302.8311325310906,1092.372403583388,90.82821958637398,4445.645749807358,188.0,3196.0,38054.7103650413,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,282,30760.85643893582,3.7631359159930704,3.418188605755632,3.563763702079306,2.4324693009133296,2.5402443829242376,2.680640518966882,3.0470578429070883,2.93207418324333,43.4320105322392,46.64733681591994,45.02357386504015,10.66538117837213,48.47548321335292,38.32432656714842,20.905727063232376,26.84784023869709,30760.856118497053,3.763136878549504,3.418188891551851,3.56376345396916,2.432468219758976,2.5402437486963745,2.680640485076061,3.047057390732644,2.93207383418637,43.43200961606317,46.64732925063407,45.023594039149465,10.665393258710846,48.47549019357195,38.324322773177336,20.905736101586104,26.847828790032956,1.1363300632719942,158.2154241550095,191.76069543465687,5.33801938186256,27.036497978121865,886.9843375553668,637.7069975299563,15.453710707524722,0.5852575358118169,3.47273103584748,15.123810097253386,34.827834071972845,12.553829288941063,117.78135855863611,132.1953230245772,43.83976227427314,46.22705006742655,717.7524691377806,1146.0604729662189,213.9199856064303,0.3969524000418554,40.33625998078182,56.5050859849508,5.199235708165545,7.084778665022647,903.3772021905048,706.3642055675083,24.10199941551752,24.36208974458236,2304.7939187534794,1090.0142828433836,90.97848918815072,4029.936545133591,299.0,5083.0,3286.113224975575,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,146,30761.0532732084,3.765742791997418,3.416548596369352,3.551173204597893,2.4346927902052355,2.5463866192906988,2.6906276287846422,3.0464548722675806,2.932185188507125,43.35296378682141,46.71204611552773,45.46387425868348,10.662004785691735,48.5749560204798,38.5231985448702,21.0037950589539,26.85387942811735,30761.04054291184,3.76567273872354,3.416555276222361,3.5511350131633943,2.434625029983431,2.546477794741422,2.690554612912636,3.04633094043846,2.9321907995577683,43.35548783785436,46.71279067586131,45.4655829439788,10.661706583641012,48.57478585656581,38.52470100176268,21.00249726296371,26.853641317801596,1.123949474887017,153.86913152164402,190.11148293590136,5.259314106945601,23.22579543374014,870.3286191888167,625.7863810614712,15.294123347472048,0.3538073384398476,3.650938984583692,15.286761165229542,33.29211617482859,15.007634266977531,135.2799913563094,143.2990963421916,46.82003331292616,45.59856851364289,736.2231530572423,1142.1962379921797,216.79793514232267,0.4425089042823168,46.5062296895044,60.60175905168407,4.921712636288753,6.5105842662091895,915.7754834480256,716.7343025550744,24.334050545252246,23.19842879104846,2303.9054704468,1095.785944083079,91.15065014983163,3764.3731875419617,157.0,2669.0,12929.339230837551,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
