Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,R32-sim_liq_density-wt,R32-sim_vap_density-wt,R32-sim_Pvap-wt,R32-sim_Hvap-wt,R50-sim_liq_density-wt,R50-sim_vap_density-wt,R50-sim_Pvap-wt,R50-sim_Hvap-wt,R170-sim_liq_density-wt,R170-sim_vap_density-wt,R170-sim_Pvap-wt,R170-sim_Hvap-wt,R125-sim_liq_density-wt,R125-sim_vap_density-wt,R125-sim_Pvap-wt,R125-sim_Hvap-wt,R134a-sim_liq_density-wt,R134a-sim_vap_density-wt,R134a-sim_Pvap-wt,R134a-sim_Hvap-wt,R143a-sim_liq_density-wt,R143a-sim_vap_density-wt,R143a-sim_Pvap-wt,R143a-sim_Hvap-wt,Run Time,jac evals,Termination
20,1518,1.893199731376912,3.0019590836418883,3.9999999999999996,1.5,3.2313895507940393,3.3941233247870666,2.927011182373593,38.33283581744562,75.00000000000001,9.999998797276383,50.00000000000001,50.00000000000001,36.59782932335614,1.8931995619126734,3.0019590644727803,3.9999999999999996,1.5,3.2313897097253577,3.394122449781778,2.9270112790307405,38.33283529048531,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.59782988690947,83.88710958908857,14.380173788584916,0.5626931619254631,8.18101084115489,1119.129626505943,3802.6060591858145,187.71793565992903,1320.606077600177,30119.95231086164,118792.2068769135,32696.29559311158,1525801.833497787,123245.21880773365,165466.57654805202,24816.166182871188,2084954.7153681437,1384142.372801989,132570.39807967056,420.7950402350895,116246.74784930496,8695.513319112439,32693.488021332887,1435.140494564208,22374.313077214225,2130616.374350568,421408.075365034,16533.139425710087,789041.3515348684,0.0008367894294844675,0.000458345956851972,0.13988439701672892,0.058692303626381975,3.4312587757724957e-07,3.01711105177528e-06,7.159455687161842e-05,6.6372980001079056e-06,2.182803622802751e-07,9.83413928664963e-07,5.616025638114302e-06,7.69420456568204e-08,1.0492882240491078e-07,3.9003475702801324e-07,3.6863262656528926e-06,3.6112980982857335e-08,8.045727531448436e-09,1.0692676670728359e-07,4.395398045114988e-06,1.8510929116897099e-06,2.0370651514286965e-08,2.762571211084599e-07,1.4957261008325993e-05,1.2104725940942468e-05,8.305353514618047e-09,2.833309407818056e-08,1.6533166920028197e-06,4.978063827724905e-08,1029.9881031513214,117,0
43,3140,1.8932001133324763,3.001466523225048,3.9999999999999996,1.5,3.2315727869537585,3.393358580546048,2.9269936127732024,38.33189320985447,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.60687529446989,1.8932001133324763,3.001466523225048,3.9999999999999996,1.5,3.2315727869537585,3.393358580546048,2.9269936127732024,38.33189320985447,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.60687529446989,84.08077307348867,14.35869510244995,0.5631756341772622,8.191744995037757,1124.3039425937227,3808.417998059892,188.5601753610198,1320.244489109756,30164.19322084411,118917.8997753393,32727.091531331695,1527161.1135690943,123472.6251701285,165710.9552782328,24848.827557625,2088575.367331256,1382467.0734437122,132582.3134975278,421.0651355186711,116207.55653752647,8667.92293239873,32679.75929886615,1434.5992651320098,22360.53510288617,2129730.5026699947,421277.2766091192,16530.30390790655,788861.6969022307,0.0008367422670193051,0.00045794375215246676,0.13988202318936843,0.05869531913132495,3.4216055230072e-07,3.015099858345827e-06,7.14297437797202e-05,6.635762683513383e-06,2.1791324092607004e-07,9.819887888828562e-07,5.607375456763314e-06,7.681423529552758e-08,1.0476487811335427e-07,3.893997453248267e-07,3.68044748176921e-06,3.605282024174884e-08,8.04545285064933e-09,1.0691587702403807e-07,4.395739524853973e-06,1.8508207243409212e-06,2.036671894705982e-08,2.762014373225902e-07,1.4954314332612781e-05,1.210237715984263e-05,8.303591171523885e-09,2.832689229659307e-08,1.6529551302741536e-06,4.976977211488027e-08,1822.9219472408295,244,0
52,1725,1.9003728795635029,3.034445812739986,3.9999999999999996,1.5,3.194212754197656,3.4090873403306183,2.9272390422508288,37.48508141974613,74.99999879727639,10.000000000000002,50.00000000000001,50.00000000000001,36.26253658977163,1.8932018333642637,3.0018874555195803,3.9999999999999996,1.5,3.231791104098813,3.3844445745232417,2.927015416083293,38.33065910773419,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.59973475213738,79.20155925157516,17.191821360021052,0.5764190420330663,7.150180561872277,932.7402607264047,3714.1303777020694,132.19040172827175,1103.1184484164446,31326.236177002538,116315.40716374012,32185.552840312972,1525885.6356755686,119913.59666186746,157485.97912379523,23871.066800311768,1973819.1243236116,1426967.2276978798,133087.82539044626,422.64961811726675,117579.73092558363,8796.092506013749,33151.53538054736,1452.7294526396852,23043.97501047071,2163047.7197832875,426364.72340462456,16640.893000279804,795775.2529285827,0.000838662569009829,0.0004849473343252311,0.14067309602095643,0.05786070569720445,4.0605249133081517e-07,3.1420367437841866e-06,8.443546065586288e-05,6.732260610683827e-06,2.391762715902889e-07,1.0504102276466663e-06,6.061556829918705e-06,8.3866276908707e-08,1.1463177131429502e-07,4.2403141997991593e-07,3.999437641294475e-06,3.9664539588097483e-08,8.115187855402126e-09,1.080063629518571e-07,4.423368150968293e-06,1.8714532618395382e-06,2.0609630708170113e-08,2.7962857282603016e-07,1.513737988870086e-05,1.2249223980580725e-05,8.409654610448118e-09,2.8696403377984794e-08,1.6744854810408947e-06,5.0416448676879675e-08,1050.9740934371948,141,0
87,1663,1.8932023364920605,3.0017111526155036,3.9999999999999996,1.5,3.2306474876343323,3.4028798107780083,2.9269770653291225,38.31989173564778,75.00000000000001,10.000000000000002,50.00000000000001,49.99999879727639,36.605963074193205,1.8932023120560484,3.0017169158205617,3.9999999999999996,1.5,3.2306333368602376,3.4028803679499746,2.926977209132517,38.31974956052806,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.6059004980205,84.01344244172063,14.349363232401792,0.5637405776239968,8.183638230552269,1088.4613105297676,3805.39489078553,187.31937789662533,1321.0255132346333,30194.821136700935,118932.41017956033,32731.77526177816,1527653.1137089694,123511.25094784402,165694.88441795995,24848.369168615274,2088412.141009722,1396172.1557666094,131929.8252483803,412.7702254004888,116301.52019928907,8642.514454729946,32679.59786758846,1434.57893866273,22366.616428884725,2129794.0845177188,421294.0669142887,16530.67994498526,788881.6076271508,0.0008367298803836332,0.0004578345035401581,0.13988358832632383,0.05869371803203675,3.4264218637356926e-07,3.016633672072113e-06,7.159455209099897e-05,6.636207926511665e-06,2.180267289747258e-07,9.822683814819783e-07,5.609489764493863e-06,7.684951901198682e-08,1.048202819161254e-07,3.8957158007075486e-07,3.6820132739951187e-06,3.607309879045459e-08,8.030354089037316e-09,1.0679708522335095e-07,4.381541332490768e-06,1.8498244185839895e-06,2.036753090544493e-08,2.7621392457151426e-07,1.4954984014878913e-05,1.2102916462112996e-05,8.303959276506055e-09,2.832818897149413e-08,1.653029950242846e-06,4.977198962044977e-08,1177.1551718711853,128,0
125,2257,1.8932064042238865,3.0008947705993263,3.9999999999999996,1.5,3.231323034609108,3.3872340301701915,2.9270137252464057,38.36376658587789,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.607550784793354,1.893206397369148,3.0008948794788166,3.9999999999999996,1.5,3.2313227706546623,3.3872340099106313,2.9270137199251405,38.36376125123978,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.60755183882501,84.42231084668408,14.337834776552636,0.5641349439760331,8.190971285082092,1090.4552049507115,3793.428420723083,187.839309079952,1340.8028539495263,30076.831969788916,118860.50483194808,32710.058896611627,1525656.3601596744,123336.20794753825,165716.41226389652,24845.09162953809,2088458.5111135845,1373733.991666744,133002.99207800734,426.4652385137348,116147.42645249241,8660.29983838162,32678.10608875938,1434.5326295786247,22360.414266067834,2129694.463364398,421263.2981416057,16529.98677392714,788846.1822562849,0.000836607628092019,0.00045777311041828896,0.1398745555241155,0.05870305214904188,3.417285275331026e-07,3.017101646519237e-06,7.144384990704775e-05,6.638528906113481e-06,2.177791660173099e-07,9.81961520909927e-07,5.6059325489327365e-06,7.677919443744935e-08,1.0469630902318084e-07,3.892387310884449e-07,3.6790608442105143e-06,3.602658591112355e-08,8.058679557736557e-09,1.0703923271252691e-07,4.40677672372949e-06,1.8522848628415973e-06,2.0375186872170935e-08,2.763164954564344e-07,1.496054830305033e-05,1.2107423812337504e-05,8.307062510587873e-09,2.833869477017471e-08,1.6536448121319426e-06,4.979057854656203e-08,1297.4816374778748,174,0
130,1484,1.893214519137782,2.9996505748871383,3.9999999999999996,1.5,3.233125835026546,3.394952102211982,2.9270157088366764,38.39053734678094,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.62208999441156,1.8932145144808774,2.999650458688147,3.9999999999999996,1.5,3.2331258385462567,3.394952135017964,2.927015807902083,38.39053705030255,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.622090374911274,84.81833233968985,14.303819039919077,0.5638356945809642,8.224368843664706,1153.7065865951486,3803.385018634518,191.02482259500167,1343.6627257564069,30066.615314214025,118998.8440645409,32741.36186242776,1526377.22173724,123558.38157304475,166089.05248836376,24890.94232030017,2093809.708457463,1383838.5580855417,132399.35803844,418.9766974285892,116168.75194807073,8662.897966416112,32658.622536625717,1433.7876819793396,22330.486013923175,2128313.7405034048,421047.22754108795,16525.28318717471,788554.5993776538,0.0008364785984067139,0.0004571665082562366,0.13986297186013005,0.058715956458500244,3.394291173858979e-07,3.0118413692653053e-06,7.09270569981284e-05,6.635711504378894e-06,2.17023031508255e-07,9.793993742613803e-07,5.589420807040729e-06,7.65257385281656e-08,1.0434787583077178e-07,3.8798731768717674e-07,3.667536492402581e-06,3.5898770541878656e-08,8.043628109832254e-09,1.069040891022589e-07,4.39376394545821e-06,1.8507945699896922e-06,2.0368570608819903e-08,2.762209274173771e-07,1.4955483198529625e-05,1.2103381002787914e-05,8.304074328483227e-09,2.8328159610292183e-08,1.6530319313395486e-06,4.9772212478493516e-08,859.1125061511993,115,0
109,1060,1.8932466461567954,3.0020194313435846,3.9999999999999996,1.5,3.23133955925609,3.444216847100916,2.927012090357473,38.333091907793694,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.596806858900955,1.893246229758476,3.002222825622468,3.9999999999999996,1.5,3.2312188176967718,3.444180157161724,2.927010369392753,38.32531842081054,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.5954874331944,83.7911854616716,14.377121388990695,0.5621854189102848,8.185206214827085,1117.0718236635755,3801.5886554785347,187.57052509790196,1320.9563980916482,30113.933239971364,118775.91939718457,32692.292872803664,1525621.8840429361,123215.65046049801,165435.44405101676,24811.984459899635,2084492.6898193676,1457813.158777962,129157.29381358363,378.4740095084031,116741.07782090416,8697.672582731648,32694.992016988712,1435.1992777782393,22376.02865211278,2130714.970470247,421423.0602200129,16533.464758079936,789061.7469946293,0.0008367828105494706,0.0004583265598268697,0.1398823160943497,0.05869448017108795,3.4321252524812953e-07,3.0170669295142956e-06,7.161108786961222e-05,6.636739628233228e-06,2.1830132951907364e-07,9.83481578844216e-07,5.616472047558566e-06,7.694928453659294e-08,1.049372833987029e-07,3.900698854620843e-07,3.6866431952795332e-06,3.611635895419258e-08,7.962102947797712e-09,1.0625150754835266e-07,4.3180942807666925e-06,1.8452197981623245e-06,2.036882483381325e-08,2.7623265329293414e-07,1.4955928595908529e-05,1.2103643640197883e-05,8.30462690493121e-09,2.833063804507967e-08,1.6531732852538484e-06,4.977631600455566e-08,656.5803442001343,88,0
15,2911,1.8932585861438844,3.005226972293408,3.9999999999999996,1.5,3.2258825568069356,3.3989180398505194,2.9268913049432523,38.17576087437623,75.00000000000001,10.000000000000002,50.00000000000001,49.99999879727639,36.585743938090786,1.893258571328617,3.005226972293408,3.9999999999999996,1.5,3.2258825568069356,3.3989180398505194,2.926891404943252,38.17576087437623,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.585743938090786,82.54866231726845,14.453370915026763,0.5626735739700541,8.128022862194777,984.2429717212691,3817.4824237211565,181.11018543664375,1275.512986337368,30521.458534543563,118968.58957592116,32754.568852090866,1532138.1228134786,123729.39535076189,165229.61320524488,24806.638581159208,2082438.0894376535,1391594.5542962048,132303.34900347085,417.13377352261523,116335.47651592075,8565.394335303487,32703.108314368452,1435.4350726247876,22420.609042798413,2131598.77240863,421611.0506298128,16537.633557424608,789295.4678842543,0.0008372347865911717,0.0004589617680198163,0.1399259972559884,0.058648507242184955,3.4781835310514454e-07,3.022718594971699e-06,7.271459343674478e-05,6.633262038954384e-06,2.1951709135004942e-07,9.858859405327693e-07,5.637098871022221e-06,7.731540615168361e-08,1.0553313713905085e-07,3.918325351826911e-07,3.7025334009961223e-06,3.633734371644454e-08,8.031653182397897e-09,1.0678184116850643e-07,4.3847225601495295e-06,1.8491134082033624e-06,2.035426616465955e-08,2.7604524163573717e-07,1.4945702458128068e-05,1.209533143481152e-05,8.298974786307696e-09,2.8311756903362158e-08,1.652064813261891e-06,4.9742657412718885e-08,1975.5834248065948,224,0
4,1492,1.893258828590057,3.0027776438380807,3.9999999999999996,1.5,3.2310412537320845,3.338699885703541,2.9269840730912176,38.29498922378931,75.00000000000001,9.999998797276383,50.00000000000001,50.00000000000001,36.59438868155983,1.8932586583427526,3.0027776438380807,3.9999999999999996,1.5,3.2310412537320845,3.338699885703541,2.926984173091218,38.29498922378931,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.59438868155983,83.52015758564883,14.398824084362083,0.562415415582981,8.17006645249959,1129.7557793701721,3814.0182261668097,187.48418973306468,1301.3561743973482,30212.95672610221,118826.69186344079,32708.331194156366,1527236.7578151978,123346.92193926999,165393.74603929912,24811.771593343386,2084113.9962273347,1307429.2560632857,136495.0547889643,472.11065414043003,115756.05135273663,8694.562738768007,32698.424136476064,1435.3280582951375,22381.47578768546,2130905.8896289407,421464.476560909,16534.38430311523,789113.0047806681,0.000836908376576966,0.0004585216398589024,0.1398938769704637,0.058682308164530836,3.440987748670803e-07,3.0168456829437658e-06,7.172486441487042e-05,6.635891321109733e-06,2.1858790367659818e-07,9.84042553151993e-07,5.621309165237479e-06,7.703533230925647e-08,1.0507818430156239e-07,3.9048408387775274e-07,3.690377169667265e-06,3.6168566482113325e-08,8.130909422597756e-09,1.0759360550781555e-07,4.475926743668262e-06,1.8568581324509183e-06,2.0365839675992044e-08,2.76193099495969e-07,1.4953769854482288e-05,1.2101888724112296e-05,8.303432538833111e-09,2.832665309180687e-08,1.6529392189749934e-06,4.976920365568912e-08,854.918618440628,115,0
67,1516,1.8933177377777461,3.0060428390073253,3.9999999999999996,1.5,3.2316858873681205,3.3282704002585586,2.9270254078504876,38.24842454253299,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.55002327222433,1.8933177340902845,3.0060428390073253,3.9999999999999996,1.5,3.2316858873681205,3.3282704002585586,2.9270255078504874,38.248423339809364,75.00000000000001,10.000000000000002,50.00000000000001,50.00000000000001,36.55002327222433,82.17852498653109,14.528885567860584,0.5598214517455163,8.108970515681373,1222.9577986228978,3819.6598126734734,186.26364270891187,1261.663085905952,30145.9341924291,118322.69571901255,32589.794754997427,1523239.8248027777,122492.38492733447,164227.88200366605,24663.04463628834,2067191.0655615802,1296188.8691843005,137454.3161556864,484.4244398446358,115823.21272320741,8871.482782246145,32768.95493206637,1438.1245341370104,22442.407644533312,2135191.8284952426,422115.31296417,16548.522438092525,789999.1908948545,0.0008372551917992269,0.00046052355432699236,0.13991849489337466,0.05865457932562147,3.4932578494366117e-07,3.0222260509196053e-06,7.23457072407154e-05,6.640393130662618e-06,2.2062843696781744e-07,9.911688619739644e-07,5.666658832403656e-06,7.772673130620227e-08,1.0600501511372945e-07,3.938969520419325e-07,3.7218279685633234e-06,3.6509832904435245e-08,8.150700344809466e-09,1.0777444401536488e-07,4.492939181095739e-06,1.858969826411794e-06,2.0376499788336244e-08,2.7634691862431093e-07,1.4961767938526926e-05,1.2108188820276563e-05,8.30845068379605e-09,2.8344753357710637e-08,1.6539917920980672e-06,4.980071389036184e-08,1151.6625306606293,117,0
