Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R125-sim_liq_density-wt,R125-sim_vap_density-wt,R125-sim_Pvap-wt,R125-sim_Hvap-wt,Run Time,jac evals,Termination
2,98,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.4777643986,97188.04641622951,250.88359707353624,71785.59599200994,0.0002506434781672894,0.0031905246665747205,0.1417841355773672,0.05477469627789079,11.766873121261597,8,0
2,99,4399.7671910771705,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412199162833563,19.125152211413816,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.3889041039,97188.05245540208,250.88362149084833,71785.59608350198,0.0002506434778355159,0.003190524667004492,0.14178413565180656,0.05477469620335344,11.766873121261597,8,0
2,100,4399.767317996628,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412199162833563,19.1251510086902,74.99999879727639,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.4094101145,97188.05619755891,250.8836465997877,71785.5981702789,0.00025064347765203315,0.0031905246613881176,0.14178413576112034,0.05477469609983955,11.766873121261597,8,0
2,101,4399.767288139363,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412199162833563,19.1251510086902,75.00000000000001,9.999998797276383,48.889155150178915,50.00000000000001,50.00000000000001,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.41112561955,97188.05498413851,250.88363717554444,71785.5976454335,0.0002506434777106425,0.0031905246660218554,0.14178413571172244,0.054774696144545054,11.766873121261597,8,0
2,102,4399.7671910771705,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412199162833563,19.1251510086902,75.00000000000001,10.000000000000002,48.88915635290253,50.00000000000001,50.00000000000001,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.3889041039,97188.05245540208,250.88362149084833,71785.59608350198,0.0002506434778355159,0.003190524667004492,0.14178413565180656,0.05477469620335344,11.766873121261597,8,0
2,103,4399.767471490359,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412199162833563,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,49.99999879727639,50.00000000000001,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.44253873295,97188.05848692714,250.88366176886652,71785.60056100137,0.0002506434776166372,0.0031905246679714986,0.14178413569668216,0.05477469615772972,11.766873121261597,8,0
2,104,4399.767394870626,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412199162833563,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,49.99999879727639,4399.767191076967,2.4089044994630346,3.9999999999999996,1.5,3.3409350203568042,2.8645449173814796,3.1412200162833566,19.1251510086902,75.00000000000001,10.000000000000002,48.889155150178915,50.00000000000001,50.00000000000001,484797.4302419132,97188.05727424694,250.88366464941265,71785.59934201835,0.0002506434774641961,0.0031905246636914518,0.14178413574043477,0.05477469611840959,11.766873121261597,8,0
14,117,4399.767394870767,2.3908589622186374,3.9999999999999996,1.5,3.6936576029800703,2.864544845065582,3.14121993371675,50.297121694789695,75.00000000000001,10.000000000000002,15.650167076209334,50.00000000000001,49.99999879727639,4399.767191077011,2.3908589622186374,3.9999999999999996,1.5,3.6936576029800703,2.864544845065582,3.14122003371675,50.297121694789695,75.00000000000001,10.000000000000002,15.650167076209334,50.00000000000001,50.00000000000001,484797.40389919886,97188.06120520509,250.88370940164657,71785.59939472,0.00025064347729324696,0.003190524651614725,0.14178413594759726,0.05477469592349477,13.255873680114746,9,0
14,111,4399.767191077011,2.3908589622186374,3.9999999999999996,1.5,3.6936576029800703,2.864544845065582,3.14122003371675,50.297121694789695,75.00000000000001,10.000000000000002,15.650167076209334,50.00000000000001,50.00000000000001,4399.767191077011,2.3908589622186374,3.9999999999999996,1.5,3.6936576029800703,2.864544845065582,3.14122003371675,50.297121694789695,75.00000000000001,10.000000000000002,15.650167076209334,50.00000000000001,50.00000000000001,484797.45142203756,97188.05034716289,250.88364182539667,71785.59604471008,0.00025064347799634345,0.0031905246544980154,0.14178413578452928,0.05477469608297635,13.255873680114746,9,0
14,112,4399.767191077071,2.3908589622186374,3.9999999999999996,1.5,3.6936576029800703,2.864544845065582,3.14121993371675,50.29712289751331,75.00000000000001,10.000000000000002,15.650167076209334,50.00000000000001,50.00000000000001,4399.767191077011,2.3908589622186374,3.9999999999999996,1.5,3.6936576029800703,2.864544845065582,3.14122003371675,50.297121694789695,75.00000000000001,10.000000000000002,15.650167076209334,50.00000000000001,50.00000000000001,484797.3625620083,97188.05638632178,250.88366624220794,71785.59613620138,0.000250643477664568,0.0031905246549277498,0.1417841358589694,0.05477469600843833,13.255873680114746,9,0
