Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
16,108,79.45163890838181,2.8029591669390808,2.6347678919165536,3.243838735840603,3.7652764924248254,3.8125802906369994,2.04523785611689,3.246271719216269,2.646088917637597,2.686692479548846,61.84652225730683,67.19988875662308,68.74972712871418,44.66450644648223,26.340790919827118,2.4838947189388807,23.588164202851992,29.49373723485831,43.07563794016094,79.45163747895245,2.8029591669390808,2.6347678919165536,3.243838735840603,3.765276797697439,3.812579911379834,2.045236549387666,3.246272904723077,2.646088935991445,2.686692479548846,61.84652225730683,67.19988875662308,68.74972712871418,44.6647207779817,26.340614889183357,2.4839172738651913,23.588179734041564,29.493737336648227,43.07563794016094,0.6345487818135608,8.802667866391458,4.277966303125292,2.2264144026560606,224.3269875049591,115.0,2185.0,68.15127453592682,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,70,71.1943848816062,2.2807738771904673,2.3962029781697574,3.6014891373510727,3.2576282531103278,3.3646312994242393,2.072253536110175,3.2103157831065188,2.787779578798992,2.1700884227395556,12.538560910137356,21.038977271696986,67.07926272291186,36.26924949720601,48.814687127866264,9.162514895288224,30.84935832265644,35.2083302924918,26.043047085212205,71.19438105917698,2.2807738771904673,2.3962029781697574,3.6014891373510727,3.257631823990532,3.364631664406411,2.072258210964051,3.2103141913491315,2.787778923552744,2.1700884227395556,12.538560910137356,21.038977271696986,67.07926272291186,36.26916000709685,48.81458276580942,9.162520052042069,30.849338135437044,35.20833607952072,26.043047085212205,0.1395674835302966,14.91681495179034,5.343345689154047,20.07256489372638,160.54515290260315,83.0,1577.0,53.53768540722977,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,102,57.41217250706487,3.2335567140033152,3.8980326413752326,3.9003522384941594,3.481136286686909,3.595864985751037,2.2196283531391066,3.426919794906647,2.5353938411406896,3.208620965839946,45.720614898056574,70.2017927359195,69.7176733161844,40.77206065720528,56.46708076186034,2.9011243622858047,28.579277051696003,20.938561405133733,32.69817579869139,57.41217079067282,3.2335567140033152,3.8980326413752326,3.9003522384941594,3.4811348442035506,3.595867355606554,2.219628538302568,3.426918738286152,2.535394638437608,3.208620965839946,45.720614898056574,70.2017927359195,69.7176733161844,40.772079362006906,56.4668875533153,2.901145937032858,28.579392761691253,20.938477808992964,32.69817579869139,0.15554999612156045,8.008376342654042,2.8321639184284093,5.702563717221411,211.1959114074707,109.0,2071.0,73.30938804511946,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,109,62.04603622089205,2.0430496105483957,3.8959404224353618,3.6542309423414645,3.5180969096790244,3.273019403216283,1.763469851540095,3.2689923997322405,2.7879652467092186,2.6894733053665867,71.10698635166888,47.83092169656021,67.12407898676987,54.85002765645354,53.71874566921284,8.59783100158885,20.57226810042579,30.05627112070252,25.000159810695166,62.04602123651135,2.0430496105483957,3.8959404224353618,3.6542309423414645,3.518105256042814,3.2730182821809617,1.7634680354625287,3.269003423740393,2.787960299225899,2.6894733053665867,71.10698635166888,47.83092169656021,67.12407898676987,54.85001450426749,53.718778294313374,8.597863122375633,20.57228864336515,30.056279099557784,25.000159810695166,0.021503009870606476,8.138429578565495,9.409080691511466,7.215774441839239,249.758207321167,135.0,2565.0,40.334026112443375,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,100,56.05382831000389,2.278552694501517,3.614782577419047,2.795353673971067,3.451238427796637,3.4465921227437017,2.1225467718056983,3.011112406249681,2.9084376501853932,3.7666121824116194,50.53869345861459,58.81125821177693,32.67839222855977,27.187283164689156,51.75341278903356,2.5057742555896274,29.47397383232876,34.63333181732975,36.759350207319265,56.05382779626784,2.278552694501517,3.614782577419047,2.795353673971067,3.451238352954558,3.4465932817670337,2.1225469621713584,3.011112366057962,2.90843715992142,3.7666121824116194,50.53869345861459,58.81125821177693,32.67839222855977,27.187275041718905,51.75340022191478,2.5057635767822335,29.47395108804041,34.63332355045822,36.759350207319265,0.9303426265019072,4.803793427483196,4.9879649091974985,15.754113147198165,199.575040102005,109.0,2071.0,54.89304556354916,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,136,68.10029276731004,2.9831463185606766,2.1067250902341605,3.1482352109840264,3.103583015831481,3.3514068421259093,2.1971072260094577,3.0103946039275176,2.93036894642078,3.38880031545549,36.92165251924868,13.246974831495667,44.833266384508256,44.00560715993743,41.01997945675018,5.673166051272643,36.857763633887345,35.4266861118154,19.81161464511831,68.10029276731004,2.9831463185606766,2.1067250902341605,3.1482352109840264,3.103583015831481,3.3514068421259093,2.1971072260094577,3.0103946039275176,2.93036894642078,3.38880031545549,36.92165251924868,13.246974831495667,44.833266384508256,44.00560715993743,41.01997945675018,5.673166051272643,36.857763633887345,35.4266861118154,19.81161464511831,0.26323519301320464,15.207969555969658,5.052180458628794,14.635666627104527,544.5198681354523,158.0,3002.0,22.798898658850696,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,210,66.80197883755403,3.239911436762759,3.6579617991003572,2.3135827892921683,3.5651437167205247,3.270976588228777,1.8253985531466586,3.1649357869590733,2.867361695520631,2.634724818644321,74.26005003680919,47.68343925097681,34.709176220530786,39.048115108014336,52.44646490759331,7.381356902600122,31.531785726099535,27.273159672614423,27.95294692699372,66.80197802694924,3.239911436762759,3.6579617991003572,2.3135827892921683,3.5651448690154512,3.2709751460328977,1.8254005483775726,3.1649343323834818,2.8673631038357037,2.634724818644321,74.26005003680919,47.68343925097681,34.709176220530786,39.0480746304716,52.446498321633655,7.381397308615279,31.531803052799294,27.273167162421515,27.95294692699372,2.486028974677958,8.389962682755892,11.084800568146084,4.270065722437058,827.9739768505096,220.0,4180.0,33.14724220623501,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,99,104.30843473500352,2.22949194590675,3.8989785174141423,2.8998242669598806,3.2410152620626236,3.122301280095713,2.0718499961780754,3.088431205130273,2.8828138744780496,2.0057406540623175,50.11441938534706,31.23191861518626,44.258776646744614,57.60207437196934,48.44921284223266,8.577734559570061,37.19856554057579,29.044048765945693,47.530303181031655,104.30843082031285,2.22949194590675,3.8989785174141423,2.8998242669598806,3.2410112307292405,3.122306378790997,2.07183400195735,3.0884382330602977,2.8828128901799626,2.0057406540623175,50.11441938534706,31.23191861518626,44.258776646744614,57.60151288297769,48.44962623733667,8.577669972741683,37.19827111992587,29.04418037792227,47.530303181031655,0.35351223182077907,2.157382564823873,3.67475986242568,21.559651986037004,195.94970035552979,103.0,1957.0,26.94435048410584,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,90,50.95477419571904,2.0891037570895232,2.2149882582121854,2.451418677215709,3.6780958177719825,3.2929457733139866,1.8653090770933456,3.2279379931899594,2.7770336226613734,3.1362009238398842,23.214060252964387,26.401173397071027,58.34868051488105,38.94363677671466,55.04251587744964,3.2330142256291663,35.33672617357537,21.442547542788063,32.28193999940555,50.95477371500493,2.0891037570895232,2.2149882582121854,2.451418677215709,3.6780965479716157,3.2929459431978514,1.8653093496910775,3.227938113154658,2.777033436284193,3.1362009238398842,23.214060252964387,26.401173397071027,58.34868051488105,38.94363123808483,55.042508068500126,3.2330094893754833,35.33672997546606,21.442536650457633,32.28193999940555,0.20413207235920183,5.197197943572072,6.497248230790461,4.779831196878471,221.07401180267334,113.0,2147.0,145.6956390443201,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,122,49.224315314259194,3.6528139952586827,3.7082308876730776,2.1974868036406963,3.782318085203771,3.6584961498633053,1.9449627974663968,2.5926592825798638,3.1060222907896784,3.5404774691099594,57.56235904806927,26.880395564392956,26.70950442343954,34.42292669940326,37.88159002154518,2.231363793692786,26.291553080950298,27.732166885843235,49.66651242683443,49.22431434723551,3.6528139952586827,3.7082308876730776,2.1974868036406963,3.782317241978203,3.658496284732176,1.9449624685022362,2.592659358251132,3.106021766064859,3.5404774691099594,57.56235904806927,26.880395564392956,26.70950442343954,34.42293621263962,37.881594903165634,2.231360863077915,26.291542791976454,27.73216015836925,49.66651242683443,0.39506502517396924,5.22170241540922,2.443238374301817,7.815343796124726,277.6098253726959,142.0,2698.0,86.92864375166533,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
