Run,Iter,Min Obj,sigma_C_min,sigma_Hc_min,sigma_H1_min,sigma_H2_min,sigma_H3_min,sigma_F_min,epsilon_C_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H2_min,epsilon_H3_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H2_cum,sigma_H3_cum,sigma_F_cum,epsilon_C_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_H3_cum,epsilon_F_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
2,99,75.7602573593255,3.5046163560046923,2.047783373302586,2.015309298411773,2.262221684179213,2.75955908669972,3.197421502778903,53.7501105001512,7.942440364417337,12.340206214009092,6.428136493147127,5.518871048761555,21.87399484248085,75.76025733824558,3.5046163274552136,2.047783434506224,2.015309298411773,2.262221684179213,2.75955908669972,3.1974214865356068,53.75010963944207,7.942441263463261,12.340206214009092,6.428136493147127,5.518871048761555,21.873995436944096,0.1554411724075505,0.6043364671615433,8.092995688751193,21.947966440273674,125.29038381576538,106.0,1378.0,326.6393107736033,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,85,75.77846676128763,3.5093970774464065,2.052840150752476,2.4618791674237537,1.745744406266549,1.9474797896812328,3.1943518183554485,53.28501555287906,7.961385438982556,4.247641741174593,13.488073153757616,8.847962302567359,21.9720650279882,75.77844928866537,3.5093894663835195,2.0528435050585294,2.4618791674237537,1.745744406266549,1.9474797896812328,3.194353129634941,53.285467408282365,7.961424165036691,4.247641741174593,13.488073153757616,8.847962302567359,21.971965752672315,0.1378537174888404,0.5864640406174659,8.172775971183146,21.70958856389926,108.77924394607544,96.0,1248.0,113.46130206945554,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,98,75.78550622131593,3.5136491202331985,2.039381093630335,2.740643042715047,2.653777326460924,2.002029162546028,3.195618660019837,53.29771043458102,7.910822952294416,11.991844210554412,4.973505822644641,13.83209268388328,21.88234488242835,75.78539420938617,3.513659453002216,2.039386821450837,2.740643042715047,2.653777326460924,2.002029162546028,3.195622876051877,53.2979953199334,7.91084403755133,11.991844210554412,4.973505822644641,13.83209268388328,21.882487716348923,0.1562870408422712,0.6546296450013795,8.221256004449423,21.43149413337721,156.34749579429626,139.0,1807.0,50.1969979571898,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
5,73,75.78960150286035,3.510840668992695,2.032836968804709,2.671839215019768,2.113238278915764,2.104041539245592,3.197270515389119,53.385234740416,7.9710932638104355,7.999493911884602,14.972939034789976,7.568683128129336,21.88737125158049,75.7894778531628,3.5115370400336703,2.034706424545775,2.671839215019768,2.113238278915764,2.104041539245592,3.1964935663997944,53.36331185719831,7.983816970793162,7.999493911884602,14.972939034789976,7.568683128129336,21.86309087743564,0.1810139694228577,0.5937381143701307,8.147973498007739,21.541239138079007,94.13488459587096,80.0,1040.0,35.734617269325824,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,68,75.791322184676,3.4984591150518582,2.0393628072472483,2.447087044116828,2.563468452897881,2.787436735222919,3.2003135122794046,53.83055201363037,7.893652370963346,5.696150329591234,7.19287782256053,10.409081583846808,22.06658280096238,75.79132152864892,3.498457091346144,2.039363561149792,2.447087044116828,2.563468452897881,2.787436735222919,3.200314257438648,53.83042483875949,7.893671035398101,5.696150329591234,7.19287782256053,10.409081583846808,22.066718246441383,0.1445973696539363,0.6611971087121382,8.452970353510803,21.703291541739485,82.15111422538757,73.0,949.0,493.2588684607869,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,88,75.79874492433015,3.496707710552448,2.036005552871443,1.90252146929659,1.676001686581683,2.93943687978222,3.202020980965901,54.13912467709508,7.959293196993706,10.362367903099374,2.8130116808587906,6.195225319901869,21.90748766177472,75.79874424824348,3.4967086008730623,2.035997555342747,1.90252146929659,1.676001686581683,2.93943687978222,3.202020122086968,54.13906056656483,7.959334688760414,10.362367903099374,2.8130116808587906,6.195225319901869,21.907458657554116,0.1763194920309419,0.5913003351243229,8.096063884185167,22.085972605205967,111.27978038787842,96.0,1248.0,412.250182076561,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,192,75.80508049334972,3.510605842454197,2.0396737121267914,1.52456369779913,2.7697986802974888,1.6773419802253762,3.196145078488402,53.16407816810871,7.926652454981218,5.296332288859959,12.996903783533622,6.237756981592332,22.048249987295275,75.80507967082204,3.510603051082666,2.039666306623933,1.52456369779913,2.7697986802974888,1.6773419802253762,3.196146340766336,53.164136500062845,7.926671795297485,5.296332288859959,12.996903783533622,6.237756981592332,22.048304160457768,0.1377311236250112,0.6251029207599729,8.29517513724694,21.364737421205422,246.5070915222168,216.0,2808.0,414.1500310862421,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,128,75.89794925586287,3.5271951646891813,2.042289602483439,2.096328016384446,1.649858075851915,2.282242227115734,3.1902525561329176,52.72774286318117,7.954160122925383,12.66884936171785,8.443017210613556,2.3784505783086787,21.753996332042348,75.89794921765268,3.527194666756835,2.042288071591582,2.096328016384446,1.649858075851915,2.282242227115734,3.190252719934603,52.72773114430545,7.954184320938638,12.66884936171785,8.443017210613556,2.3784505783086787,21.754003463516742,0.1701126411016058,0.6478303273930104,8.11036992443128,21.17441136102584,155.6361186504364,134.0,1742.0,70.79023003819167,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,83,75.91500675988087,3.5108767397113034,2.0496227673522225,1.82991996899651,2.958678875693368,2.427437511020878,3.1927591658815926,52.85121726897994,8.06973087099395,11.22207707272648,4.417059968754501,9.9677969880565,22.10654410937793,75.91500650188243,3.510873971459925,2.049630026850325,1.82991996899651,2.958678875693368,2.427437511020878,3.1927586513781265,52.85135886384988,8.069769114857573,11.22207707272648,4.417059968754501,9.9677969880565,22.10650555921024,0.1584856495731348,0.5130566203226171,8.164674375094403,21.64316057154694,126.05893206596376,105.0,1365.0,165.36274980015986,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,59,75.94996746912645,3.528563270641237,2.0635934805549896,1.62894122319925,1.7917536108737182,2.835892507655008,3.1855391572158736,52.78257520200938,8.08097513798186,8.345335572823906,2.771307899191766,8.45709213881735,21.54441081271898,75.94994539048645,3.5285581657655407,2.063598559669461,1.62894122319925,1.7917536108737182,2.835892507655008,3.1855392562066265,52.78254650600036,8.081005403611103,8.345335572823906,2.771307899191766,8.45709213881735,21.54455534594017,0.1998074200545654,0.5044690449142114,8.052213414353265,21.606878266130156,84.00143575668335,66.0,858.0,309.6006394884093,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
