Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
15,554,23901.853578949893,3.7740546892112734,3.4275291725482653,3.758556730441553,3.5419973795612503,3.3582930534419715,3.838830797549877,2.420645968574569,2.494867528875484,2.8321649338795267,2.9366789717273423,2.9309846956010284,44.68094179633097,45.69034746694066,40.90035108842895,43.47444425918107,35.50296534622791,37.90569113203375,10.349220818678328,48.96925784592908,43.47425886104144,19.238347113771265,26.975848905351054,23901.85355397232,3.7740535337683223,3.427528794202745,3.75855755304018,3.5419978401169496,3.3582942396219524,3.838829923875624,2.4206465473943712,2.4948677336681397,2.832165419045644,2.936678235267384,2.9309846638824726,44.680940261274735,45.69034526546948,40.90033144910925,43.47437662142635,35.50297125749933,37.9057273772428,10.349212160563956,48.969273467296766,43.47424670895797,19.23834443777224,26.975849288806774,1.0826040134307435,131.04042709989048,191.8076529134912,5.162624651609119,0.5135806334937867,106.3581592199311,75.48700926031613,0.7030947041242251,0.3136761810409275,2.9432399309034256,13.553666986834092,29.318412677452635,8.19689097290778,7.230386305882551,15.83479003822602,16.388131341574237,3.568621162562634,14.558588114726662,49.46317449292708,10.918927017733855,12.65547227108083,13.885944868419587,6.906320140002913,6.11669800983425,1.8673261318547387,5.374621105321022,17.585455757465702,11.819539760146672,27.582085032311188,2715.506275430371,1380.8617793220365,123.28011321934594,8788.201227903366,563.0,12949.0,11596.856843414158,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,524,23902.25700298645,3.773608067550252,3.427227392480689,3.758226209490496,3.536036451947244,3.3587487965515708,3.8346164434750407,2.420948561612997,2.496101020508388,2.829836232418244,2.941023474244315,2.9309743871723666,44.65695421593951,45.7065544462011,40.90741929769733,43.82535072765221,35.620105509682105,38.16880180841342,10.352263350665094,48.959491937959015,43.44033838824331,19.18611931745829,26.974927214337043,23902.25700298645,3.773608067550252,3.427227392480689,3.758226209490496,3.536036451947244,3.3587487965515708,3.8346164434750407,2.420948561612997,2.496101020508388,2.829836232418244,2.941023474244315,2.9309743871723666,44.65695421593951,45.7065544462011,40.90741929769733,43.82535072765221,35.620105509682105,38.16880180841342,10.352263350665094,48.959491937959015,43.44033838824331,19.18611931745829,26.974927214337043,1.0829967772016025,130.03248153297696,191.7637861567987,5.131686816056858,0.5892919404131355,108.17352938622052,76.92901152558166,0.6990228003808725,0.3188179328945672,2.988399054671755,13.826259433068238,29.05438832548726,8.072476621063887,7.549726645098722,15.548827543367038,16.93815021940854,3.475033660599052,14.868924236075795,47.37813214079492,11.176568689650846,12.418080383706304,14.784978411037992,6.972058869139661,6.454889979386856,1.500337385026362,5.239737172347217,18.26278533913985,11.168906220497815,27.41369479470808,2717.2369856135065,1381.9239578381964,123.28912691391548,10202.24922299385,547.0,12581.0,3681.597868371969,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,301,23902.33265806669,3.773382716814029,3.4297550435156365,3.756839636056299,3.5367736831061567,3.35291352143492,3.839663686408322,2.422471360159827,2.4877068531048088,2.831118367540768,2.9390954717112603,2.930804140584139,44.65930481107485,45.60796939047361,40.93764174228346,43.83131230519498,35.759173387717,37.77452671916878,10.344675947098386,48.94146075513294,43.49560947995512,19.291522194106943,26.96383582411097,23902.332445159824,3.7733625067366754,3.4297573972450413,3.756798337790568,3.5367885031413127,3.352879401224672,3.839681565618197,2.422477720492373,2.4877229750253025,2.831097999933692,2.939105109333971,2.930802438948209,44.65980939602855,45.607932870912514,40.93852779805952,43.83127624827399,35.75985396239001,37.77603797675034,10.344619948067908,48.94146911756223,43.49566549455016,19.29058263481522,26.96385564109446,1.0890217300802796,131.442342636899,194.8916349065644,5.181908327934766,0.4902433846205494,108.27484978686238,76.94149324674713,0.6988985836206584,0.2914592688683337,2.911266329280493,13.516928492054731,29.31854423796345,8.102924859304807,7.262651884628877,15.667447836973205,16.77457974000636,3.339542280479268,14.707172794430946,47.2334207636021,10.94595263431432,12.636161157698677,15.338812690930576,7.25650817526846,6.417967694517115,1.571417359433083,5.473469836714028,17.84561295861496,11.50459475509076,27.60776508220132,2721.4587600128098,1384.818009237038,124.47376350522288,4706.652341127396,301.0,6923.0,2209.708144595435,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,653,23902.3686942652,3.774304274391266,3.4282024929455117,3.754626005304044,3.5399962652754886,3.3684986315062,3.837604981153451,2.420704446043675,2.4963799337609203,2.831416686634645,2.93774455975283,2.930890557660756,44.6790924409725,45.666593396774985,40.9753631658255,43.53301909666176,35.06570191002626,38.24416336035276,10.349654948611938,48.97560518092986,43.47750965693062,19.089889968410997,26.969702482076944,23902.3686942652,3.774304274391266,3.4282024929455117,3.754626005304044,3.5399962652754886,3.3684986315062,3.837604981153451,2.420704446043675,2.4963799337609203,2.831416686634645,2.93774455975283,2.930890557660756,44.6790924409725,45.666593396774985,40.9753631658255,43.53301909666176,35.06570191002626,38.24416336035276,10.349654948611938,48.97560518092986,43.47750965693062,19.089889968410997,26.969702482076944,1.0804330323282283,128.07863534555483,193.28045778942288,5.108781160087706,0.5249527798067564,105.42557166179851,74.85353829545616,0.7021093517307156,0.3038902078429916,2.9422716684339587,13.469929428257856,29.374230931588816,7.3401663672124515,7.064814689850897,16.6206167530235,16.83548157643913,3.5164893272970943,15.116035023075009,50.07955832358692,10.715506328348772,12.68465941730105,14.147788714040727,6.87874039731331,6.000815836542667,1.921282259258419,5.563112493257651,18.918954261662694,11.370385278157691,27.18297903674109,2720.264160095764,1385.6754025782154,123.60364957079844,10216.602982521055,654.0,15042.0,6634.363122835065,1.0,STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT
11,316,23902.63594038044,3.7801738193633314,3.428450343592104,3.7596657773701,3.5377514511647066,3.371381784629966,3.8364176124644818,2.4209448361457677,2.4947872776612283,2.8327489719471712,2.937314002058816,2.930862124239364,44.57564290524794,45.64148634304867,40.86447047460312,43.62999731343579,34.91932109996187,38.22816146251291,10.35321780081059,49.01105762831682,43.49937446102588,19.116575930829896,26.97412557580866,23902.635751971917,3.780169393788298,3.4284501021859843,3.759666380535263,3.53775427158982,3.371381300274776,3.836422115896868,2.420945896642727,2.4947819540110707,2.8327458603478988,2.937311474425969,2.930861985117006,44.57561494275488,45.64148019206307,40.8644470325014,43.62996556636445,34.91932537827683,38.22814555111293,10.353194994753766,49.01104698567945,43.49942723954514,19.1165336806897,26.974135246680707,1.083775589864306,129.23545857267536,193.05929460780695,5.131526885638719,0.4832667033897834,105.7507047209466,75.03315651415063,0.7041598521392718,0.171744943016168,3.3492120090122413,14.067810308604,26.582854118312216,8.54914026734332,7.300633361800514,15.72571327693717,16.120086737857157,3.4106154408827027,15.010014137294608,49.93364859448476,10.61177799166553,12.920035770228358,15.013940560423023,7.362898353250126,5.996169573982339,1.8078447489440013,5.203552322073932,18.023777765443786,11.469785627303525,27.33015531045937,2712.717875662476,1379.9278914220715,122.97030870113775,5121.152795314789,321.0,7383.0,7290.872724042988,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,495,23904.023808046823,3.775589249456999,3.42833844387464,3.756646348382704,3.537771910045266,3.3332686614461493,3.839324215826696,2.421106520828152,2.493819497209453,2.832803833973632,2.938106914195268,2.930891084960084,44.65281386557522,45.65344672525209,40.94028106297301,43.73128774359593,36.63531524959103,37.83769483753231,10.349460540501896,48.986032229383135,43.4638412493216,19.26663671428529,26.97027751900917,23904.02362157452,3.775591722388016,3.4283374066470413,3.7566416691546944,3.537767124074826,3.3332657406057544,3.8393195121873984,2.4211060655436865,2.49382495938664,2.832802018876984,2.938108644214747,2.9308912934020266,44.652733123835496,45.653452188052654,40.94037006512194,43.73134277063249,36.63546870412005,37.83762509790439,10.349472999987732,48.986142671086256,43.46395194206363,19.26679778621664,26.970307785667377,1.0720025705004614,125.41279379012587,193.5403976309016,5.077436640410518,0.4855237893781979,111.2167591320833,78.8490110747228,0.711214391371007,0.2458838651115515,3.011407065874871,13.55315620418355,28.76955851125188,7.785404412615626,7.323860033328554,15.917412699772957,16.925953435976055,3.546108428462904,15.129339962479513,46.95624243558018,11.100846518829268,12.659386127082923,14.695449937106895,6.964738594132551,6.442969876106787,1.751119915438621,5.426803108106325,17.76623310792587,11.698608113073856,27.42687477392141,2716.3607626297767,1382.229833345864,123.43902383620149,9790.45925307274,520.0,11960.0,10404.873185895727,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,397,23904.3873794287,3.773418145509389,3.429034530839054,3.7541854600113806,3.5442319998778475,3.368614077038753,3.8377088391023984,2.422190972781158,2.4880109205698235,2.830896828398627,2.937517445038644,2.930797699122436,44.63937052190888,45.6396083839787,40.98169376184649,43.25408805228862,35.044375733226346,38.440781584191285,10.345003198017976,48.95043624768781,43.44571375305871,19.00002920743253,26.96430193965977,23904.387085172853,3.773419631481452,3.4290344272333058,3.754186182789978,3.544239294884408,3.3686167798480757,3.837716048115349,2.422192673840472,2.4880094792050373,2.830901448944624,2.937516823810577,2.930797771702249,44.6393437937829,45.63963084712292,40.981664024748575,43.25392013970152,35.04436104672672,38.44054350412453,10.345015102253706,48.95036117681106,43.445790797227,19.00000203409584,26.964300655270065,1.0885705946402275,129.3598301765416,194.4876266668793,5.1224190912773295,0.5097447451289802,113.95412463036293,80.92456614907545,0.7084390603873099,0.2843472029747681,3.081381801826307,14.161278436730456,28.387277149622133,7.560256369777917,6.929865243094293,16.567910400982917,16.6299531125745,3.563864869991159,15.55406520401231,51.26756106716357,10.446530967721944,12.67809675490153,14.023935097085095,7.076241175409513,5.401113177717201,1.970000045577568,5.247457949853362,18.399128605217115,11.553121646425488,27.84538732687995,2710.380132302508,1377.439476497794,123.69906210500676,13356.78581738472,407.0,9361.0,11819.46474820144,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,343,23910.585044445703,3.775187003791827,3.4275203317024925,3.76170058957636,3.54288271886251,3.40668551784948,3.83721921484465,2.422137536778983,2.496289773728591,2.829754550644228,2.936165928760557,2.9309971045288874,44.56232995553881,45.68524759076443,40.782457256856034,43.41916384697993,33.50038956545475,37.98666707300235,10.362376010445468,48.95008911834481,43.47944886469699,19.231980994557347,26.978709734960702,23910.58504431725,3.775186783108464,3.427520294998778,3.7617005979896594,3.542882519096945,3.406685210007599,3.8372196925021167,2.422137556191917,2.496289662502846,2.829754509595259,2.9361659323814697,2.93099707316754,44.562326356734815,45.68524776973526,40.78245225784072,43.419195315347565,33.500402150314585,37.986619859683096,10.362377385646662,48.95008344151991,43.47944682285294,19.23199583532514,26.97870974085622,1.0853755281147504,132.700455235716,191.40424476043995,5.193498137697644,0.570396781956839,104.36954063832232,74.4089104475413,0.7035248613792039,0.2334402624867339,3.1910234517892,14.203693511643532,27.984563047697083,9.444467951456597,7.315972978394167,15.734586055545105,15.24749341076299,3.357427632599335,13.976734781341705,51.4141295877936,10.481390956762198,12.636024547518105,14.570626081615524,7.220833182676826,6.119651721834995,1.784423296458594,5.069530493868877,17.117069354559888,11.810741674295748,27.04181550659128,2727.6420865934515,1386.900393732514,123.633738034349,6515.793742179871,346.0,7958.0,10939.29222843947,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,361,23910.610972393988,3.773212019184105,3.427849877414199,3.7581325952991698,3.542378783033164,3.320792903426322,3.831229578566304,2.422556549089354,2.492748699442667,2.8339000909426715,2.938540951091293,2.9309391315535374,44.55567841729976,45.67780182531514,40.85114719032608,43.19788241645831,37.0620251934978,38.792717039367446,10.364899056490874,48.94945079148714,43.47224036410698,18.97307958857144,26.972228043870235,23910.610923367065,3.773212796089194,3.4278497603844125,3.7581337419993655,3.5423791714271946,3.320787576032372,3.8312287911609935,2.4225557955983983,2.4927495409125418,2.833901137714862,2.93854325534335,2.9309392534865504,44.55574226578459,45.67778641909839,40.85117743158212,43.19791329930505,37.06225734283036,38.7927907330044,10.364887493677235,48.94949241599363,43.472286610464224,18.97306371694213,26.972242612048337,1.076337180377612,127.63999866553718,192.7208735675784,5.10778921700894,0.4613558332894711,110.04065752576028,78.20312283389595,0.7152613563857071,0.2847266844295577,3.2069793847300154,14.46108790845555,28.28700567696185,8.580323477782994,7.373960227153025,16.077321901475397,16.064364605694955,3.7848425487931383,17.668217658308684,49.31939762523156,10.615983643476827,12.593052959158817,14.234071836779838,7.551456452524175,5.308038797178489,1.92902016837777,4.295617365564103,16.73312262122542,12.018825204119157,27.457733621456164,2710.348317955864,1374.300160356104,122.67936635937062,11959.097963809969,368.0,8464.0,8675.341824318322,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,460,23910.760140012604,3.773082967703543,3.426194947579144,3.75932859710726,3.540206928068251,3.4083018996482584,3.833182752185813,2.4194407692695488,2.500679804310275,2.830344420659112,2.936646597083423,2.93107617708354,44.71717103077385,45.74215195340364,40.88485688259895,43.411067132092754,33.47955310394766,38.36120260630312,10.351104518347164,49.0149805086629,43.4237887241569,19.12773110694376,26.983207058253875,23910.75828903364,3.773076182427515,3.4261890987265864,3.75931022270106,3.540178223634526,3.408322988481202,3.833166744998588,2.4194591654663373,2.5006754065825647,2.830358981090193,2.936674125482999,2.93107012418946,44.71735061881336,45.74215012943579,40.8848699164036,43.4108711631011,33.47965607339866,38.36118254400652,10.351098309516102,49.015116526511065,43.42392576268019,19.127878685752183,26.983216068252013,1.0857116597865388,132.81234508277947,189.8622421663204,5.173729205233868,0.6159210533456085,107.93509036918978,76.62528931520029,0.7029467629008098,0.4014756231057855,2.89479489400989,13.500414409428814,29.89915450113065,8.185543334852161,7.155299746975944,16.0340878271118,16.13269213398612,3.4922024911190475,14.315443441167757,51.758424153294285,10.573791504857866,12.850622559243709,14.066950149724148,7.282939638132299,5.860816649138556,2.065595978528024,4.99288867761222,17.385425685713393,12.020481972951885,27.38670140976231,2705.708365367007,1376.549684020953,122.18908891161529,14045.478806495668,468.0,10764.0,5163.964970246026,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
