,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
29,R125,309,3,1149.6412431900003,112.8397736823,12.676169529751904,17.48266705863,48757.84271299999,12273.74357502,105.61714322406186,344.57215894448393,574.0048557967132
30,R134,240,1,1498.40151703,1.9923631691900001,27.918906254557502,0.37974268340000006,27434.8957479,5493.34455963,273.63187284006614,422.6317647699347,472.0822325907907
31,R134,240,2,1499.01946313,86.56525268886999,,0.6668047491874941,29591.442638800003,1324.1764017634,,422.6317647699347,472.0822325907907
32,R134,240,3,1496.8817449300002,31.0296571406,,0.59082902563446,30244.519266500003,531.63014349,,422.6317647699347,472.0822325907907
33,R134,260,1,1439.21828672,3.9006158995000004,,0.8258585194569001,32495.0378412,60.82893678209998,,422.6317647699347,472.0822325907907
34,R134,260,2,1439.10753921,3.3802894633100005,26.572631933131476,0.695764808958,30099.2043384,4067.4440580599994,260.4371022222824,422.6317647699347,472.0822325907907
35,R134,260,3,1441.00915669,3.4761329084699994,,0.7463895900117501,32475.0049804,56.42642602950001,,422.6317647699347,472.0822325907907
36,R134,280,1,1380.3137948899998,8.55212239485,25.05460073976291,1.8473792448160002,31200.302169200004,5070.23134777,245.5589506685025,422.6317647699347,472.0822325907907
37,R134,280,2,1380.0490337899998,7.90271015962,25.107603968549974,1.7102966661309997,31435.0196163,4682.61642689,246.07843279388865,422.6317647699347,472.0822325907907
38,R134,280,3,1380.00695875,7.62542443042,25.113659353678283,1.656706961783,31539.045464100003,4515.20018496,246.13778133563736,422.6317647699347,472.0822325907907
39,R134,300,1,1314.25107379,15.785559607899998,23.447448679367213,3.5364172108400003,33058.8628093,5020.134242789999,229.8073297341022,422.6317647699347,472.0822325907907
40,R134,300,2,1314.62842901,16.61672617332,23.375854198455787,3.7030386557799995,32886.658194999996,5288.125669599999,229.1056356305373,422.6317647699347,472.0822325907907
41,R134,300,3,1315.85839969,16.482489171,23.411134928791594,3.6955570987900006,32905.7295793,5249.85725531,229.45142039119125,422.6317647699347,472.0822325907907
42,R134,320,1,1243.28918057,30.7601537725,21.47519586399867,7.00215166717,34576.0882261,5506.09871035,210.47737365835908,422.6317647699347,472.0822325907907
43,R134,320,2,1247.0985295,32.0417802292,21.466138804617525,7.211752483730001,34373.041277000004,5710.24408811,210.38860584996826,422.6317647699347,472.0822325907907
44,R134,320,3,1246.7592074200002,32.5811996011,21.422004749412263,7.33473037281,34291.410501499995,5848.3899439,209.95605007318628,422.6317647699347,472.0822325907907
45,R134a,240,1,1436.7537123,3.9305311513500003,23.142398773757634,0.7425328386260001,-1427.554202838873,3426.25455436,226.81755011234475,376.4782743045601,520.3530960404769
46,R134a,240,2,1436.74597451,4.0425221668799995,23.15564662879516,0.763312627241,-1423.0088352516898,3524.7635315499997,226.94739170971894,376.4782743045601,520.3530960404769
47,R134a,240,3,1436.65480561,3.9567907084100007,23.137671881773603,0.749587432829,-1420.965216660272,3450.3250221000003,226.77122206874196,376.4782743045601,520.3530960404769
48,R134a,260,1,1370.5277489799998,8.95695247584,21.73719998692415,1.7871137331999998,-55.13834665181469,3482.20301897,213.04526361057432,376.4782743045601,520.3530960404769
49,R134a,260,2,1373.2353391699999,9.024204230610001,21.765596632754693,1.80067277641,-79.47312909791813,3506.21228333,213.32357778628526,376.4782743045601,520.3530960404769
50,R134a,260,3,1372.84938507,8.95182920298,21.75652851449989,1.78690883684,-68.80172959245829,3480.92756483,213.2347015903995,376.4782743045601,520.3530960404769
51,R134a,280,1,1303.92571675,18.7599687609,20.199621753456057,3.8626207244799997,1377.18289621277,3680.80342783,197.97553244611245,376.4782743045601,520.3530960404769
