,molecule,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mapd_liq_density,mapd_vap_density,mapd_Pvap,mapd_Hvap,mapd_Tc,mapd_rhoc
0,R116,6055.310124834667,40.322204839691985,0.5270816942411164,18.28477162306469,2.900655199380448,425.525031116505,5.499590706786326,13.044831459115382,12.673626783654178,4.490555657160463,0.5812138685083839,3.3633760635170598
1,R125,6200.287445909892,421.45750160089756,5.1351016040896225,335.40130834838175,331.8404979419583,31.818991240158795,5.998900063811461,28.969180843540997,24.764206871912403,14.537857625429456,5.367262736041064,0.9863319628101419
2,R134,,,,,,,,,,,,
3,R134a,338.74502198590733,6.56424434430596,0.12099849767421178,64.6529336324428,39.27728457740766,16.95884451058185,1.4542511360157095,6.785668629176307,5.282404209066083,4.285042530787848,1.6747706397772744,0.8044758283235488
4,R14,310.7327027910146,13.144078254302523,0.020255870037531258,2.6217769279241603,5.295010767264395,99.51739793011227,1.2408968984735451,3.5672210043242627,2.4683826532792765,1.3475029809078665,1.0114232514631532,1.5944466710923928
5,R143,46791.67238432111,2272.9678623047703,125.82886345893682,,4185.2789035561855,159.80096595985273,21.06173611224016,74.53652069430781,69.36704945483885,,15.052054807604131,2.6953604863951286
6,R143a,821.3521443707043,84.90529731881347,3.948667562494174,20.06086927627323,43.56884904917225,25.740871393661475,2.795644369159058,16.71931772511755,16.689554558219697,2.438870739409564,1.9083700556464929,1.1771568989571135
7,R152,,,,,,,,,,,,
8,R161,4324.87306517572,4.981684241791564,0.5870264240159697,2211.781979088103,213.4164346330385,146.71323337469943,8.567262605136714,22.79395626561238,20.597957431616585,12.179443289115985,3.8930791121510766,4.010769477978005
9,R170,277.6967264266611,6.740440111029381,4.240916019137649,400.72482579423115,7.641663768610928,51.01133219684388,3.5598385329554914,5.2454132354711485,7.5625214790439585,5.366511760790118,0.9053903554321235,3.464071101441039
10,R32,2017.8361990458102,259.10191625248876,10.668388376863026,138.85418782787104,84.41439617423555,842.037105337952,3.7978917639668466,22.99937313933235,16.850200090181293,3.565760736187572,2.614979576285352,6.75217463333749
11,R41,1594.8959295412371,305.18765727495156,30.71045484681631,484.0804945044132,184.45062801989704,270.0976635953276,4.87845185930684,32.777191865262736,25.31593335181518,5.1812661459747815,4.280528296111674,5.192457825987252
12,R50,9.934292751566176,0.5131249192662389,0.5244388425576553,462.17674121852014,3.7289648245772087,1.8457592520343484,0.8277466228871615,2.8338227883995692,3.307861003165992,5.172146465943654,1.0133355598265308,0.8352312962678857
