Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,60,49.935808831026186,2.834044009405148,3.6638937701607044,2.0002287496346898,2.604665145263679,2.293511781634226,2.5092552446728824,2.3725204227553416,2.691121454086095,2.79353494846134,3.0776334680067134,37.24764343621417,59.851192812067666,23.289396232548636,67.07763336541147,11.780193557865202,5.045143101185999,29.605668082849444,34.55414399560131,19.91354285083318,21.93355211797076,49.93579452618958,2.834044009405148,3.663895501260984,2.0002287496346898,2.604665145263679,2.293511781634226,2.509255689333554,2.3725204227553416,2.691121454086095,2.79353494846134,3.0776334680067134,37.24764343621417,59.85118285036461,23.289396232548636,67.07763336541147,11.780193557865202,5.045129948293508,29.605668082849444,34.55414399560131,19.91354285083318,21.93355211797076,0.898239868269732,3.2780105015848813,6.106317191955923,20.903315527042864,134.05837106704712,79.0,1659.0,1240.6306216575783,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,55,60.177975474443,3.6014891373510727,3.7520500135975707,2.6268483563184852,3.3846452313386277,3.752778304592076,2.395042361629509,2.1700884227395556,2.0781095664657645,2.3396608391291376,3.756285006858826,16.392544199148258,50.071842279770884,72.26281945978263,44.65574352324612,54.97201240678078,7.0817716151506085,39.02753246885543,44.211898516408056,15.640089707046714,41.25505102307387,60.177016453816535,3.6014891373510727,3.75206094490242,2.6268483563184852,3.3846452313386277,3.752778304592076,2.3950479459340848,2.1700884227395556,2.0781095664657645,2.3396608391291376,3.756285006858826,16.392544199148258,50.072092294051544,72.26281945978263,44.65574352324612,54.97201240678078,7.081753407882639,39.02753246885543,44.211898516408056,15.640089707046714,41.25505102307387,1.5196977291212095,3.516548261996892,5.397399713990115,18.777352146865933,161.9630753993988,97.0,2037.0,527.2643041122658,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
5,76,55.59346107653847,3.7666121824116194,3.7391963789094107,3.5018848680546744,2.697796683955685,2.5398557835300517,2.4110711180794837,2.8561823797425894,3.9296800942967707,3.326882995636896,3.2433914404182436,17.45848824196939,52.36270627371468,39.24428867619614,47.595324935163575,36.52889217948328,6.436693943152946,46.61828321967889,35.07878203353001,15.100461446090565,36.60007197672534,55.59344664588212,3.7666121824116194,3.7392048726217766,3.5018848680546744,2.697796683955685,2.5398557835300517,2.4110681115379897,2.8561823797425894,3.9296800942967707,3.326882995636896,3.2433914404182436,17.45848824196939,52.362714410964706,39.24428867619614,47.595324935163575,36.52889217948328,6.436636779502613,46.61828321967889,35.07878203353001,15.100461446090565,36.60007197672534,1.3112106531858525,4.177146757983529,5.7487926147761925,18.665547217625427,157.32561135292053,95.0,1995.0,1209.082950936678,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,47,52.9524224094079,3.9003522384941594,3.7229467135765937,3.831212699532549,3.2831324178926744,2.7800154282824923,2.4377831330965276,3.208620965839946,3.099095843017125,3.8523628534129073,3.837466871267212,35.666914840031076,53.87182154518136,21.307118334230186,18.21141876357643,18.78014527303754,6.098584033418733,15.75336818459693,48.17895739261884,43.94904149097564,15.525664325974283,52.95225714721861,3.9003522384941594,3.7229461532676975,3.831212699532549,3.2831324178926744,2.7800154282824923,2.4377958239936808,3.208620965839946,3.099095843017125,3.8523628534129073,3.837466871267212,35.666914840031076,53.87181112319765,21.307118334230186,18.21141876357643,18.78014527303754,6.098580817995982,15.75336818459693,48.17895739261884,43.94904149097564,15.525664325974283,1.5195243480829113,3.9993223666833875,5.477044529060715,18.88121478041596,105.5211443901062,63.0,1323.0,390.64066080468956,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,86,60.20579658589688,2.0397602676795907,3.748976612887362,2.056612976041589,2.4924221352060916,3.720055897365776,2.3992172092987474,3.1056439573715315,3.684061784719211,2.248346630239822,2.558367358022279,48.074352644788725,49.99668751798732,46.46696425162116,11.212073809241298,62.04112372424007,7.122438203200838,43.24868184665728,28.575122542246014,45.22396490958001,41.149257495801464,60.20579348270307,2.0397602676795907,3.74897431971715,2.056612976041589,2.4924221352060916,3.720055897365776,2.399216232181175,3.1056439573715315,3.684061784719211,2.248346630239822,2.558367358022279,48.074352644788725,49.996723380319686,46.46696425162116,11.212073809241298,62.04112372424007,7.122448353234658,43.24868184665728,28.575122542246014,45.22396490958001,41.149257495801464,1.4972904665399842,3.2627846125010995,5.557881549650944,18.894350389784346,185.57361793518066,109.0,2289.0,678.3272874982853,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,37,49.8866041574326,3.6237173954410795,3.6650239643751634,3.376826504771886,3.138988825490751,2.321942873631217,2.5091682148968437,2.6903441023104295,2.450079915628169,3.1850237375315933,2.6245396754038337,69.55986097544282,60.11009900075369,26.712689095842755,17.2079345483619,22.54257758124234,4.971694574952875,40.50049837911087,22.286805344307705,23.681174543203078,44.808515622772845,49.885878876727034,3.6237173954410795,3.6650146890912243,3.376826504771886,3.138988825490751,2.321942873631217,2.5088639715952166,2.6903441023104295,2.450079915628169,3.1850237375315933,2.6245396754038337,69.55986097544282,60.11161164243145,26.712689095842755,17.2079345483619,22.54257758124234,4.971112155316594,40.50049837911087,22.286805344307705,23.681174543203078,44.808515622772845,0.9469505761577006,3.5462292942563627,6.075631175734262,20.512588852122562,72.39365148544312,43.0,903.0,494.53866119178696,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,66,53.87639238029842,3.1124804679808378,3.615715584226335,2.119835379024423,2.2426869114814747,2.0891037570895232,2.5554363563315547,2.451418677215709,3.425977960765353,3.1194339641082847,2.0251119603182315,14.678328179816642,67.02556310295232,46.92653002479624,23.214060252964387,26.401173397071027,3.9625752948909976,21.84003183882616,35.34756245456402,48.95069961809094,44.63900805215124,53.8762063239129,3.1124804679808378,3.615726091862754,2.119835379024423,2.2426869114814747,2.0891037570895232,2.5554468647660133,2.451418677215709,3.425977960765353,3.1194339641082847,2.0251119603182315,14.678328179816642,67.02602613429391,46.92653002479624,23.214060252964387,26.401173397071027,3.962577575591114,21.84003183882616,35.34756245456402,48.95069961809094,44.63900805215124,0.07193069499482209,2.5019666895367054,9.000159265870806,21.939934343694055,170.19366431236267,101.0,2121.0,449.66174615862866,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,33,52.38402706163346,3.7332165483330257,3.7238216171429324,3.6528139952586827,3.7082308876730776,2.1974868036406963,2.4313551898204855,3.407033976305306,3.220481625293259,3.5992305234720554,2.0691424397432683,60.0655177460737,54.9711217231712,26.880395564392956,26.70950442343954,51.099715632958315,5.783897902657921,42.88060373025507,30.615118120121007,42.39622951744602,49.66651242683443,52.38392586266849,3.7332165483330257,3.723818543977395,3.6528139952586827,3.7082308876730776,2.1974868036406963,2.431348862244752,3.407033976305306,3.220481625293259,3.5992305234720554,2.0691424397432683,60.0655177460737,54.97162213779457,26.880395564392956,26.70950442343954,51.099715632958315,5.783850988125611,42.88060373025507,30.615118120121007,42.39622951744602,49.66651242683443,1.1198047190392766,4.495526429355659,5.8988355523959,18.776416453421785,100.85748147964478,60.0,1260.0,832.1766409094946,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,93,49.59173029091245,3.977722177812989,3.652451940922206,2.56088798412881,3.578558656902977,2.206452013155284,2.520566862772855,3.817191006186191,2.5872282967473588,2.5755506771726973,2.2600571442365553,11.258852261569311,61.41986342767798,23.755827540003843,27.260532859194708,41.952255353222,4.786980274428375,35.09411619222046,20.135500121703355,35.62569379161495,39.4915426007326,49.59161101986727,3.977722177812989,3.652457397355202,2.56088798412881,3.578558656902977,2.206452013155284,2.520556228095491,3.817191006186191,2.5872282967473588,2.5755506771726973,2.2600571442365553,11.258852261569311,61.420156591956136,23.755827540003843,27.260532859194708,41.952255353222,4.787034350361641,35.09411619222046,20.135500121703355,35.62569379161495,39.4915426007326,0.6498295234919449,3.1931691958318025,6.734614809929395,20.956133056713615,261.7050449848175,154.0,3234.0,763.0745892175149,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,47,49.909871953517595,3.759996577126863,3.646720473990835,3.325439624750524,2.5404165240595153,2.5047334030091797,2.5247298924318438,3.055429292617493,3.6043221680091957,3.144977034383212,3.466285050575022,43.73575578516363,62.799258903903954,46.975769395806516,40.27114210847876,32.27477901696332,4.529440031204402,28.227346276483498,17.786912719438835,49.39859898056558,21.356449796576733,49.909871953517595,3.759996577126863,3.646720473990835,3.325439624750524,2.5404165240595153,2.5047334030091797,2.5247298924318438,3.055429292617493,3.6043221680091957,3.144977034383212,3.466285050575022,43.73575578516363,62.799258903903954,46.975769395806516,40.27114210847876,32.27477901696332,4.529440031204402,28.227346276483498,17.786912719438835,49.39859898056558,21.356449796576733,0.3867847876442189,3.2034566549279293,7.1186634888354,21.112775265173692,155.77514219284058,92.0,1932.0,434.1107380762057,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
