Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,140,75.76562850444456,3.3727383631771,3.510036968169828,3.5083870388181184,2.037120650825865,3.1977518463702577,24.94436751248728,51.75179001447003,53.55164205641491,7.924434804133166,21.894435342846013,75.76558487895429,3.3727383631771,3.510036968169828,3.5083913974041785,2.037125314083132,3.1977511013913658,24.94436751248728,51.75179001447003,53.55178684705682,7.924469352208114,21.894301105283446,0.1640263374253296,0.6303479743003525,8.227188074983541,21.58920651314005,187.3053889274597,189.0,2079.0,15.482724931166178,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
6,167,75.7693520635923,3.156276155677114,2.025259894883395,3.507544771761446,2.0496703311396263,3.196259908411052,60.07948119163254,39.48366823095966,53.76077304375978,7.961584485581387,21.754915600737267,75.7693520635923,3.156276155677114,2.025259894883395,3.507544771761446,2.0496703311396263,3.196259908411052,60.07948119163254,39.48366823095966,53.76077304375978,7.961584485581387,21.754915600737267,0.1695047937024473,0.5784994295791532,8.083348760123659,21.962466789033492,194.9078426361084,200.0,2200.0,86.67782218669508,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,65,75.78601546801292,2.877428281291668,3.783002600146543,3.5156469913119768,2.048417549473552,3.1933573822184247,66.71147336323787,32.59755292436549,53.37451201497775,7.973900641799656,21.714040888382065,75.7855233328659,2.877428281291668,3.783002600146543,3.515855880782551,2.048524866141145,3.1932996769261024,66.71147336323787,32.59755292436549,53.376333755435375,7.96355873597827,21.71243763450444,0.1831672733243654,0.612604617873916,7.982815957917683,21.79716368835736,137.8219859600067,70.0,770.0,621.8567190691891,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,129,75.8028940508164,3.805235103214545,2.512661270093568,3.518641796945505,2.0446803651539835,3.1930257229979206,15.234681807541117,11.821279143028857,53.14910585991086,7.958942948758566,21.769887173280768,75.80288876764197,3.805235103214545,2.512661270093568,3.5186457732474445,2.0446754006137424,3.1930239404654586,15.234681807541117,11.821279143028857,53.14901838673495,7.958897083070385,21.769807756818057,0.1700746609452179,0.6220596360525515,8.015835391772857,21.55233379360013,156.93904757499695,160.0,1760.0,398.96360245137225,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,73,75.81505352570093,3.956711937720358,2.0491149028918807,3.4954870350041167,2.038503553389537,3.2023301882688564,62.77657201242539,12.22456868982308,54.26607669114909,7.952676516998922,21.874084134062024,75.81505316531705,3.956711937720358,2.0491149028918807,3.495487045568298,2.0385035932482194,3.20233018197146,62.77657201242539,12.22456868982308,54.2660756187096,7.952674719941875,21.874085266948025,0.169502332083587,0.5664284817932381,8.180625334982707,22.094618854634067,155.2869749069214,77.0,847.0,58.77353228528288,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,125,75.86456979923824,3.646363495676057,3.663927183694033,3.521248125405489,2.043741225306965,3.191675945594809,23.73435448275412,35.62706632686333,52.760718074329226,7.95099583471947,21.926657022180564,75.86456899372874,3.646363495676057,3.663927183694033,3.521249148127411,2.0437440514539733,3.1916754626252963,23.73435448275412,35.62706632686333,52.76067341587987,7.9509984020230435,21.92664428658984,0.1533375639951824,0.6630787330228358,8.05760040387428,21.33430440251064,263.6639711856842,133.0,1463.0,357.10283328892444,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,90,75.86944522856136,3.674756980984653,2.425629196965234,3.514799766812253,2.036642817007748,3.194952468773148,58.47909018956498,35.189041380963864,52.866598327182885,7.936627121451615,22.090783518689992,75.86937542731626,3.674756980984653,2.425629196965234,3.514796226953041,2.036646732174909,3.1949611867481504,58.47909018956498,35.189041380963864,52.86691106759929,7.936575589436911,22.09083525068359,0.1384650912049363,0.6449881860110559,8.201999038231047,21.23575824466137,234.40486478805545,117.0,1287.0,148.25970334843237,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
14,116,75.89606948899143,3.7187877653801458,3.272434379960036,3.5236976713513264,2.02819926537896,3.1938292623022333,46.90221668501131,67.90362704524479,53.12665878476911,7.956792844894688,21.643534410861488,75.89603942806755,3.7187877653801458,3.272434379960036,3.5236781629552767,2.028135026297524,3.1938554052085526,46.90221668501131,67.90362704524479,53.12619320021296,7.956593276637879,21.644915372113584,0.2192671357339362,0.6497117569961336,8.167749766318051,21.227696033546707,249.36954641342163,121.0,1331.0,44.13791633359979,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,93,75.90443284746307,3.100582316490597,3.141457492445224,3.525429934165926,2.0509315383355,3.1887164593901978,13.53850839647592,22.1796326836786,52.57884671296336,8.010019361159872,21.84630613583578,75.90443239010384,3.100582316490597,3.141457492445224,3.5254306471618517,2.0509312417494705,3.1887154787492005,13.53850839647592,22.1796326836786,52.57881953936199,8.009987757451276,21.84631301891349,0.1619738181200869,0.5950885211405178,8.05599872086572,21.34030471879362,204.2371242046356,99.0,1089.0,33.6420641264766,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,101,75.95381483797314,3.679434009489324,3.919195288374367,3.522994230305387,2.0444012156642004,3.190473374438067,62.717123453260434,23.45760152833372,52.453672944710334,8.00462479304812,22.01698842028141,75.95355597810317,3.679434009489324,3.919195288374367,3.523142220007027,2.0444825493367857,3.190530903599913,62.717123453260434,23.45760152833372,52.45596167181509,8.004321798459292,22.011541466626568,0.1450268326655743,0.5918040972598022,8.090696710151992,21.18971032157348,221.8706171512604,110.0,1210.0,139.04311217692512,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
