,molecule,temperature,sim_liq_density,sim_vap_density,sim_Hvap,sim_Pvap,sim_Tc,sim_rhoc
0,R134a,240,1384.3,3.6,224.44,0.7,381.1259418576218,506.0379935619325
1,R134a,260,1326.9,8.5,211.7,1.7,381.1259418576218,506.0379935619325
2,R134a,280,1265.0,17.7,197.0,3.6,381.1259418576218,506.0379935619325
3,R134a,300,1195.5,33.7,180.34,6.9,381.1259418576218,506.0379935619325
4,R134a,320,1113.4,60.8,158.78,12.1,381.1259418576218,506.0379935619325
15,R14,140,1640.05,5.3,148.62,0.68,228.63456792681717,612.2230895289922
16,R14,150,1579.07,10.29,133.23,1.5,228.63456792681717,612.2230895289922
17,R14,170,1464.5,30.38,120.14,4.39,228.63456792681717,612.2230895289922
18,R14,190,1334.75,73.21,103.68,10.67,228.63456792681717,612.2230895289922
19,R14,210,1146.78,165.89,77.49,21.86,228.63456792681717,612.2230895289922
10,R170,210,509.44,6.23,458.96,3.35,305.4093194483036,207.20979746740605
11,R170,230,481.23,12.67,424.28,7.07,305.4093194483036,207.20979746740605
12,R170,250,448.77,23.53,380.88,13.21,305.4093194483036,207.20979746740605
13,R170,270,410.13,41.71,323.88,22.51,305.4093194483036,207.20979746740605
14,R170,290,354.32,76.74,234.09,35.9,305.4093194483036,207.20979746740605
5,R50,130,393.47,5.87,482.79,3.67,190.78546062762462,161.72583621993132
6,R50,140,376.58,9.99,455.99,6.43,190.78546062762462,161.72583621993132
7,R50,150,357.6,16.03,423.44,10.46,190.78546062762462,161.72583621993132
8,R50,160,336.72,24.73,384.35,16.02,190.78546062762462,161.72583621993132
9,R50,170,312.32,37.43,334.98,23.4,190.78546062762462,161.72583621993132
