Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_x_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_x_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_x_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_x_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
200,236,13785.412200076,3.821459009156298,3.380227904245749,3.8426170981677488,3.8631703163568263,3.7831927458032015,3.1129694685483074,2.0729290996835363,2.876523041193188,2.9317465038259782,54.932478489107865,44.02058687498287,44.205103466163386,36.28985011700964,25.077482344729564,30.894441474072806,10.509897739046883,39.45161780356911,28.27604782450551,13785.412062509038,3.82145855883439,3.3802265915795022,3.8426186966048927,3.863175732656426,3.7831900848734406,3.112972515763353,2.0729283439894584,2.8765224349549365,2.9317463396839516,54.93250042536399,44.02060288026149,44.20512048865497,36.289795558900806,25.077553039593703,30.89426901812159,10.50988797393891,39.45163777002814,28.276060024581,0.7254257760966906,48.579605245200725,86.42969514497992,3.8683013036150093,9.789869264877535,1012.8953203537752,1075.4506454307534,17.926430080848593,38.22607378907668,8.777495143152361,33.89296598719123,29.438449166389915,7.586857618280689,22.73858590747635,26.597308332074277,24.42096133548071,4.593712460832003,49.59965388771201,58.475136268713044,16.04147916512705,1.15022796975956,84.14950381553723,157.8846298627735,1.4490433066379722,55.81906325772041,27.82434608681402,2.865255352367895,111.55435164429694,2777.9147362709045,243.0,4617.0,4151.806590283329,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
114,220,13797.570280464044,3.825588199433001,3.378666547467449,3.844839192278804,3.8499847809915373,3.7809236750387716,3.1096040986506774,2.0726272415842533,2.8776731963552753,2.931927575995197,54.97272975815665,44.11545631278265,44.23709548256409,36.78258838775463,25.248756180640548,31.139908207092866,10.496084832849315,39.36004197915602,28.272356907628968,13797.570237417032,3.8255878737760596,3.3786666781379115,3.8448389613472997,3.8499843863915046,3.780923649153252,3.109604312251881,2.0726269526156167,2.8776732532187905,2.9319275477999778,54.97274768034415,44.11544950455123,44.23710762879931,36.78260396756991,25.248757928421018,31.139890145802333,10.496082242627102,39.36004352694923,28.272355598441614,0.7163999352441135,48.165527657149724,85.9079979835309,3.847452949064929,9.5090425810738,1033.8147482925838,1109.3839464203918,18.64850522882162,33.714388037033714,9.379436434704319,35.139717444023425,26.952842552389306,7.1088534567485935,23.634731198718,25.244893176583044,24.62441503024155,4.33630373906208,48.74682877209975,57.723205354899186,15.46739077027802,1.592668079450013,83.6733831876564,149.6846631881878,1.7133968805997213,53.969992626250246,24.86784471001299,3.754056859122715,108.39668916429216,2623.925891160965,224.0,4256.0,19214.3654676259,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
113,212,13789.965652178318,3.822752345830962,3.376033856113634,3.8414121214993706,3.8637533767888694,3.7750892100121147,3.1106024496553935,2.063536815857237,2.8785129016662694,2.932029523844189,55.432591449034746,44.14386567344082,44.51799646423149,36.469177915651606,25.312878961816853,30.928952997250338,10.462833912290852,39.441830105710885,28.311744474588355,13789.965610545532,3.8227519823837115,3.3760337413196817,3.8414119908391604,3.863753794461662,3.7750897645483645,3.1106018654771708,2.0635360666270475,2.8785132508719986,2.932029519690109,55.43261838458168,44.14385930053,44.51799929943802,36.469180473802346,25.31287080085037,30.92895207695124,10.46283399147733,39.44182686587064,28.31174977279873,0.7237284649591715,51.365333015477326,83.08226596693063,3.90119461372401,10.499423921940995,998.8223948031535,1080.1629566114261,17.011375960589817,37.95805553318041,8.746735618239194,34.17990598566995,28.08507844888259,9.238370155579968,22.9378906642984,24.82503777216362,26.66532728466347,4.415592560649452,54.45428516178045,58.696729573841836,15.642401901807423,1.0086399390950245,84.41658367655373,158.3840021895458,1.4138603307653221,56.03813503254266,30.45751734520271,2.492465651478734,112.45505822609412,2512.1764736175537,223.0,4237.0,6686.586304289902,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
45,248,13789.734841346824,3.821331683156256,3.380872944448909,3.841768993685515,3.8649614615045547,3.790954038309244,3.1181601145914817,2.0795861530570505,2.8746325820289895,2.931687264570903,54.678371472833334,43.943406689292175,44.04489354686981,36.13037187035225,24.80712644433239,30.636158806273137,10.516324150737573,39.5049157370624,28.290913765393192,13789.734730870849,3.821329632888915,3.3808724158286623,3.8417673971233035,3.864962300788302,3.790949390326425,3.1181630166547,2.0795864616296518,2.874633294035329,2.931687237794756,54.678360555308984,43.94343559544677,44.04489876818442,36.13040012358813,24.807246298665294,30.636061501463566,10.51631541379313,39.50490202682324,28.29091705749083,0.7269500858896596,49.05853325587059,86.01708443409719,3.909323664834448,9.686017816136362,1036.4757147861048,1083.941812513523,18.455526180672233,37.44521187693437,8.208348530116638,32.947788397733675,30.26514120196734,6.8898118239566415,22.222409601838002,28.493413741822327,22.85564045578825,4.687590344161254,43.381564283080735,59.39088110201834,16.19005974484635,1.2380408355273358,82.55796183939367,157.42811735503008,1.514623141164398,56.367564140760514,27.294663440930258,2.727169800237823,111.79453648604145,2930.7232081890106,254.0,4826.0,8988.717292832402,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
169,265,13787.488709046771,3.82189142110548,3.374739987418737,3.8414654651486995,3.8643749778276626,3.778540073819116,3.1138408787652483,2.0689654397182826,2.877370406298297,2.9321382464613226,55.18969775125736,44.223216986938084,44.33802045325996,36.309467966025544,25.21097423929136,30.859946058579787,10.482725843328888,39.43321653530713,28.306527827070102,13787.488454655588,3.8218886521948288,3.374741188297646,3.8414667288511017,3.8643733149532156,3.7785387550318594,3.1138370114908525,2.0689621063659667,2.877368983657159,2.93213729504928,55.18967434440255,44.22320251775366,44.3380513534426,36.30959176334661,25.211033456618225,30.85985116941886,10.482753515103878,39.43324545026293,28.30651200839872,0.7135426023875642,49.52024697954881,82.838198184771,3.832355237761092,10.65742755432827,977.7136354982341,1072.9759439878403,16.44088068239075,38.48123884835461,8.16284265205336,33.30089650093305,29.667478941603775,8.23954015498586,23.594873945171663,27.697105789328972,24.37650546855109,4.5745098436017795,52.25899227460679,58.168914654415985,15.928081471665898,1.0366506539574574,82.98363990440444,156.8138689641513,1.381956807163649,55.95357195565837,28.715722620341598,2.691188928365428,111.57005145447755,3201.3897836208344,271.0,5149.0,4678.33121946887,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
64,271,13797.472172341539,3.8228491712212613,3.375563231241401,3.8409126851882327,3.869755966452504,3.781412546714966,3.1043337959485093,2.064579989781628,2.8779726769648577,2.9320164186504414,55.44847718709649,44.17516845511444,44.47714593944594,36.04200978368326,25.004273052194485,31.39330465030698,10.452510428974005,39.46593875450036,28.29723270097182,13797.471600019271,3.8228491034754435,3.37556426956435,3.840912246975823,3.869757666679292,3.781407285576952,3.1043327330783397,2.064578683714622,2.8779737502240534,2.9320163504549983,55.44848183386299,44.175134261032284,44.47713576054338,36.04192499460364,25.004347345368934,31.393390390536787,10.452528972055717,39.46592946049503,28.297235594176364,0.6824533401762425,40.45119679946979,83.89480961062901,3.5956541014342513,10.737073618756618,984.5876289853303,1068.4258643988867,16.57835365638986,37.87115929759999,8.145229945811252,33.31819215054548,28.750559401674366,8.710926392007533,25.35194297189529,29.40218613211697,23.928261081185475,4.238362771255126,52.28590721810968,61.48713826787544,15.112281407822497,0.7589532795466319,91.37789825913703,171.6305364245304,1.0361563026987783,57.526087022949135,42.39482033162649,1.2287075432612458,117.44591651077164,3148.3980152606964,277.0,5263.0,27511.52123634426,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,272,13787.427909335065,3.8213625230557584,3.3756424948013253,3.841398109454959,3.868110218203536,3.784801317053485,3.1117344672178615,2.0667602989980787,2.8765965535792697,2.9320139605808797,55.227460632375866,44.14668477401905,44.364957888524906,36.21373661641202,25.012717138143863,30.97226892734058,10.48945942388002,39.43595752290076,28.31305775313933,13787.427430879732,3.821362125884942,3.3756436029682457,3.84139941324229,3.8681012215113735,3.7848012725216424,3.111732465999294,2.0667590301706653,2.8765970533883873,2.932014139429415,55.22769402882795,44.14678091282157,44.36505350852259,36.2138634243768,25.012626313977815,30.972530690278834,10.489418968160773,39.43598123875291,28.313024134698054,0.7094785691622018,47.33280408445047,83.00392973095575,3.78837861871023,10.880380004744987,991.3021461787306,1076.6727718496618,16.67487447189467,39.18311508005656,8.806589586771807,34.07093896279561,29.076958653149262,8.465800650114591,24.21118125363261,28.24967848710886,24.35149674812057,4.370342705284219,47.723917299367585,59.92429455488603,15.110630085330907,0.9984253290014528,86.97747386441816,163.4211884228008,1.2527707873912777,56.950713883616736,30.976501395178786,2.4832106671927026,112.87695741864123,3268.670857667923,280.0,5320.0,7849.557083222311,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
33,281,13788.643527884815,3.8225079079935664,3.3770312245863425,3.8407572084647335,3.8630163784417304,3.7754355934624817,3.1145325403893858,2.068480305621509,2.8773726421378014,2.9319540128146997,55.312166878137894,44.128193366071464,44.413359334740456,36.37621752782517,25.263358230791706,30.71252939230292,10.458001432327968,39.4869535677469,28.295909410409944,13788.643136413528,3.8224983126025442,3.377032581275048,3.84076655765603,3.8630176471768074,3.7754287507756876,3.114532856851548,2.0684871669030973,2.8773709320305803,2.9319539835416037,55.312103025831526,44.12815421277292,44.41332598768187,36.37638057728937,25.26350254158727,30.712498116841417,10.457909945012979,39.48692328168636,28.295889464022363,0.7155662492118366,48.11862783575319,84.26066240877228,3.820419895718561,10.409625573794749,993.0325060312064,1067.5341177002113,16.983928626402662,37.999877394018036,7.527027500008185,32.37667968819578,30.049237385380266,8.624326705940483,22.71923115586665,26.586425968366623,25.164277764466576,4.751765932776813,55.49966036231562,58.62845394306993,16.32303200999289,1.0877583577194136,81.42115241450723,156.17259772179685,1.4467685308457066,56.17187079246122,29.34945222262002,2.4927500271641776,112.13827938147406,3388.350783109665,288.0,5472.0,5479.505035971223,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
159,250,13788.027319855955,3.819879972904294,3.3826979461388333,3.841070499307015,3.860966901056042,3.7847869784223986,3.1154226616637044,2.073245768666019,2.8760839184710707,2.931450433758841,54.83259637387117,43.90228999001928,44.160896829472314,36.26668493765181,24.978325821223834,30.73853141524584,10.524983085760239,39.48872412856417,28.26857965351852,13788.027121826433,3.819874852549739,3.3827032014099645,3.8410667691281035,3.8609705537602124,3.7847864019897752,3.115419726601529,2.0732450830945455,2.8760858303806263,2.931450836639847,54.832638002157985,43.90213116863265,44.160900076360576,36.26675381287157,24.978366007464157,30.738498343057763,10.525035310230106,39.488716593184826,28.268578589717503,0.7319711566119633,46.67495447348451,87.98821796024188,3.818441160117983,9.589237530794318,1023.0310172267522,1067.5882780490674,18.292712144291954,39.47282580876093,9.930672329452776,34.66997454224648,28.890211076513857,7.817554145605658,22.681191537101952,28.501711459633448,23.752731628583803,4.607885627524205,47.877178647947495,59.07490430702198,16.03615125237807,1.2718290647529402,81.84530095437964,155.5509894477318,1.5219956568655344,56.544013548237125,27.083667499465804,2.90744108664751,112.00958916662634,3091.2183883190155,258.0,4902.0,19605.04797939426,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
48,284,13789.333277604597,3.8228194798543242,3.3760047550772816,3.8417855757983848,3.87074071539409,3.7805783971762326,3.1084616021238443,2.0674991992392293,2.8777761859029916,2.9320003443525726,55.26643427233603,44.17294794616363,44.36405489218093,36.14116811653778,25.0709441350786,31.173041454396067,10.481039572629905,39.43608285020638,28.299089390241708,13789.33320578489,3.8228227699505806,3.376005336398076,3.841785549249124,3.87074275573082,3.780577939807428,3.1084640788991935,2.0675011092698954,2.8777764824591823,2.9320002970445906,55.26640725852387,44.17292566478739,44.36399600443328,36.14110971726276,25.07089075648446,31.172914992246852,10.481049877399563,39.436113579111755,28.299083382293322,0.716184525243914,48.39837979112224,83.72457859613571,3.803266361026993,10.458610348850272,986.7261626955094,1073.8203787250338,16.7896848816781,37.93278484539936,7.988730914468474,33.437681185247314,29.75365364245971,8.246846256906341,24.465278698573535,28.251235417251916,24.12887647410888,4.229432770395534,49.27078218453895,60.8365441681293,14.8880814095086,0.7975542824586895,89.28282430922071,166.40446787646164,1.2207565803430396,56.38788485006712,33.78304095674966,2.028683109505902,113.88512627687342,3466.286180973053,291.0,5529.0,8267.32434496847,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
