Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
13,123,75.76095931739209,3.6164884901845937,3.5084569121675564,2.049000938359266,3.195714696462671,68.92673433776777,53.46329185637134,7.945246855057676,21.91393731871724,75.76095863783686,3.6164884901845937,3.5084558846822063,2.048999563508976,3.195715131913124,68.92673433776777,53.46329053623608,7.945256045227314,21.913967549582985,0.1446891757073968,0.5909556812098132,8.181469000459993,21.718390144487486,104.1174623966217,129.0,1161.0,135.31404209965362,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,85,75.76375913550882,2.850153906825585,3.510154182866254,2.0461854959346826,3.1957583334527984,43.44316097897318,53.42443769491037,7.930227017142983,21.896467599230014,75.76375609632392,2.850153906825585,3.51015320439052,2.046181065542388,3.195758610730638,43.44316097897318,53.42441482668643,7.930276373359344,21.896476219154664,0.1452532162754608,0.6025255543087917,8.22692640043115,21.59416753858584,78.35934329032898,96.0,864.0,289.5454303224087,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,131,75.77040101777753,2.517554250005119,3.5123607652756714,2.042349658427858,3.195454204775965,43.13125807240312,53.35904243118119,7.939219390487055,21.863054338199955,75.77039601502405,2.517554250005119,3.512354158663784,2.0423484440010737,3.1954357198055265,43.13125807240312,53.35863344745064,7.939241074565292,21.863014564767848,0.1621581501875202,0.6267328816164792,8.144426285851026,21.593384899953247,131.6148190498352,164.0,1476.0,11.213784527933209,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,130,75.77113340004253,2.924297460703448,3.508214976793764,2.0389541803301148,3.197792310756969,62.297645355099135,53.50918188986818,7.893134511060313,21.947951399029066,75.77112946949735,2.924297460703448,3.5082133722714044,2.038947951274381,3.197793842857907,62.297645355099135,53.50932139128496,7.893147565093495,21.94791698967588,0.1442884028316019,0.657238884426966,8.193174858778736,21.56204360217476,127.99938249588013,154.0,1386.0,75.0739497291056,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,142,75.77347122620074,2.783094666030283,3.4993147648645277,2.039828742085755,3.200463802984974,46.88722764739074,53.937420188232224,7.951575367787212,21.94043104887297,75.77345856105143,2.783094666030283,3.49931452085986,2.039843823805958,3.200459264477465,46.88722764739074,53.93745634976288,7.9515910103262,21.940358285788427,0.1600089856118357,0.5817861536404255,8.153562077620343,21.950708325278317,120.67076683044434,150.0,1350.0,87.39774402700063,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,106,75.77544192939163,2.022901227477877,3.499157416741462,2.0431812878879723,3.1995436724695745,48.5233240186383,53.79938948321951,7.951060973499838,22.019991259775143,75.77544056950205,2.022901227477877,3.4991575845585245,2.0431809818746385,3.199543516963489,48.5233240186383,53.79940726823275,7.951058143724127,22.01997506559085,0.1483534165903547,0.5824195423460142,8.253830058948136,21.878616437153468,93.4324471950531,114.0,1026.0,210.8362021493916,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,75,75.77736735574594,3.317555706708964,3.503424653506926,2.0418100990523653,3.1984686373104108,57.30043949044549,53.52414097135979,7.913987443994356,22.074785232332307,75.77736735574594,3.317555706708964,3.503424653506926,2.0418100990523653,3.1984686373104108,57.30043949044549,53.52414097135979,7.913987443994356,22.074785232332307,0.1331603912867318,0.6334844353369233,8.21693732815935,21.669171540927305,84.97095799446106,104.0,936.0,44.37495337063682,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,119,75.78082885689253,2.002898223879414,3.503015428647391,2.0494780621189914,3.1974120619199065,30.754501937217505,53.5268811444961,7.916829448808663,22.075452841204665,75.77102161353919,2.002898223879414,3.5054101021464112,2.0527962770548958,3.1966867880803957,30.754501937217505,53.59301627131437,7.9407349934955,21.93900587623935,0.1224911827653705,0.6235832670008769,8.170377573160776,21.78980081986205,102.95637345314026,126.0,1134.0,105.98184563460345,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,183,75.80597932203106,2.356468148690224,3.5170409018090885,2.042855412942565,3.193486354529788,66.81658562082922,53.0609786515636,7.948539502073348,21.881940285516755,75.80531784862657,2.356468148690224,3.5170017872244896,2.042902668381552,3.193536410805575,66.81658562082922,53.06431379339604,7.95110113085891,21.879442664359534,0.1593819615560483,0.6297537234868992,8.166195378834193,21.41426410122821,167.0553789138794,204.0,1836.0,22.8081357136513,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,150,75.81692561550037,2.0993805099611853,3.517753005409221,2.04433762201636,3.19324809966932,53.507906940641845,53.01603287208204,7.914330496320828,21.909403962849904,75.8169248508938,2.0993805099611853,3.5177514177027964,2.044349058538714,3.193246724324203,53.507906940641845,53.01608133937893,7.914279272829737,21.909425852322133,0.1438314739303062,0.6605067388025049,8.205691684188412,21.326587499212454,134.7923641204834,170.0,1530.0,143.81781685762502,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,136,75.83094105231406,3.789915400061097,3.5212181089492245,2.0502528381154246,3.1908928986381486,53.90124923234016,52.9006323420361,7.964953221080954,21.82116622166685,75.83093952359539,3.789915400061097,3.521218063635025,2.0502465559177283,3.1908949876258004,53.90124923234016,52.90067404468467,7.964896799515103,21.821197755580656,0.1545632660277314,0.6107472338102087,8.123011722197395,21.40782487896391,115.62613534927368,143.0,1287.0,106.96793676170176,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,97,75.83952809346576,2.6889971406734645,3.4935464371239315,2.0463317873969915,3.201573958462962,18.84730218761219,53.90996147610996,7.874574072784755,22.197409696229805,75.83952789739376,2.6889971406734645,3.4935457175510387,2.046326848658988,3.201575340049161,18.84730218761219,53.91007037965527,7.874550153651138,22.19739242147779,0.1054558376343888,0.6511359720881469,8.134198227342354,21.97760944741234,84.60566854476929,103.0,927.0,301.8854249933387,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,102,75.85703799288902,2.034862988072483,3.498797947380405,2.0358289391924544,3.202014315938195,11.050293909045584,54.40801062817288,7.956924263158532,21.68282411652127,75.85692402935648,2.034862988072483,3.498779397563224,2.035834649851365,3.202002317193115,11.050293909045584,54.40785768900668,7.95726618821872,21.68311499351495,0.2028459026740911,0.5767035179299717,8.167058067561532,22.117852802180728,105.15473008155824,130.0,1170.0,83.61111999289457,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,82,75.91379453330454,3.247666805623055,3.529682634627092,2.059458090364176,3.18679001547137,19.907216763940102,52.74115269159482,7.978205630338068,21.621394153008666,75.91376643303317,3.247666805623055,3.529677878966591,2.059451903231312,3.186799505312475,19.907216763940102,52.741491853073455,7.978245569381635,21.621371912760942,0.1624836881432395,0.6106845796154956,8.018780659381187,21.405542676271462,83.75698804855347,104.0,936.0,122.72478905764278,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,105,75.99754142711208,3.332864235176188,3.51345720216038,2.0063717242724635,3.2014210598926303,71.4851069875995,53.30170806185847,7.943290469873381,21.918711494590045,75.99753842743036,3.332864235176188,3.5134606058047115,2.006372896869385,3.201419653585421,71.4851069875995,53.30164064336692,7.943293662432579,21.918638523030708,0.1822918687241283,0.5709661216441709,8.28510981143023,20.933172763056245,90.1013662815094,111.0,999.0,968.0170530242472,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,81,76.01194577807249,3.726274283054534,3.4833098654270684,2.009695936423566,3.2103896025277416,21.763165998474733,54.38279626652186,7.887587663748157,22.28488565950075,76.01193852621992,3.726274283054534,3.4833110123197515,2.0096936933836136,3.210388373471193,21.763165998474733,54.38262924335757,7.887650470936778,22.28489835780456,0.1526767269341016,0.6496282632321229,8.468186329469452,21.66590006246016,71.84321308135986,90.0,810.0,482.4819255706546,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,125,76.06518797405153,3.2089637416800523,3.5334594332557057,2.056638530550097,3.185366621319357,14.75568641311351,52.07302981058529,7.939010312592137,21.944974294493026,76.06518607829751,3.2089637416800523,3.5334592738262103,2.0566395374028645,3.185366698004338,14.75568641311351,52.07305736272452,7.9389835187986915,21.944982182238345,0.1194587945666839,0.7048350741860581,8.09406050087592,20.95460528942308,108.31175494194032,131.0,1179.0,55.26146194155786,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,179,76.16258418275297,2.389731017228504,3.541390083583818,2.0642614587454946,3.1815852210058586,48.56664314253455,52.68976224690914,8.014084783022765,21.23011925420532,76.16258221498794,2.389731017228504,3.541388859812172,2.0642797853971566,3.1815813729771665,48.56664314253455,52.68958522147177,8.014109856776312,21.230208167255668,0.2286263777222574,0.6209350477839501,8.166576522505483,21.292776420175205,156.3402144908905,192.0,1728.0,335.3377742250644,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,76,76.17011621411129,3.878885894731496,3.5047879510902376,2.093124674444764,3.1895256426170744,12.074164444943998,54.12354763776035,8.080074106124696,21.48417052481457,76.17011441413854,3.878885894731496,3.5047880551865838,2.0931238689477945,3.189525863877009,12.074164444943998,54.12356167413752,8.080074657517255,21.48415991195642,0.1652222361934416,0.4175408569745366,7.951950232482108,22.891167250915597,66.80921196937561,82.0,738.0,136.38397726263435,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,53,76.73055635442554,2.988394582067958,3.5615604196370425,2.0661341456497877,3.172927384515089,10.179523611293597,50.84266393850478,8.046884004985737,21.72438739340308,76.73054752245575,2.988394582067958,3.5615573891882244,2.066119225544107,3.172927762580948,10.179523611293597,50.842589195427806,8.046879210368955,21.72453511952325,0.1411279034309906,0.7668398318177525,7.942253226008209,20.41489447513007,50.62758207321167,61.0,549.0,146.50594191313616,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,34,77.7133104047406,3.920307657368168,3.5268135422171443,2.132410200948592,3.172299454683455,16.938501356801517,50.37188045253702,8.029359958792657,23.08945392663652,77.71330851519969,3.920307657368168,3.5268130206783583,2.1324114582200213,3.172299454135638,16.938501356801517,50.37190002823191,8.029364243148525,23.08945434455409,0.0672369516167467,0.8364785071107739,7.879048399264271,21.207165625388186,35.908371925354004,43.0,387.0,564.1605115907274,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,62,78.1353555697672,2.7788375001266057,3.5069600606021085,2.1972081771829792,3.166918772866066,16.27627797727377,53.739650474235,8.188286322721252,21.44723889172422,78.13535516913711,2.7788375001266057,3.5069596024955976,2.197208000027255,3.166918966042548,16.27627797727377,53.73966550307208,8.188286516503949,21.447245648381173,0.0695587979423584,0.3049580884383877,7.728153406030259,24.19886552313669,59.15224099159241,73.0,657.0,291.45281108446574,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,45,79.00883806184544,3.779362340566379,3.53621914163012,2.2465072486870694,3.143739162156799,59.98762194053071,49.80682426737859,8.249136810625982,22.87467987311346,79.00883028648343,3.779362340566379,3.5362207315247867,2.2465038634673475,3.143739725447173,59.98762194053071,49.80674701295205,8.249085955107383,22.874722054105085,0.1732479820569845,0.6957047275947309,7.615604795603456,22.293325545687765,45.3174889087677,54.0,486.0,424.3913669064749,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,31,132.82407435724855,3.598629646194684,3.4083166596032477,2.8091114331348828,2.9451569018515364,27.22925846313605,53.87992114034155,4.739053304075888,32.39342545032791,132.8240729262567,3.598629646194684,3.4083164504061725,2.8091110804241017,2.9451571045161438,27.22925846313605,53.87992669848519,4.739051430785072,32.393430985863844,1.6237804421465003,9.875686992280844,14.50147476551397,25.72895454779507,31.319157600402832,37.0,333.0,2705.0706457056576,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
