Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
38,205,29519.93208431195,3.492288089182631,3.383890199840735,2.5792923168444384,2.8108194919120235,2.9763917441078,2.928404898055701,45.69649024254737,53.43105138703199,10.000000000000002,41.54567543598685,26.77777848301844,25.837839746188944,29519.93191080105,3.492289539074638,3.383890674828515,2.5792921316270583,2.810821998321124,2.976388304424005,2.928404827766194,45.69641256146798,53.43100269378902,10.000000000000002,41.54584406945158,26.77761103018668,25.837858470259185,0.8954819750914127,80.2481219356821,420.1785927928254,4.639796428255727,35.22639830526721,747.6130643135078,618.6575034051444,26.901076765002315,5.133693849876178,1677.1297200859956,1295.7447224531309,27.45137310335977,18.234771456073386,1378.5659289474609,769.0342553399453,147.8147266251516,0.3150641266696063,4.803759784147409,62.00392608782531,10.46629799540938,8.464118650348553,1124.5913685618498,455.62291085969696,10.90528531380261,35.829385361196415,868.9536697986587,237.48576077490583,138.6489614566823,2863.122512102127,210.0,2730.0,1205898.9471371442,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
110,148,29520.777748270964,3.49202216738463,3.3955683599083173,2.576882908161297,2.815464089938746,2.979634857961339,2.928421244052562,45.70195171745252,52.68085042672677,10.000000000000002,41.55224541323337,26.77799331419765,25.838786448422223,29520.77767897429,3.4920245348427352,3.3955675442750537,2.576882668473948,2.815464845196746,2.979641912282927,2.928420668372398,45.701905115890646,52.68084670075966,10.000000000000002,41.55230680473162,26.77800301003435,25.838769906535944,0.8877926496199067,77.71025565831133,420.324594507134,4.599536019693038,36.85269223292022,746.9224611576174,613.0474975294213,27.22646782068177,5.5040424305625,1700.3932228339509,1313.6208972896975,27.581290937998595,19.81734837784856,1430.2732790906152,795.0451656352677,155.33438885012671,0.2935222032943881,2.7875449367811083,58.9024272132768,11.679753580809976,8.05501152283382,1120.715121439607,448.5032276583791,11.927208629822175,34.95900390447558,851.6932041202704,230.110925635542,137.267242250756,1198.734957695007,153.0,1989.0,1232017.9629654558,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
166,165,29520.8785128106,3.4909680007563484,3.381457612548054,2.5775182176789704,2.8097432849923045,2.980171841299693,2.9284994017053068,45.75319007093,53.55970558634184,10.000000000000002,41.59353902350465,26.867795624721364,25.84185684134383,29520.87756632681,3.490966072758308,3.3814577721497603,2.5775290526422765,2.809740659368949,2.980173984404443,2.928499408065348,45.75327305258837,53.55975037330749,10.000000000000002,41.59359476881322,26.86775237758685,25.841846135397606,0.8986511319359719,80.4950771082017,416.8837993301558,4.633925323297344,32.93221749814733,711.8632375192171,592.1171974938711,24.827654508950356,5.548607259970815,1678.508760015642,1296.533913921365,26.895812435610992,17.251483894497568,1364.486781286801,766.1728123771823,145.71010993809173,0.2586157189035895,4.775799559503563,62.59860972653863,10.537789413512703,8.702879616121718,1131.3565409242815,461.247189682308,10.708952029255524,36.4606080905764,874.5570914650859,238.88820654089469,138.74587795157942,2554.038905620575,189.0,2457.0,1212842.3211178726,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,169,29520.930962025,3.489301064486636,3.384368815001616,2.5781917341809213,2.808647956423727,2.9770901738308257,2.92858729058732,45.81934787761851,53.388459893108426,10.000000000000002,41.54499631248792,26.712581039412445,25.84744482180321,29520.930795760483,3.48930156081667,3.38436900959881,2.5781912857176152,2.8086494574346457,2.9770900315111506,2.9285871176450584,45.81934564997559,53.38845945161111,10.000000000000002,41.5450119570224,26.71257644225111,25.84744298702972,0.9003232979905345,79.26511654414477,413.31035895519153,4.596744504405071,32.598026547376065,710.7600085569695,605.0631367731157,24.871694208198637,5.640948427621308,1661.3449434445556,1282.665370501523,26.29315847866181,17.966564123629404,1377.458855111984,770.3719997202636,147.62783506872682,0.2528907263218214,3.3561378624298634,66.78451264755388,9.674135152765142,8.649379137031724,1133.1358013322936,460.6794915393064,10.957294219083156,36.05164279810329,874.7468483756177,239.26494806113115,139.243770473064,2384.983900547028,178.0,2314.0,1207203.4536508922,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
78,77,29521.77426944956,3.489505490142987,3.3817178978465683,2.5781310755544133,2.8102547312206587,2.98422092835374,2.928554124543805,45.82396048483373,53.53010226306566,10.000000000000002,41.57524373771577,26.963068785417423,25.839511476932017,29521.77359660345,3.489506974222324,3.381725092786245,2.578141281444513,2.810239132158556,2.984216820798733,2.928554141176018,45.82378689652992,53.530049118010034,10.000000000000002,41.57532222776166,26.962822314765678,25.83951365263112,0.8901784541229617,75.4263754896402,416.2816413653302,4.531150446050376,33.14713095590666,703.5824452021577,595.2091600940828,24.543924239654437,5.654216322674002,1651.1709292759372,1275.1761014550175,25.999155598423464,17.80896749881097,1386.998297842781,776.3537923811855,148.96257038420268,0.2107204042909511,4.422593202034076,62.52488293135061,10.915914195970592,8.531178833008887,1116.8444123575548,453.25206898787695,10.6052149059386,35.966915826602204,859.2812274695602,233.61486602411173,137.15429444087275,654.6679952144623,82.0,1066.0,1193054.552921906,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
176,141,29521.8374560294,3.4897879900706634,3.3863325598013825,2.576750944261445,2.819566916543737,2.986974630572701,2.928547962624406,45.798403572402,53.20952801887318,10.000000000000002,41.5769799451373,27.004368347592,25.848894616570327,29521.834915435214,3.489792191480124,3.386333644389837,2.576752982039765,2.8195715191167823,2.986992740551664,2.928546421330965,45.79843344807512,53.209795538886894,10.000000000000002,41.576798960987695,27.00433416127469,25.848717404218043,0.9131863940698036,83.49466670945893,412.7505297948232,4.664005957744512,38.34489247481437,729.1650786939908,605.4948823701969,26.479512608547264,5.811773758338822,1678.2334177031028,1295.881203375362,26.546916611324743,18.51575882199129,1421.276018298582,794.5861497527432,153.92278684694747,0.2032200792715026,3.8489932834443112,60.942765744133055,11.63932018733712,7.912582355448482,1096.5371957460231,436.89582906519774,11.13766830337492,35.651536245826065,850.2335258176774,229.59138910899904,136.30015162081054,1948.191566705704,147.0,1911.0,1234548.1409877848,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,151,29521.950692070684,3.492821181288745,3.388159138302793,2.577509445620506,2.8169672160232606,2.968911745461158,2.9283689450956545,45.6541979221044,53.1486853622347,10.000000000000002,41.652878999915686,26.63493194116321,25.842126721085982,29521.950623946217,3.4928211057797567,3.388158925634756,2.57750942327469,2.8169671226646824,2.9689146109645304,2.9283689072690846,45.654193548433454,53.14869689681649,10.000000000000002,41.65289517653813,26.634923803720383,25.842129915666604,0.8902368273736758,79.32585789163133,420.80995230792337,4.634816954255478,37.418819963004566,741.1263214881644,594.1821611645463,26.457348206984346,5.292018212559155,1716.3543236048238,1325.8301742528297,28.35503635218304,18.42415625541232,1390.1903903665248,776.6274502246456,149.48035718011093,0.4844450793035102,5.565772398279671,60.28577170442016,10.411713122761912,8.185764623944625,1130.3858256144167,455.3677444163666,11.531973618727992,35.84647089081531,869.2212597929191,236.699309870035,138.72717981907914,2582.4279725551605,158.0,2054.0,1230687.8814592606,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
174,145,29522.41626172816,3.487722933066916,3.385116704150397,2.5746007462995832,2.8103238479830264,2.9784899910572182,2.928700086239634,45.89706310089621,53.26725090725891,10.000000000000002,41.45426661482282,26.877820975716187,25.851361370991786,29522.414987113545,3.4877187684985014,3.3851179996559515,2.574600879131897,2.8103219063348632,2.978488248000174,2.9286993799201504,45.897129278718005,53.2673150694514,10.000000000000002,41.454238891073416,26.877839476903223,25.85131304977837,0.9150073597307278,82.87339569604717,408.5786291483387,4.637527220317921,32.326012593578035,703.6294669136972,610.9773562939315,25.16704599492365,6.518720541713405,1666.0946815650336,1286.142955734034,25.42289144377015,17.490373635306824,1402.31012527788,789.5537020197247,151.08286747222914,0.3050913299885657,4.634390333514033,60.48688393260546,10.98500151744075,8.566723855749695,1105.182242679478,445.3539981776782,10.674666391162209,36.29723786559673,858.2501110620599,231.7309175724571,136.7480202383621,2253.593990325928,170.0,2210.0,1224623.2613086284,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
138,79,29522.500048755624,3.4920882872393277,3.382968054606808,2.574835531702089,2.8061962570140624,2.978495889084525,2.9284319592100165,45.7056031340125,53.400919367098055,10.000000000000002,41.436367002501896,26.961927861964654,25.838060021272412,29522.498351087288,3.492085310886773,3.38296964722387,2.574840313340911,2.806191863888316,2.978512453529244,2.928431966749966,45.70567786638348,53.40090732379284,10.000000000000002,41.436260021750975,26.96202255788394,25.838053599558695,0.8933641945253271,79.82900446133385,419.8190849722581,4.634694351648978,31.617396077488777,742.110382091093,623.1448627841086,26.887229622710297,5.832921777151892,1712.3425527837217,1323.091299703623,27.4849713683049,17.20962880169021,1395.3426296376194,786.3883278962769,150.05868424844863,0.3499435902173108,6.68731319852453,57.50877567915799,11.50524977297722,8.852244076489203,1105.1160548855864,448.6815577919755,10.24082924909078,36.41297602920046,852.1055335488109,229.4267223698948,135.72774072562837,1156.7219369411469,87.0,1131.0,1234368.497584224,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
55,153,29522.950082417232,3.494668083426161,3.3862627624217136,2.57323276655552,2.813183619706734,2.9833176969910022,2.9282298132930027,45.60376449703178,53.19852142323781,10.000000000000002,41.57698105859574,26.9700843609576,25.82644937150421,29522.931887024995,3.494686633612595,3.3862799671998003,2.5732274699871165,2.8131937120529327,2.9833299008553955,2.9282413334667994,45.60420637203833,53.19825084711686,10.000000000000002,41.576876521291815,26.97023292056021,25.82658373755945,0.8858720387884863,78.31391022480067,427.36422549210135,4.623718852631883,34.315502276173675,737.6155305534248,588.7200785852126,26.61196722765671,5.769042464899,1744.9971460383742,1349.37049602583,28.527000967649904,17.01007055737843,1386.620665564093,783.7078249848245,148.77491281501352,0.2570727780773608,4.229386894520378,60.27002740685232,11.384414140267117,8.584476576486164,1113.7047634188343,450.4572123809292,10.77491085521646,36.58847733903587,853.2998793908322,228.93885218534467,135.7423327853677,1431.8782541751862,183.0,2379.0,1245425.370812429,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
